Netherlands,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,4153.0,X
1,Total area of the country (excl. coastal water),1967,4153.0,X
2,Total area of the country (excl. coastal water),1972,4153.0,X
3,Total area of the country (excl. coastal water),1977,4153.0,X
4,Total area of the country (excl. coastal water),1982,4153.0,X
5,Total area of the country (excl. coastal water),1987,4153.0,X
6,Total area of the country (excl. coastal water),1992,4153.0,X
7,Total area of the country (excl. coastal water),1997,4153.0,X
8,Total area of the country (excl. coastal water),2002,4153.0,X
9,Total area of the country (excl. coastal water),2007,4154.0,X
10,Total area of the country (excl. coastal water),2012,4154.0,X
11,Total area of the country (excl. coastal water),2017,3739.0,E
12,Total area of the country (excl. coastal water),2018,3739.0,E
13,Cultivated area (arable land + permanent crops),1962,1002.0,X
14,Cultivated area (arable land + permanent crops),1967,922.0,X
15,Cultivated area (arable land + permanent crops),1972,804.0,X
16,Cultivated area (arable land + permanent crops),1977,810.0,X
17,Cultivated area (arable land + permanent crops),1982,820.0,X
18,Cultivated area (arable land + permanent crops),1987,890.0,X
19,Cultivated area (arable land + permanent crops),1992,922.0,X
20,Cultivated area (arable land + permanent crops),1997,935.0,X
21,Cultivated area (arable land + permanent crops),2002,949.0,X
22,Cultivated area (arable land + permanent crops),2007,1093.7,X
23,Cultivated area (arable land + permanent crops),2012,1046.8,X
24,Cultivated area (arable land + permanent crops),2017,1075.0,X
25,Cultivated area (arable land + permanent crops),2018,1059.0,X
26,Total population,1962,11766.726,X
27,Total population,1967,12556.839,X
28,Total population,1972,13291.873,X
29,Total population,1977,13892.917,X
30,Total population,1982,14295.217,X
31,Total population,1987,14682.649,X
32,Total population,1992,15165.862,X
33,Total population,1997,15655.475,X
34,Total population,2002,16110.355,X
35,Total population,2007,16506.655,X
36,Total population,2012,16791.84,X
37,Total population,2017,17021.347,X
38,Total population,2018,17059.56,X
39,Rural population,1962,4682.733,X
40,Rural population,1967,4882.379,X
41,Rural population,1972,5020.025,X
42,Rural population,1977,5027.702,X
43,Rural population,1982,4930.294,X
44,Rural population,1987,4769.987,X
45,Rural population,1992,4515.909,X
46,Rural population,1997,3999.507,X
47,Rural population,2002,3364.924,X
48,Rural population,2007,2552.168,X
49,Rural population,2012,1915.976,X
50,Rural population,2017,1520.119,X
51,Rural population,2018,1453.872,X
52,Urban population,1962,7083.993,X
53,Urban population,1967,7674.46,X
54,Urban population,1972,8271.848,X
55,Urban population,1977,8865.215,X
56,Urban population,1982,9364.923,X
57,Urban population,1987,9912.662,X
58,Urban population,1992,10649.953,X
59,Urban population,1997,11655.968,X
60,Urban population,2002,12745.431,X
61,Urban population,2007,13954.888,X
62,Urban population,2012,14873.119,X
63,Urban population,2017,15515.819,X
64,Urban population,2018,15630.587,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.0744,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.0614,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.0546666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0624,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0624,I
70,Gross Domestic Product (GDP),1962,14647057370.0,X
71,Gross Domestic Product (GDP),1967,25087562181.0,X
72,Gross Domestic Product (GDP),1972,54706271700.0,X
73,Gross Domestic Product (GDP),1977,128274400980.0,X
74,Gross Domestic Product (GDP),1982,158481135134.0,X
75,Gross Domestic Product (GDP),1987,245040290586.0,X
76,Gross Domestic Product (GDP),1992,362982325157.0,X
77,Gross Domestic Product (GDP),1997,416790293190.0,X
78,Gross Domestic Product (GDP),2002,471635418513.0,X
79,Gross Domestic Product (GDP),2007,847438025012.0,X
80,Gross Domestic Product (GDP),2012,838971306991.0,X
81,Gross Domestic Product (GDP),2017,833869641687.0,X
82,GDP per capita,1972,4115.768462,X
83,GDP per capita,1977,9233.079056,X
84,GDP per capita,1982,11086.30496,X
85,GDP per capita,1987,16689.106345,X
86,GDP per capita,1992,23934.170386,X
87,GDP per capita,1997,26622.65394,X
88,GDP per capita,2002,29275.296448,X
89,GDP per capita,2007,51337.92634,X
90,GDP per capita,2012,49971.204939,X
91,GDP per capita,2017,48947.679998,X
92,GDP per capita,2018,53505.050866,X
93,"Agriculture, value added (% GDP)",1972,4.747134,X
94,"Agriculture, value added (% GDP)",1977,3.623395,X
95,"Agriculture, value added (% GDP)",1982,3.974337,X
96,"Agriculture, value added (% GDP)",1987,3.876693,X
97,"Agriculture, value added (% GDP)",1992,3.638321,X
98,"Agriculture, value added (% GDP)",1997,2.967923,X
99,"Agriculture, value added (% GDP)",2002,2.077675,X
100,"Agriculture, value added (% GDP)",2007,1.81711,X
101,"Agriculture, value added (% GDP)",2012,1.659504,X
102,"Agriculture, value added (% GDP)",2017,1.855595,X
103,"Agriculture, value added to GDP",1969,1868164032.0,X
104,Total population with access to safe drinking-water (JMP),1992,100.0,X
105,Total population with access to safe drinking-water (JMP),1997,100.0,X
106,Total population with access to safe drinking-water (JMP),2002,100.0,X
107,Total population with access to safe drinking-water (JMP),2007,100.0,X
108,Total population with access to safe drinking-water (JMP),2012,100.0,X
109,Total population with access to safe drinking-water (JMP),2017,100.0,I
110,Total population with access to safe drinking-water (JMP),2018,100.0,I
111,Long-term average annual precipitation in volume,1962,32.31034,E
112,Long-term average annual precipitation in volume,1967,32.31034,E
113,Long-term average annual precipitation in volume,1972,32.31034,E
114,Long-term average annual precipitation in volume,1977,32.31034,E
115,Long-term average annual precipitation in volume,1982,32.31034,E
116,Long-term average annual precipitation in volume,1987,32.31034,E
117,Long-term average annual precipitation in volume,1992,32.31034,E
118,Long-term average annual precipitation in volume,1997,32.31034,E
119,Long-term average annual precipitation in volume,2002,32.31034,E
120,Long-term average annual precipitation in volume,2007,32.31812,E
121,Long-term average annual precipitation in volume,2012,32.31812,E
122,Long-term average annual precipitation in volume,2017,29.08942,E
123,Long-term average annual precipitation in volume,2018,29.08942,E
124,Interannual variability (WRI),2017,1.0,I
125,Interannual variability (WRI),2018,1.0,I
126,Seasonal variability (WRI),2017,0.9,I
127,Seasonal variability (WRI),2018,0.9,I
128,Flood occurrence (WRI),2017,2.5,I
129,Flood occurrence (WRI),2018,2.5,I
130,Surface water: entering the country (total),1961,80.0,OF
131,Surface water: entering the country (total),1966,80.0,OF
132,Surface water: entering the country (total),1971,80.0,OF
133,Surface water: entering the country (total),1976,80.0,OF
134,Surface water: entering the country (total),1981,80.0,OF
135,Surface water: entering the country (total),1986,80.0,OF
136,Surface water: entering the country (total),1991,80.0,OF
137,Surface water: entering the country (total),1996,80.0,OF
138,Surface water: entering the country (total),2001,80.0,OF
139,Surface water: entering the country (total),2006,80.0,OF
141,Surface water: entering the country (total),2017,80.0,OF
142,Surface water: leaving the country to other countries (total),1962,0.0,OF
143,Surface water: leaving the country to other countries (total),1967,0.0,OF
144,Surface water: leaving the country to other countries (total),1972,0.0,OF
145,Surface water: leaving the country to other countries (total),1977,0.0,OF
146,Surface water: leaving the country to other countries (total),1982,0.0,OF
147,Surface water: leaving the country to other countries (total),1987,0.0,OF
148,Surface water: leaving the country to other countries (total),1992,0.0,OF
149,Surface water: leaving the country to other countries (total),1997,0.0,OF
150,Surface water: leaving the country to other countries (total),2002,0.0,OF
151,Surface water: leaving the country to other countries (total),2007,0.0,OF
152,Surface water: leaving the country to other countries (total),2012,0.0,OF
153,Surface water: leaving the country to other countries (total),2017,0.0,OF
154,Groundwater: entering the country (total),1962,0.0,E
155,Groundwater: entering the country (total),1967,0.0,E
156,Groundwater: entering the country (total),1972,0.0,E
157,Groundwater: entering the country (total),1977,0.0,E
158,Groundwater: entering the country (total),1982,0.0,E
159,Groundwater: entering the country (total),1987,0.0,E
160,Groundwater: entering the country (total),1992,0.0,E
161,Groundwater: entering the country (total),1997,0.0,E
162,Groundwater: entering the country (total),2002,0.0,E
163,Groundwater: entering the country (total),2007,0.0,E
164,Groundwater: entering the country (total),2012,0.0,E
165,Groundwater: entering the country (total),2017,0.0,E
166,Groundwater: leaving the country to other countries (total),1962,0.0,OF
167,Groundwater: leaving the country to other countries (total),1967,0.0,OF
168,Groundwater: leaving the country to other countries (total),1972,0.0,OF
169,Groundwater: leaving the country to other countries (total),1977,0.0,OF
170,Groundwater: leaving the country to other countries (total),1982,0.0,OF
171,Groundwater: leaving the country to other countries (total),1987,0.0,OF
172,Groundwater: leaving the country to other countries (total),1992,0.0,OF
173,Groundwater: leaving the country to other countries (total),1997,0.0,OF
174,Groundwater: leaving the country to other countries (total),2002,0.0,OF
175,Groundwater: leaving the country to other countries (total),2007,0.0,OF
176,Groundwater: leaving the country to other countries (total),2012,0.0,OF
177,Groundwater: leaving the country to other countries (total),2017,0.0,OF
178,Dependency ratio,1962,87.9120879121,E
179,Dependency ratio,1967,87.9120879121,E
180,Dependency ratio,1972,87.9120879121,E
181,Dependency ratio,1977,87.9120879121,E
182,Dependency ratio,1982,87.9120879121,E
183,Dependency ratio,1987,87.9120879121,E
184,Dependency ratio,1992,87.9120879121,E
185,Dependency ratio,1997,87.9120879121,E
186,Dependency ratio,2002,87.9120879121,E
187,Dependency ratio,2007,87.9120879121,E
188,Dependency ratio,2012,87.9120879121,E
189,Dependency ratio,2017,87.9120879121,E
190,Dependency ratio,2018,87.9120879121,E
191,Total internal renewable water resources (IRWR),1962,11.0,E
192,Total internal renewable water resources (IRWR),1967,11.0,E
193,Total internal renewable water resources (IRWR),1972,11.0,E
194,Total internal renewable water resources (IRWR),1977,11.0,E
195,Total internal renewable water resources (IRWR),1982,11.0,E
196,Total internal renewable water resources (IRWR),1987,11.0,E
197,Total internal renewable water resources (IRWR),1992,11.0,E
198,Total internal renewable water resources (IRWR),1997,11.0,E
199,Total internal renewable water resources (IRWR),2002,11.0,E
200,Total internal renewable water resources (IRWR),2007,11.0,E
201,Total internal renewable water resources (IRWR),2012,11.0,E
202,Total internal renewable water resources (IRWR),2017,11.0,E
203,Total internal renewable water resources (IRWR),2018,11.0,E
204,Total internal renewable water resources per capita,1962,934.8394787131,E
205,Total internal renewable water resources per capita,1967,876.0166471833,E
206,Total internal renewable water resources per capita,1972,827.5733600524,E
207,Total internal renewable water resources per capita,1977,791.7703675909,E
208,Total internal renewable water resources per capita,1982,769.4881441814,E
209,Total internal renewable water resources per capita,1987,749.1836112135,E
210,Total internal renewable water resources per capita,1992,725.3132067271,E
211,Total internal renewable water resources per capita,1997,702.6295912452,E
212,Total internal renewable water resources per capita,2002,682.7906647619,E
213,Total internal renewable water resources per capita,2007,666.3978861859,E
214,Total internal renewable water resources per capita,2012,655.0800865182,E
215,Total internal renewable water resources per capita,2017,646.2473269595,E
216,Total internal renewable water resources per capita,2018,644.7997486453,E
217,Total renewable surface water,1962,91.0,E
218,Total renewable surface water,1967,91.0,E
219,Total renewable surface water,1972,91.0,E
220,Total renewable surface water,1977,91.0,E
221,Total renewable surface water,1982,91.0,E
222,Total renewable surface water,1987,91.0,E
223,Total renewable surface water,1992,91.0,E
224,Total renewable surface water,1997,91.0,E
225,Total renewable surface water,2002,91.0,E
226,Total renewable surface water,2007,91.0,E
227,Total renewable surface water,2012,91.0,E
228,Total renewable surface water,2017,91.0,E
229,Total renewable surface water,2018,91.0,E
230,Total renewable groundwater,1962,4.5,E
231,Total renewable groundwater,1967,4.5,E
232,Total renewable groundwater,1972,4.5,E
233,Total renewable groundwater,1977,4.5,E
234,Total renewable groundwater,1982,4.5,E
235,Total renewable groundwater,1987,4.5,E
236,Total renewable groundwater,1992,4.5,E
237,Total renewable groundwater,1997,4.5,E
238,Total renewable groundwater,2002,4.5,E
239,Total renewable groundwater,2007,4.5,E
240,Total renewable groundwater,2012,4.5,E
241,Total renewable groundwater,2017,4.5,E
242,Total renewable groundwater,2018,4.5,E
243,Total exploitable water resources,1962,1.9,E
244,Total exploitable water resources,1967,1.9,E
245,Total exploitable water resources,1972,1.9,E
246,Total exploitable water resources,1977,1.9,E
247,Total exploitable water resources,1982,1.9,E
248,Total exploitable water resources,1987,1.9,E
249,Total exploitable water resources,1992,1.9,E
250,Total exploitable water resources,1997,1.9,E
251,Total exploitable water resources,2002,1.9,E
252,Total exploitable water resources,2007,1.9,E
253,Total exploitable water resources,2012,1.9,E
254,Total exploitable water resources,2017,1.9,E
255,Total exploitable water resources,2018,1.9,E
256,Water resources: total external renewable,1962,80.0,E
257,Water resources: total external renewable,1967,80.0,E
258,Water resources: total external renewable,1972,80.0,E
259,Water resources: total external renewable,1977,80.0,E
260,Water resources: total external renewable,1982,80.0,E
261,Water resources: total external renewable,1987,80.0,E
262,Water resources: total external renewable,1992,80.0,E
263,Water resources: total external renewable,1997,80.0,E
264,Water resources: total external renewable,2002,80.0,E
265,Water resources: total external renewable,2007,80.0,E
266,Water resources: total external renewable,2012,80.0,E
267,Water resources: total external renewable,2017,80.0,E
268,Water resources: total external renewable,2018,80.0,E
269,Total renewable water resources,1962,91.0,E
270,Total renewable water resources,1967,91.0,E
271,Total renewable water resources,1972,91.0,E
272,Total renewable water resources,1977,91.0,E
273,Total renewable water resources,1982,91.0,E
274,Total renewable water resources,1987,91.0,E
275,Total renewable water resources,1992,91.0,E
276,Total renewable water resources,1997,91.0,E
277,Total renewable water resources,2002,91.0,E
278,Total renewable water resources,2007,91.0,E
279,Total renewable water resources,2012,91.0,E
280,Total renewable water resources,2017,91.0,E
281,Total renewable water resources,2018,91.0,E
282,Total renewable water resources per capita,1962,7733.6720511721,E
283,Total renewable water resources per capita,1967,7247.0468085161,E
284,Total renewable water resources per capita,1972,6846.2887058882,E
285,Total renewable water resources per capita,1977,6550.1003137066,E
286,Total renewable water resources per capita,1982,6365.7655564095,E
287,Total renewable water resources per capita,1987,6197.7916927661,E
288,Total renewable water resources per capita,1992,6000.3183465602,E
289,Total renewable water resources per capita,1997,5812.6629821197,E
290,Total renewable water resources per capita,2002,5648.5409539392,E
291,Total renewable water resources per capita,2007,5512.9279675379,E
292,Total renewable water resources per capita,2012,5419.2988975598,E
293,Total renewable water resources per capita,2017,5346.2278866649,E
