Niger,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,126700.0,X
1,Total area of the country (excl. coastal water),1967,126700.0,X
2,Total area of the country (excl. coastal water),1972,126700.0,X
3,Total area of the country (excl. coastal water),1977,126700.0,X
4,Total area of the country (excl. coastal water),1982,126700.0,X
5,Total area of the country (excl. coastal water),1987,126700.0,X
6,Total area of the country (excl. coastal water),1992,126700.0,X
7,Total area of the country (excl. coastal water),1997,126700.0,X
8,Total area of the country (excl. coastal water),2002,126700.0,X
9,Total area of the country (excl. coastal water),2007,126700.0,X
10,Total area of the country (excl. coastal water),2012,126700.0,X
11,Total area of the country (excl. coastal water),2017,126700.0,E
12,Total area of the country (excl. coastal water),2018,126700.0,E
13,Cultivated area (arable land + permanent crops),1962,11500.0,X
14,Cultivated area (arable land + permanent crops),1967,11500.0,X
15,Cultivated area (arable land + permanent crops),1972,11177.0,X
16,Cultivated area (arable land + permanent crops),1977,9780.0,X
17,Cultivated area (arable land + permanent crops),1982,9860.0,X
18,Cultivated area (arable land + permanent crops),1987,9512.0,X
19,Cultivated area (arable land + permanent crops),1992,13000.0,X
20,Cultivated area (arable land + permanent crops),1997,14000.0,X
21,Cultivated area (arable land + permanent crops),2002,14000.0,X
22,Cultivated area (arable land + permanent crops),2007,15000.0,X
23,Cultivated area (arable land + permanent crops),2012,16000.0,X
24,Cultivated area (arable land + permanent crops),2017,17818.0,X
25,Cultivated area (arable land + permanent crops),2018,17818.0,X
26,Total population,1962,3588.228,X
27,Total population,1967,4144.592,X
28,Total population,1972,4768.227,X
29,Total population,1977,5491.153,X
30,Total population,1982,6343.523,X
31,Total population,1987,7328.943,X
32,Total population,1992,8566.77,X
33,Total population,1997,10178.201,X
34,Total population,2002,12189.983,X
35,Total population,2007,14685.399,X
36,Total population,2012,17795.21,X
37,Total population,2017,21602.382,X
38,Total population,2018,22442.822,X
39,Rural population,1962,3372.867,X
40,Rural population,1967,3833.862,X
41,Rural population,1972,4302.135,X
42,Rural population,1977,4796.419,X
43,Rural population,1982,5464.325,X
44,Rural population,1987,6225.856,X
45,Rural population,1992,7221.76,X
46,Rural population,1997,8557.656,X
47,Rural population,2002,10221.895,X
48,Rural population,2007,12287.148,X
49,Rural population,2012,14856.997,X
50,Rural population,2017,17965.903,X
51,Rural population,2018,18646.683,X
52,Urban population,1962,215.289,X
53,Urban population,1967,310.533,X
54,Urban population,1972,465.943,X
55,Urban population,1977,694.502,X
56,Urban population,1982,880.057,X
57,Urban population,1987,1098.113,X
58,Urban population,1992,1327.664,X
59,Urban population,1997,1622.405,X
60,Urban population,2002,1984.107,X
61,Urban population,2007,2381.19,X
62,Urban population,2012,2874.637,X
63,Urban population,2017,3511.445,X
64,Urban population,2018,3664.692,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.7824,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.71525,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.680875,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.7132,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.7132,I
70,Gross Domestic Product (GDP),1962,531736600.0,X
71,Gross Domestic Product (GDP),1967,665586873.0,X
72,Gross Domestic Product (GDP),1972,764270486.0,X
73,Gross Domestic Product (GDP),1977,1665052296.0,X
74,Gross Domestic Product (GDP),1982,2857646127.0,X
75,Gross Domestic Product (GDP),1987,3052110892.0,X
76,Gross Domestic Product (GDP),1992,3466065161.0,X
77,Gross Domestic Product (GDP),1997,2346769859.0,X
78,Gross Domestic Product (GDP),2002,2857839326.0,X
79,Gross Domestic Product (GDP),2007,5708050351.0,X
80,Gross Domestic Product (GDP),2012,9250855325.0,X
81,Gross Domestic Product (GDP),2017,11170054787.0,X
82,Gross Domestic Product (GDP),2018,12820995119.0,X
83,GDP per capita,1972,160.289007,X
84,GDP per capita,1977,303.237343,X
85,GDP per capita,1982,450.421511,X
86,GDP per capita,1987,416.729084,X
87,GDP per capita,1992,405.41505,X
88,GDP per capita,1997,230.52611,X
89,GDP per capita,2002,234.133939,X
90,GDP per capita,2007,389.140907,X
91,GDP per capita,2012,521.714768,X
92,GDP per capita,2017,520.085384,X
93,GDP per capita,2018,574.639399,X
94,"Agriculture, value added (% GDP)",1962,76.0,X
95,"Agriculture, value added (% GDP)",1967,70.71,X
96,"Agriculture, value added (% GDP)",1972,44.351135,X
97,"Agriculture, value added (% GDP)",1977,44.914257,X
98,"Agriculture, value added (% GDP)",1982,37.473884,X
99,"Agriculture, value added (% GDP)",1987,29.245056,X
100,"Agriculture, value added (% GDP)",1992,33.21069,X
101,"Agriculture, value added (% GDP)",1997,31.527745,X
102,"Agriculture, value added (% GDP)",2002,39.908114,X
103,"Agriculture, value added (% GDP)",2007,37.205379,X
104,"Agriculture, value added (% GDP)",2012,34.501054,X
105,"Agriculture, value added (% GDP)",2017,36.006794,X
106,"Agriculture, value added (% GDP)",2018,38.436545,X
107,"Agriculture, value added to GDP",1962,404107105.0,X
108,"Agriculture, value added to GDP",1967,470612022.0,X
109,"Agriculture, value added to GDP",1969,415697641.0,X
110,Number of people undernourished (3-year average),1992,2200.0,X
111,Number of people undernourished (3-year average),1997,3100.0,X
112,Number of people undernourished (3-year average),2002,2300.0,X
113,Number of people undernourished (3-year average),2007,2000.0,X
114,Number of people undernourished (3-year average),2012,1900.0,X
115,Number of people undernourished (3-year average),2017,2900.0,X
116,Number of people undernourished (3-year average),2018,3600.0,X
117,Prevalence of undernourishment (3-year average),1992,27.7,X
118,Prevalence of undernourishment (3-year average),1997,33.2,X
119,Prevalence of undernourishment (3-year average),2002,19.7,X
120,Prevalence of undernourishment (3-year average),2007,14.4,X
121,Prevalence of undernourishment (3-year average),2012,10.9,X
122,Prevalence of undernourishment (3-year average),2017,14.1,X
123,Prevalence of undernourishment (3-year average),2018,16.5,X
124,Total population with access to safe drinking-water (JMP),1992,35.7,X
125,Total population with access to safe drinking-water (JMP),1997,40.7,X
126,Total population with access to safe drinking-water (JMP),2002,45.7,X
127,Total population with access to safe drinking-water (JMP),2007,50.8,X
128,Total population with access to safe drinking-water (JMP),2012,56.2,X
129,Total population with access to safe drinking-water (JMP),2017,58.2,I
130,Total population with access to safe drinking-water (JMP),2018,58.2,I
131,Population affected by water related disease,2012,3143.0,I
132,Population affected by water related disease,2017,3143.0,I
133,Population affected by water related disease,2018,3143.0,I
134,Long-term average annual precipitation in volume,1962,191.317,E
135,Long-term average annual precipitation in volume,1967,191.317,E
136,Long-term average annual precipitation in volume,1972,191.317,E
137,Long-term average annual precipitation in volume,1977,191.317,E
138,Long-term average annual precipitation in volume,1982,191.317,E
139,Long-term average annual precipitation in volume,1987,191.317,E
140,Long-term average annual precipitation in volume,1992,191.317,E
141,Long-term average annual precipitation in volume,1997,191.317,E
142,Long-term average annual precipitation in volume,2002,191.317,E
143,Long-term average annual precipitation in volume,2007,191.317,E
144,Long-term average annual precipitation in volume,2012,191.317,E
145,Long-term average annual precipitation in volume,2017,191.317,E
146,Long-term average annual precipitation in volume,2018,191.317,E
147,Interannual variability (WRI),2017,1.9,I
148,Interannual variability (WRI),2018,1.9,I
149,Seasonal variability (WRI),2017,3.6,I
150,Seasonal variability (WRI),2018,3.6,I
151,Flood occurrence (WRI),2017,3.4,I
152,Flood occurrence (WRI),2018,3.4,I
153,Surface water: entering the country (total),1962,29.2,OF
154,Surface water: entering the country (total),1967,29.2,OF
155,Surface water: entering the country (total),1972,29.2,OF
156,Surface water: entering the country (total),1977,29.2,OF
157,Surface water: entering the country (total),1982,29.2,OF
158,Surface water: entering the country (total),1987,29.2,OF
159,Surface water: entering the country (total),1992,29.2,OF
160,Surface water: entering the country (total),1997,29.2,OF
161,Surface water: entering the country (total),2002,29.2,OF
162,Surface water: entering the country (total),2007,29.2,OF
163,Surface water: entering the country (total),2012,29.2,OF
164,Surface water: entering the country (total),2017,29.2,OF
165,Surface water: leaving the country to other countries (total),1962,32.4,OF
166,Surface water: leaving the country to other countries (total),1967,32.4,OF
167,Surface water: leaving the country to other countries (total),1972,32.4,OF
168,Surface water: leaving the country to other countries (total),1977,32.4,OF
169,Surface water: leaving the country to other countries (total),1982,32.4,OF
170,Surface water: leaving the country to other countries (total),1987,32.4,OF
171,Surface water: leaving the country to other countries (total),1992,32.4,OF
172,Surface water: leaving the country to other countries (total),1997,32.4,OF
173,Surface water: leaving the country to other countries (total),2002,32.4,OF
174,Surface water: leaving the country to other countries (total),2007,32.4,OF
175,Surface water: leaving the country to other countries (total),2012,32.4,OF
176,Surface water: leaving the country to other countries (total),2017,32.4,OF
177,Groundwater: entering the country (total),1962,0.0,E
178,Groundwater: entering the country (total),1967,0.0,E
179,Groundwater: entering the country (total),1972,0.0,E
180,Groundwater: entering the country (total),1977,0.0,E
181,Groundwater: entering the country (total),1982,0.0,E
182,Groundwater: entering the country (total),1987,0.0,E
183,Groundwater: entering the country (total),1992,0.0,E
184,Groundwater: entering the country (total),1997,0.0,E
185,Groundwater: entering the country (total),2002,0.0,E
186,Groundwater: entering the country (total),2007,0.0,E
187,Groundwater: entering the country (total),2012,0.0,E
188,Groundwater: entering the country (total),2017,0.0,E
189,Groundwater: leaving the country to other countries (total),1962,0.0,OF
190,Groundwater: leaving the country to other countries (total),1967,0.0,OF
191,Groundwater: leaving the country to other countries (total),1972,0.0,OF
192,Groundwater: leaving the country to other countries (total),1977,0.0,OF
193,Groundwater: leaving the country to other countries (total),1982,0.0,OF
194,Groundwater: leaving the country to other countries (total),1987,0.0,OF
195,Groundwater: leaving the country to other countries (total),1992,0.0,OF
196,Groundwater: leaving the country to other countries (total),1997,0.0,OF
197,Groundwater: leaving the country to other countries (total),2002,0.0,OF
198,Groundwater: leaving the country to other countries (total),2007,0.0,OF
199,Groundwater: leaving the country to other countries (total),2012,0.0,OF
200,Groundwater: leaving the country to other countries (total),2017,0.0,OF
201,Dependency ratio,1962,89.7209985316,E
202,Dependency ratio,1967,89.7209985316,E
203,Dependency ratio,1972,89.7209985316,E
204,Dependency ratio,1977,89.7209985316,E
205,Dependency ratio,1982,89.7209985316,E
206,Dependency ratio,1987,89.7209985316,E
207,Dependency ratio,1992,89.7209985316,E
208,Dependency ratio,1997,89.7209985316,E
209,Dependency ratio,2002,89.7209985316,E
210,Dependency ratio,2007,89.7209985316,E
211,Dependency ratio,2012,89.7209985316,E
212,Dependency ratio,2017,89.7209985316,E
213,Dependency ratio,2018,89.7209985316,E
214,Total internal renewable water resources (IRWR),1962,3.5,E
