Pakistan,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,79610.0,X
1,Total area of the country (excl. coastal water),1967,79610.0,X
2,Total area of the country (excl. coastal water),1972,79610.0,X
3,Total area of the country (excl. coastal water),1977,79610.0,X
4,Total area of the country (excl. coastal water),1982,79610.0,X
5,Total area of the country (excl. coastal water),1987,79610.0,X
6,Total area of the country (excl. coastal water),1992,79610.0,X
7,Total area of the country (excl. coastal water),1997,79610.0,X
8,Total area of the country (excl. coastal water),2002,79610.0,X
9,Total area of the country (excl. coastal water),2007,79610.0,X
10,Total area of the country (excl. coastal water),2012,79610.0,X
11,Total area of the country (excl. coastal water),2017,79610.0,E
12,Total area of the country (excl. coastal water),2018,79610.0,E
13,Cultivated area (arable land + permanent crops),1962,30840.0,X
14,Cultivated area (arable land + permanent crops),1967,32470.0,X
15,Cultivated area (arable land + permanent crops),1972,30505.0,X
16,Cultivated area (arable land + permanent crops),1977,30913.0,X
17,Cultivated area (arable land + permanent crops),1982,33509.0,X
18,Cultivated area (arable land + permanent crops),1987,31671.0,X
19,Cultivated area (arable land + permanent crops),1992,30380.0,X
20,Cultivated area (arable land + permanent crops),1997,31669.0,X
21,Cultivated area (arable land + permanent crops),2002,31884.0,X
22,Cultivated area (arable land + permanent crops),2007,31013.0,X
23,Cultivated area (arable land + permanent crops),2012,31063.0,X
24,Cultivated area (arable land + permanent crops),2017,32003.0,X
25,Cultivated area (arable land + permanent crops),2018,31300.0,X
26,Total population,1962,47198.878,X
27,Total population,1967,53655.789,X
28,Total population,1972,61381.987,X
29,Total population,1977,70958.169,X
30,Total population,1982,83431.605,X
31,Total population,1987,98285.755,X
32,Total population,1992,113911.126,X
33,Total population,1997,131057.431,X
34,Total population,2002,149549.7,X
35,Total population,2007,167808.105,X
36,Total population,2012,187280.129,X
37,Total population,2017,207906.209,X
38,Total population,2018,212228.286,X
39,Rural population,1962,36399.297,X
40,Rural population,1967,40714.221,X
41,Rural population,1972,45787.048,X
42,Rural population,1977,51774.651,X
43,Rural population,1982,59564.505,X
44,Rural population,1987,69014.215,X
45,Rural population,1992,78397.927,X
46,Rural population,1997,87329.956,X
47,Rural population,2002,96368.659,X
48,Rural population,2007,105200.045,X
49,Rural population,2012,114917.348,X
50,Rural population,2017,125220.255,X
51,Rural population,2018,127183.388,X
52,Urban population,1962,10720.064,X
53,Urban population,1967,12876.708,X
54,Urban population,1972,15551.213,X
55,Urban population,1977,19171.58,X
56,Urban population,1982,23881.358,X
57,Urban population,1987,29343.258,X
58,Urban population,1992,35349.208,X
59,Urban population,1997,41757.031,X
60,Urban population,2002,48285.484,X
61,Urban population,2007,55132.929,X
62,Urban population,2012,62994.185,X
63,Urban population,2017,71795.7,X
64,Urban population,2018,73630.43,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5922,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5623333333,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5359,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5359,I
69,Gross Domestic Product (GDP),1962,4233095515.0,X
70,Gross Domestic Product (GDP),1967,7403821772.0,X
71,Gross Domestic Product (GDP),1972,8251877546.0,X
72,Gross Domestic Product (GDP),1977,19819587047.0,X
73,Gross Domestic Product (GDP),1982,35851006582.0,X
74,Gross Domestic Product (GDP),1987,43113077983.0,X
75,Gross Domestic Product (GDP),1992,62958367556.0,X
76,Gross Domestic Product (GDP),1997,77394422577.0,X
77,Gross Domestic Product (GDP),2002,80353156003.0,X
78,Gross Domestic Product (GDP),2007,152124000286.0,X
79,Gross Domestic Product (GDP),2012,214641658203.0,X
80,Gross Domestic Product (GDP),2016,277521027411.0,X
81,GDP per capita,1972,134.530673,X
82,GDP per capita,1977,279.360676,X
83,GDP per capita,1982,429.631923,X
84,GDP per capita,1987,438.330476,X
85,GDP per capita,1992,553.494095,X
86,GDP per capita,1997,599.552475,X
87,GDP per capita,2002,555.48465,X
88,GDP per capita,2007,948.800465,X
89,GDP per capita,2012,1206.451626,X
90,GDP per capita,2017,1538.413187,X
91,GDP per capita,2018,1406.00688,X
92,"Agriculture, value added (% GDP)",1962,43.33,X
93,"Agriculture, value added (% GDP)",1967,38.69,X
94,"Agriculture, value added (% GDP)",1972,36.12916,X
95,"Agriculture, value added (% GDP)",1977,32.339201,X
96,"Agriculture, value added (% GDP)",1982,31.332987,X
97,"Agriculture, value added (% GDP)",1987,26.032598,X
98,"Agriculture, value added (% GDP)",1992,25.805825,X
99,"Agriculture, value added (% GDP)",1997,26.967483,X
100,"Agriculture, value added (% GDP)",2002,24.581758,X
101,"Agriculture, value added (% GDP)",2007,21.800472,X
102,"Agriculture, value added (% GDP)",2012,23.710249,X
103,"Agriculture, value added (% GDP)",2016,23.215197,X
104,"Agriculture, value added to GDP",1962,1725323667.0,X
105,"Agriculture, value added to GDP",1967,2616547732.0,X
106,"Agriculture, value added to GDP",1969,2947920958.0,X
107,Number of people undernourished (3-year average),1992,28700.0,X
108,Number of people undernourished (3-year average),1997,28300.0,X
109,Number of people undernourished (3-year average),2001,32500.0,X
110,Prevalence of undernourishment (3-year average),1992,25.1,X
111,Prevalence of undernourishment (3-year average),1997,21.8,X
112,Prevalence of undernourishment (3-year average),2001,23.4,X
113,Prevalence of undernourishment (3-year average),2016,12.8,X
114,Total population with access to safe drinking-water (JMP),1992,86.7,X
115,Total population with access to safe drinking-water (JMP),1997,87.8,X
116,Total population with access to safe drinking-water (JMP),2002,88.9,X
117,Total population with access to safe drinking-water (JMP),2007,89.9,X
118,Total population with access to safe drinking-water (JMP),2012,90.9,X
119,Total population with access to safe drinking-water (JMP),2017,91.4,I
