Papua New Guinea,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,46284.0,X
1,Total area of the country (excl. coastal water),1967,46284.0,X
2,Total area of the country (excl. coastal water),1972,46284.0,X
3,Total area of the country (excl. coastal water),1977,46284.0,X
4,Total area of the country (excl. coastal water),1982,46284.0,X
5,Total area of the country (excl. coastal water),1987,46284.0,X
6,Total area of the country (excl. coastal water),1992,46284.0,X
7,Total area of the country (excl. coastal water),1997,46284.0,X
8,Total area of the country (excl. coastal water),2002,46284.0,X
9,Total area of the country (excl. coastal water),2007,46284.0,X
10,Total area of the country (excl. coastal water),2012,46284.0,X
11,Total area of the country (excl. coastal water),2017,46284.0,E
12,Total area of the country (excl. coastal water),2018,46284.0,E
13,Cultivated area (arable land + permanent crops),1962,425.0,X
14,Cultivated area (arable land + permanent crops),1967,485.0,X
15,Cultivated area (arable land + permanent crops),1972,579.0,X
16,Cultivated area (arable land + permanent crops),1977,629.0,X
17,Cultivated area (arable land + permanent crops),1982,670.0,X
18,Cultivated area (arable land + permanent crops),1987,726.0,X
19,Cultivated area (arable land + permanent crops),1992,742.0,X
20,Cultivated area (arable land + permanent crops),1997,787.0,X
21,Cultivated area (arable land + permanent crops),2002,820.0,X
22,Cultivated area (arable land + permanent crops),2007,850.0,X
23,Cultivated area (arable land + permanent crops),2012,1000.0,X
24,Cultivated area (arable land + permanent crops),2017,1000.0,X
25,Cultivated area (arable land + permanent crops),2018,1000.0,X
26,Total population,1962,2340.352,X
27,Total population,1967,2596.82,X
28,Total population,1972,2918.139,X
29,Total population,1977,3302.633,X
30,Total population,1982,3768.483,X
31,Total population,1987,4292.563,X
32,Total population,1992,4836.217,X
33,Total population,1997,5446.641,X
34,Total population,2002,6098.621,X
35,Total population,2007,6808.514,X
36,Total population,2012,7631.001,X
37,Total population,2017,8438.036,X
38,Total population,2018,8606.323,X
39,Rural population,1962,2003.631,X
40,Rural population,1967,2187.581,X
41,Rural population,1972,2359.278,X
42,Rural population,1977,2663.762,X
43,Rural population,1982,3025.874,X
44,Rural population,1987,3422.435,X
45,Rural population,1992,3872.009,X
46,Rural population,1997,4447.44,X
47,Rural population,2002,5090.608,X
48,Rural population,2007,5761.463,X
49,Rural population,2012,6466.137,X
50,Rural population,2017,7170.073,X
51,Rural population,2018,7309.758,X
52,Urban population,1962,91.056,X
53,Urban population,1967,157.396,X
54,Urban population,1972,300.573,X
55,Urban population,1977,375.898,X
56,Urban population,1982,469.325,X
57,Urban population,1987,575.267,X
58,Urban population,1992,663.511,X
59,Urban population,1997,707.47,X
60,Urban population,2002,771.708,X
61,Urban population,2007,866.459,X
62,Urban population,2012,964.699,X
63,Urban population,2017,1081.089,X
64,Urban population,2018,1108.588,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.6728,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.6812,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.636,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.6113,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.6113,I
70,Gross Domestic Product (GDP),1962,261184037.0,X
71,Gross Domestic Product (GDP),1967,441706910.0,X
72,Gross Domestic Product (GDP),1969,551237317.0,X
73,GDP per capita,1972,547.914756,X
74,GDP per capita,1977,899.389521,X
75,GDP per capita,1982,1129.141145,X
76,GDP per capita,1987,1205.454759,X
77,GDP per capita,1992,1450.379329,X
78,GDP per capita,1997,1435.167731,X
79,GDP per capita,2002,781.255839,X
80,GDP per capita,2007,1440.108045,X
81,GDP per capita,2012,2865.806766,X
82,GDP per capita,2017,2667.000159,X
83,GDP per capita,2018,2741.30003,X
84,"Agriculture, value added (% GDP)",1962,48.66,X
85,"Agriculture, value added (% GDP)",1967,43.73,X
86,"Agriculture, value added (% GDP)",1969,43.75,X
87,"Agriculture, value added to GDP",1962,123760018.0,X
88,"Agriculture, value added to GDP",1967,185351103.0,X
89,"Agriculture, value added to GDP",1969,230484937.0,X
90,Total population with access to safe drinking-water (JMP),1992,33.5,X
91,Total population with access to safe drinking-water (JMP),1997,34.2,X
92,Total population with access to safe drinking-water (JMP),2002,35.9,X
93,Total population with access to safe drinking-water (JMP),2007,37.9,X
94,Total population with access to safe drinking-water (JMP),2012,39.9,X
95,Total population with access to safe drinking-water (JMP),2017,40.0,I
96,Total population with access to safe drinking-water (JMP),2018,40.0,I
97,Long-term average annual precipitation in volume,1962,1454.24328,E
98,Long-term average annual precipitation in volume,1967,1454.24328,E
99,Long-term average annual precipitation in volume,1972,1454.24328,E
100,Long-term average annual precipitation in volume,1977,1454.24328,E
