Paraguay,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,40675.0,X
1,Total area of the country (excl. coastal water),1967,40675.0,X
2,Total area of the country (excl. coastal water),1972,40675.0,X
3,Total area of the country (excl. coastal water),1977,40675.0,X
4,Total area of the country (excl. coastal water),1982,40675.0,X
5,Total area of the country (excl. coastal water),1987,40675.0,X
6,Total area of the country (excl. coastal water),1992,40675.0,X
7,Total area of the country (excl. coastal water),1997,40675.0,X
8,Total area of the country (excl. coastal water),2002,40675.0,X
9,Total area of the country (excl. coastal water),2007,40675.0,X
10,Total area of the country (excl. coastal water),2012,40675.0,X
11,Total area of the country (excl. coastal water),2017,40675.2,E
12,Total area of the country (excl. coastal water),2018,40675.2,E
13,Cultivated area (arable land + permanent crops),1962,822.0,X
14,Cultivated area (arable land + permanent crops),1967,921.0,X
15,Cultivated area (arable land + permanent crops),1972,918.0,X
16,Cultivated area (arable land + permanent crops),1977,1384.0,X
17,Cultivated area (arable land + permanent crops),1982,1893.0,X
18,Cultivated area (arable land + permanent crops),1987,2088.0,X
19,Cultivated area (arable land + permanent crops),1992,2385.0,X
20,Cultivated area (arable land + permanent crops),1997,2685.0,X
21,Cultivated area (arable land + permanent crops),2002,3308.0,X
22,Cultivated area (arable land + permanent crops),2007,3740.0,X
23,Cultivated area (arable land + permanent crops),2012,4445.0,X
24,Cultivated area (arable land + permanent crops),2017,4738.0,X
25,Total population,1962,2006.67,X
26,Total population,1967,2290.798,X
27,Total population,1972,2597.154,X
28,Total population,1977,2935.712,X
29,Total population,1982,3368.773,X
30,Total population,1987,3891.734,X
31,Total population,1992,4445.016,X
32,Total population,1997,4998.1,X
33,Total population,2002,5531.962,X
34,Total population,2007,5998.427,X
35,Total population,2012,6421.513,X
36,Total population,2017,6867.061,X
37,Total population,2018,6956.066,X
38,Rural population,1962,1288.009,X
39,Rural population,1967,1452.265,X
40,Rural population,1972,1625.653,X
41,Rural population,1977,1759.576,X
42,Rural population,1982,1926.271,X
43,Rural population,1987,2080.148,X
44,Rural population,1992,2208.126,X
45,Rural population,1997,2320.138,X
46,Rural population,2002,2390.764,X
47,Rural population,2007,2488.72,X
48,Rural population,2012,2557.635,X
49,Rural population,2017,2635.972,X
50,Rural population,2018,2649.475,X
51,Urban population,1962,717.328,X
52,Urban population,1967,837.317,X
53,Urban population,1972,971.086,X
54,Urban population,1977,1175.799,X
55,Urban population,1982,1440.448,X
56,Urban population,1987,1805.288,X
57,Urban population,1992,2224.61,X
58,Urban population,1997,2660.206,X
59,Urban population,2002,3117.847,X
60,Urban population,2007,3477.439,X
61,Urban population,2012,3821.584,X
62,Urban population,2017,4175.325,X
63,Urban population,2018,4247.433,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.5318,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5028,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.4646666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4718,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4718,I
69,Gross Domestic Product (GDP),1967,451524125.0,X
70,Gross Domestic Product (GDP),1972,879730242.0,X
71,Gross Domestic Product (GDP),1977,2393290421.0,X
