Poland,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,31269.0,X
1,Total area of the country (excl. coastal water),1967,31269.0,X
2,Total area of the country (excl. coastal water),1972,31269.0,X
3,Total area of the country (excl. coastal water),1977,31269.0,X
4,Total area of the country (excl. coastal water),1982,31269.0,X
5,Total area of the country (excl. coastal water),1987,31269.0,X
6,Total area of the country (excl. coastal water),1992,31269.0,X
7,Total area of the country (excl. coastal water),1997,31269.0,X
8,Total area of the country (excl. coastal water),2002,31269.0,X
9,Total area of the country (excl. coastal water),2007,31268.0,X
10,Total area of the country (excl. coastal water),2012,31268.0,X
11,Total area of the country (excl. coastal water),2017,31270.0,E
12,Total area of the country (excl. coastal water),2018,31269.0,E
13,Cultivated area (arable land + permanent crops),1962,16068.0,X
14,Cultivated area (arable land + permanent crops),1967,15518.0,X
15,Cultivated area (arable land + permanent crops),1972,15147.0,X
16,Cultivated area (arable land + permanent crops),1977,15066.0,X
17,Cultivated area (arable land + permanent crops),1982,14821.0,X
18,Cultivated area (arable land + permanent crops),1987,14817.0,X
19,Cultivated area (arable land + permanent crops),1992,14699.0,X
20,Cultivated area (arable land + permanent crops),1997,14321.0,X
21,Cultivated area (arable land + permanent crops),2002,13337.0,X
22,Cultivated area (arable land + permanent crops),2007,12198.0,X
23,Cultivated area (arable land + permanent crops),2012,11323.0,X
24,Cultivated area (arable land + permanent crops),2017,11291.0,X
25,Cultivated area (arable land + permanent crops),2018,11362.0,X
26,Total population,1962,30389.347,X
27,Total population,1967,31901.689,X
28,Total population,1972,33147.072,X
29,Total population,1977,34571.226,X
30,Total population,1982,36221.542,X
31,Total population,1987,37544.331,X
32,Total population,1992,38197.587,X
33,Total population,1997,38544.841,X
34,Total population,2002,38488.647,X
35,Total population,2007,38353.338,X
36,Total population,2012,38227.044,X
37,Total population,2017,37953.18,X
38,Total population,2018,37921.592,X
39,Rural population,1962,15519.393,X
40,Rural population,1967,15653.743,X
41,Rural population,1972,15469.962,X
42,Rural population,1977,15010.568,X
43,Rural population,1982,14910.009,X
44,Rural population,1987,14761.663,X
45,Rural population,1992,14757.494,X
46,Rural population,1997,14805.609,X
47,Rural population,2002,14706.001,X
48,Rural population,2007,14860.895,X
49,Rural population,2012,15076.293,X
50,Rural population,2017,15228.329,X
51,Rural population,2018,15219.933,X
52,Urban population,1962,14866.883,X
53,Urban population,1967,16244.575,X
54,Urban population,1972,17673.225,X
55,Urban population,1977,19556.326,X
56,Urban population,1982,21306.7,X
57,Urban population,1987,22777.312,X
58,Urban population,1992,23434.283,X
59,Urban population,1997,23733.121,X
60,Urban population,2002,23778.471,X
61,Urban population,2007,23468.69,X
62,Urban population,2012,23241.111,X
63,Urban population,2017,22942.383,X
64,Urban population,2018,22884.899,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.1888,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1616,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.1473333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1378,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1378,I
70,Gross Domestic Product (GDP),1972,34614954085.0,X
71,Gross Domestic Product (GDP),1977,60529431627.0,X
72,Gross Domestic Product (GDP),1982,68052502098.0,X
73,Gross Domestic Product (GDP),1987,66017767865.0,X
74,Gross Domestic Product (GDP),1989,84931072048.0,X
75,GDP per capita,1972,1044.406324,X
76,GDP per capita,1977,1751.081009,X
77,GDP per capita,1982,1879.036058,X
78,GDP per capita,1987,1758.64599,X
79,GDP per capita,1992,2470.915824,X
80,GDP per capita,1997,4128.778995,X
81,GDP per capita,2002,5162.582435,X
82,GDP per capita,2007,11193.854549,X
83,GDP per capita,2012,13058.150151,X
84,GDP per capita,2017,13790.05371,X
85,GDP per capita,2018,15369.733482,X
86,"Agriculture, value added (% GDP)",1972,13.583775,X
87,"Agriculture, value added (% GDP)",1977,13.5805,X
88,"Agriculture, value added (% GDP)",1982,13.4458,X
89,"Agriculture, value added (% GDP)",1987,12.103532,X
90,"Agriculture, value added (% GDP)",1989,12.922894,X
91,Total population with access to safe drinking-water (JMP),1992,94.5,X
92,Total population with access to safe drinking-water (JMP),1997,95.4,X
93,Total population with access to safe drinking-water (JMP),2002,96.3,X
94,Total population with access to safe drinking-water (JMP),2007,97.1,X
95,Total population with access to safe drinking-water (JMP),2012,98.0,X
96,Total population with access to safe drinking-water (JMP),2017,98.3,I
97,Total population with access to safe drinking-water (JMP),2018,98.3,I
98,Long-term average annual precipitation in volume,1962,187.614,E
99,Long-term average annual precipitation in volume,1967,187.614,E
100,Long-term average annual precipitation in volume,1972,187.614,E
101,Long-term average annual precipitation in volume,1977,187.614,E
102,Long-term average annual precipitation in volume,1982,187.614,E
103,Long-term average annual precipitation in volume,1987,187.614,E
104,Long-term average annual precipitation in volume,1992,187.614,E
105,Long-term average annual precipitation in volume,1997,187.614,E
106,Long-term average annual precipitation in volume,2002,187.614,E
107,Long-term average annual precipitation in volume,2007,187.608,E
108,Long-term average annual precipitation in volume,2012,187.608,E
109,Long-term average annual precipitation in volume,2017,187.62,E
110,Long-term average annual precipitation in volume,2018,187.614,E
111,Interannual variability (WRI),2017,1.2,I
112,Interannual variability (WRI),2018,1.2,I
113,Seasonal variability (WRI),2017,0.6,I
114,Seasonal variability (WRI),2018,0.6,I
115,Flood occurrence (WRI),2017,2.7,I
116,Flood occurrence (WRI),2018,2.7,I
117,Surface water: entering the country (total),1962,6.9,OF
118,Surface water: entering the country (total),1967,6.9,OF
119,Surface water: entering the country (total),1972,6.9,OF
120,Surface water: entering the country (total),1977,6.9,OF
121,Surface water: entering the country (total),1982,6.9,OF
122,Surface water: entering the country (total),1987,6.9,OF
123,Surface water: entering the country (total),1992,6.9,OF
124,Surface water: entering the country (total),1997,6.9,OF
125,Surface water: entering the country (total),2002,6.9,OF
126,Surface water: entering the country (total),2007,6.9,OF
127,Surface water: entering the country (total),2012,6.9,OF
128,Surface water: entering the country (total),2017,6.9,OF
129,Surface water: leaving the country to other countries (total),1962,2.14,OF
130,Surface water: leaving the country to other countries (total),1967,2.14,OF
131,Surface water: leaving the country to other countries (total),1972,2.14,OF
132,Surface water: leaving the country to other countries (total),1977,2.14,OF
133,Surface water: leaving the country to other countries (total),1982,2.14,OF
134,Surface water: leaving the country to other countries (total),1987,2.14,OF
135,Surface water: leaving the country to other countries (total),1992,2.14,OF
136,Surface water: leaving the country to other countries (total),1997,2.14,OF
137,Surface water: leaving the country to other countries (total),2002,2.14,OF
138,Surface water: leaving the country to other countries (total),2007,2.14,OF
139,Surface water: leaving the country to other countries (total),2012,2.14,OF
140,Surface water: leaving the country to other countries (total),2017,2.14,OF
141,Groundwater: entering the country (total),1962,0.0,E
142,Groundwater: entering the country (total),1967,0.0,E
143,Groundwater: entering the country (total),1972,0.0,E
144,Groundwater: entering the country (total),1977,0.0,E
145,Groundwater: entering the country (total),1982,0.0,E
146,Groundwater: entering the country (total),1987,0.0,E
147,Groundwater: entering the country (total),1992,0.0,E
148,Groundwater: entering the country (total),1997,0.0,E
149,Groundwater: entering the country (total),2002,0.0,E
150,Groundwater: entering the country (total),2007,0.0,E
151,Groundwater: entering the country (total),2012,0.0,E
152,Groundwater: entering the country (total),2017,0.0,E
153,Groundwater: leaving the country to other countries (total),1962,0.0,OF
154,Groundwater: leaving the country to other countries (total),1967,0.0,OF
155,Groundwater: leaving the country to other countries (total),1972,0.0,OF
156,Groundwater: leaving the country to other countries (total),1977,0.0,OF
157,Groundwater: leaving the country to other countries (total),1982,0.0,OF
158,Groundwater: leaving the country to other countries (total),1987,0.0,OF
159,Groundwater: leaving the country to other countries (total),1992,0.0,OF
160,Groundwater: leaving the country to other countries (total),1997,0.0,OF
161,Groundwater: leaving the country to other countries (total),2002,0.0,OF
162,Groundwater: leaving the country to other countries (total),2007,0.0,OF
163,Groundwater: leaving the country to other countries (total),2012,0.0,OF
164,Groundwater: leaving the country to other countries (total),2017,0.0,OF
165,Dependency ratio,1962,11.4049586777,E
166,Dependency ratio,1967,11.4049586777,E
167,Dependency ratio,1972,11.4049586777,E
168,Dependency ratio,1977,11.4049586777,E
169,Dependency ratio,1982,11.4049586777,E
170,Dependency ratio,1987,11.4049586777,E
171,Dependency ratio,1992,11.4049586777,E
172,Dependency ratio,1997,11.4049586777,E
173,Dependency ratio,2002,11.4049586777,E
174,Dependency ratio,2007,11.4049586777,E
175,Dependency ratio,2012,11.4049586777,E
176,Dependency ratio,2017,11.4049586777,E
177,Dependency ratio,2018,11.4049586777,E
178,Total internal renewable water resources (IRWR),1962,53.6,E
179,Total internal renewable water resources (IRWR),1967,53.6,E
180,Total internal renewable water resources (IRWR),1972,53.6,E
181,Total internal renewable water resources (IRWR),1977,53.6,E
182,Total internal renewable water resources (IRWR),1982,53.6,E
183,Total internal renewable water resources (IRWR),1987,53.6,E
184,Total internal renewable water resources (IRWR),1992,53.6,E
185,Total internal renewable water resources (IRWR),1997,53.6,E
186,Total internal renewable water resources (IRWR),2002,53.6,E
187,Total internal renewable water resources (IRWR),2007,53.6,E
188,Total internal renewable water resources (IRWR),2012,53.6,E
189,Total internal renewable water resources (IRWR),2017,53.6,E
190,Total internal renewable water resources (IRWR),2018,53.6,E
191,Total internal renewable water resources per capita,1962,1763.7759705728,E
192,Total internal renewable water resources per capita,1967,1680.1618246608,E
193,Total internal renewable water resources per capita,1972,1617.0357369725,E
194,Total internal renewable water resources per capita,1977,1550.4223078464,E
195,Total internal renewable water resources per capita,1982,1479.7823902693,E
196,Total internal renewable water resources per capita,1987,1427.645627778,E
197,Total internal renewable water resources per capita,1992,1403.2299998427,E
198,Total internal renewable water resources per capita,1997,1390.5881723575,E
199,Total internal renewable water resources per capita,2002,1392.6184518775,E
200,Total internal renewable water resources per capita,2007,1397.531552534,E
201,Total internal renewable water resources per capita,2012,1402.1486987066,E
202,Total internal renewable water resources per capita,2017,1412.2663766251,E
203,Total internal renewable water resources per capita,2018,1413.4427689639,E
204,Total renewable surface water,1962,60.0,E
205,Total renewable surface water,1967,60.0,E
206,Total renewable surface water,1972,60.0,E
207,Total renewable surface water,1977,60.0,E
208,Total renewable surface water,1982,60.0,E
209,Total renewable surface water,1987,60.0,E
210,Total renewable surface water,1992,60.0,E
211,Total renewable surface water,1997,60.0,E
212,Total renewable surface water,2002,60.0,E
213,Total renewable surface water,2007,60.0,E
214,Total renewable surface water,2012,60.0,E
215,Total renewable surface water,2017,60.0,E
216,Total renewable surface water,2018,60.0,E
217,Total renewable groundwater,1962,12.5,E
218,Total renewable groundwater,1967,12.5,E
219,Total renewable groundwater,1972,12.5,E
220,Total renewable groundwater,1977,12.5,E
221,Total renewable groundwater,1982,12.5,E
222,Total renewable groundwater,1987,12.5,E
223,Total renewable groundwater,1992,12.5,E
224,Total renewable groundwater,1997,12.5,E
225,Total renewable groundwater,2002,12.5,E
226,Total renewable groundwater,2007,12.5,E
227,Total renewable groundwater,2012,12.5,E
