Puerto Rico,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,887.0,X
1,Total area of the country (excl. coastal water),1967,887.0,X
2,Total area of the country (excl. coastal water),1972,887.0,X
3,Total area of the country (excl. coastal water),1977,887.0,X
4,Total area of the country (excl. coastal water),1982,887.0,X
5,Total area of the country (excl. coastal water),1987,887.0,X
6,Total area of the country (excl. coastal water),1992,887.0,X
7,Total area of the country (excl. coastal water),1997,887.0,X
8,Total area of the country (excl. coastal water),2002,887.0,X
9,Total area of the country (excl. coastal water),2007,887.0,X
10,Total area of the country (excl. coastal water),2012,887.0,X
11,Total area of the country (excl. coastal water),2017,887.0,E
12,Total area of the country (excl. coastal water),2018,887.0,E
13,Cultivated area (arable land + permanent crops),1962,293.0,X
14,Cultivated area (arable land + permanent crops),1967,250.0,X
15,Cultivated area (arable land + permanent crops),1972,185.0,X
16,Cultivated area (arable land + permanent crops),1977,161.0,X
17,Cultivated area (arable land + permanent crops),1982,132.0,X
18,Cultivated area (arable land + permanent crops),1987,128.0,X
19,Cultivated area (arable land + permanent crops),1992,99.0,X
20,Cultivated area (arable land + permanent crops),1997,81.0,X
21,Cultivated area (arable land + permanent crops),2002,108.0,X
22,Cultivated area (arable land + permanent crops),2007,73.9,X
23,Cultivated area (arable land + permanent crops),2012,84.1,X
24,Cultivated area (arable land + permanent crops),2017,69.6,X
25,Cultivated area (arable land + permanent crops),2018,66.2,X
26,Total population,1962,2378.374,X
27,Total population,1967,2561.04,X
28,Total population,1972,2705.834,X
29,Total population,1977,2945.851,X
30,Total population,1982,3168.343,X
31,Total population,1987,3318.834,X
32,Total population,1992,3469.068,X
33,Total population,1997,3621.899,X
34,Total population,2002,3664.328,X
35,Total population,2007,3616.34,X
36,Total population,2012,3536.572,X
37,Total population,2017,3163.667,X
38,Total population,2018,3039.596,X
39,Rural population,1962,1286.367,X
40,Rural population,1967,1203.538,X
41,Rural population,1972,1111.404,X
42,Rural population,1977,1078.277,X
43,Rural population,1982,804.04,X
44,Rural population,1987,388.833,X
45,Rural population,1992,241.506,X
46,Rural population,1997,224.04,X
47,Rural population,2002,217.191,X
48,Rural population,2007,224.75,X
49,Rural population,2012,231.979,X
50,Rural population,2017,234.919,X
51,Rural population,2018,234.967,X
52,Urban population,1962,1155.787,X
53,Urban population,1967,1430.821,X
54,Urban population,1972,1675.944,X
55,Urban population,1977,1958.469,X
56,Urban population,1982,2465.213,X
57,Urban population,1987,3039.993,X
58,Urban population,1992,3345.374,X
59,Urban population,1997,3522.319,X
60,Urban population,2002,3578.837,X
61,Urban population,2007,3520.508,X
62,Urban population,2012,3465.597,X
63,Urban population,2017,3428.212,X
64,Urban population,2018,3424.04,X
65,Gross Domestic Product (GDP),1962,2094400000.0,X
66,Gross Domestic Product (GDP),1967,3532700000.0,X
67,Gross Domestic Product (GDP),1972,6417956532.0,X
68,Gross Domestic Product (GDP),1977,10050302922.0,X
69,Gross Domestic Product (GDP),1982,16999624476.0,X
70,Gross Domestic Product (GDP),1987,24213614486.0,X
71,Gross Domestic Product (GDP),1992,35116737987.0,X
72,Gross Domestic Product (GDP),1997,48864286843.0,X
73,Gross Domestic Product (GDP),2002,72630702904.0,X
74,Gross Domestic Product (GDP),2007,89524100000.0,X
75,Gross Domestic Product (GDP),2012,101564800000.0,X
76,Gross Domestic Product (GDP),2016,104336700000.0,X
77,GDP per capita,1972,2302.531486,X
78,GDP per capita,1977,3309.563237,X
79,GDP per capita,1982,5199.849775,X
80,GDP per capita,1987,7061.779888,X
81,GDP per capita,1992,9790.329754,X
82,GDP per capita,1997,13043.140511,X
83,GDP per capita,2002,19133.342247,X
84,GDP per capita,2007,23903.319878,X
85,GDP per capita,2012,27467.941159,X
86,GDP per capita,2017,28459.315269,X
87,GDP per capita,2018,27638.892191,X
88,"Agriculture, value added (% GDP)",1972,4.056418,X
89,"Agriculture, value added (% GDP)",1977,3.651307,X
90,"Agriculture, value added (% GDP)",1982,3.160632,X
91,"Agriculture, value added (% GDP)",1987,2.350519,X
92,"Agriculture, value added (% GDP)",1992,1.656215,X
93,"Agriculture, value added (% GDP)",1997,1.320614,X
94,"Agriculture, value added (% GDP)",2002,0.526224,X
95,"Agriculture, value added (% GDP)",2007,0.480541,X
96,"Agriculture, value added (% GDP)",2012,0.803822,X
97,"Agriculture, value added (% GDP)",2016,0.805661,X
98,Total population with access to safe drinking-water (JMP),1992,93.6,X
99,Total population with access to safe drinking-water (JMP),1997,93.6,X
100,Total population with access to safe drinking-water (JMP),2002,93.6,I
101,Total population with access to safe drinking-water (JMP),2007,93.6,I
102,Total population with access to safe drinking-water (JMP),2012,93.6,I
103,Total population with access to safe drinking-water (JMP),2017,93.6,I
104,Total population with access to safe drinking-water (JMP),2018,93.6,I
105,Long-term average annual precipitation in volume,1962,18.21898,E
106,Long-term average annual precipitation in volume,1967,18.21898,E
107,Long-term average annual precipitation in volume,1972,18.21898,E
108,Long-term average annual precipitation in volume,1977,18.21898,E
109,Long-term average annual precipitation in volume,1982,18.21898,E
110,Long-term average annual precipitation in volume,1987,18.21898,E
111,Long-term average annual precipitation in volume,1992,18.21898,E
112,Long-term average annual precipitation in volume,1997,18.21898,E
113,Long-term average annual precipitation in volume,2002,18.21898,E
114,Long-term average annual precipitation in volume,2007,18.21898,E
115,Long-term average annual precipitation in volume,2012,18.21898,E
116,Long-term average annual precipitation in volume,2017,18.21898,E
117,Long-term average annual precipitation in volume,2018,18.21898,E
118,Surface water: entering the country (total),1962,0.0,OF
119,Surface water: entering the country (total),1967,0.0,OF
120,Surface water: entering the country (total),1972,0.0,OF
121,Surface water: entering the country (total),1977,0.0,OF
122,Surface water: entering the country (total),1982,0.0,OF
123,Surface water: entering the country (total),1987,0.0,OF
124,Surface water: entering the country (total),1992,0.0,OF
125,Surface water: entering the country (total),1997,0.0,OF
126,Surface water: entering the country (total),2002,0.0,OF
127,Surface water: entering the country (total),2007,0.0,OF
128,Surface water: entering the country (total),2012,0.0,OF
129,Surface water: entering the country (total),2017,0.0,OF
130,Surface water: leaving the country to other countries (total),1962,0.0,OF
131,Surface water: leaving the country to other countries (total),1967,0.0,OF
132,Surface water: leaving the country to other countries (total),1972,0.0,OF
133,Surface water: leaving the country to other countries (total),1977,0.0,OF
134,Surface water: leaving the country to other countries (total),1982,0.0,OF
135,Surface water: leaving the country to other countries (total),1987,0.0,OF
136,Surface water: leaving the country to other countries (total),1992,0.0,OF
137,Surface water: leaving the country to other countries (total),1997,0.0,OF
138,Surface water: leaving the country to other countries (total),2002,0.0,OF
139,Surface water: leaving the country to other countries (total),2007,0.0,OF
140,Surface water: leaving the country to other countries (total),2012,0.0,OF
141,Surface water: leaving the country to other countries (total),2017,0.0,OF
142,Groundwater: entering the country (total),1962,0.0,OF
143,Groundwater: entering the country (total),1967,0.0,OF
144,Groundwater: entering the country (total),1972,0.0,OF
145,Groundwater: entering the country (total),1977,0.0,OF
146,Groundwater: entering the country (total),1982,0.0,OF
147,Groundwater: entering the country (total),1987,0.0,OF
148,Groundwater: entering the country (total),1992,0.0,OF
149,Groundwater: entering the country (total),1997,0.0,OF
150,Groundwater: entering the country (total),2002,0.0,OF
151,Groundwater: entering the country (total),2007,0.0,OF
152,Groundwater: entering the country (total),2012,0.0,OF
153,Groundwater: entering the country (total),2017,0.0,OF
154,Groundwater: leaving the country to other countries (total),1962,0.0,OF
155,Groundwater: leaving the country to other countries (total),1967,0.0,OF
156,Groundwater: leaving the country to other countries (total),1972,0.0,OF
157,Groundwater: leaving the country to other countries (total),1977,0.0,OF
158,Groundwater: leaving the country to other countries (total),1982,0.0,OF
159,Groundwater: leaving the country to other countries (total),1987,0.0,OF
160,Groundwater: leaving the country to other countries (total),1992,0.0,OF
161,Groundwater: leaving the country to other countries (total),1997,0.0,OF
162,Groundwater: leaving the country to other countries (total),2002,0.0,OF
163,Groundwater: leaving the country to other countries (total),2007,0.0,OF
164,Groundwater: leaving the country to other countries (total),2012,0.0,OF
165,Groundwater: leaving the country to other countries (total),2017,0.0,OF
166,Dependency ratio,1962,0.0,E
167,Dependency ratio,1967,0.0,E
168,Dependency ratio,1972,0.0,E
169,Dependency ratio,1977,0.0,E
170,Dependency ratio,1982,0.0,E
171,Dependency ratio,1987,0.0,E
172,Dependency ratio,1992,0.0,E
173,Dependency ratio,1997,0.0,E
174,Dependency ratio,2002,0.0,E
175,Dependency ratio,2007,0.0,E
176,Dependency ratio,2012,0.0,E
177,Dependency ratio,2017,0.0,E
178,Dependency ratio,2018,0.0,E
179,Total internal renewable water resources (IRWR),1962,7.1,OF
180,Total internal renewable water resources (IRWR),1967,7.1,OF
181,Total internal renewable water resources (IRWR),1972,7.1,OF
182,Total internal renewable water resources (IRWR),1977,7.1,OF
183,Total internal renewable water resources (IRWR),1982,7.1,OF
