Qatar,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,1161.0,X
1,Total area of the country (excl. coastal water),1967,1161.0,X
2,Total area of the country (excl. coastal water),1972,1161.0,X
3,Total area of the country (excl. coastal water),1977,1161.0,X
4,Total area of the country (excl. coastal water),1982,1161.0,X
5,Total area of the country (excl. coastal water),1987,1161.0,X
6,Total area of the country (excl. coastal water),1992,1161.0,X
7,Total area of the country (excl. coastal water),1997,1161.0,X
8,Total area of the country (excl. coastal water),2002,1161.0,X
9,Total area of the country (excl. coastal water),2007,1161.0,X
10,Total area of the country (excl. coastal water),2012,1161.0,X
11,Total area of the country (excl. coastal water),2017,1149.0,E
12,Total area of the country (excl. coastal water),2018,1149.0,E
13,Cultivated area (arable land + permanent crops),1962,1.0,X
14,Cultivated area (arable land + permanent crops),1967,1.0,X
15,Cultivated area (arable land + permanent crops),1972,1.0,X
16,Cultivated area (arable land + permanent crops),1977,2.0,X
17,Cultivated area (arable land + permanent crops),1982,7.0,X
18,Cultivated area (arable land + permanent crops),1987,11.0,X
19,Cultivated area (arable land + permanent crops),1992,14.0,X
20,Cultivated area (arable land + permanent crops),1997,16.0,X
21,Cultivated area (arable land + permanent crops),2002,14.5,X
22,Cultivated area (arable land + permanent crops),2007,15.6,X
23,Cultivated area (arable land + permanent crops),2012,16.52,X
24,Cultivated area (arable land + permanent crops),2017,17.0,X
25,Cultivated area (arable land + permanent crops),2018,17.0,X
26,Total population,1962,56.262,X
27,Total population,1967,86.302,X
28,Total population,1972,130.5,X
29,Total population,1977,182.318,X
30,Total population,1982,277.226,X
31,Total population,1987,422.148,X
32,Total population,1992,495.395,X
33,Total population,1997,535.321,X
34,Total population,2002,640.868,X
35,Total population,2007,1218.434,X
36,Total population,2012,2196.073,X
37,Total population,2017,2724.728,X
38,Total population,2018,2781.682,X
39,Rural population,1962,7.82,X
40,Rural population,1967,10.711,X
41,Rural population,1972,14.779,X
42,Rural population,1977,19.959,X
43,Rural population,1982,28.674,X
44,Rural population,1987,37.776,X
45,Rural population,1992,30.906,X
46,Rural population,1997,23.207,X
47,Rural population,2002,21.361,X
48,Rural population,2007,24.776,X
49,Rural population,2012,27.484,X
