Republic of Korea,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,9926.0,X
1,Total area of the country (excl. coastal water),1967,9926.0,X
2,Total area of the country (excl. coastal water),1972,9926.0,X
3,Total area of the country (excl. coastal water),1977,9926.0,X
4,Total area of the country (excl. coastal water),1982,9926.0,X
5,Total area of the country (excl. coastal water),1987,9926.0,X
6,Total area of the country (excl. coastal water),1992,9926.0,X
7,Total area of the country (excl. coastal water),1997,9926.0,X
8,Total area of the country (excl. coastal water),2002,9959.0,X
9,Total area of the country (excl. coastal water),2007,9972.0,X
10,Total area of the country (excl. coastal water),2012,10015.0,X
11,Total area of the country (excl. coastal water),2017,10031.0,E
12,Total area of the country (excl. coastal water),2018,10032.0,E
13,Cultivated area (arable land + permanent crops),1962,2063.0,X
14,Cultivated area (arable land + permanent crops),1967,2312.0,X
15,Cultivated area (arable land + permanent crops),1972,2242.0,X
16,Cultivated area (arable land + permanent crops),1977,2231.0,X
17,Cultivated area (arable land + permanent crops),1982,2180.0,X
18,Cultivated area (arable land + permanent crops),1987,2143.0,X
19,Cultivated area (arable land + permanent crops),1992,2070.0,X
20,Cultivated area (arable land + permanent crops),1997,1924.0,X
21,Cultivated area (arable land + permanent crops),2002,1863.0,X
22,Cultivated area (arable land + permanent crops),2007,1782.0,X
23,Cultivated area (arable land + permanent crops),2012,1730.0,X
24,Cultivated area (arable land + permanent crops),2017,1620.7,X
25,Cultivated area (arable land + permanent crops),2018,1596.0,X
26,Total population,1962,26812.086,X
27,Total population,1967,30236.697,X
28,Total population,1972,33506.523,X
29,Total population,1977,36475.413,X
30,Total population,1982,39175.212,X
31,Total population,1987,41686.56,X
32,Total population,1992,43848.218,X
33,Total population,1997,46196.054,X
34,Total population,2002,47999.547,X
35,Total population,2007,49034.81,X
36,Total population,2012,50060.639,X
37,Total population,2017,51096.415,X
38,Total population,2018,51171.706,X
39,Rural population,1962,18920.461,X
40,Rural population,1967,19670.911,X
41,Rural population,1972,18873.391,X
42,Rural population,1977,17702.188,X
43,Rural population,1982,15647.805,X
44,Rural population,1987,13106.481,X
45,Rural population,1992,10603.891,X
46,Rural population,1997,9746.571,X
47,Rural population,2002,9457.554,X
48,Rural population,2007,9012.35,X
49,Rural population,2012,9065.944,X
50,Rural population,2017,9429.948,X
