Romania,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,23839.0,X
1,Total area of the country (excl. coastal water),1967,23839.0,X
2,Total area of the country (excl. coastal water),1972,23839.0,X
3,Total area of the country (excl. coastal water),1977,23839.0,X
4,Total area of the country (excl. coastal water),1982,23839.0,X
5,Total area of the country (excl. coastal water),1987,23839.0,X
6,Total area of the country (excl. coastal water),1992,23839.0,X
7,Total area of the country (excl. coastal water),1997,23839.0,X
8,Total area of the country (excl. coastal water),2002,23839.0,X
9,Total area of the country (excl. coastal water),2007,23839.0,X
10,Total area of the country (excl. coastal water),2012,23839.0,X
11,Total area of the country (excl. coastal water),2017,23840.0,E
12,Total area of the country (excl. coastal water),2018,23840.0,E
13,Cultivated area (arable land + permanent crops),1962,10491.0,X
14,Cultivated area (arable land + permanent crops),1967,10526.0,X
15,Cultivated area (arable land + permanent crops),1972,10488.0,X
16,Cultivated area (arable land + permanent crops),1977,10534.0,X
17,Cultivated area (arable land + permanent crops),1982,10524.0,X
18,Cultivated area (arable land + permanent crops),1987,10686.0,X
19,Cultivated area (arable land + permanent crops),1992,9960.0,X
20,Cultivated area (arable land + permanent crops),1997,9898.0,X
21,Cultivated area (arable land + permanent crops),2002,9859.0,X
22,Cultivated area (arable land + permanent crops),2007,9136.0,X
23,Cultivated area (arable land + permanent crops),2012,9244.0,X
24,Cultivated area (arable land + permanent crops),2017,8958.0,X
25,Cultivated area (arable land + permanent crops),2018,9126.0,X
26,Total population,1962,18924.157,X
27,Total population,1967,19810.615,X
28,Total population,1972,21011.137,X
29,Total population,1977,22087.896,X
30,Total population,1982,22830.554,X
31,Total population,1987,23288.4,X
32,Total population,1992,23375.822,X
33,Total population,1997,22637.604,X
34,Total population,2002,21853.273,X
35,Total population,2007,21034.189,X
36,Total population,2012,20227.469,X
37,Total population,2017,19653.969,X
38,Total population,2018,19506.114,X
39,Rural population,1962,12189.835,X
40,Rural population,1967,12117.17,X
41,Rural population,1972,12329.864,X
42,Rural population,1977,12379.747,X
43,Rural population,1982,11993.413,X
44,Rural population,1987,11405.854,X
45,Rural population,1992,10698.762,X
46,Rural population,1997,10532.52,X
47,Rural population,2002,10319.721,X
48,Rural population,2007,9795.242,X
49,Rural population,2012,9283.979,X
50,Rural population,2017,9065.003,X
51,Rural population,2018,9007.536,X
52,Urban population,1962,6734.322,X
53,Urban population,1967,7693.415,X
54,Urban population,1972,8681.84,X
55,Urban population,1977,9704.027,X
56,Urban population,1982,10848.904,X
57,Urban population,1987,11906.217,X
58,Urban population,1992,12674.596,X
59,Urban population,1997,12100.285,X
