Russian Federation,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,1709824.0,X
1,Total area of the country (excl. coastal water),1997,1709824.0,X
2,Total area of the country (excl. coastal water),2002,1709824.0,X
3,Total area of the country (excl. coastal water),2007,1709824.0,X
4,Total area of the country (excl. coastal water),2012,1709825.0,X
5,Total area of the country (excl. coastal water),2017,1709825.0,E
6,Total area of the country (excl. coastal water),2018,1709825.0,E
7,Cultivated area (arable land + permanent crops),1992,133708.0,X
8,Cultivated area (arable land + permanent crops),1997,129384.0,X
9,Cultivated area (arable land + permanent crops),2002,125300.0,X
10,Cultivated area (arable land + permanent crops),2007,123368.0,X
11,Cultivated area (arable land + permanent crops),2012,123442.0,X
12,Cultivated area (arable land + permanent crops),2017,123442.0,X
13,Cultivated area (arable land + permanent crops),2018,123442.0,X
14,Total population,1992,148268.581,X
15,Total population,1997,147730.019,X
16,Total population,2002,145215.7,X
17,Total population,2007,143266.212,X
18,Total population,2012,143993.892,X
19,Total population,2017,145530.082,X
20,Total population,2018,145734.038,X
21,Rural population,1992,39475.039,X
22,Rural population,1997,39361.0,X
23,Rural population,2002,38707.217,X
24,Rural population,2007,37859.367,X
25,Rural population,2012,37589.599,X
26,Rural population,2017,37017.128,X
27,Rural population,2018,36807.854,X
28,Urban population,1992,108842.986,X
29,Urban population,1997,108407.371,X
30,Urban population,2002,106487.665,X
31,Urban population,2007,105290.775,X
32,Urban population,2012,105830.998,X
33,Urban population,2017,106972.626,X
34,Urban population,2018,107156.855,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.3954,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3414,I
37,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.3183333333,I
38,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2758,I
39,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2758,I
40,Gross Domestic Product (GDP),1992,493040629193.0,X
41,Gross Domestic Product (GDP),1997,407823983411.0,X
42,Gross Domestic Product (GDP),2002,347948360288.0,X
43,Gross Domestic Product (GDP),2007,1312427085943.0,X
44,Gross Domestic Product (GDP),2012,2210254729412.0,X
45,Gross Domestic Product (GDP),2013,2297124890547.0,X
46,GDP per capita,1992,3324.212476,X
47,GDP per capita,1997,2759.886846,X
48,GDP per capita,2002,2396.423038,X
49,GDP per capita,2007,9168.185708,X
50,GDP per capita,2012,15410.999366,X
51,GDP per capita,2017,10983.02208,X
52,GDP per capita,2018,11534.175152,X
53,"Agriculture, value added (% GDP)",1992,7.278604,X
54,"Agriculture, value added (% GDP)",1997,5.782762,X
55,"Agriculture, value added (% GDP)",2002,5.527715,X
56,"Agriculture, value added (% GDP)",2007,3.743194,X
57,"Agriculture, value added (% GDP)",2012,3.200117,X
58,"Agriculture, value added (% GDP)",2014,3.353885,X
59,Number of people undernourished (3-year average),2001,7400.0,X
60,Number of people undernourished (3-year average),2007,3700.0,I
61,Number of people undernourished (3-year average),2012,3700.0,I
62,Number of people undernourished (3-year average),2017,3700.0,I
63,Number of people undernourished (3-year average),2018,3700.0,I
64,Prevalence of undernourishment (3-year average),2001,5.1,X
65,Prevalence of undernourishment (3-year average),2007,2.6,I
66,Prevalence of undernourishment (3-year average),2012,2.6,I
67,Prevalence of undernourishment (3-year average),2017,2.6,I
68,Prevalence of undernourishment (3-year average),2018,2.6,I
69,Total population with access to safe drinking-water (JMP),1992,93.7,X
70,Total population with access to safe drinking-water (JMP),1997,94.4,X
71,Total population with access to safe drinking-water (JMP),2002,95.2,X
72,Total population with access to safe drinking-water (JMP),2007,95.9,X
73,Total population with access to safe drinking-water (JMP),2012,96.6,X
74,Total population with access to safe drinking-water (JMP),2017,96.9,I
75,Total population with access to safe drinking-water (JMP),2018,96.9,I
76,Long-term average annual precipitation in volume,1992,7865.1904,E
77,Long-term average annual precipitation in volume,1997,7865.1904,E
78,Long-term average annual precipitation in volume,2002,7865.1904,E
79,Long-term average annual precipitation in volume,2007,7865.1904,E
80,Long-term average annual precipitation in volume,2012,7865.195,E
81,Long-term average annual precipitation in volume,2017,7865.195,E
82,Long-term average annual precipitation in volume,2018,7865.195,E
83,Interannual variability (WRI),2017,1.5,I
84,Interannual variability (WRI),2018,1.5,I
85,Seasonal variability (WRI),2017,1.9,I
86,Seasonal variability (WRI),2018,1.9,I
87,Flood occurrence (WRI),2017,2.0,I
88,Flood occurrence (WRI),2018,2.0,I
89,Surface water: entering the country (total),1992,204.6,OF
90,Surface water: entering the country (total),1997,204.6,OF
91,Surface water: entering the country (total),2002,204.6,OF
92,Surface water: entering the country (total),2007,204.6,OF
93,Surface water: entering the country (total),2012,204.6,OF
94,Surface water: entering the country (total),2017,204.6,OF
95,Surface water: leaving the country to other countries (total),1992,25.36,OF
96,Surface water: leaving the country to other countries (total),1997,25.36,OF
97,Surface water: leaving the country to other countries (total),2002,25.36,OF
98,Surface water: leaving the country to other countries (total),2007,25.36,OF
99,Surface water: leaving the country to other countries (total),2012,25.36,OF
100,Surface water: leaving the country to other countries (total),2017,25.36,OF
101,Groundwater: entering the country (total),1992,0.0,E
102,Groundwater: entering the country (total),1997,0.0,E
103,Groundwater: entering the country (total),2002,0.0,E
104,Groundwater: entering the country (total),2007,0.0,E
105,Groundwater: entering the country (total),2012,0.0,E
106,Groundwater: entering the country (total),2017,0.0,E
107,Groundwater: leaving the country to other countries (total),1992,0.0,E
108,Groundwater: leaving the country to other countries (total),1997,0.0,E
109,Groundwater: leaving the country to other countries (total),2002,0.0,E
110,Groundwater: leaving the country to other countries (total),2007,0.0,E
111,Groundwater: leaving the country to other countries (total),2012,0.0,E
112,Groundwater: leaving the country to other countries (total),2017,0.0,E
113,Dependency ratio,1992,4.7165527368,E
114,Dependency ratio,1997,4.7165527368,E
115,Dependency ratio,2002,4.7165527368,E
116,Dependency ratio,2007,4.7165527368,E
117,Dependency ratio,2012,4.7165527368,E
118,Dependency ratio,2017,4.7165527368,E
119,Dependency ratio,2018,4.7165527368,E
120,Total internal renewable water resources (IRWR),1992,4312.0,E
121,Total internal renewable water resources (IRWR),1997,4312.0,E
122,Total internal renewable water resources (IRWR),2002,4312.0,E
123,Total internal renewable water resources (IRWR),2007,4312.0,E
124,Total internal renewable water resources (IRWR),2012,4312.0,E
125,Total internal renewable water resources (IRWR),2017,4312.0,E
126,Total internal renewable water resources (IRWR),2018,4312.0,E
127,Total internal renewable water resources per capita,1992,29082.3583183817,E
128,Total internal renewable water resources per capita,1997,29188.3804604398,E
129,Total internal renewable water resources per capita,2002,29693.7590081513,E
