Saint Vincent and the Grenadines,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,39.0,X
1,Total area of the country (excl. coastal water),1967,39.0,X
2,Total area of the country (excl. coastal water),1972,39.0,X
3,Total area of the country (excl. coastal water),1977,39.0,X
4,Total area of the country (excl. coastal water),1982,39.0,X
5,Total area of the country (excl. coastal water),1987,39.0,X
6,Total area of the country (excl. coastal water),1992,39.0,X
7,Total area of the country (excl. coastal water),1997,39.0,X
8,Total area of the country (excl. coastal water),2002,39.0,X
9,Total area of the country (excl. coastal water),2007,39.0,X
10,Total area of the country (excl. coastal water),2012,39.0,X
11,Total area of the country (excl. coastal water),2017,39.0,E
12,Total area of the country (excl. coastal water),2018,39.0,E
13,Cultivated area (arable land + permanent crops),1962,9.0,X
14,Cultivated area (arable land + permanent crops),1967,10.0,X
15,Cultivated area (arable land + permanent crops),1972,10.0,X
16,Cultivated area (arable land + permanent crops),1977,9.0,X
17,Cultivated area (arable land + permanent crops),1982,9.0,X
18,Cultivated area (arable land + permanent crops),1987,9.66,X
19,Cultivated area (arable land + permanent crops),1992,7.86,X
20,Cultivated area (arable land + permanent crops),1997,6.06,X
21,Cultivated area (arable land + permanent crops),2002,5.0,X
22,Cultivated area (arable land + permanent crops),2007,5.0,X
23,Cultivated area (arable land + permanent crops),2012,5.0,X
24,Cultivated area (arable land + permanent crops),2017,5.0,X
25,Cultivated area (arable land + permanent crops),2018,5.0,X
26,Total population,1962,83.237,X
27,Total population,1967,87.777,X
28,Total population,1972,92.513,X
29,Total population,1977,97.701,X
30,Total population,1982,102.256,X
31,Total population,1987,105.906,X
32,Total population,1992,107.95,X
33,Total population,1997,107.895,X
34,Total population,2002,108.097,X
35,Total population,2007,108.518,X
36,Total population,2012,108.435,X
37,Total population,2017,109.827,X
38,Total population,2018,110.211,X
39,Rural population,1962,60.864,X
40,Rural population,1967,62.108,X
41,Rural population,1972,63.164,X
42,Rural population,1977,64.183,X
43,Rural population,1982,64.437,X
44,Rural population,1987,63.837,X
45,Rural population,1992,62.311,X
46,Rural population,1997,60.374,X
47,Rural population,2002,58.492,X
48,Rural population,2007,56.929,X
49,Rural population,2012,54.933,X
50,Rural population,2017,52.988,X
51,Rural population,2018,52.678,X
52,Urban population,1962,22.342,X
53,Urban population,1967,25.628,X
54,Urban population,1972,29.299,X
