Samoa,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,284.0,X
1,Total area of the country (excl. coastal water),1967,284.0,X
2,Total area of the country (excl. coastal water),1972,284.0,X
3,Total area of the country (excl. coastal water),1977,284.0,X
4,Total area of the country (excl. coastal water),1982,284.0,X
5,Total area of the country (excl. coastal water),1987,284.0,X
6,Total area of the country (excl. coastal water),1992,284.0,X
7,Total area of the country (excl. coastal water),1997,284.0,X
8,Total area of the country (excl. coastal water),2002,284.0,X
9,Total area of the country (excl. coastal water),2007,284.0,X
10,Total area of the country (excl. coastal water),2012,284.0,X
11,Total area of the country (excl. coastal water),2017,284.0,E
12,Total area of the country (excl. coastal water),2018,284.0,E
13,Cultivated area (arable land + permanent crops),1962,56.0,X
14,Cultivated area (arable land + permanent crops),1967,61.0,X
15,Cultivated area (arable land + permanent crops),1972,63.0,X
16,Cultivated area (arable land + permanent crops),1977,70.0,X
17,Cultivated area (arable land + permanent crops),1982,76.0,X
18,Cultivated area (arable land + permanent crops),1987,75.7,X
19,Cultivated area (arable land + permanent crops),1992,50.0,X
20,Cultivated area (arable land + permanent crops),1997,49.0,X
21,Cultivated area (arable land + permanent crops),2002,44.0,X
22,Cultivated area (arable land + permanent crops),2007,34.5,X
23,Cultivated area (arable land + permanent crops),2012,46.5,X
24,Cultivated area (arable land + permanent crops),2017,63.6,X
25,Cultivated area (arable land + permanent crops),2018,63.6,X
26,Total population,1962,115.776,X
27,Total population,1967,134.177,X
28,Total population,1972,147.296,X
29,Total population,1977,153.224,X
30,Total population,1982,157.372,X
31,Total population,1987,160.965,X
32,Total population,1992,165.49,X
33,Total population,1997,172.068,X
34,Total population,2002,176.407,X
35,Total population,2007,182.046,X
36,Total population,2012,189.089,X
37,Total population,2017,195.352,X
38,Total population,2018,196.129,X
39,Rural population,1962,93.718,X
40,Rural population,1967,107.901,X
41,Rural population,1972,116.748,X
42,Rural population,1977,120.892,X
43,Rural population,1982,124.034,X
44,Rural population,1987,126.88,X
45,Rural population,1992,130.372,X
46,Rural population,1997,134.822,X
47,Rural population,2002,137.838,X
48,Rural population,2007,144.461,X
49,Rural population,2012,152.067,X
50,Rural population,2017,160.194,X
51,Rural population,2018,161.629,X
52,Urban population,1962,22.07,X
53,Urban population,1967,26.292,X
54,Urban population,1972,30.573,X
55,Urban population,1977,32.355,X
56,Urban population,1982,33.369,X
57,Urban population,1987,34.135,X
58,Urban population,1992,35.198,X
59,Urban population,1997,37.376,X
60,Urban population,2002,38.744,X
61,Urban population,2007,37.825,X
62,Urban population,2012,37.127,X
63,Urban population,2017,36.246,X
64,Urban population,2018,36.066,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4571,I
