Sao Tome and Principe,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,96.0,X
1,Total area of the country (excl. coastal water),1967,96.0,X
2,Total area of the country (excl. coastal water),1972,96.0,X
3,Total area of the country (excl. coastal water),1977,96.0,X
4,Total area of the country (excl. coastal water),1982,96.0,X
5,Total area of the country (excl. coastal water),1987,96.0,X
6,Total area of the country (excl. coastal water),1992,96.0,X
7,Total area of the country (excl. coastal water),1997,96.0,X
8,Total area of the country (excl. coastal water),2002,96.0,X
9,Total area of the country (excl. coastal water),2007,96.0,X
10,Total area of the country (excl. coastal water),2012,96.0,X
11,Total area of the country (excl. coastal water),2017,96.0,E
12,Total area of the country (excl. coastal water),2018,96.0,E
13,Cultivated area (arable land + permanent crops),1962,34.0,X
14,Cultivated area (arable land + permanent crops),1967,35.0,X
15,Cultivated area (arable land + permanent crops),1972,36.0,X
16,Cultivated area (arable land + permanent crops),1977,36.0,X
17,Cultivated area (arable land + permanent crops),1982,36.0,X
18,Cultivated area (arable land + permanent crops),1987,37.0,X
19,Cultivated area (arable land + permanent crops),1992,41.0,X
20,Cultivated area (arable land + permanent crops),1997,45.0,X
21,Cultivated area (arable land + permanent crops),2002,50.0,X
22,Cultivated area (arable land + permanent crops),2007,47.0,X
23,Cultivated area (arable land + permanent crops),2012,43.0,X
24,Cultivated area (arable land + permanent crops),2017,43.0,X
25,Cultivated area (arable land + permanent crops),2018,43.0,X
26,Total population,1962,64.479,X
27,Total population,1967,68.047,X
28,Total population,1972,77.934,X
29,Total population,1977,88.11,X
30,Total population,1982,99.473,X
31,Total population,1987,110.254,X
32,Total population,1992,124.576,X
33,Total population,1997,135.832,X
34,Total population,2002,147.447,X
35,Total population,2007,166.3,X
36,Total population,2012,188.404,X
37,Total population,2017,207.089,X
38,Total population,2018,211.028,X
39,Rural population,1962,52.854,X
40,Rural population,1967,51.092,X
41,Rural population,1972,53.841,X
42,Rural population,1977,59.132,X
43,Rural population,1982,64.33,X
44,Rural population,1987,64.17,X
45,Rural population,1992,64.441,X
46,Rural population,1997,64.833,X
47,Rural population,2002,64.397,X
48,Rural population,2007,62.761,X
49,Rural population,2012,60.061,X
