Saudi Arabia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,214969.0,X
1,Total area of the country (excl. coastal water),1967,214969.0,X
2,Total area of the country (excl. coastal water),1972,214969.0,X
3,Total area of the country (excl. coastal water),1977,214969.0,X
4,Total area of the country (excl. coastal water),1982,214969.0,X
5,Total area of the country (excl. coastal water),1987,214969.0,X
6,Total area of the country (excl. coastal water),1992,214969.0,X
7,Total area of the country (excl. coastal water),1997,214969.0,X
8,Total area of the country (excl. coastal water),2002,214969.0,X
9,Total area of the country (excl. coastal water),2007,214969.0,X
10,Total area of the country (excl. coastal water),2012,214969.0,X
11,Total area of the country (excl. coastal water),2017,214969.0,E
12,Total area of the country (excl. coastal water),2018,214969.0,E
13,Cultivated area (arable land + permanent crops),1962,1190.0,X
14,Cultivated area (arable land + permanent crops),1967,1304.0,X
15,Cultivated area (arable land + permanent crops),1972,1517.0,X
16,Cultivated area (arable land + permanent crops),1977,1804.0,X
17,Cultivated area (arable land + permanent crops),1982,2068.0,X
18,Cultivated area (arable land + permanent crops),1987,2980.0,X
19,Cultivated area (arable land + permanent crops),1992,3746.0,X
20,Cultivated area (arable land + permanent crops),1997,3785.0,X
21,Cultivated area (arable land + permanent crops),2002,3793.0,X
22,Cultivated area (arable land + permanent crops),2007,3675.0,X
23,Cultivated area (arable land + permanent crops),2012,3345.0,X
24,Cultivated area (arable land + permanent crops),2014,3575.3,X
25,Total population,1962,4362.786,X
26,Total population,1967,5195.135,X
27,Total population,1972,6392.97,X
28,Total population,1977,8207.697,X
29,Total population,1982,10988.853,X
30,Total population,1987,14445.671,X
31,Total population,1992,17282.691,X
32,Total population,1997,19407.142,X
33,Total population,2002,21805.313,X
34,Total population,2007,25184.597,X
35,Total population,2012,29154.9,X
36,Total population,2017,33101.179,X
37,Total population,2018,33702.756,X
38,Rural population,1962,2900.504,X
39,Rural population,1967,2978.468,X
40,Rural population,1972,3023.885,X
41,Rural population,1977,3175.662,X
42,Rural population,1982,3460.98,X
43,Rural population,1987,3691.126,X
44,Rural population,1992,3849.24,X
45,Rural population,1997,4067.477,X
46,Rural population,2002,4314.583,X
47,Rural population,2007,4690.056,X
48,Rural population,2012,5084.189,X
49,Rural population,2017,5394.59,X
50,Rural population,2018,5421.205,X
51,Urban population,1962,1462.36,X
52,Urban population,1967,2216.378,X
53,Urban population,1972,3370.009,X
54,Urban population,1977,5055.942,X
55,Urban population,1982,7587.1,X
56,Urban population,1987,10834.534,X
57,Urban population,1992,13529.593,X
58,Urban population,1997,15438.099,X
59,Urban population,2002,17591.725,X
60,Urban population,2007,20562.513,X
61,Urban population,2012,24002.168,X
62,Urban population,2017,27543.623,X
63,Urban population,2018,28133.138,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.6734,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.4326666667,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2843,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2843,I
68,Gross Domestic Product (GDP),1967,3675185140.66667,I
69,Gross Domestic Product (GDP),1972,9664266607.0,X
70,Gross Domestic Product (GDP),1977,74188986607.0,X
71,Gross Domestic Product (GDP),1982,153240321349.0,X
72,Gross Domestic Product (GDP),1987,85581600000.0,X
73,Gross Domestic Product (GDP),1992,136905066667.0,X
74,Gross Domestic Product (GDP),1997,165742133333.0,X
75,Gross Domestic Product (GDP),2002,189605957365.0,X
76,Gross Domestic Product (GDP),2007,415964582946.0,X
77,Gross Domestic Product (GDP),2012,735974843349.0,X
78,Gross Domestic Product (GDP),2016,644935541446.0,X
79,GDP per capita,1972,1511.483707,X
80,GDP per capita,1977,9012.701122,X
81,GDP per capita,1982,13870.31243,X
82,GDP per capita,1987,5891.752939,X
83,GDP per capita,1992,7877.690445,X
84,GDP per capita,1997,8497.166827,X
85,GDP per capita,2002,8655.313226,X
86,GDP per capita,2007,16472.168948,X
87,GDP per capita,2012,25303.094621,X
88,GDP per capita,2017,20905.391689,X
89,GDP per capita,2018,23319.887191,X
