,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,2007,8836.0,X
1,Total area of the country (excl. coastal water),4100,2012,8836.0,X
2,Total area of the country (excl. coastal water),4100,2017,8836.0,E
3,Total area of the country (excl. coastal water),4100,2018,8836.0,E
4,Cultivated area (arable land + permanent crops),4103,2007,2806.7,X
5,Cultivated area (arable land + permanent crops),4103,2012,2749.4,X
6,Cultivated area (arable land + permanent crops),4103,2017,2803.0,X
7,Cultivated area (arable land + permanent crops),4103,2018,2788.0,X
8,Total population,4104,2007,9101.185,X
9,Total population,4104,2012,8940.113,X
10,Total population,4104,2017,8829.628,X
11,Total population,4104,2018,8802.754,X
12,Rural population,4105,2007,4172.28,X
13,Rural population,4105,2012,3998.797,X
14,Rural population,4105,2017,3872.979,X
15,Rural population,4105,2018,3847.25,X
16,Urban population,4106,2007,4962.934,X
17,Urban population,4106,2012,4958.187,X
18,Urban population,4106,2017,4917.595,X
19,Urban population,4106,2018,4914.777,X
20,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.1756,I
21,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.1756,I
22,GDP per capita,4458,2007,5458.129582,X
23,GDP per capita,4458,2012,5657.485048,X
24,GDP per capita,4458,2017,6271.824095,X
25,GDP per capita,4458,2018,7215.958011,X
26,Number of people undernourished (3-year average),4473,2007,500.0,X
27,Number of people undernourished (3-year average),4473,2012,200.0,X
28,Number of people undernourished (3-year average),4473,2017,400.0,X
29,Number of people undernourished (3-year average),4473,2018,400.0,X
30,Prevalence of undernourishment (3-year average),4474,2007,6.0,X
31,Prevalence of undernourishment (3-year average),4474,2012,2.6,X
32,Prevalence of undernourishment (3-year average),4474,2016,4.1,X
33,Total population with access to safe drinking-water (JMP),4114,2007,99.3,X
34,Total population with access to safe drinking-water (JMP),4114,2012,99.2,X
35,Total population with access to safe drinking-water (JMP),4114,2017,99.2,I
36,Total population with access to safe drinking-water (JMP),4114,2018,99.2,I
37,Long-term average annual precipitation in volume,4150,2007,49.98,X
38,Long-term average annual precipitation in volume,4150,2012,49.98,X
39,Long-term average annual precipitation in volume,4150,2017,49.98,X
40,Long-term average annual precipitation in volume,4150,2018,49.98,I
41,Interannual variability (WRI),4541,2017,1.0,I
42,Interannual variability (WRI),4541,2018,1.0,I
43,Seasonal variability (WRI),4542,2017,1.0,I
44,Seasonal variability (WRI),4542,2018,1.0,I
45,Flood occurrence (WRI),4543,2017,3.5,I
46,Flood occurrence (WRI),4543,2018,3.5,I
47,Total internal renewable water resources (IRWR),4157,2007,8.407,X
48,Total internal renewable water resources (IRWR),4157,2012,8.407,X
49,Total internal renewable water resources (IRWR),4157,2017,8.407,X
50,Total internal renewable water resources per capita,4158,2007,923.7258664668,E
51,Total internal renewable water resources per capita,4158,2012,940.3684271105,E
52,Total internal renewable water resources per capita,4158,2017,952.1352428438,E
53,Total internal renewable water resources per capita,4158,2018,955.0420243483,E
54,Total renewable water resources,4188,2007,162.2,X
55,Total renewable water resources,4188,2012,162.2,X
56,Total renewable water resources,4188,2017,162.2,X
57,Total renewable water resources per capita,4190,2007,17821.855066126,E
58,Total renewable water resources per capita,4190,2012,18142.9474101726,E
59,Total renewable water resources per capita,4190,2017,18369.9698333837,E
