Seychelles,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,46.0,X
1,Total area of the country (excl. coastal water),1967,46.0,X
2,Total area of the country (excl. coastal water),1972,46.0,X
3,Total area of the country (excl. coastal water),1977,46.0,X
4,Total area of the country (excl. coastal water),1982,46.0,X
5,Total area of the country (excl. coastal water),1987,46.0,X
6,Total area of the country (excl. coastal water),1992,46.0,X
7,Total area of the country (excl. coastal water),1997,46.0,X
8,Total area of the country (excl. coastal water),2002,46.0,X
9,Total area of the country (excl. coastal water),2007,46.0,X
10,Total area of the country (excl. coastal water),2012,46.0,X
11,Total area of the country (excl. coastal water),2017,46.0,E
12,Total area of the country (excl. coastal water),2018,46.0,E
13,Cultivated area (arable land + permanent crops),1962,5.0,X
14,Cultivated area (arable land + permanent crops),1967,5.0,X
15,Cultivated area (arable land + permanent crops),1972,5.0,X
16,Cultivated area (arable land + permanent crops),1977,5.0,X
17,Cultivated area (arable land + permanent crops),1982,6.0,X
18,Cultivated area (arable land + permanent crops),1987,6.0,X
19,Cultivated area (arable land + permanent crops),1992,4.0,X
20,Cultivated area (arable land + permanent crops),1997,4.0,X
21,Cultivated area (arable land + permanent crops),2002,4.0,X
22,Cultivated area (arable land + permanent crops),2007,3.0,X
23,Cultivated area (arable land + permanent crops),2012,1.5,X
24,Cultivated area (arable land + permanent crops),2017,1.55,X
25,Cultivated area (arable land + permanent crops),2018,1.55,X
26,Total population,1962,43.457,X
27,Total population,1967,48.921,X
28,Total population,1972,55.127,X
29,Total population,1977,62.477,X
30,Total population,1982,68.122,X
31,Total population,1987,69.946,X
32,Total population,1992,72.655,X
33,Total population,1997,78.355,X
34,Total population,2002,84.077,X
35,Total population,2007,90.088,X
36,Total population,2012,92.603,X
37,Total population,2017,96.418,X
38,Total population,2018,97.096,X
39,Rural population,1962,30.477,X
40,Rural population,1967,31.574,X
41,Rural population,1972,32.083,X
42,Rural population,1977,31.699,X
43,Rural population,1982,34.536,X
44,Rural population,1987,35.524,X
45,Rural population,1992,36.82,X
46,Rural population,1997,39.308,X
47,Rural population,2002,41.364,X
48,Rural population,2007,43.077,X
49,Rural population,2012,42.34,X
50,Rural population,2017,41.437,X
51,Rural population,2018,41.246,X
52,Urban population,1962,12.929,X
53,Urban population,1967,17.34,X
54,Urban population,1972,23.044,X
55,Urban population,1977,30.801,X
56,Urban population,1982,33.632,X
57,Urban population,1987,34.49,X
58,Urban population,1992,35.892,X
59,Urban population,1997,39.151,X
60,Urban population,2002,42.839,X
61,Urban population,2007,47.204,X
62,Urban population,2012,49.945,X
63,Urban population,2017,53.3,X
64,Urban population,2018,53.989,X
65,Gross Domestic Product (GDP),1962,12642027.0,X
66,Gross Domestic Product (GDP),1967,16632033.0,X
67,Gross Domestic Product (GDP),1972,37029048.0,X
68,Gross Domestic Product (GDP),1977,77935718.0,X
69,Gross Domestic Product (GDP),1982,177966306.0,X
70,Gross Domestic Product (GDP),1987,301190241.0,X
71,Gross Domestic Product (GDP),1992,523968541.0,X
72,Gross Domestic Product (GDP),1997,680194245.0,X
73,Gross Domestic Product (GDP),2002,837920679.0,X
74,Gross Domestic Product (GDP),2007,1033664298.0,X
75,Gross Domestic Product (GDP),2012,1059496471.0,X
76,GDP per capita,1972,671.704385,X
77,GDP per capita,1977,1246.971486,X
