Sierra Leone,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,7230.0,X
1,Total area of the country (excl. coastal water),1967,7230.0,X
2,Total area of the country (excl. coastal water),1972,7230.0,X
3,Total area of the country (excl. coastal water),1977,7230.0,X
4,Total area of the country (excl. coastal water),1982,7230.0,X
5,Total area of the country (excl. coastal water),1987,7230.0,X
6,Total area of the country (excl. coastal water),1992,7230.0,X
7,Total area of the country (excl. coastal water),1997,7230.0,X
8,Total area of the country (excl. coastal water),2002,7230.0,X
9,Total area of the country (excl. coastal water),2007,7230.0,X
10,Total area of the country (excl. coastal water),2012,7230.0,X
11,Total area of the country (excl. coastal water),2017,7230.0,E
12,Total area of the country (excl. coastal water),2018,7230.0,E
13,Cultivated area (arable land + permanent crops),1962,415.0,X
14,Cultivated area (arable land + permanent crops),1967,440.0,X
15,Cultivated area (arable land + permanent crops),1972,470.0,X
16,Cultivated area (arable land + permanent crops),1977,495.0,X
17,Cultivated area (arable land + permanent crops),1982,540.0,X
18,Cultivated area (arable land + permanent crops),1987,620.0,X
19,Cultivated area (arable land + permanent crops),1992,611.0,X
20,Cultivated area (arable land + permanent crops),1997,609.0,X
21,Cultivated area (arable land + permanent crops),2002,1030.08,X
22,Cultivated area (arable land + permanent crops),2007,1423.72,X
23,Cultivated area (arable land + permanent crops),2012,1636.65,X
24,Cultivated area (arable land + permanent crops),2017,1749.0,X
25,Cultivated area (arable land + permanent crops),2018,1749.0,X
26,Total population,1962,2388.769,X
27,Total population,1967,2596.805,X
28,Total population,1972,2854.872,X
29,Total population,1977,3170.508,X
30,Total population,1982,3540.17,X
31,Total population,1987,4038.144,X
32,Total population,1992,4347.724,X
33,Total population,1997,4335.301,X
34,Total population,2002,4965.766,X
35,Total population,2007,5989.633,X
36,Total population,2012,6712.584,X
37,Total population,2017,7488.423,X
38,Total population,2018,7650.15,X
39,Rural population,1962,1926.632,X
40,Rural population,1967,1997.755,X
41,Rural population,1972,2087.645,X
42,Rural population,1977,2239.686,X
43,Rural population,1982,2443.815,X
44,Rural population,1987,2721.176,X
45,Rural population,1992,2870.792,X
46,Rural population,1997,2802.635,X
47,Rural population,2002,3167.216,X
48,Rural population,2007,3748.249,X
49,Rural population,2012,4083.903,X
50,Rural population,2017,4410.71,X
51,Rural population,2018,4473.227,X
52,Urban population,1962,436.381,X
53,Urban population,1967,555.774,X
54,Urban population,1972,715.386,X
55,Urban population,1977,895.114,X
56,Urban population,1982,1081.584,X
57,Urban population,1987,1313.492,X
58,Urban population,1992,1460.54,X
59,Urban population,1997,1502.82,X
60,Urban population,2002,1790.0,X
61,Urban population,2007,2267.168,X
62,Urban population,2012,2682.2,X
63,Urban population,2017,3146.502,X
64,Urban population,2018,3246.502,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.6544,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.645,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.6501,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.6501,I
69,Gross Domestic Product (GDP),1962,342721580.0,X
70,Gross Domestic Product (GDP),1967,348795303.0,X
71,Gross Domestic Product (GDP),1972,534541855.0,X
72,Gross Domestic Product (GDP),1977,794565201.0,X
73,Gross Domestic Product (GDP),1982,1606087812.0,X
74,Gross Domestic Product (GDP),1987,818922783.0,X
75,Gross Domestic Product (GDP),1992,920350554.0,X
76,Gross Domestic Product (GDP),1997,1150810523.0,X
77,Gross Domestic Product (GDP),2002,1253320298.0,X
78,Gross Domestic Product (GDP),2007,2158496849.0,X
79,Gross Domestic Product (GDP),2012,3801862575.0,X
80,Gross Domestic Product (GDP),2015,4248107974.0,X
81,GDP per capita,1972,190.701371,X
82,GDP per capita,1977,253.465995,X
83,GDP per capita,1982,455.576181,X
84,GDP per capita,1987,202.971541,X
85,GDP per capita,1992,212.486726,X
86,GDP per capita,1997,267.291267,X
87,GDP per capita,2002,252.827454,X
88,GDP per capita,2007,358.827468,X
89,GDP per capita,2012,561.898418,X
90,GDP per capita,2017,494.765953,X
91,GDP per capita,2018,531.27842,X
92,"Agriculture, value added (% GDP)",1967,34.01,X
93,"Agriculture, value added (% GDP)",1972,26.87045,X
94,"Agriculture, value added (% GDP)",1977,35.292891,X
95,"Agriculture, value added (% GDP)",1982,34.221935,X
96,"Agriculture, value added (% GDP)",1987,38.086842,X
97,"Agriculture, value added (% GDP)",1992,46.063989,X
98,"Agriculture, value added (% GDP)",1997,47.679975,X
99,"Agriculture, value added (% GDP)",2002,46.214246,X
100,"Agriculture, value added (% GDP)",2007,52.176047,X
101,"Agriculture, value added (% GDP)",2012,50.592117,X
102,"Agriculture, value added (% GDP)",2016,57.74674,X
103,"Agriculture, value added to GDP",1967,119371948.0,X
104,"Agriculture, value added to GDP",1969,109380044.0,X
105,Number of people undernourished (3-year average),1992,1700.0,X
106,Number of people undernourished (3-year average),1997,1400.0,X
107,Number of people undernourished (3-year average),2002,2400.0,X
108,Number of people undernourished (3-year average),2007,2500.0,X
109,Number of people undernourished (3-year average),2009,2500.0,X
110,Number of people undernourished (3-year average),2018,2000.0,X
111,Prevalence of undernourishment (3-year average),1992,42.8,X
112,Prevalence of undernourishment (3-year average),1997,34.9,X
113,Prevalence of undernourishment (3-year average),2002,50.7,X
114,Prevalence of undernourishment (3-year average),2006,46.7,X
115,Prevalence of undernourishment (3-year average),2009,40.3,X
116,Total population with access to safe drinking-water (JMP),1992,38.8,X
117,Total population with access to safe drinking-water (JMP),1997,44.0,X
118,Total population with access to safe drinking-water (JMP),2002,49.2,X
119,Total population with access to safe drinking-water (JMP),2007,54.3,X
120,Total population with access to safe drinking-water (JMP),2012,59.5,X
121,Total population with access to safe drinking-water (JMP),2017,62.6,I
122,Total population with access to safe drinking-water (JMP),2018,62.6,I
123,Long-term average annual precipitation in volume,1962,182.6298,E
124,Long-term average annual precipitation in volume,1967,182.6298,E
125,Long-term average annual precipitation in volume,1972,182.6298,E
126,Long-term average annual precipitation in volume,1977,182.6298,E
127,Long-term average annual precipitation in volume,1982,182.6298,E
128,Long-term average annual precipitation in volume,1987,182.6298,E
129,Long-term average annual precipitation in volume,1992,182.6298,E
130,Long-term average annual precipitation in volume,1997,182.6298,E
131,Long-term average annual precipitation in volume,2002,182.6298,E
132,Long-term average annual precipitation in volume,2007,182.6298,E
133,Long-term average annual precipitation in volume,2012,182.6298,E
134,Long-term average annual precipitation in volume,2017,182.6298,E
135,Long-term average annual precipitation in volume,2018,182.6298,E
136,Interannual variability (WRI),2017,0.6,I
137,Interannual variability (WRI),2018,0.6,I
138,Seasonal variability (WRI),2017,3.6,I
139,Seasonal variability (WRI),2018,3.6,I
140,Flood occurrence (WRI),2017,1.6,I
141,Flood occurrence (WRI),2018,1.6,I
142,Surface water: entering the country (total),1962,0.0,
143,Surface water: entering the country (total),1967,0.0,
144,Surface water: entering the country (total),1972,0.0,
145,Surface water: entering the country (total),1977,0.0,
146,Surface water: entering the country (total),1982,0.0,
147,Surface water: entering the country (total),1987,0.0,
148,Surface water: entering the country (total),1992,0.0,
149,Surface water: entering the country (total),1997,0.0,
150,Surface water: entering the country (total),2002,0.0,
151,Surface water: entering the country (total),2007,0.0,
152,Surface water: entering the country (total),2012,0.0,
153,Surface water: entering the country (total),2017,0.0,OF
154,Surface water: leaving the country to other countries (total),1962,0.0,OF
155,Surface water: leaving the country to other countries (total),1967,0.0,OF
156,Surface water: leaving the country to other countries (total),1972,0.0,OF
157,Surface water: leaving the country to other countries (total),1977,0.0,OF
158,Surface water: leaving the country to other countries (total),1982,0.0,OF
159,Surface water: leaving the country to other countries (total),1987,0.0,OF
160,Surface water: leaving the country to other countries (total),1992,0.0,OF
161,Surface water: leaving the country to other countries (total),1997,0.0,OF
162,Surface water: leaving the country to other countries (total),2002,0.0,OF
163,Surface water: leaving the country to other countries (total),2007,0.0,OF
164,Surface water: leaving the country to other countries (total),2012,0.0,OF
165,Surface water: leaving the country to other countries (total),2017,0.0,OF
166,Groundwater: entering the country (total),1962,0.0,E
167,Groundwater: entering the country (total),1967,0.0,E
168,Groundwater: entering the country (total),1972,0.0,E
169,Groundwater: entering the country (total),1977,0.0,E
170,Groundwater: entering the country (total),1982,0.0,E
171,Groundwater: entering the country (total),1987,0.0,E
172,Groundwater: entering the country (total),1992,0.0,E
173,Groundwater: entering the country (total),1997,0.0,E
174,Groundwater: entering the country (total),2002,0.0,E
175,Groundwater: entering the country (total),2007,0.0,E
176,Groundwater: entering the country (total),2012,0.0,E
177,Groundwater: entering the country (total),2017,0.0,E
178,Groundwater: leaving the country to other countries (total),1962,0.0,OF
179,Groundwater: leaving the country to other countries (total),1967,0.0,OF
180,Groundwater: leaving the country to other countries (total),1972,0.0,OF
181,Groundwater: leaving the country to other countries (total),1977,0.0,OF
182,Groundwater: leaving the country to other countries (total),1982,0.0,OF
183,Groundwater: leaving the country to other countries (total),1987,0.0,OF
184,Groundwater: leaving the country to other countries (total),1992,0.0,OF
185,Groundwater: leaving the country to other countries (total),1997,0.0,OF
186,Groundwater: leaving the country to other countries (total),2002,0.0,OF
187,Groundwater: leaving the country to other countries (total),2007,0.0,OF
188,Groundwater: leaving the country to other countries (total),2012,0.0,OF
189,Groundwater: leaving the country to other countries (total),2017,0.0,OF
190,Dependency ratio,1962,0.0,E
191,Dependency ratio,1967,0.0,E
192,Dependency ratio,1972,0.0,E
193,Dependency ratio,1977,0.0,E
194,Dependency ratio,1982,0.0,E
195,Dependency ratio,1987,0.0,E
196,Dependency ratio,1992,0.0,E
197,Dependency ratio,1997,0.0,E
198,Dependency ratio,2002,0.0,E
199,Dependency ratio,2007,0.0,E
200,Dependency ratio,2012,0.0,E
201,Dependency ratio,2017,0.0,E
202,Dependency ratio,2018,0.0,E
203,Total internal renewable water resources (IRWR),1962,160.0,E
204,Total internal renewable water resources (IRWR),1967,160.0,E
205,Total internal renewable water resources (IRWR),1972,160.0,E
206,Total internal renewable water resources (IRWR),1977,160.0,E
207,Total internal renewable water resources (IRWR),1982,160.0,E
208,Total internal renewable water resources (IRWR),1987,160.0,E
209,Total internal renewable water resources (IRWR),1992,160.0,E
210,Total internal renewable water resources (IRWR),1997,160.0,E
211,Total internal renewable water resources (IRWR),2002,160.0,E
212,Total internal renewable water resources (IRWR),2007,160.0,E
213,Total internal renewable water resources (IRWR),2012,160.0,E
214,Total internal renewable water resources (IRWR),2017,160.0,E
215,Total internal renewable water resources (IRWR),2018,160.0,E
216,Total internal renewable water resources per capita,1962,66980.1056527442,E
217,Total internal renewable water resources per capita,1967,61614.1758815159,E
218,Total internal renewable water resources per capita,1972,56044.5442037331,E
219,Total internal renewable water resources per capita,1977,50465.0989683672,E
220,Total internal renewable water resources per capita,1982,45195.5697042797,E
221,Total internal renewable water resources per capita,1987,39622.1630531254,E
222,Total internal renewable water resources per capita,1992,36800.8640842887,E
223,Total internal renewable water resources per capita,1997,36906.3186154779,E
224,Total internal renewable water resources per capita,2002,32220.6080592601,E
225,Total internal renewable water resources per capita,2007,26712.8219708954,E
226,Total internal renewable water resources per capita,2012,23835.8283486657,E
227,Total internal renewable water resources per capita,2017,21366.3143762044,E
228,Total internal renewable water resources per capita,2018,20914.6225890996,E
229,Total renewable surface water,1962,150.0,E
230,Total renewable surface water,1967,150.0,E
231,Total renewable surface water,1972,150.0,E
232,Total renewable surface water,1977,150.0,E
233,Total renewable surface water,1982,150.0,E
234,Total renewable surface water,1987,150.0,E
235,Total renewable surface water,1992,150.0,E
236,Total renewable surface water,1997,150.0,E
237,Total renewable surface water,2002,150.0,E
238,Total renewable surface water,2007,150.0,E
239,Total renewable surface water,2012,150.0,E
240,Total renewable surface water,2017,150.0,E
241,Total renewable surface water,2018,150.0,E
242,Total renewable groundwater,1962,25.0,E
243,Total renewable groundwater,1967,25.0,E
