Slovakia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1997,4903.0,X
1,Total area of the country (excl. coastal water),2002,4903.0,X
2,Total area of the country (excl. coastal water),2007,4903.0,X
3,Total area of the country (excl. coastal water),2012,4904.0,X
4,Total area of the country (excl. coastal water),2017,4903.0,E
5,Total area of the country (excl. coastal water),2018,4903.0,E
6,Cultivated area (arable land + permanent crops),1997,1599.0,X
7,Cultivated area (arable land + permanent crops),2002,1438.0,X
8,Cultivated area (arable land + permanent crops),2007,1402.0,X
9,Cultivated area (arable land + permanent crops),2012,1412.5,X
10,Cultivated area (arable land + permanent crops),2017,1361.0,X
11,Cultivated area (arable land + permanent crops),2018,1365.0,X
12,Total population,1997,5391.204,X
13,Total population,2002,5400.122,X
14,Total population,2007,5398.692,X
15,Total population,2012,5414.889,X
16,Total population,2017,5447.9,X
17,Total population,2018,5453.014,X
18,Rural population,1997,2349.716,X
19,Rural population,2002,2375.345,X
20,Rural population,2007,2415.132,X
21,Rural population,2012,2476.704,X
22,Rural population,2017,2519.468,X
23,Rural population,2018,2521.863,X
24,Urban population,1997,3041.488,X
25,Urban population,2002,3024.809,X
26,Urban population,2007,2983.194,X
27,Urban population,2012,2940.366,X
28,Urban population,2017,2928.194,X
29,Urban population,2018,2927.953,X
30,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.2274,I
31,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.195,I
32,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.1743333333,I
33,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1636,I
34,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1636,I
35,Gross Domestic Product (GDP),1997,21916978438.0,X
36,Gross Domestic Product (GDP),2002,24810702665.0,X
37,Gross Domestic Product (GDP),2007,77056509956.0,X
38,Gross Domestic Product (GDP),2009,89040925541.0,X
39,GDP per capita,1997,4065.321668,X
40,GDP per capita,2002,4594.443541,X
41,GDP per capita,2007,14274.149052,X
42,GDP per capita,2012,17429.455862,X
43,GDP per capita,2017,17526.283687,X
44,GDP per capita,2018,19442.192822,X
45,"Agriculture, value added (% GDP)",1997,2.067549,X
46,"Agriculture, value added (% GDP)",2002,2.042899,X
47,"Agriculture, value added (% GDP)",2007,2.295998,X
48,"Agriculture, value added (% GDP)",2009,2.085133,X
49,Number of people undernourished (3-year average),2002,300.0,X
50,Number of people undernourished (3-year average),2007,300.0,X
51,Number of people undernourished (3-year average),2012,200.0,X
52,Number of people undernourished (3-year average),2016,300.0,X
53,Prevalence of undernourishment (3-year average),2001,5.9,X
54,Prevalence of undernourishment (3-year average),2006,5.5,X
55,Prevalence of undernourishment (3-year average),2010,4.0,X
56,Total population with access to safe drinking-water (JMP),1997,99.8,X
57,Total population with access to safe drinking-water (JMP),2002,99.9,X
58,Total population with access to safe drinking-water (JMP),2007,99.9,X
59,Total population with access to safe drinking-water (JMP),2012,100.0,X
60,Total population with access to safe drinking-water (JMP),2017,100.0,I
61,Total population with access to safe drinking-water (JMP),2018,100.0,I
62,Long-term average annual precipitation in volume,1997,40.40072,E
63,Long-term average annual precipitation in volume,2002,40.40072,E
64,Long-term average annual precipitation in volume,2007,40.40072,E
65,Long-term average annual precipitation in volume,2012,40.40896,E
66,Long-term average annual precipitation in volume,2017,40.40072,E
67,Long-term average annual precipitation in volume,2018,40.40072,E
68,Interannual variability (WRI),2017,0.9,I
69,Interannual variability (WRI),2018,0.9,I
70,Seasonal variability (WRI),2017,0.6,I
71,Seasonal variability (WRI),2018,0.6,I
72,Flood occurrence (WRI),2017,3.8,I
73,Flood occurrence (WRI),2018,3.8,I
74,Surface water: entering the country (total),1997,0.0,
75,Surface water: entering the country (total),2002,0.0,
76,Surface water: entering the country (total),2007,0.0,
77,Surface water: entering the country (total),2012,0.0,
78,Surface water: entering the country (total),2017,0.0,OF
83,Surface water: leaving the country to other countries (total),2017,12.6,E
84,Groundwater: entering the country (total),1997,0.0,E
85,Groundwater: entering the country (total),2002,0.0,E
86,Groundwater: entering the country (total),2007,0.0,E
87,Groundwater: entering the country (total),2012,0.0,E
88,Groundwater: entering the country (total),2017,0.0,E
89,Groundwater: leaving the country to other countries (total),1997,0.95,OF
90,Groundwater: leaving the country to other countries (total),2002,0.95,OF
91,Groundwater: leaving the country to other countries (total),2007,0.95,OF
92,Groundwater: leaving the country to other countries (total),2012,0.95,OF
93,Groundwater: leaving the country to other countries (total),2017,0.95,OF
94,Dependency ratio,1997,74.8502994012,E
95,Dependency ratio,2002,74.8502994012,E
96,Dependency ratio,2007,74.8502994012,E
97,Dependency ratio,2012,74.8502994012,E
98,Dependency ratio,2017,74.8502994012,E
99,Dependency ratio,2018,74.8502994012,E
100,Total internal renewable water resources (IRWR),1997,12.6,E
101,Total internal renewable water resources (IRWR),2002,12.6,E
102,Total internal renewable water resources (IRWR),2007,12.6,E
103,Total internal renewable water resources (IRWR),2012,12.6,E
104,Total internal renewable water resources (IRWR),2017,12.6,E
105,Total internal renewable water resources (IRWR),2018,12.6,E
106,Total internal renewable water resources per capita,1997,2337.1402751593,E
107,Total internal renewable water resources per capita,2002,2333.2806184749,E
108,Total internal renewable water resources per capita,2007,2333.8986554521,E
109,Total internal renewable water resources per capita,2012,2326.9175046802,E
110,Total internal renewable water resources per capita,2017,2312.817782999,E
111,Total internal renewable water resources per capita,2018,2310.6487531483,E
112,Total renewable surface water,1997,50.1,E
113,Total renewable surface water,2002,50.1,E
114,Total renewable surface water,2007,50.1,E
115,Total renewable surface water,2012,50.1,E
116,Total renewable surface water,2017,50.1,E
117,Total renewable surface water,2018,50.1,E
118,Total renewable groundwater,1997,1.73,E
119,Total renewable groundwater,2002,1.73,E
120,Total renewable groundwater,2007,1.73,E
121,Total renewable groundwater,2012,1.73,E
122,Total renewable groundwater,2017,1.73,E
123,Total renewable groundwater,2018,1.73,E
124,Water resources: total external renewable,1997,37.5,E
125,Water resources: total external renewable,2002,37.5,E
126,Water resources: total external renewable,2007,37.5,E
127,Water resources: total external renewable,2012,37.5,E
128,Water resources: total external renewable,2017,37.5,E
129,Water resources: total external renewable,2018,37.5,E
130,Total renewable water resources,1997,50.1,E
131,Total renewable water resources,2002,50.1,E
132,Total renewable water resources,2007,50.1,E
133,Total renewable water resources,2012,50.1,E
134,Total renewable water resources,2017,50.1,E
135,Total renewable water resources,2018,50.1,E
136,Total renewable water resources per capita,1997,9292.9149036097,E
137,Total renewable water resources per capita,2002,9277.5681734598,E
138,Total renewable water resources per capita,2007,9280.0256062024,E
139,Total renewable water resources per capita,2012,9252.2672209901,E
140,Total renewable water resources per capita,2017,9196.2040419244,E
141,Total renewable water resources per capita,2018,9187.5795660895,E
142,Total agricultural water managed area,1997,193.6666666667,I
143,Total agricultural water managed area,2002,186.3333333333,I
144,Total agricultural water managed area,2007,172.0,E
145,Total agricultural water managed area,2012,102.76,I
146,Total agricultural water managed area,2013,99.64,E
147,Area equipped for irrigation: total,1997,193.6666666667,I
148,Area equipped for irrigation: total,2002,186.3333333333,I
149,Area equipped for irrigation: total,2007,172.0,E
150,Area equipped for irrigation: total,2012,102.76,I
151,Area equipped for irrigation: total,2013,99.64,E
152,% of agricultural GVA produced by irrigated agriculture,2002,12.465414952,E
153,% of agricultural GVA produced by irrigated agriculture,2007,4.8520969546,E
154,% of agricultural GVA produced by irrigated agriculture,2012,4.8167884831,E
155,% of agricultural GVA produced by irrigated agriculture,2017,3.1412069924,E
157,Ratio between rainfed and irrigated yields,2001,1.778,I
158,Ratio between rainfed and irrigated yields,2007,1.778,I
159,Ratio between rainfed and irrigated yields,2011,1.778,I
160,Ratio between rainfed and irrigated yields,2017,1.778,I
161,Ratio between rainfed and irrigated yields,2018,1.778,I
162,Agricultural water withdrawal as % of total renewable water resources,1997,0.1337325349,E
163,Agricultural water withdrawal as % of total renewable water resources,2002,0.1117764471,E
164,Agricultural water withdrawal as % of total renewable water resources,2007,0.0449101796,E
165,Agricultural water withdrawal as % of total renewable water resources,2012,0.0612774451,E
166,Agricultural water withdrawal as % of total renewable water resources,2017,0.0630738523,E
167,Agricultural water withdrawal as % of total renewable water resources,2018,0.1618762475,E
169,Agricultural water withdrawal,1996,0.0815,I
170,Agricultural water withdrawal,2001,0.0696,X
171,Agricultural water withdrawal,2006,0.028,X
172,Agricultural water withdrawal,2011,0.0236,X
173,Agricultural water withdrawal,2017,0.0316,OF
174,Irrigation water requirement,2012,0.0029,I
175,Irrigation water requirement,2017,0.0029,I
176,Irrigation water requirement,2018,0.0029,I
177,Irrigation water withdrawal,2001,0.0561,X
178,Irrigation water withdrawal,2006,0.0188,X
179,Irrigation water withdrawal,2011,0.01395,I
180,Irrigation water withdrawal,2017,0.0224,OF
181,Municipal water withdrawal,1997,0.482,X
182,Municipal water withdrawal,2002,0.4159,X
183,Municipal water withdrawal,2007,0.3585,X
184,Municipal water withdrawal,2012,0.3058,X
185,Municipal water withdrawal,2017,0.2935,OF
186,Industrial water withdrawal,1997,0.761,X
187,Industrial water withdrawal,2002,0.6225,X
188,Industrial water withdrawal,2007,0.307,X
189,Industrial water withdrawal,2012,0.3288,X
190,Industrial water withdrawal,2017,0.2312,OF
191,Total water withdrawal,1997,1.31,E
192,Total water withdrawal,2002,1.0944,E
193,Total water withdrawal,2007,0.688,E
194,Total water withdrawal,2012,0.6653,E
195,Total water withdrawal,2014,0.5593,X
196,Fresh surface water withdrawal,1997,0.812,X
197,Fresh surface water withdrawal,2002,0.684,X
198,Fresh surface water withdrawal,2007,0.3295,X
199,Fresh surface water withdrawal,2012,0.3264,X
200,Fresh surface water withdrawal,2017,0.2441,OF
201,Fresh groundwater withdrawal,1997,0.498,X
202,Fresh groundwater withdrawal,2002,0.4104,X
203,Fresh groundwater withdrawal,2007,0.3584,X
204,Fresh groundwater withdrawal,2012,0.3389,X
205,Fresh groundwater withdrawal,2017,0.3122,OF
206,Total freshwater withdrawal,1997,1.31,E
