South Africa,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,121909.0,X
1,Total area of the country (excl. coastal water),1967,121909.0,X
2,Total area of the country (excl. coastal water),1972,121909.0,X
3,Total area of the country (excl. coastal water),1977,121909.0,X
4,Total area of the country (excl. coastal water),1982,121909.0,X
5,Total area of the country (excl. coastal water),1987,121909.0,X
6,Total area of the country (excl. coastal water),1992,121909.0,X
7,Total area of the country (excl. coastal water),1997,121909.0,X
8,Total area of the country (excl. coastal water),2002,121909.0,X
9,Total area of the country (excl. coastal water),2007,121909.0,X
10,Total area of the country (excl. coastal water),2012,121909.0,X
11,Total area of the country (excl. coastal water),2017,121909.0,E
12,Total area of the country (excl. coastal water),2018,121909.0,E
13,Cultivated area (arable land + permanent crops),1962,12235.0,X
14,Cultivated area (arable land + permanent crops),1967,12480.0,X
15,Cultivated area (arable land + permanent crops),1972,12715.0,X
16,Cultivated area (arable land + permanent crops),1977,12850.0,X
17,Cultivated area (arable land + permanent crops),1982,12655.0,X
18,Cultivated area (arable land + permanent crops),1987,12850.0,X
19,Cultivated area (arable land + permanent crops),1992,13473.0,X
20,Cultivated area (arable land + permanent crops),1997,14045.0,X
21,Cultivated area (arable land + permanent crops),2002,14100.0,X
22,Cultivated area (arable land + permanent crops),2007,12962.0,X
23,Cultivated area (arable land + permanent crops),2012,12413.0,X
24,Cultivated area (arable land + permanent crops),2017,12413.0,X
25,Cultivated area (arable land + permanent crops),2018,12413.0,X
26,Total population,1962,17965.725,X
27,Total population,1967,20406.864,X
28,Total population,1972,23281.508,X
29,Total population,1977,26480.913,X
30,Total population,1982,30150.448,X
31,Total population,1987,34297.727,X
32,Total population,1992,38672.607,X
33,Total population,1997,42987.461,X
34,Total population,2002,46150.913,X
35,Total population,2007,49119.759,X
36,Total population,2012,52832.658,X
37,Total population,2017,57009.756,X
38,Total population,2018,57792.518,X
39,Rural population,1962,9770.061,X
40,Rural population,1967,11054.16,X
41,Rural population,1972,12574.124,X
42,Rural population,1977,14287.376,X
43,Rural population,1982,16054.745,X
44,Rural population,1987,17460.599,X
45,Rural population,1992,18484.173,X
46,Rural population,1997,19449.786,X
47,Rural population,2002,19799.101,X
48,Rural population,2007,19647.368,X
49,Rural population,2012,19465.377,X
50,Rural population,2017,19369.002,X
51,Rural population,2018,19311.652,X
52,Urban population,1962,8631.547,X
53,Urban population,1967,9991.625,X
54,Urban population,1972,11574.013,X
55,Urban population,1977,13309.921,X
