Spain,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,50599.0,X
1,Total area of the country (excl. coastal water),1967,50599.0,X
2,Total area of the country (excl. coastal water),1972,50599.0,X
3,Total area of the country (excl. coastal water),1977,50599.0,X
4,Total area of the country (excl. coastal water),1982,50599.0,X
5,Total area of the country (excl. coastal water),1987,50599.0,X
6,Total area of the country (excl. coastal water),1992,50599.0,X
7,Total area of the country (excl. coastal water),1997,50599.0,X
8,Total area of the country (excl. coastal water),2002,50532.0,X
9,Total area of the country (excl. coastal water),2007,50537.0,X
10,Total area of the country (excl. coastal water),2012,50594.0,X
11,Total area of the country (excl. coastal water),2017,50593.523,E
12,Total area of the country (excl. coastal water),2018,50595.7289,E
13,Cultivated area (arable land + permanent crops),1962,20832.0,X
14,Cultivated area (arable land + permanent crops),1967,20482.0,X
15,Cultivated area (arable land + permanent crops),1972,21168.0,X
16,Cultivated area (arable land + permanent crops),1977,20604.0,X
17,Cultivated area (arable land + permanent crops),1982,20487.0,X
18,Cultivated area (arable land + permanent crops),1987,20390.0,X
19,Cultivated area (arable land + permanent crops),1992,19947.0,X
20,Cultivated area (arable land + permanent crops),1997,19059.0,X
21,Cultivated area (arable land + permanent crops),2002,17886.0,X
22,Cultivated area (arable land + permanent crops),2007,17396.0,X
23,Cultivated area (arable land + permanent crops),2012,17539.0,X
24,Cultivated area (arable land + permanent crops),2017,16985.167,X
25,Cultivated area (arable land + permanent crops),2018,16770.3639,X
26,Total population,1962,31075.477,X
27,Total population,1967,32830.187,X
28,Total population,1972,34664.234,X
29,Total population,1977,36666.767,X
30,Total population,1982,38209.693,X
31,Total population,1987,38954.497,X
32,Total population,1992,39410.857,X
33,Total population,1997,40035.293,X
34,Total population,2002,41919.585,X
35,Total population,2007,45429.076,X
36,Total population,2012,47063.06,X
37,Total population,2017,46647.428,X
38,Total population,2018,46692.858,X
39,Rural population,1962,12993.319,X
40,Rural population,1967,12112.231,X
41,Rural population,1972,11282.948,X
42,Rural population,1977,10704.518,X
43,Rural population,1982,10146.458,X
44,Rural population,1987,9892.177,X
45,Rural population,1992,9637.807,X
46,Rural population,1997,9623.946,X
47,Rural population,2002,9852.597,X
48,Rural population,2007,10104.737,X
49,Rural population,2012,9886.091,X
50,Rural population,2017,9233.918,X
51,Rural population,2018,9130.38,X
52,Urban population,1962,18171.756,X
53,Urban population,1967,20814.075,X
54,Urban population,1972,23477.574,X
55,Urban population,1977,26059.011,X
56,Urban population,1982,28163.253,X
57,Urban population,1987,29165.036,X
58,Urban population,1992,29877.704,X
59,Urban population,1997,30507.614,X
60,Urban population,2002,32132.923,X
61,Urban population,2007,35289.121,X
62,Urban population,2012,36971.313,X
63,Urban population,2017,37120.403,X
64,Urban population,2018,37267.072,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.1186,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.116,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.1043333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0954,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0954,I
70,Gross Domestic Product (GDP),1962,16138545209.0,X
71,Gross Domestic Product (GDP),1967,31647119228.0,X
72,Gross Domestic Product (GDP),1972,59135631410.0,X
73,Gross Domestic Product (GDP),1977,132437725633.0,X
74,Gross Domestic Product (GDP),1982,196006582748.0,X
75,Gross Domestic Product (GDP),1987,318739462054.0,X
76,Gross Domestic Product (GDP),1992,630905064556.0,X
77,Gross Domestic Product (GDP),1997,590101662198.0,X
78,Gross Domestic Product (GDP),2002,705426402795.0,X
79,Gross Domestic Product (GDP),2007,1472055567912.0,X
80,Gross Domestic Product (GDP),2012,1324820091195.0,X
81,Gross Domestic Product (GDP),2016,1232076017362.0,X
82,GDP per capita,1972,1701.229671,X
83,GDP per capita,1977,3602.421455,X
84,GDP per capita,1982,5116.368086,X
85,GDP per capita,1987,8160.834775,X
86,GDP per capita,1992,15966.010526,X
87,GDP per capita,1997,14704.179509,X
88,GDP per capita,2002,16801.659305,X
89,GDP per capita,2007,32428.518588,X
90,GDP per capita,2012,28273.441934,X
91,GDP per capita,2017,28315.627921,X
92,GDP per capita,2018,30599.42268,X
93,"Agriculture, value added (% GDP)",1972,9.481603,X
94,"Agriculture, value added (% GDP)",1977,7.956489,X
95,"Agriculture, value added (% GDP)",1982,5.613884,X
96,"Agriculture, value added (% GDP)",1987,5.125877,X
97,"Agriculture, value added (% GDP)",1992,3.92638,X
98,"Agriculture, value added (% GDP)",1997,4.30221,X
99,"Agriculture, value added (% GDP)",2002,3.489017,X
100,"Agriculture, value added (% GDP)",2007,2.507952,X
101,"Agriculture, value added (% GDP)",2012,2.408304,X
102,"Agriculture, value added (% GDP)",2016,2.82572,X
103,Total population with access to safe drinking-water (JMP),1992,99.9,X
104,Total population with access to safe drinking-water (JMP),1997,99.9,X
105,Total population with access to safe drinking-water (JMP),2002,99.9,X
106,Total population with access to safe drinking-water (JMP),2007,100.0,X
107,Total population with access to safe drinking-water (JMP),2012,100.0,X
108,Total population with access to safe drinking-water (JMP),2017,100.0,I
109,Total population with access to safe drinking-water (JMP),2018,100.0,I
110,Long-term average annual precipitation in volume,1962,321.80964,E
111,Long-term average annual precipitation in volume,1967,321.80964,E
112,Long-term average annual precipitation in volume,1972,321.80964,E
113,Long-term average annual precipitation in volume,1977,321.80964,E
114,Long-term average annual precipitation in volume,1982,321.80964,E
115,Long-term average annual precipitation in volume,1987,321.80964,E
116,Long-term average annual precipitation in volume,1992,321.80964,E
117,Long-term average annual precipitation in volume,1997,321.80964,E
118,Long-term average annual precipitation in volume,2002,321.38352,E
119,Long-term average annual precipitation in volume,2007,321.41532,E
120,Long-term average annual precipitation in volume,2012,321.77784,E
121,Long-term average annual precipitation in volume,2017,321.77480628,E
122,Long-term average annual precipitation in volume,2018,321.788835804,E
123,Interannual variability (WRI),2017,2.3,I
124,Interannual variability (WRI),2018,2.3,I
125,Seasonal variability (WRI),2017,2.1,I
126,Seasonal variability (WRI),2018,2.1,I
127,Flood occurrence (WRI),2017,2.7,I
128,Flood occurrence (WRI),2018,2.7,I
129,Surface water: entering the country (total),1962,0.3,OF
130,Surface water: entering the country (total),1967,0.3,OF
131,Surface water: entering the country (total),1972,0.3,OF
132,Surface water: entering the country (total),1977,0.3,OF
133,Surface water: entering the country (total),1982,0.3,OF
134,Surface water: entering the country (total),1987,0.3,OF
135,Surface water: entering the country (total),1992,0.3,OF
136,Surface water: entering the country (total),1997,0.3,OF
137,Surface water: entering the country (total),2002,0.3,OF
138,Surface water: entering the country (total),2007,0.3,OF
139,Surface water: entering the country (total),2012,0.3,OF
140,Surface water: entering the country (total),2017,0.3,OF
141,Surface water: leaving the country to other countries (total),1961,34.4,OF
142,Surface water: leaving the country to other countries (total),1966,34.4,OF
143,Surface water: leaving the country to other countries (total),1971,34.4,OF
144,Surface water: leaving the country to other countries (total),1976,34.4,OF
145,Surface water: leaving the country to other countries (total),1981,34.4,OF
