Sri Lanka,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,6561.0,X
1,Total area of the country (excl. coastal water),1967,6561.0,X
2,Total area of the country (excl. coastal water),1972,6561.0,X
3,Total area of the country (excl. coastal water),1977,6561.0,X
4,Total area of the country (excl. coastal water),1982,6561.0,X
5,Total area of the country (excl. coastal water),1987,6561.0,X
6,Total area of the country (excl. coastal water),1992,6561.0,X
7,Total area of the country (excl. coastal water),1997,6561.0,X
8,Total area of the country (excl. coastal water),2002,6561.0,X
9,Total area of the country (excl. coastal water),2007,6561.0,X
10,Total area of the country (excl. coastal water),2012,6561.0,X
11,Total area of the country (excl. coastal water),2017,6561.2,E
12,Total area of the country (excl. coastal water),2018,6561.0,E
13,Cultivated area (arable land + permanent crops),1962,1522.0,X
14,Cultivated area (arable land + permanent crops),1967,1875.0,X
15,Cultivated area (arable land + permanent crops),1972,1906.0,X
16,Cultivated area (arable land + permanent crops),1977,1994.0,X
17,Cultivated area (arable land + permanent crops),1982,1857.0,X
18,Cultivated area (arable land + permanent crops),1987,1895.0,X
19,Cultivated area (arable land + permanent crops),1992,1905.0,X
20,Cultivated area (arable land + permanent crops),1997,1888.0,X
21,Cultivated area (arable land + permanent crops),2002,1916.0,X
22,Cultivated area (arable land + permanent crops),2007,1950.0,X
23,Cultivated area (arable land + permanent crops),2011,2290.0,X
24,Cultivated area (arable land + permanent crops),2017,2320.2,X
25,Cultivated area (arable land + permanent crops),2018,2371.6,X
26,Total population,1962,10352.179,X
27,Total population,1967,11657.65,X
28,Total population,1972,13002.231,X
29,Total population,1977,14273.495,X
30,Total population,1982,15501.207,X
31,Total population,1987,16643.952,X
32,Total population,1992,17736.821,X
33,Total population,1997,18470.9,X
34,Total population,2002,19062.482,X
35,Total population,2007,19842.044,X
36,Total population,2012,20532.6,X
37,Total population,2017,21128.032,X
38,Total population,2018,21228.763,X
39,Rural population,1962,8617.842,X
40,Rural population,1967,9640.429,X
41,Rural population,1972,10688.351,X
42,Rural population,1977,11661.359,X
43,Rural population,1982,12609.765,X
44,Rural population,1987,13554.443,X
45,Rural population,1992,14457.887,X
46,Rural population,1997,15071.902,X
47,Rural population,2002,15562.028,X
48,Rural population,2007,16190.874,X
49,Rural population,2012,16708.167,X
50,Rural population,2017,17038.849,X
51,Rural population,2018,17079.399,X
52,Urban population,1962,1734.346,X
53,Urban population,1967,2017.231,X
54,Urban population,1972,2313.924,X
55,Urban population,1977,2611.913,X
56,Urban population,1982,2892.75,X
57,Urban population,1987,3093.502,X
58,Urban population,1992,3282.75,X
59,Urban population,1997,3404.603,X
60,Urban population,2002,3497.272,X
61,Urban population,2007,3619.915,X
62,Urban population,2012,3716.388,X
63,Urban population,2017,3838.068,X
64,Urban population,2018,3870.642,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.4302,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.3913333333,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3698,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3698,I
69,Gross Domestic Product (GDP),1962,1434156379.0,X
70,Gross Domestic Product (GDP),1967,1859465021.0,X
71,Gross Domestic Product (GDP),1972,3218597319.0,X
72,Gross Domestic Product (GDP),1977,4854356293.0,X
73,Gross Domestic Product (GDP),1982,5544973228.0,X
74,Gross Domestic Product (GDP),1987,7588153682.0,X
75,Gross Domestic Product (GDP),1992,11386333004.0,X
76,Gross Domestic Product (GDP),1997,17872670900.0,X
77,Gross Domestic Product (GDP),2002,19572831562.0,X
78,Gross Domestic Product (GDP),2007,37023526063.0,X
79,Gross Domestic Product (GDP),2012,68434431855.0,X
80,Gross Domestic Product (GDP),2016,82401055069.0,X
81,GDP per capita,1972,247.541089,X
82,GDP per capita,1977,340.101155,X
83,GDP per capita,1982,357.682171,X
84,GDP per capita,1987,455.801222,X
85,GDP per capita,1992,641.822106,X
86,GDP per capita,1997,967.318814,X
87,GDP per capita,2002,1026.943884,X
88,GDP per capita,2007,1868.856716,X
89,GDP per capita,2012,3350.595979,X
90,GDP per capita,2017,4216.125203,X
91,GDP per capita,2018,4245.427794,X
92,"Agriculture, value added (% GDP)",1962,31.09,X
93,"Agriculture, value added (% GDP)",1967,30.08,X
94,"Agriculture, value added (% GDP)",1972,21.057426,X
95,"Agriculture, value added (% GDP)",1977,18.97845,X
96,"Agriculture, value added (% GDP)",1982,16.684652,X
97,"Agriculture, value added (% GDP)",1987,14.730473,X
98,"Agriculture, value added (% GDP)",1992,13.570484,X
99,"Agriculture, value added (% GDP)",1997,11.466303,X
100,"Agriculture, value added (% GDP)",2002,9.470334,X
101,"Agriculture, value added (% GDP)",2007,7.748509,X
102,"Agriculture, value added (% GDP)",2012,7.44933,X
103,"Agriculture, value added (% GDP)",2016,7.426799,X
104,"Agriculture, value added to GDP",1962,445915391.0,X
105,"Agriculture, value added to GDP",1967,559275597.0,X
106,"Agriculture, value added to GDP",1969,576361748.0,X
107,Number of people undernourished (3-year average),1992,5400.0,X
108,Number of people undernourished (3-year average),1997,5700.0,X
109,Number of people undernourished (3-year average),2002,3200.0,X
110,Number of people undernourished (3-year average),2007,2800.0,X
111,Number of people undernourished (3-year average),2009,2400.0,X
112,Prevalence of undernourishment (3-year average),1992,30.6,X
113,Prevalence of undernourishment (3-year average),1997,31.3,X
114,Prevalence of undernourishment (3-year average),2001,18.6,X
115,Total population with access to safe drinking-water (JMP),1992,70.6,X
116,Total population with access to safe drinking-water (JMP),1997,76.3,X
117,Total population with access to safe drinking-water (JMP),2002,82.0,X
118,Total population with access to safe drinking-water (JMP),2007,87.6,X
119,Total population with access to safe drinking-water (JMP),2012,93.3,X
120,Total population with access to safe drinking-water (JMP),2017,95.6,I
121,Total population with access to safe drinking-water (JMP),2018,95.6,I
122,Population affected by water related disease,1997,120.0,I
123,Population affected by water related disease,2002,120.0,I
124,Population affected by water related disease,2007,120.0,I
125,Population affected by water related disease,2012,120.0,I
126,Population affected by water related disease,2017,120.0,I
127,Population affected by water related disease,2018,120.0,I
128,Long-term average annual precipitation in volume,1962,112.32432,E
129,Long-term average annual precipitation in volume,1967,112.32432,E
130,Long-term average annual precipitation in volume,1972,112.32432,E
131,Long-term average annual precipitation in volume,1977,112.32432,E
132,Long-term average annual precipitation in volume,1982,112.32432,E
133,Long-term average annual precipitation in volume,1987,112.32432,E
134,Long-term average annual precipitation in volume,1992,112.32432,E
135,Long-term average annual precipitation in volume,1997,112.32432,E
136,Long-term average annual precipitation in volume,2002,112.32432,E
137,Long-term average annual precipitation in volume,2007,112.32432,E
138,Long-term average annual precipitation in volume,2012,112.32432,E
139,Long-term average annual precipitation in volume,2017,112.327744,E
140,Long-term average annual precipitation in volume,2018,112.32432,E
141,Interannual variability (WRI),2017,1.6,I
142,Interannual variability (WRI),2018,1.6,I
143,Seasonal variability (WRI),2017,3.0,I
144,Seasonal variability (WRI),2018,3.0,I
145,Flood occurrence (WRI),2017,3.7,I
146,Flood occurrence (WRI),2018,3.7,I
147,Surface water: entering the country (total),1962,0.0,OF
148,Surface water: entering the country (total),1967,0.0,OF
149,Surface water: entering the country (total),1972,0.0,OF
150,Surface water: entering the country (total),1977,0.0,OF
151,Surface water: entering the country (total),1982,0.0,OF
152,Surface water: entering the country (total),1987,0.0,OF
153,Surface water: entering the country (total),1992,0.0,OF
154,Surface water: entering the country (total),1997,0.0,OF
155,Surface water: entering the country (total),2002,0.0,OF
156,Surface water: entering the country (total),2007,0.0,OF
157,Surface water: entering the country (total),2012,0.0,OF
158,Surface water: entering the country (total),2017,0.0,OF
159,Surface water: leaving the country to other countries (total),1962,0.0,OF
160,Surface water: leaving the country to other countries (total),1967,0.0,OF
161,Surface water: leaving the country to other countries (total),1972,0.0,OF
162,Surface water: leaving the country to other countries (total),1977,0.0,OF
163,Surface water: leaving the country to other countries (total),1982,0.0,OF
164,Surface water: leaving the country to other countries (total),1987,0.0,OF
165,Surface water: leaving the country to other countries (total),1992,0.0,OF
166,Surface water: leaving the country to other countries (total),1997,0.0,OF
167,Surface water: leaving the country to other countries (total),2002,0.0,OF
168,Surface water: leaving the country to other countries (total),2007,0.0,OF
169,Surface water: leaving the country to other countries (total),2012,0.0,OF
170,Surface water: leaving the country to other countries (total),2017,0.0,OF
171,Groundwater: entering the country (total),1962,0.0,OF
172,Groundwater: entering the country (total),1967,0.0,OF
173,Groundwater: entering the country (total),1972,0.0,OF
