State of Palestine,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,602.0,X
1,Total area of the country (excl. coastal water),1967,602.0,X
2,Total area of the country (excl. coastal water),1972,602.0,X
3,Total area of the country (excl. coastal water),1977,602.0,X
4,Total area of the country (excl. coastal water),1982,602.0,X
5,Total area of the country (excl. coastal water),1987,602.0,X
6,Total area of the country (excl. coastal water),1992,602.0,X
7,Total area of the country (excl. coastal water),1997,602.0,X
8,Total area of the country (excl. coastal water),2002,602.0,X
9,Total area of the country (excl. coastal water),2007,602.0,X
10,Total area of the country (excl. coastal water),2012,602.0,X
11,Total area of the country (excl. coastal water),2017,602.0,E
12,Total area of the country (excl. coastal water),2018,602.0,E
13,Cultivated area (arable land + permanent crops),1962,202.0,X
14,Cultivated area (arable land + permanent crops),1967,205.0,X
15,Cultivated area (arable land + permanent crops),1972,207.0,X
16,Cultivated area (arable land + permanent crops),1977,214.0,X
17,Cultivated area (arable land + permanent crops),1982,223.0,X
18,Cultivated area (arable land + permanent crops),1987,225.0,X
19,Cultivated area (arable land + permanent crops),1992,220.0,X
20,Cultivated area (arable land + permanent crops),1997,220.0,X
21,Cultivated area (arable land + permanent crops),2002,220.0,X
22,Cultivated area (arable land + permanent crops),2007,203.5,X
23,Cultivated area (arable land + permanent crops),2012,121.97,X
24,Cultivated area (arable land + permanent crops),2017,186.0,X
25,Cultivated area (arable land + permanent crops),2018,186.0,X
26,Total population,1962,1128.576,X
27,Total population,1967,1165.75,X
28,Total population,1972,1182.425,X
29,Total population,1977,1400.119,X
30,Total population,1982,1600.947,X
31,Total population,1987,1879.75,X
32,Total population,1992,2287.662,X
33,Total population,1997,2872.006,X
34,Total population,2002,3380.164,X
35,Total population,2007,3756.46,X
36,Total population,2012,4241.573,X
37,Total population,2017,4747.227,X
38,Total population,2018,4862.979,X
39,Rural population,1962,613.325,X
40,Rural population,1967,570.155,X
41,Rural population,1972,514.039,X
42,Rural population,1977,549.092,X
43,Rural population,1982,584.177,X
44,Rural population,1987,635.975,X
45,Rural population,1992,715.24,X
46,Rural population,1997,827.261,X
47,Rural population,2002,932.313,X
48,Rural population,2007,994.598,X
49,Rural population,2012,1090.093,X
50,Rural population,2017,1186.188,X
51,Rural population,2018,1204.356,X
52,Urban population,1962,515.383,X
53,Urban population,1967,594.899,X
54,Urban population,1972,666.011,X
55,Urban population,1977,848.925,X
56,Urban population,1982,1015.468,X
57,Urban population,1987,1242.965,X
58,Urban population,1992,1571.745,X
59,Urban population,1997,2043.886,X
60,Urban population,2002,2446.736,X
61,Urban population,2007,2757.268,X
62,Urban population,2012,3204.867,X
63,Urban population,2017,3734.536,X
64,Urban population,2018,3848.42,X
65,Gross Domestic Product (GDP),1972,295349517.0,X
66,Gross Domestic Product (GDP),1977,700446989.0,X
67,Gross Domestic Product (GDP),1982,1054084858.0,X
68,Gross Domestic Product (GDP),1987,1778518685.0,X
69,Gross Domestic Product (GDP),1992,2573316615.0,X
70,Gross Domestic Product (GDP),1993,2771980343.0,X
71,Gross Domestic Product (GDP),2007,5815700000.0,X
72,Gross Domestic Product (GDP),2012,12208400000.0,X
73,Gross Domestic Product (GDP),2016,15405400000.0,X
74,Gross Domestic Product (GDP),2018,16276600000.0,X
75,GDP per capita,1972,250.285596,X
76,GDP per capita,1977,501.02895,X
77,GDP per capita,1982,658.949241,X
78,GDP per capita,1987,946.554273,X
79,GDP per capita,1992,1125.200478,X
80,GDP per capita,1997,1392.361721,X
81,GDP per capita,2002,1118.885372,X
82,GDP per capita,2007,1550.082013,X
83,GDP per capita,2012,2842.494459,X
84,GDP per capita,2017,3277.485183,X
85,GDP per capita,2018,3221.318341,X
86,"Agriculture, value added (% GDP)",2007,8.925839,X
87,"Agriculture, value added (% GDP)",2012,8.105894,X
88,"Agriculture, value added (% GDP)",2016,7.603827,X
89,"Agriculture, value added (% GDP)",2018,7.359645,X
90,Total population with access to safe drinking-water (JMP),1992,95.8,X
91,Total population with access to safe drinking-water (JMP),1997,96.0,X
92,Total population with access to safe drinking-water (JMP),2002,86.7,X
93,Total population with access to safe drinking-water (JMP),2007,76.0,X
94,Total population with access to safe drinking-water (JMP),2012,65.1,X
95,Total population with access to safe drinking-water (JMP),2017,58.4,I
96,Total population with access to safe drinking-water (JMP),2018,58.4,I
97,Long-term average annual precipitation in volume,1962,2.42004,E
98,Long-term average annual precipitation in volume,1967,2.42004,E
99,Long-term average annual precipitation in volume,1972,2.42004,E
100,Long-term average annual precipitation in volume,1977,2.42004,E
101,Long-term average annual precipitation in volume,1982,2.42004,E
102,Long-term average annual precipitation in volume,1987,2.42004,E
103,Long-term average annual precipitation in volume,1992,2.42004,E
104,Long-term average annual precipitation in volume,1997,2.42004,E
105,Long-term average annual precipitation in volume,2002,2.42004,E
106,Long-term average annual precipitation in volume,2007,2.42004,E
107,Long-term average annual precipitation in volume,2012,2.42004,E
108,Long-term average annual precipitation in volume,2017,2.42004,E
109,Long-term average annual precipitation in volume,2018,2.42004,E
110,Interannual variability (WRI),2017,2.7,I
111,Interannual variability (WRI),2018,2.7,I
112,Seasonal variability (WRI),2017,3.1,I
113,Seasonal variability (WRI),2018,3.1,I
114,Flood occurrence (WRI),2017,3.0,I
115,Flood occurrence (WRI),2018,3.0,I
116,Surface water: entering the country (total),1962,0.015,OF
117,Surface water: entering the country (total),1967,0.015,OF
118,Surface water: entering the country (total),1972,0.015,OF
119,Surface water: entering the country (total),1977,0.015,OF
120,Surface water: entering the country (total),1982,0.015,OF
121,Surface water: entering the country (total),1987,0.015,OF
122,Surface water: entering the country (total),1992,0.015,OF
123,Surface water: entering the country (total),1997,0.015,OF
124,Surface water: entering the country (total),2002,0.015,OF
125,Surface water: entering the country (total),2007,0.015,OF
126,Surface water: entering the country (total),2012,0.015,OF
127,Surface water: entering the country (total),2017,0.015,OF
128,Surface water: leaving the country to other countries (total),1962,0.017,OF
129,Surface water: leaving the country to other countries (total),1967,0.017,OF
