Sweden,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,45030.0,X
1,Total area of the country (excl. coastal water),1967,45030.0,X
2,Total area of the country (excl. coastal water),1972,45030.0,X
3,Total area of the country (excl. coastal water),1977,45030.0,X
4,Total area of the country (excl. coastal water),1982,45030.0,X
5,Total area of the country (excl. coastal water),1987,45030.0,X
6,Total area of the country (excl. coastal water),1992,45030.0,X
7,Total area of the country (excl. coastal water),1997,45030.0,X
8,Total area of the country (excl. coastal water),2002,45030.0,X
9,Total area of the country (excl. coastal water),2007,45030.0,X
10,Total area of the country (excl. coastal water),2012,44742.0,X
11,Total area of the country (excl. coastal water),2016,44743.0,X
12,Cultivated area (arable land + permanent crops),1962,3488.0,X
13,Cultivated area (arable land + permanent crops),1967,3100.0,X
14,Cultivated area (arable land + permanent crops),1972,3031.0,X
15,Cultivated area (arable land + permanent crops),1977,2994.0,X
16,Cultivated area (arable land + permanent crops),1982,2950.0,X
17,Cultivated area (arable land + permanent crops),1987,2890.0,X
18,Cultivated area (arable land + permanent crops),1992,2768.0,X
19,Cultivated area (arable land + permanent crops),1997,2799.0,X
20,Cultivated area (arable land + permanent crops),1999,2747.0,X
21,Total population,1962,7579.566,X
22,Total population,1967,7875.907,X
23,Total population,1972,8127.034,X
24,Total population,1977,8250.695,X
25,Total population,1982,8329.425,X
26,Total population,1987,8421.056,X
27,Total population,1992,8686.738,X
28,Total population,1997,8868.853,X
29,Total population,2002,8920.71,X
30,Total population,2007,9162.939,X
31,Total population,2012,9542.812,X
32,Total population,2017,9904.896,X
33,Total population,2018,9971.638,X
34,Rural population,1962,1950.137,X
35,Rural population,1967,1675.462,X
36,Rural population,1972,1472.163,X
37,Rural population,1977,1413.089,X
38,Rural population,1982,1407.673,X
39,Rural population,1987,1423.158,X
40,Rural population,1992,1445.366,X
41,Rural population,1997,1424.155,X
42,Rural population,2002,1415.408,X
43,Rural population,2007,1412.213,X
44,Rural population,2012,1371.997,X
45,Rural population,2017,1273.943,X
46,Rural population,2018,1254.718,X
47,Urban population,1962,5629.429,X
48,Urban population,1967,6200.445,X
49,Urban population,1972,6654.871,X
50,Urban population,1977,6837.606,X
51,Urban population,1982,6921.752,X
52,Urban population,1987,6997.898,X
53,Urban population,1992,7241.372,X
54,Urban population,1997,7444.698,X
55,Urban population,2002,7505.286,X
56,Urban population,2007,7751.03,X
57,Urban population,2012,8168.91,X
58,Urban population,2017,8636.758,X
59,Urban population,2018,8727.991,X
60,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.0584,I
61,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.0518,I
62,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.0526666667,I
63,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0547,I
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0547,I
65,Gross Domestic Product (GDP),1962,17511477311.0,X
66,Gross Domestic Product (GDP),1967,27463409202.0,X
67,Gross Domestic Product (GDP),1969,31649203886.0,X
68,GDP per capita,1972,5974.268171,X
69,GDP per capita,1977,11355.947704,X
70,GDP per capita,1982,13619.663427,X
71,GDP per capita,1987,21554.311989,X
72,GDP per capita,1992,32462.310513,X
73,GDP per capita,1997,30035.892484,X
74,GDP per capita,2002,29743.858567,X
75,GDP per capita,2007,53253.52945,X
76,GDP per capita,2012,57743.66925,X
77,GDP per capita,2017,54541.574444,X
78,GDP per capita,2018,55704.968354,X
79,Total population with access to safe drinking-water (JMP),1992,100.0,X
80,Total population with access to safe drinking-water (JMP),1997,100.0,X
81,Total population with access to safe drinking-water (JMP),2002,100.0,X
82,Total population with access to safe drinking-water (JMP),2007,100.0,X
83,Total population with access to safe drinking-water (JMP),2012,100.0,X
84,Total population with access to safe drinking-water (JMP),2017,100.0,I
85,Total population with access to safe drinking-water (JMP),2018,100.0,I
86,Long-term average annual precipitation in volume,1962,280.9872,E
87,Long-term average annual precipitation in volume,1967,280.9872,E
88,Long-term average annual precipitation in volume,1972,280.9872,E
89,Long-term average annual precipitation in volume,1977,280.9872,E
90,Long-term average annual precipitation in volume,1982,280.9872,E
91,Long-term average annual precipitation in volume,1987,280.9872,E
92,Long-term average annual precipitation in volume,1992,280.9872,E
93,Long-term average annual precipitation in volume,1997,280.9872,E
94,Long-term average annual precipitation in volume,2002,280.9872,E
95,Long-term average annual precipitation in volume,2007,280.9872,E
96,Long-term average annual precipitation in volume,2012,279.19008,E
97,Long-term average annual precipitation in volume,2016,279.19632,E
98,Interannual variability (WRI),2017,1.5,I
99,Interannual variability (WRI),2018,1.5,I
100,Seasonal variability (WRI),2017,1.2,I
101,Seasonal variability (WRI),2018,1.2,I
102,Flood occurrence (WRI),2017,0.4,I
103,Flood occurrence (WRI),2018,0.4,I
104,Surface water: entering the country (total),1962,3.0,OF
105,Surface water: entering the country (total),1967,3.0,OF
106,Surface water: entering the country (total),1972,3.0,OF
107,Surface water: entering the country (total),1977,3.0,OF
108,Surface water: entering the country (total),1982,3.0,OF
