Switzerland,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,4129.0,X
1,Total area of the country (excl. coastal water),1967,4129.0,X
2,Total area of the country (excl. coastal water),1972,4129.0,X
3,Total area of the country (excl. coastal water),1977,4129.0,X
4,Total area of the country (excl. coastal water),1982,4129.0,X
5,Total area of the country (excl. coastal water),1987,4129.0,X
6,Total area of the country (excl. coastal water),1992,4129.0,X
7,Total area of the country (excl. coastal water),1997,4129.0,X
8,Total area of the country (excl. coastal water),2002,4129.0,X
9,Total area of the country (excl. coastal water),2007,4129.0,X
10,Total area of the country (excl. coastal water),2012,4129.0,X
11,Total area of the country (excl. coastal water),2017,4129.039,E
12,Total area of the country (excl. coastal water),2018,4129.039,E
13,Cultivated area (arable land + permanent crops),1962,410.2,X
14,Cultivated area (arable land + permanent crops),1967,379.3,X
15,Cultivated area (arable land + permanent crops),1972,380.0,X
16,Cultivated area (arable land + permanent crops),1977,389.6,X
17,Cultivated area (arable land + permanent crops),1982,410.9,X
18,Cultivated area (arable land + permanent crops),1987,421.7,X
19,Cultivated area (arable land + permanent crops),1992,429.4,X
20,Cultivated area (arable land + permanent crops),1997,438.4,X
21,Cultivated area (arable land + permanent crops),2002,432.3,X
22,Cultivated area (arable land + permanent crops),2007,430.0,X
23,Cultivated area (arable land + permanent crops),2012,428.2,X
24,Cultivated area (arable land + permanent crops),2015,423.2128,X
25,Total population,1962,5487.043,X
26,Total population,1967,5973.945,X
27,Total population,1972,6251.288,X
28,Total population,1977,6321.815,X
29,Total population,1982,6321.409,X
30,Total population,1987,6510.597,X
31,Total population,1992,6792.906,X
32,Total population,1997,7068.508,X
33,Total population,2002,7220.377,X
34,Total population,2007,7536.982,X
35,Total population,2012,8008.012,X
36,Total population,2017,8455.804,X
37,Total population,2018,8525.611,X
38,Rural population,1962,1566.193,X
39,Rural population,1967,1618.163,X
40,Rural population,1972,1627.353,X
41,Rural population,1977,1628.663,X
42,Rural population,1982,1623.057,X
43,Rural population,1987,1691.331,X
44,Rural population,1992,1784.574,X
45,Rural population,1997,1876.064,X
46,Rural population,2002,1926.831,X
47,Rural population,2007,2001.241,X
48,Rural population,2012,2116.141,X
49,Rural population,2017,2224.037,X
50,Rural population,2018,2238.762,X
51,Urban population,1962,3936.805,X
52,Urban population,1967,4373.516,X
53,Urban population,1972,4642.768,X
54,Urban population,1977,4712.518,X
55,Urban population,1982,4718.491,X
56,Urban population,1987,4840.558,X
57,Urban population,1992,5030.802,X
58,Urban population,1997,5215.701,X
59,Urban population,2002,5317.083,X
60,Urban population,2007,5559.117,X
61,Urban population,2012,5915.529,X
62,Urban population,2017,6251.968,X
63,Urban population,2018,6305.272,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.0936,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.0772,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.0423333333,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0278,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0278,I
69,Gross Domestic Product (GDP),1962,11879982759.0,X
70,Gross Domestic Product (GDP),1967,17740013179.0,X
71,Gross Domestic Product (GDP),1972,35777705318.0,X
72,Gross Domestic Product (GDP),1979,111638662498.0,X
73,GDP per capita,1972,5706.06298,X
74,GDP per capita,1977,11199.314577,X
75,GDP per capita,1982,17616.02462,X
76,GDP per capita,1987,29618.872168,X
77,GDP per capita,1992,39881.999624,X
78,GDP per capita,1997,40401.320064,X
79,GDP per capita,2002,41609.461379,X
80,GDP per capita,2007,63479.360948,X
81,GDP per capita,2012,83176.178077,X
82,GDP per capita,2017,80220.632483,X
83,GDP per capita,2018,82530.174862,X
84,Total population with access to safe drinking-water (JMP),1992,100.0,X
85,Total population with access to safe drinking-water (JMP),1997,100.0,X
86,Total population with access to safe drinking-water (JMP),2002,100.0,X
87,Total population with access to safe drinking-water (JMP),2007,100.0,X
88,Total population with access to safe drinking-water (JMP),2012,100.0,X
89,Total population with access to safe drinking-water (JMP),2017,100.0,I
90,Total population with access to safe drinking-water (JMP),2018,100.0,I
91,Long-term average annual precipitation in volume,1962,63.46273,E
92,Long-term average annual precipitation in volume,1967,63.46273,E
93,Long-term average annual precipitation in volume,1972,63.46273,E
94,Long-term average annual precipitation in volume,1977,63.46273,E
95,Long-term average annual precipitation in volume,1982,63.46273,E
96,Long-term average annual precipitation in volume,1987,63.46273,E
97,Long-term average annual precipitation in volume,1992,63.46273,E
98,Long-term average annual precipitation in volume,1997,63.46273,E
99,Long-term average annual precipitation in volume,2002,63.46273,E
100,Long-term average annual precipitation in volume,2007,63.46273,E
101,Long-term average annual precipitation in volume,2012,63.46273,E
102,Long-term average annual precipitation in volume,2017,63.46332943,E
103,Long-term average annual precipitation in volume,2018,63.46332943,E
104,Interannual variability (WRI),2017,0.8,I
105,Interannual variability (WRI),2018,0.8,I
