Timor-Leste,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,1487.0,X
1,Total area of the country (excl. coastal water),1967,1487.0,X
2,Total area of the country (excl. coastal water),1972,1487.0,X
3,Total area of the country (excl. coastal water),1977,1487.0,X
4,Total area of the country (excl. coastal water),1982,1487.0,X
5,Total area of the country (excl. coastal water),1987,1487.0,X
6,Total area of the country (excl. coastal water),1992,1487.0,X
7,Total area of the country (excl. coastal water),1997,1487.0,X
8,Total area of the country (excl. coastal water),2002,1487.0,X
9,Total area of the country (excl. coastal water),2007,1487.0,X
10,Total area of the country (excl. coastal water),2012,1487.0,X
11,Total area of the country (excl. coastal water),2017,1487.0,E
12,Total area of the country (excl. coastal water),2018,1487.0,E
13,Cultivated area (arable land + permanent crops),1962,80.0,X
14,Cultivated area (arable land + permanent crops),1967,82.0,X
15,Cultivated area (arable land + permanent crops),1972,95.0,X
16,Cultivated area (arable land + permanent crops),1977,112.0,X
17,Cultivated area (arable land + permanent crops),1982,134.0,X
18,Cultivated area (arable land + permanent crops),1987,149.0,X
19,Cultivated area (arable land + permanent crops),1992,180.0,X
20,Cultivated area (arable land + permanent crops),1997,193.0,X
21,Cultivated area (arable land + permanent crops),2002,212.0,X
22,Cultivated area (arable land + permanent crops),2007,225.0,X
23,Cultivated area (arable land + permanent crops),2012,234.0,X
24,Cultivated area (arable land + permanent crops),2017,230.0,X
25,Cultivated area (arable land + permanent crops),2018,230.0,X
26,Total population,1962,491.571,X
27,Total population,1967,538.909,X
28,Total population,1972,600.192,X
29,Total population,1977,619.816,X
30,Total population,1982,613.238,X
31,Total population,1987,686.471,X
32,Total population,1992,783.198,X
33,Total population,1997,861.866,X
34,Total population,2002,922.694,X
35,Total population,2007,1036.392,X
36,Total population,2012,1132.994,X
37,Total population,2017,1243.258,X
38,Total population,2018,1267.974,X
39,Rural population,1962,463.649,X
40,Rural population,1967,501.054,X
41,Rural population,1972,551.996,X
42,Rural population,1977,538.608,X
43,Rural population,1982,499.916,X
44,Rural population,1987,563.458,X
45,Rural population,1992,631.947,X
46,Rural population,1997,669.563,X
47,Rural population,2002,693.062,X
48,Rural population,2007,780.526,X
49,Rural population,2012,827.913,X
50,Rural population,2017,904.669,X
51,Rural population,2018,919.214,X
52,Urban population,1962,54.458,X
53,Urban population,1967,67.977,X
54,Urban population,1972,86.503,X
55,Urban population,1977,97.488,X
56,Urban population,1982,104.514,X
57,Urban population,1987,136.064,X
58,Urban population,1992,173.488,X
59,Urban population,1997,202.431,X
60,Urban population,2002,230.763,X
61,Urban population,2007,284.447,X
62,Urban population,2012,328.847,X
63,Urban population,2017,391.642,X
64,Urban population,2018,404.88,X
65,Gross Domestic Product (GDP),1992,297479485.0,X
66,Gross Domestic Product (GDP),1993,343430082.0,X
67,GDP per capita,1992,369.340152,X
68,GDP per capita,1997,545.961025,X
69,GDP per capita,2002,552.785473,X
70,GDP per capita,2007,2705.270676,X
71,GDP per capita,2012,5758.899491,X
72,GDP per capita,2017,1918.728945,X
73,GDP per capita,2018,1949.257379,X
74,"Agriculture, value added (% GDP)",1992,21.15681,X
75,"Agriculture, value added (% GDP)",1993,21.430854,X
76,Number of people undernourished (3-year average),1992,400.0,X
77,Number of people undernourished (3-year average),1997,300.0,X
78,Number of people undernourished (3-year average),2002,400.0,X
79,Number of people undernourished (3-year average),2007,300.0,X
80,Number of people undernourished (3-year average),2012,300.0,X
81,Number of people undernourished (3-year average),2013,400.0,X
82,Prevalence of undernourishment (3-year average),1992,45.2,X
83,Prevalence of undernourishment (3-year average),1997,36.2,X
84,Prevalence of undernourishment (3-year average),2001,40.4,X
85,Total population with access to safe drinking-water (JMP),1997,52.9,X
86,Total population with access to safe drinking-water (JMP),2002,56.9,X
87,Total population with access to safe drinking-water (JMP),2007,63.8,X
88,Total population with access to safe drinking-water (JMP),2012,71.2,X
89,Total population with access to safe drinking-water (JMP),2017,71.9,I
90,Total population with access to safe drinking-water (JMP),2018,71.9,I
91,Long-term average annual precipitation in volume,1962,22.305,E
92,Long-term average annual precipitation in volume,1967,22.305,E
93,Long-term average annual precipitation in volume,1972,22.305,E
94,Long-term average annual precipitation in volume,1977,22.305,E
95,Long-term average annual precipitation in volume,1982,22.305,E
96,Long-term average annual precipitation in volume,1987,22.305,E
97,Long-term average annual precipitation in volume,1992,22.305,E
98,Long-term average annual precipitation in volume,1997,22.305,E
99,Long-term average annual precipitation in volume,2002,22.305,E
100,Long-term average annual precipitation in volume,2007,22.305,E
101,Long-term average annual precipitation in volume,2012,22.305,E
102,Long-term average annual precipitation in volume,2017,22.305,E
103,Long-term average annual precipitation in volume,2018,22.305,E
104,Interannual variability (WRI),2017,2.7,I
105,Interannual variability (WRI),2018,2.7,I
106,Seasonal variability (WRI),2017,3.6,I
107,Seasonal variability (WRI),2018,3.6,I
108,Flood occurrence (WRI),2017,2.2,I
109,Flood occurrence (WRI),2018,2.2,I
110,Surface water: entering the country (total),1962,0.0,E
111,Surface water: entering the country (total),1967,0.0,E
112,Surface water: entering the country (total),1972,0.0,E
113,Surface water: entering the country (total),1977,0.0,E
114,Surface water: entering the country (total),1982,0.0,E
115,Surface water: entering the country (total),1987,0.0,E
116,Surface water: entering the country (total),1992,0.0,E
117,Surface water: entering the country (total),1997,0.0,E
118,Surface water: entering the country (total),2002,0.0,E
119,Surface water: entering the country (total),2007,0.0,E
120,Surface water: entering the country (total),2012,0.0,E
121,Surface water: entering the country (total),2017,0.0,E
122,Surface water: leaving the country to other countries (total),1962,0.0,E
123,Surface water: leaving the country to other countries (total),1967,0.0,E
124,Surface water: leaving the country to other countries (total),1972,0.0,E
125,Surface water: leaving the country to other countries (total),1977,0.0,E
126,Surface water: leaving the country to other countries (total),1982,0.0,E
127,Surface water: leaving the country to other countries (total),1987,0.0,E
128,Surface water: leaving the country to other countries (total),1992,0.0,E
129,Surface water: leaving the country to other countries (total),1997,0.0,E
130,Surface water: leaving the country to other countries (total),2002,0.0,E
131,Surface water: leaving the country to other countries (total),2007,0.0,E
