Togo,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,5679.0,X
1,Total area of the country (excl. coastal water),1967,5679.0,X
2,Total area of the country (excl. coastal water),1972,5679.0,X
3,Total area of the country (excl. coastal water),1977,5679.0,X
4,Total area of the country (excl. coastal water),1982,5679.0,X
5,Total area of the country (excl. coastal water),1987,5679.0,X
6,Total area of the country (excl. coastal water),1992,5679.0,X
7,Total area of the country (excl. coastal water),1997,5679.0,X
8,Total area of the country (excl. coastal water),2002,5679.0,X
9,Total area of the country (excl. coastal water),2007,5679.0,X
10,Total area of the country (excl. coastal water),2012,5679.0,X
11,Total area of the country (excl. coastal water),2017,5679.0,E
12,Total area of the country (excl. coastal water),2018,5679.0,E
13,Cultivated area (arable land + permanent crops),1962,1870.0,X
14,Cultivated area (arable land + permanent crops),1967,1875.0,X
15,Cultivated area (arable land + permanent crops),1972,1880.0,X
16,Cultivated area (arable land + permanent crops),1977,1880.0,X
17,Cultivated area (arable land + permanent crops),1982,2035.0,X
18,Cultivated area (arable land + permanent crops),1987,2110.0,X
19,Cultivated area (arable land + permanent crops),1992,2195.0,X
20,Cultivated area (arable land + permanent crops),1997,2450.0,X
21,Cultivated area (arable land + permanent crops),2002,2505.0,X
22,Cultivated area (arable land + permanent crops),2007,2495.0,X
23,Cultivated area (arable land + permanent crops),2012,2850.0,X
24,Cultivated area (arable land + permanent crops),2017,2820.0,X
25,Cultivated area (arable land + permanent crops),2018,2820.0,X
26,Total population,1962,1612.755,X
27,Total population,1967,1855.442,X
28,Total population,1972,2247.582,X
29,Total population,1977,2518.457,X
30,Total population,1982,2915.62,X
31,Total population,1987,3471.739,X
32,Total population,1992,3945.905,X
33,Total population,1997,4485.951,X
34,Total population,2002,5197.031,X
35,Total population,2007,5920.359,X
36,Total population,2012,6773.809,X
37,Total population,2017,7698.474,X
38,Total population,2018,7889.093,X
39,Rural population,1962,1421.747,X
40,Rural population,1967,1533.079,X
41,Rural population,1972,1754.717,X
42,Rural population,1977,1923.914,X
43,Rural population,1982,2174.893,X
44,Rural population,1987,2523.511,X
45,Rural population,1992,2804.16,X
46,Rural population,1997,3102.729,X
47,Rural population,2002,3476.016,X
48,Rural population,2007,3831.357,X
49,Rural population,2012,4215.435,X
50,Rural population,2017,4588.034,X
51,Rural population,2018,4658.578,X
52,Urban population,1962,191.008,X
53,Urban population,1967,322.363,X
54,Urban population,1972,492.865,X
55,Urban population,1977,594.652,X
56,Urban population,1982,740.173,X
57,Urban population,1987,950.569,X
58,Urban population,1992,1169.167,X
