Tonga,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,75.0,X
1,Total area of the country (excl. coastal water),1967,75.0,X
2,Total area of the country (excl. coastal water),1972,75.0,X
3,Total area of the country (excl. coastal water),1977,75.0,X
4,Total area of the country (excl. coastal water),1982,75.0,X
5,Total area of the country (excl. coastal water),1987,75.0,X
6,Total area of the country (excl. coastal water),1992,75.0,X
7,Total area of the country (excl. coastal water),1997,75.0,X
8,Total area of the country (excl. coastal water),2002,75.0,X
9,Total area of the country (excl. coastal water),2007,75.0,X
10,Total area of the country (excl. coastal water),2012,75.0,X
11,Total area of the country (excl. coastal water),2017,75.0,E
12,Total area of the country (excl. coastal water),2018,75.0,E
13,Cultivated area (arable land + permanent crops),1962,27.0,X
14,Cultivated area (arable land + permanent crops),1967,29.0,X
15,Cultivated area (arable land + permanent crops),1972,30.0,X
16,Cultivated area (arable land + permanent crops),1977,29.0,X
17,Cultivated area (arable land + permanent crops),1982,30.0,X
18,Cultivated area (arable land + permanent crops),1987,29.0,X
19,Cultivated area (arable land + permanent crops),1992,28.0,X
20,Cultivated area (arable land + permanent crops),1997,27.0,X
21,Cultivated area (arable land + permanent crops),2002,26.0,X
22,Cultivated area (arable land + permanent crops),2007,27.0,X
23,Cultivated area (arable land + permanent crops),2012,29.0,X
24,Cultivated area (arable land + permanent crops),2017,31.0,X
25,Cultivated area (arable land + permanent crops),2018,31.0,X
26,Total population,1962,66.235,X
27,Total population,1967,79.029,X
28,Total population,1972,86.323,X
29,Total population,1977,90.273,X
30,Total population,1982,93.641,X
31,Total population,1987,94.321,X
32,Total population,1992,95.399,X
33,Total population,1997,96.619,X
34,Total population,2002,99.022,X
35,Total population,2007,102.581,X
36,Total population,2012,102.737,X
37,Total population,2017,101.998,X
38,Total population,2018,103.197,X
39,Rural population,1962,54.126,X
40,Rural population,1967,63.165,X
41,Rural population,1972,68.864,X
42,Rural population,1977,71.781,X
43,Rural population,1982,73.451,X
44,Rural population,1987,73.045,X
45,Rural population,1992,73.753,X
46,Rural population,1997,74.549,X
47,Rural population,2002,76.303,X
48,Rural population,2007,78.582,X
49,Rural population,2012,80.356,X
50,Rural population,2017,82.993,X
51,Rural population,2018,83.793,X
52,Urban population,1962,12.133,X
53,Urban population,1967,15.887,X
54,Urban population,1972,17.483,X
55,Urban population,1977,18.514,X
56,Urban population,1982,20.23,X
57,Urban population,1987,21.339,X
58,Urban population,1992,21.743,X
59,Urban population,1997,22.176,X
60,Urban population,2002,22.881,X
61,Urban population,2007,23.775,X
62,Urban population,2012,24.595,X
63,Urban population,2017,25.027,X
64,Urban population,2018,25.215,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.5856,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.4712,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.464,I
