Tunisia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,16361.0,X
1,Total area of the country (excl. coastal water),1967,16361.0,X
2,Total area of the country (excl. coastal water),1972,16361.0,X
3,Total area of the country (excl. coastal water),1977,16361.0,X
4,Total area of the country (excl. coastal water),1982,16361.0,X
5,Total area of the country (excl. coastal water),1987,16361.0,X
6,Total area of the country (excl. coastal water),1992,16361.0,X
7,Total area of the country (excl. coastal water),1997,16361.0,X
8,Total area of the country (excl. coastal water),2002,16361.0,X
9,Total area of the country (excl. coastal water),2007,16361.0,X
10,Total area of the country (excl. coastal water),2012,16361.0,X
11,Total area of the country (excl. coastal water),2017,16361.0,E
12,Total area of the country (excl. coastal water),2018,16361.0,E
13,Cultivated area (arable land + permanent crops),1962,4250.0,X
14,Cultivated area (arable land + permanent crops),1967,4334.0,X
15,Cultivated area (arable land + permanent crops),1972,4780.0,X
16,Cultivated area (arable land + permanent crops),1977,5107.0,X
17,Cultivated area (arable land + permanent crops),1982,4860.0,X
18,Cultivated area (arable land + permanent crops),1987,4860.0,X
19,Cultivated area (arable land + permanent crops),1992,4881.0,X
20,Cultivated area (arable land + permanent crops),1997,4917.0,X
21,Cultivated area (arable land + permanent crops),2002,4908.0,X
22,Cultivated area (arable land + permanent crops),2007,4935.0,X
23,Cultivated area (arable land + permanent crops),2012,5123.0,X
24,Cultivated area (arable land + permanent crops),2017,4993.0,X
25,Cultivated area (arable land + permanent crops),2018,4993.0,X
26,Total population,1962,4305.481,X
27,Total population,1967,4740.511,X
28,Total population,1972,5291.338,X
29,Total population,1977,5919.965,X
30,Total population,1982,6740.529,X
31,Total population,1987,7700.736,X
32,Total population,1992,8613.861,X
33,Total population,1997,9395.123,X
34,Total population,2002,9871.251,X
35,Total population,2007,10304.726,X
36,Total population,2012,10847.002,X
37,Total population,2017,11433.443,X
38,Total population,2018,11565.201,X
39,Rural population,1962,2651.134,X
40,Rural population,1967,2793.498,X
41,Rural population,1972,2901.179,X
42,Rural population,1977,3029.715,X
43,Rural population,1982,3248.453,X
44,Rural population,1987,3423.715,X
45,Rural population,1992,3478.938,X
46,Rural population,1997,3541.385,X
47,Rural population,2002,3531.202,X
48,Rural population,2007,3521.038,X
49,Rural population,2012,3568.906,X
50,Rural population,2017,3616.197,X
51,Rural population,2018,3620.748,X
52,Urban population,1962,1651.997,X
53,Urban population,1967,1944.129,X
54,Urban population,1972,2386.364,X
55,Urban population,1977,2885.291,X
56,Urban population,1982,3485.508,X
57,Urban population,1987,4268.539,X
58,Urban population,1992,5124.287,X
59,Urban population,1997,5842.767,X
60,Urban population,2002,6333.124,X
61,Urban population,2007,6777.049,X
62,Urban population,2012,7317.762,X
63,Urban population,2017,7915.93,X
64,Urban population,2018,8038.426,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3175,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.27375,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2404,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2404,I
69,Gross Domestic Product (GDP),1962,880027761.0,X
70,Gross Domestic Product (GDP),1967,1085714286.0,X
71,Gross Domestic Product (GDP),1972,2456627935.0,X
72,Gross Domestic Product (GDP),1977,5610218971.0,X
73,Gross Domestic Product (GDP),1982,8929910897.0,X
74,Gross Domestic Product (GDP),1987,10646090580.0,X
75,Gross Domestic Product (GDP),1992,17014069538.0,X
76,Gross Domestic Product (GDP),1997,20746659179.0,X
77,Gross Domestic Product (GDP),1999,22943285282.0,X
78,Gross Domestic Product (GDP),2006,34376664601.0,X
79,Gross Domestic Product (GDP),2011,45811168859.0,X
80,GDP per capita,1972,464.606706,X
81,GDP per capita,1977,948.472237,X
82,GDP per capita,1982,1326.100774,X
83,GDP per capita,1987,1384.001436,X
84,GDP per capita,1992,1977.638564,X
85,GDP per capita,1997,2210.818748,X
86,GDP per capita,2002,2346.00236,X
87,GDP per capita,2007,3778.360077,X
88,GDP per capita,2012,4137.570216,X
89,GDP per capita,2017,3452.359126,X
90,GDP per capita,2018,3421.77736,X
91,"Agriculture, value added (% GDP)",1967,18.79,X
92,"Agriculture, value added (% GDP)",1972,18.250234,X
93,"Agriculture, value added (% GDP)",1977,13.456556,X
94,"Agriculture, value added (% GDP)",1982,11.191254,X
95,"Agriculture, value added (% GDP)",1987,13.949202,X
96,"Agriculture, value added (% GDP)",1992,13.715972,X
97,"Agriculture, value added (% GDP)",1997,11.234387,X
98,"Agriculture, value added (% GDP)",1999,10.606157,X
99,"Agriculture, value added to GDP",1967,176952381.0,X
100,"Agriculture, value added to GDP",1969,205333333.0,X
101,Number of people undernourished (3-year average),2002,400.0,X
102,Number of people undernourished (3-year average),2007,400.0,X
103,Number of people undernourished (3-year average),2012,400.0,X
104,Number of people undernourished (3-year average),2017,500.0,X
105,Number of people undernourished (3-year average),2018,500.0,X
106,Prevalence of undernourishment (3-year average),2002,4.4,X
107,Prevalence of undernourishment (3-year average),2007,4.3,X
108,Prevalence of undernourishment (3-year average),2012,3.3,X
109,Prevalence of undernourishment (3-year average),2017,4.3,X
110,Prevalence of undernourishment (3-year average),2018,4.3,X
111,Total population with access to safe drinking-water (JMP),1992,84.2,X
112,Total population with access to safe drinking-water (JMP),1997,87.9,X
113,Total population with access to safe drinking-water (JMP),2002,91.1,X
114,Total population with access to safe drinking-water (JMP),2007,94.1,X
115,Total population with access to safe drinking-water (JMP),2012,96.9,X
116,Total population with access to safe drinking-water (JMP),2017,97.7,I
117,Total population with access to safe drinking-water (JMP),2018,97.7,I
118,Long-term average annual precipitation in volume,1962,33.86727,E
119,Long-term average annual precipitation in volume,1967,33.86727,E
120,Long-term average annual precipitation in volume,1972,33.86727,E
121,Long-term average annual precipitation in volume,1977,33.86727,E
122,Long-term average annual precipitation in volume,1982,33.86727,E
123,Long-term average annual precipitation in volume,1987,33.86727,E
124,Long-term average annual precipitation in volume,1992,33.86727,E
125,Long-term average annual precipitation in volume,1997,33.86727,E
126,Long-term average annual precipitation in volume,2002,33.86727,E
127,Long-term average annual precipitation in volume,2007,33.86727,E
128,Long-term average annual precipitation in volume,2012,33.86727,E
129,Long-term average annual precipitation in volume,2017,33.86727,E
130,Long-term average annual precipitation in volume,2018,33.86727,E
