Turkmenistan,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,48810.0,X
1,Total area of the country (excl. coastal water),1997,48810.0,X
2,Total area of the country (excl. coastal water),2002,48810.0,X
3,Total area of the country (excl. coastal water),2007,48810.0,X
4,Total area of the country (excl. coastal water),2012,48810.0,X
5,Total area of the country (excl. coastal water),2017,48810.0,E
6,Total area of the country (excl. coastal water),2018,48810.0,E
7,Cultivated area (arable land + permanent crops),1992,1550.0,X
8,Cultivated area (arable land + permanent crops),1997,1800.0,X
9,Cultivated area (arable land + permanent crops),2002,2100.0,X
10,Cultivated area (arable land + permanent crops),2007,2100.0,X
11,Cultivated area (arable land + permanent crops),2012,2000.0,X
12,Cultivated area (arable land + permanent crops),2017,2000.0,X
13,Cultivated area (arable land + permanent crops),2018,2000.0,X
14,Total population,1992,3899.843,X
15,Total population,1997,4355.116,X
16,Total population,2002,4610.005,X
17,Total population,2007,4870.141,X
18,Total population,2012,5267.9,X
19,Total population,2017,5757.667,X
20,Total population,2018,5850.901,X
21,Rural population,1992,2148.654,X
22,Rural population,1997,2384.819,X
23,Rural population,2002,2472.713,X
24,Rural population,2007,2552.898,X
25,Rural population,2012,2677.355,X
26,Rural population,2017,2812.629,X
27,Rural population,2018,2832.499,X
28,Urban population,1992,1751.189,X
29,Urban population,1997,1970.295,X
30,Urban population,2002,2137.289,X
31,Urban population,2007,2317.239,X
32,Urban population,2012,2590.484,X
33,Urban population,2017,2945.446,X
34,Urban population,2018,3018.967,X
35,Gross Domestic Product (GDP),1992,2633726193.0,X
36,Gross Domestic Product (GDP),1997,2681068281.0,X
37,Gross Domestic Product (GDP),2002,8699983269.0,X
38,Gross Domestic Product (GDP),2007,18489186212.0,X
39,Gross Domestic Product (GDP),2012,35164280702.0,X
40,Gross Domestic Product (GDP),2017,37915175476.0,X
41,Gross Domestic Product (GDP),2018,40749261428.0,X
42,GDP per capita,1992,675.341595,X
43,GDP per capita,1997,615.6138,X
44,GDP per capita,2002,1887.197287,X
45,GDP per capita,2007,3796.440678,X
46,GDP per capita,2012,6675.276276,X
47,GDP per capita,2017,6584.696357,X
48,GDP per capita,2018,6963.940563,X
49,"Agriculture, value added (% GDP)",1992,10.875,X
