,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,24155.0,X
1,Total area of the country (excl. coastal water),4100,1967,24155.0,X
2,Total area of the country (excl. coastal water),4100,1972,24155.0,X
3,Total area of the country (excl. coastal water),4100,1977,24155.0,X
4,Total area of the country (excl. coastal water),4100,1982,24155.0,X
5,Total area of the country (excl. coastal water),4100,1987,24155.0,X
6,Total area of the country (excl. coastal water),4100,1992,24155.0,X
7,Total area of the country (excl. coastal water),4100,1997,24155.0,X
8,Total area of the country (excl. coastal water),4100,2002,24155.0,X
9,Total area of the country (excl. coastal water),4100,2007,24155.0,X
10,Total area of the country (excl. coastal water),4100,2012,24155.0,X
11,Total area of the country (excl. coastal water),4100,2017,24155.0,E
12,Total area of the country (excl. coastal water),4100,2018,24155.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,4114.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,4888.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,5100.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,5538.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,5840.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,6705.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,6940.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,7060.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,7700.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,8450.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,9100.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,9100.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,9100.0,X
26,Total population,4104,1962,7215.796,X
27,Total population,4104,1967,8550.443,X
28,Total population,4104,1972,9929.636,X
29,Total population,4104,1977,11368.615,X
30,Total population,4104,1982,13221.991,X
31,Total population,4104,1987,15612.754,X
32,Total population,4104,1992,18561.674,X
33,Total population,4104,1997,21655.398,X
34,Total population,4104,2002,25167.257,X
35,Total population,4104,2007,29486.338,X
36,Total population,4104,2012,34558.704,X
37,Total population,4104,2017,41166.588,X
38,Total population,4104,2018,42729.036,X
39,Rural population,4105,1962,6890.738,X
40,Rural population,4105,1967,8064.602,X
41,Rural population,4105,1972,9307.964,X
42,Rural population,4105,1977,10645.354,X
43,Rural population,4105,1982,12237.943,X
44,Rural population,4105,1987,14144.331,X
45,Rural population,4105,1992,16453.782,X
46,Rural population,4105,1997,18893.474,X
47,Rural population,4105,2002,21699.29,X
48,Rural population,4105,2007,25115.006,X
49,Rural population,4105,2012,28891.6,X
50,Rural population,4105,2017,32920.646,X
51,Rural population,4105,2018,33745.48,X
52,Urban population,4106,1962,349.436,X
53,Urban population,4106,1967,516.074,X
