,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1992,60356.0,X
1,Total area of the country (excl. coastal water),4100,1997,60355.0,X
2,Total area of the country (excl. coastal water),4100,2002,60355.0,X
3,Total area of the country (excl. coastal water),4100,2007,60355.0,X
4,Total area of the country (excl. coastal water),4100,2012,60355.0,X
5,Total area of the country (excl. coastal water),4100,2017,60355.0,E
6,Total area of the country (excl. coastal water),4100,2018,60355.0,E
7,Cultivated area (arable land + permanent crops),4103,1992,34456.0,X
8,Cultivated area (arable land + permanent crops),4103,1997,34081.0,X
9,Cultivated area (arable land + permanent crops),4103,2002,33457.0,X
10,Cultivated area (arable land + permanent crops),4103,2007,33333.0,X
11,Cultivated area (arable land + permanent crops),4103,2012,33412.0,X
12,Cultivated area (arable land + permanent crops),4103,2016,33673.0,X
13,Total population,4104,1992,51415.965,X
14,Total population,4104,1997,50187.276,X
15,Total population,4104,2002,47980.039,X
16,Total population,4104,2007,46366.353,X
17,Total population,4104,2012,45453.806,X
18,Total population,4104,2017,44487.709,X
19,Total population,4104,2018,44246.156,X
20,Rural population,4105,1992,17052.692,X
21,Rural population,4105,1997,16548.086,X
22,Rural population,4105,2002,15697.688,X
23,Rural population,4105,2007,14775.381,X
24,Rural population,4105,2012,14157.02,X
25,Rural population,4105,2017,13600.408,X
26,Rural population,4105,2018,13487.744,X
27,Urban population,4106,1992,34364.74,X
28,Urban population,4106,1997,33641.228,X
29,Urban population,4106,2002,32281.904,X
30,Urban population,4106,2007,31610.974,X
31,Urban population,4106,2012,31192.313,X
32,Urban population,4106,2017,30622.539,X
33,Urban population,4106,2018,30521.47,X
34,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.3546,I
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.3343333333,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.2864,I
37,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.2864,I
38,Gross Domestic Product (GDP),4112,1992,81261826281.0,X
