United Arab Emirates,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,8360.0,X
1,Total area of the country (excl. coastal water),1967,8360.0,X
2,Total area of the country (excl. coastal water),1972,8360.0,X
3,Total area of the country (excl. coastal water),1977,8360.0,X
4,Total area of the country (excl. coastal water),1982,8360.0,X
5,Total area of the country (excl. coastal water),1987,8360.0,X
6,Total area of the country (excl. coastal water),1992,8360.0,X
7,Total area of the country (excl. coastal water),1997,8360.0,X
8,Total area of the country (excl. coastal water),2002,8360.0,X
9,Total area of the country (excl. coastal water),2007,8360.0,X
10,Total area of the country (excl. coastal water),2012,8360.0,X
11,Total area of the country (excl. coastal water),2017,7120.2135,E
12,Total area of the country (excl. coastal water),2018,7120.2135,E
13,Cultivated area (arable land + permanent crops),1962,8.0,X
14,Cultivated area (arable land + permanent crops),1967,10.0,X
15,Cultivated area (arable land + permanent crops),1972,12.0,X
16,Cultivated area (arable land + permanent crops),1977,17.0,X
17,Cultivated area (arable land + permanent crops),1982,27.0,X
18,Cultivated area (arable land + permanent crops),1987,38.0,X
19,Cultivated area (arable land + permanent crops),1992,69.0,X
20,Cultivated area (arable land + permanent crops),1997,95.0,X
21,Cultivated area (arable land + permanent crops),2002,266.0,X
22,Cultivated area (arable land + permanent crops),2007,232.6,X
23,Cultivated area (arable land + permanent crops),2012,76.7,X
24,Cultivated area (arable land + permanent crops),2017,83.8,X
25,Cultivated area (arable land + permanent crops),2018,81.75,X
26,Total population,1962,112.118,X
27,Total population,1967,169.771,X
28,Total population,1972,330.974,X
29,Total population,1977,735.344,X
30,Total population,1982,1164.806,X
31,Total population,1987,1533.536,X
32,Total population,1992,2052.891,X
33,Total population,1997,2671.362,X
34,Total population,2002,3478.777,X
35,Total population,2007,6168.838,X
36,Total population,2012,9141.596,X
37,Total population,2017,9487.203,X
38,Total population,2018,9630.959,X
39,Rural population,1962,27.839,X
40,Rural population,1967,35.296,X
41,Rural population,1972,67.218,X
42,Rural population,1977,148.827,X
43,Rural population,1982,232.366,X
44,Rural population,1987,320.23,X
45,Rural population,1992,443.197,X
