United Kingdom of Great Britain and Northern Ireland,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,24361.0,X
1,Total area of the country (excl. coastal water),1967,24361.0,X
2,Total area of the country (excl. coastal water),1972,24361.0,X
3,Total area of the country (excl. coastal water),1977,24361.0,X
4,Total area of the country (excl. coastal water),1982,24361.0,X
5,Total area of the country (excl. coastal water),1987,24361.0,X
6,Total area of the country (excl. coastal water),1992,24361.0,X
7,Total area of the country (excl. coastal water),1997,24361.0,X
8,Total area of the country (excl. coastal water),2002,24361.0,X
9,Total area of the country (excl. coastal water),2007,24361.0,X
10,Total area of the country (excl. coastal water),2012,24361.0,X
11,Total area of the country (excl. coastal water),2017,24361.0,E
12,Total area of the country (excl. coastal water),2018,24361.0,E
13,Cultivated area (arable land + permanent crops),1962,7351.0,X
14,Cultivated area (arable land + permanent crops),1967,7416.0,X
15,Cultivated area (arable land + permanent crops),1972,7220.0,X
16,Cultivated area (arable land + permanent crops),1977,7000.0,X
17,Cultivated area (arable land + permanent crops),1982,6986.0,X
18,Cultivated area (arable land + permanent crops),1987,7003.0,X
19,Cultivated area (arable land + permanent crops),1992,6618.0,X
20,Cultivated area (arable land + permanent crops),1997,6425.0,X
21,Cultivated area (arable land + permanent crops),2002,5836.0,X
22,Cultivated area (arable land + permanent crops),2007,6131.0,X
23,Cultivated area (arable land + permanent crops),2012,6258.0,X
24,Cultivated area (arable land + permanent crops),2017,6130.5864,X
25,Cultivated area (arable land + permanent crops),2018,6083.953,X
26,Total population,1962,53109.399,X
27,Total population,1967,54866.534,X
28,Total population,1972,55892.418,X
29,Total population,1977,56203.595,X
30,Total population,1982,56241.412,X
31,Total population,1987,56658.27,X
32,Total population,1992,57446.037,X
33,Total population,1997,58307.313,X
34,Total population,2002,59326.294,X
35,Total population,2007,61455.162,X
36,Total population,2012,64525.312,X
37,Total population,2017,66727.461,X
38,Total population,2018,67141.684,X
39,Rural population,1962,11571.724,X
40,Rural population,1967,12336.177,X
41,Rural population,1972,12760.179,X
42,Rural population,1977,12375.102,X
43,Rural population,1982,12081.846,X
44,Rural population,1987,12311.327,X
45,Rural population,1992,12549.775,X
46,Rural population,1997,12560.706,X
47,Rural population,2002,12435.493,X
48,Rural population,2007,11988.805,X
49,Rural population,2012,11669.597,X
50,Rural population,2017,11156.164,X
51,Rural population,2018,11052.278,X
52,Urban population,1962,41599.602,X
53,Urban population,1967,42592.351,X
54,Urban population,1972,43193.143,X
55,Urban population,1977,43886.918,X
56,Urban population,1982,44214.394,X
57,Urban population,1987,44397.881,X
58,Urban population,1992,44944.763,X
59,Urban population,1997,45785.967,X
60,Urban population,2002,46913.46,X
61,Urban population,2007,49425.855,X
62,Urban population,2012,52580.733,X
63,Urban population,2017,55025.421,X
64,Urban population,2018,55521.226,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.2232,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.2084,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.1943333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1774,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1774,I
70,Gross Domestic Product (GDP),1962,80601939635.0,X
71,Gross Domestic Product (GDP),1967,111000000000.0,X
72,Gross Domestic Product (GDP),1972,169969084028.0,X
73,Gross Domestic Product (GDP),1977,263079306617.0,X
74,Gross Domestic Product (GDP),1982,515006780277.0,X
75,Gross Domestic Product (GDP),1987,745130338366.0,X
76,Gross Domestic Product (GDP),1992,1179713014952.0,X
77,Gross Domestic Product (GDP),1993,1061457883634.0,X
78,GDP per capita,1972,3037.694241,X
79,GDP per capita,1977,4675.966249,X
80,GDP per capita,1982,9148.155903,X
81,GDP per capita,1987,13139.494707,X
82,GDP per capita,1992,20518.697184,X
83,GDP per capita,1997,26719.365497,X
84,GDP per capita,2002,30066.436326,X
85,GDP per capita,2007,50493.777054,X
86,GDP per capita,2012,42099.202889,X
87,GDP per capita,2017,40286.571861,X
88,GDP per capita,2018,42889.386317,X
89,Total population with access to safe drinking-water (JMP),1992,100.0,X
90,Total population with access to safe drinking-water (JMP),1997,100.0,X
91,Total population with access to safe drinking-water (JMP),2002,100.0,X
92,Total population with access to safe drinking-water (JMP),2007,100.0,X
93,Total population with access to safe drinking-water (JMP),2012,100.0,X
94,Total population with access to safe drinking-water (JMP),2017,100.0,I
95,Total population with access to safe drinking-water (JMP),2018,100.0,I
96,Long-term average annual precipitation in volume,1962,297.2042,E
97,Long-term average annual precipitation in volume,1967,297.2042,E
98,Long-term average annual precipitation in volume,1972,297.2042,E
99,Long-term average annual precipitation in volume,1977,297.2042,E
100,Long-term average annual precipitation in volume,1982,297.2042,E
101,Long-term average annual precipitation in volume,1987,297.2042,E
102,Long-term average annual precipitation in volume,1992,297.2042,E
103,Long-term average annual precipitation in volume,1997,297.2042,E
104,Long-term average annual precipitation in volume,2002,297.2042,E
105,Long-term average annual precipitation in volume,2007,297.2042,E
106,Long-term average annual precipitation in volume,2012,297.2042,E
107,Long-term average annual precipitation in volume,2017,297.2042,E
108,Long-term average annual precipitation in volume,2018,297.2042,E
109,Interannual variability (WRI),2017,1.0,I
110,Interannual variability (WRI),2018,1.0,I
111,Seasonal variability (WRI),2017,1.7,I
112,Seasonal variability (WRI),2018,1.7,I
113,Flood occurrence (WRI),2017,3.4,I
114,Flood occurrence (WRI),2018,3.4,I
115,Surface water: entering the country (total),1962,2.0,OF
116,Surface water: entering the country (total),1967,2.0,OF
117,Surface water: entering the country (total),1972,2.0,OF
118,Surface water: entering the country (total),1977,2.0,OF
119,Surface water: entering the country (total),1982,2.0,OF
120,Surface water: entering the country (total),1987,2.0,OF
121,Surface water: entering the country (total),1992,2.0,OF
122,Surface water: entering the country (total),1997,2.0,OF
123,Surface water: entering the country (total),2002,2.0,OF
124,Surface water: entering the country (total),2007,2.0,OF
125,Surface water: entering the country (total),2012,2.0,OF
126,Surface water: entering the country (total),2017,2.0,OF
127,Surface water: leaving the country to other countries (total),1962,3.0,OF
128,Surface water: leaving the country to other countries (total),1967,3.0,OF
129,Surface water: leaving the country to other countries (total),1972,3.0,OF
130,Surface water: leaving the country to other countries (total),1977,3.0,OF
131,Surface water: leaving the country to other countries (total),1982,3.0,OF
132,Surface water: leaving the country to other countries (total),1987,3.0,OF
133,Surface water: leaving the country to other countries (total),1992,3.0,OF
134,Surface water: leaving the country to other countries (total),1997,3.0,OF
135,Surface water: leaving the country to other countries (total),2002,3.0,OF
136,Surface water: leaving the country to other countries (total),2007,3.0,OF
137,Surface water: leaving the country to other countries (total),2012,3.0,OF
138,Surface water: leaving the country to other countries (total),2017,3.0,OF
139,Groundwater: entering the country (total),1962,0.0,E
140,Groundwater: entering the country (total),1967,0.0,E
141,Groundwater: entering the country (total),1972,0.0,E
142,Groundwater: entering the country (total),1977,0.0,E
143,Groundwater: entering the country (total),1982,0.0,E
144,Groundwater: entering the country (total),1987,0.0,E
145,Groundwater: entering the country (total),1992,0.0,E
146,Groundwater: entering the country (total),1997,0.0,E
147,Groundwater: entering the country (total),2002,0.0,E
148,Groundwater: entering the country (total),2007,0.0,E
149,Groundwater: entering the country (total),2012,0.0,E
150,Groundwater: entering the country (total),2017,0.0,E
151,Groundwater: leaving the country to other countries (total),1962,0.0,OF
152,Groundwater: leaving the country to other countries (total),1967,0.0,OF
153,Groundwater: leaving the country to other countries (total),1972,0.0,OF
154,Groundwater: leaving the country to other countries (total),1977,0.0,OF
155,Groundwater: leaving the country to other countries (total),1982,0.0,OF
156,Groundwater: leaving the country to other countries (total),1987,0.0,OF
157,Groundwater: leaving the country to other countries (total),1992,0.0,OF
158,Groundwater: leaving the country to other countries (total),1997,0.0,OF
159,Groundwater: leaving the country to other countries (total),2002,0.0,OF
160,Groundwater: leaving the country to other countries (total),2007,0.0,OF
161,Groundwater: leaving the country to other countries (total),2012,0.0,OF
162,Groundwater: leaving the country to other countries (total),2017,0.0,OF
163,Dependency ratio,1962,1.3605442177,E
164,Dependency ratio,1967,1.3605442177,E
165,Dependency ratio,1972,1.3605442177,E
166,Dependency ratio,1977,1.3605442177,E
167,Dependency ratio,1982,1.3605442177,E
168,Dependency ratio,1987,1.3605442177,E
169,Dependency ratio,1992,1.3605442177,E
170,Dependency ratio,1997,1.3605442177,E
171,Dependency ratio,2002,1.3605442177,E
172,Dependency ratio,2007,1.3605442177,E
173,Dependency ratio,2012,1.3605442177,E
174,Dependency ratio,2017,1.3605442177,E
175,Dependency ratio,2018,1.3605442177,E
176,Total internal renewable water resources (IRWR),1962,145.0,E
177,Total internal renewable water resources (IRWR),1967,145.0,E
178,Total internal renewable water resources (IRWR),1972,145.0,E
179,Total internal renewable water resources (IRWR),1977,145.0,E
180,Total internal renewable water resources (IRWR),1982,145.0,E
181,Total internal renewable water resources (IRWR),1987,145.0,E
182,Total internal renewable water resources (IRWR),1992,145.0,E
183,Total internal renewable water resources (IRWR),1997,145.0,E
184,Total internal renewable water resources (IRWR),2002,145.0,E
185,Total internal renewable water resources (IRWR),2007,145.0,E
186,Total internal renewable water resources (IRWR),2012,145.0,E
187,Total internal renewable water resources (IRWR),2017,145.0,E
188,Total internal renewable water resources (IRWR),2018,145.0,E
189,Total internal renewable water resources per capita,1962,2730.2135352727,E
190,Total internal renewable water resources per capita,1967,2642.7767425586,E
191,Total internal renewable water resources per capita,1972,2594.2695841142,E
192,Total internal renewable water resources per capita,1977,2579.9061430145,E
193,Total internal renewable water resources per capita,1982,2578.1714015288,E
194,Total internal renewable water resources per capita,1987,2559.2027430418,E
195,Total internal renewable water resources per capita,1992,2524.1079728442,E
196,Total internal renewable water resources per capita,1997,2486.823565339,E
197,Total internal renewable water resources per capita,2002,2444.1101950511,E
198,Total internal renewable water resources per capita,2007,2359.4437843968,E
199,Total internal renewable water resources per capita,2012,2247.1801453668,E
200,Total internal renewable water resources per capita,2017,2173.0183919331,E
201,Total internal renewable water resources per capita,2018,2159.6122015647,E
202,Total renewable surface water,1962,146.2,E
203,Total renewable surface water,1967,146.2,E
204,Total renewable surface water,1972,146.2,E
205,Total renewable surface water,1977,146.2,E
206,Total renewable surface water,1982,146.2,E
207,Total renewable surface water,1987,146.2,E
208,Total renewable surface water,1992,146.2,E
209,Total renewable surface water,1997,146.2,E
210,Total renewable surface water,2002,146.2,E
211,Total renewable surface water,2007,146.2,E
212,Total renewable surface water,2012,146.2,E
213,Total renewable surface water,2017,146.2,E
214,Total renewable surface water,2018,146.2,E
215,Total renewable groundwater,1962,9.8,E
216,Total renewable groundwater,1967,9.8,E
217,Total renewable groundwater,1972,9.8,E
218,Total renewable groundwater,1977,9.8,E
219,Total renewable groundwater,1982,9.8,E
220,Total renewable groundwater,1987,9.8,E
221,Total renewable groundwater,1992,9.8,E
222,Total renewable groundwater,1997,9.8,E
223,Total renewable groundwater,2002,9.8,E
224,Total renewable groundwater,2007,9.8,E
225,Total renewable groundwater,2012,9.8,E
226,Total renewable groundwater,2017,9.8,E
227,Total renewable groundwater,2018,9.8,E
228,Total exploitable water resources,1962,7.0,E
229,Total exploitable water resources,1967,7.0,E
230,Total exploitable water resources,1972,7.0,E
231,Total exploitable water resources,1977,7.0,E
232,Total exploitable water resources,1982,7.0,E
233,Total exploitable water resources,1987,7.0,E
234,Total exploitable water resources,1992,7.0,E
235,Total exploitable water resources,1997,7.0,E
236,Total exploitable water resources,2002,7.0,E
237,Total exploitable water resources,2007,7.0,E
238,Total exploitable water resources,2012,7.0,E
239,Total exploitable water resources,2017,7.0,E
240,Total exploitable water resources,2018,7.0,E
241,Water resources: total external renewable,1962,2.0,E
242,Water resources: total external renewable,1967,2.0,E
243,Water resources: total external renewable,1972,2.0,E
244,Water resources: total external renewable,1977,2.0,E
245,Water resources: total external renewable,1982,2.0,E
246,Water resources: total external renewable,1987,2.0,E
247,Water resources: total external renewable,1992,2.0,E
248,Water resources: total external renewable,1997,2.0,E
249,Water resources: total external renewable,2002,2.0,E
250,Water resources: total external renewable,2007,2.0,E
251,Water resources: total external renewable,2012,2.0,E
252,Water resources: total external renewable,2017,2.0,E
253,Water resources: total external renewable,2018,2.0,E
254,Total renewable water resources,1962,147.0,E
255,Total renewable water resources,1967,147.0,E
256,Total renewable water resources,1972,147.0,E
257,Total renewable water resources,1977,147.0,E
258,Total renewable water resources,1982,147.0,E
259,Total renewable water resources,1987,147.0,E
260,Total renewable water resources,1992,147.0,E
261,Total renewable water resources,1997,147.0,E
262,Total renewable water resources,2002,147.0,E
263,Total renewable water resources,2007,147.0,E
264,Total renewable water resources,2012,147.0,E
265,Total renewable water resources,2017,147.0,E
266,Total renewable water resources,2018,147.0,E
267,Total renewable water resources per capita,1962,2767.8716530006,E
