Uruguay,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,17622.0,X
1,Total area of the country (excl. coastal water),1967,17622.0,X
2,Total area of the country (excl. coastal water),1972,17622.0,X
3,Total area of the country (excl. coastal water),1977,17622.0,X
4,Total area of the country (excl. coastal water),1982,17622.0,X
5,Total area of the country (excl. coastal water),1987,17622.0,X
6,Total area of the country (excl. coastal water),1992,17622.0,X
7,Total area of the country (excl. coastal water),1997,17622.0,X
8,Total area of the country (excl. coastal water),2002,17622.0,X
9,Total area of the country (excl. coastal water),2007,17622.0,X
10,Total area of the country (excl. coastal water),2012,17622.0,X
11,Total area of the country (excl. coastal water),2017,17622.0,E
12,Total area of the country (excl. coastal water),2018,17622.0,E
13,Cultivated area (arable land + permanent crops),1962,2449.0,X
14,Cultivated area (arable land + permanent crops),1967,2145.0,X
15,Cultivated area (arable land + permanent crops),1972,1771.0,X
16,Cultivated area (arable land + permanent crops),1977,1570.0,X
17,Cultivated area (arable land + permanent crops),1982,1416.0,X
18,Cultivated area (arable land + permanent crops),1987,1335.0,X
19,Cultivated area (arable land + permanent crops),1992,1312.0,X
20,Cultivated area (arable land + permanent crops),1997,1376.0,X
21,Cultivated area (arable land + permanent crops),2002,1423.0,X
22,Cultivated area (arable land + permanent crops),2007,1509.0,X
23,Cultivated area (arable land + permanent crops),2012,2192.0,X
24,Cultivated area (arable land + permanent crops),2017,2044.5,X
25,Cultivated area (arable land + permanent crops),2018,2015.9,X
26,Total population,1962,2603.882,X
27,Total population,1967,2750.086,X
28,Total population,1972,2821.461,X
29,Total population,1977,2856.958,X
30,Total population,1982,2953.852,X
31,Total population,1987,3049.581,X
32,Total population,1992,3154.464,X
33,Total population,1997,3270.164,X
34,Total population,2002,3326.04,X
35,Total population,2007,3331.749,X
36,Total population,2012,3378.975,X
37,Total population,2017,3436.641,X
38,Total population,2018,3449.285,X
39,Rural population,1962,503.037,X
40,Rural population,1967,501.911,X
41,Rural population,1972,486.1,X
42,Rural population,1977,450.992,X
43,Rural population,1982,409.536,X
44,Rural population,1987,368.251,X
45,Rural population,1992,327.257,X
46,Rural population,1997,289.586,X
47,Rural population,2002,247.27,X
48,Rural population,2007,207.762,X
49,Rural population,2012,178.688,X
50,Rural population,2017,164.541,X
51,Rural population,2018,161.889,X
52,Urban population,1962,2100.85,X
53,Urban population,1967,2248.182,X
54,Urban population,1972,2335.339,X
55,Urban population,1977,2406.113,X
56,Urban population,1982,2544.746,X
57,Urban population,1987,2681.715,X
58,Urban population,1992,2827.598,X
59,Urban population,1997,2981.424,X
60,Urban population,2002,3080.503,X
61,Urban population,2007,3131.979,X
62,Urban population,2012,3218.089,X
63,Urban population,2017,3292.209,X
64,Urban population,2018,3307.662,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.3962,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3744,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.3616666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3128,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3128,I
70,Gross Domestic Product (GDP),1962,1710004464.0,X
71,Gross Domestic Product (GDP),1967,1597721080.0,X
72,Gross Domestic Product (GDP),1972,2450067269.0,X
73,Gross Domestic Product (GDP),1977,4487941894.0,X
74,Gross Domestic Product (GDP),1982,9727902141.0,X
75,Gross Domestic Product (GDP),1987,8136331259.0,X
76,Gross Domestic Product (GDP),1992,14222511106.0,X
77,Gross Domestic Product (GDP),1997,23969738389.0,X
78,Gross Domestic Product (GDP),2002,13606503907.0,X
79,Gross Domestic Product (GDP),2007,23410566858.0,X
80,Gross Domestic Product (GDP),2012,51264476757.0,X
81,Gross Domestic Product (GDP),2013,57531224151.0,X
82,GDP per capita,1972,868.375063,X
83,GDP per capita,1977,1570.800476,X
84,GDP per capita,1982,3292.814343,X
85,GDP per capita,1987,2667.679331,X
86,GDP per capita,1992,4508.134639,X
87,GDP per capita,1997,7327.931859,X
88,GDP per capita,2002,4088.771652,X
89,GDP per capita,2007,7009.69532,X
90,GDP per capita,2012,15092.093698,X
91,GDP per capita,2017,17221.407798,X
92,GDP per capita,2018,17177.139135,X
93,"Agriculture, value added (% GDP)",1972,19.246186,X
94,"Agriculture, value added (% GDP)",1977,14.221824,X
95,"Agriculture, value added (% GDP)",1982,9.981683,X
96,"Agriculture, value added (% GDP)",1987,11.925696,X
97,"Agriculture, value added (% GDP)",1992,7.666923,X
98,"Agriculture, value added (% GDP)",1997,6.55147,X
99,"Agriculture, value added (% GDP)",2002,7.529673,X
100,"Agriculture, value added (% GDP)",2007,8.499354,X
101,"Agriculture, value added (% GDP)",2012,8.121764,X
102,"Agriculture, value added (% GDP)",2017,5.108837,X
103,Number of people undernourished (3-year average),1992,300.0,X
104,Number of people undernourished (3-year average),1997,200.0,X
105,Number of people undernourished (3-year average),2002,100.0,X
106,Number of people undernourished (3-year average),2007,100.0,X
107,Number of people undernourished (3-year average),2012,100.0,I
108,Number of people undernourished (3-year average),2017,100.0,I
109,Number of people undernourished (3-year average),2018,100.0,I
110,Prevalence of undernourishment (3-year average),1992,8.6,X
111,Prevalence of undernourishment (3-year average),1997,5.3,X
112,Prevalence of undernourishment (3-year average),2001,4.2,X
113,Prevalence of undernourishment (3-year average),2007,3.7,X
114,Prevalence of undernourishment (3-year average),2012,2.7,I
115,Prevalence of undernourishment (3-year average),2017,2.7,I
116,Prevalence of undernourishment (3-year average),2018,2.7,I
117,Total population with access to safe drinking-water (JMP),1992,95.0,X
118,Total population with access to safe drinking-water (JMP),1997,96.0,X
119,Total population with access to safe drinking-water (JMP),2002,97.3,X
120,Total population with access to safe drinking-water (JMP),2007,98.4,X
121,Total population with access to safe drinking-water (JMP),2012,99.3,X
122,Total population with access to safe drinking-water (JMP),2017,99.7,I
123,Total population with access to safe drinking-water (JMP),2018,99.7,I
124,Long-term average annual precipitation in volume,1962,229.1,OF
125,Long-term average annual precipitation in volume,1967,229.1,OF
126,Long-term average annual precipitation in volume,1972,229.1,OF
127,Long-term average annual precipitation in volume,1977,229.1,OF
128,Long-term average annual precipitation in volume,1982,229.1,OF
129,Long-term average annual precipitation in volume,1987,229.1,OF
130,Long-term average annual precipitation in volume,1992,229.1,OF
131,Long-term average annual precipitation in volume,1997,229.1,OF
132,Long-term average annual precipitation in volume,2002,229.1,OF
133,Long-term average annual precipitation in volume,2007,229.1,OF
134,Long-term average annual precipitation in volume,2012,229.1,OF
135,Long-term average annual precipitation in volume,2017,229.1,OF
136,Long-term average annual precipitation in volume,2018,229.086,E
137,Interannual variability (WRI),2017,1.7,I
138,Interannual variability (WRI),2018,1.7,I
139,Seasonal variability (WRI),2017,1.1,I
140,Seasonal variability (WRI),2018,1.1,I
141,Flood occurrence (WRI),2017,3.0,I
142,Flood occurrence (WRI),2018,3.0,I
143,Surface water: entering the country (total),1962,5.0,OF
144,Surface water: entering the country (total),1967,5.0,OF
145,Surface water: entering the country (total),1972,5.0,OF
146,Surface water: entering the country (total),1977,5.0,OF
147,Surface water: entering the country (total),1982,5.0,OF
148,Surface water: entering the country (total),1987,5.0,OF
