,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,75261.0,X
1,Total area of the country (excl. coastal water),4100,1967,75261.0,X
2,Total area of the country (excl. coastal water),4100,1972,75261.0,X
3,Total area of the country (excl. coastal water),4100,1977,75261.0,X
4,Total area of the country (excl. coastal water),4100,1982,75261.0,X
5,Total area of the country (excl. coastal water),4100,1987,75261.0,X
6,Total area of the country (excl. coastal water),4100,1992,75261.0,X
7,Total area of the country (excl. coastal water),4100,1997,75261.0,X
8,Total area of the country (excl. coastal water),4100,2002,75261.0,X
9,Total area of the country (excl. coastal water),4100,2007,75261.0,X
10,Total area of the country (excl. coastal water),4100,2012,75261.0,X
11,Total area of the country (excl. coastal water),4100,2017,75261.0,E
12,Total area of the country (excl. coastal water),4100,2018,75261.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,2560.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,2681.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,3071.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,2894.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,2228.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,2586.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,2800.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,2836.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,2616.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,2984.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,3836.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,3836.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,3836.0,X
26,Total population,4104,1962,3260.65,X
27,Total population,4104,1967,3797.873,X
28,Total population,4104,1972,4466.174,X
29,Total population,4104,1977,5287.548,X
30,Total population,4104,1982,6265.864,X
31,Total population,4104,1987,7372.837,X
32,Total population,4104,1992,8451.347,X
33,Total population,4104,1997,9597.609,X
34,Total population,4104,2002,10971.698,X
35,Total population,4104,2007,12502.958,X
36,Total population,4104,2012,14465.15,X
37,Total population,4104,2017,16853.599,X
38,Total population,4104,2018,17351.708,X
39,Rural population,4105,1962,2599.449,X
40,Rural population,4105,1967,2796.089,X
41,Rural population,4105,1972,3033.02,X
42,Rural population,4105,1977,3357.823,X
43,Rural population,4105,1982,3795.745,X
44,Rural population,4105,1987,4464.217,X
45,Rural population,4105,1992,5196.992,X
46,Rural population,4105,1997,6169.59,X
47,Rural population,4105,2002,7175.419,X
48,Rural population,4105,2007,7905.217,X
49,Rural population,4105,2012,8767.868,X
50,Rural population,4105,2017,9747.709,X
51,Rural population,4105,2018,9945.501,X
52,Urban population,4106,1962,641.138,X
53,Urban population,4106,1967,995.798,X
54,Urban population,4106,1972,1436.875,X
55,Urban population,4106,1977,1959.808,X
56,Urban population,4106,1982,2509.964,X
57,Urban population,4106,1987,2921.469,X
58,Urban population,4106,1992,3255.283,X
59,Urban population,4106,1997,3496.988,X
60,Urban population,4106,2002,3944.99,X
61,Urban population,4106,2007,4820.757,X
62,Urban population,4106,2012,5932.069,X
63,Urban population,4106,2017,7346.421,X
64,Urban population,4106,2018,7663.677,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.6266,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.616,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.5868,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.5868,I
69,Gross Domestic Product (GDP),4112,1962,679279729.0,X
70,Gross Domestic Product (GDP),4112,1967,1340639464.0,X
71,Gross Domestic Product (GDP),4112,1972,1851647204.0,X
72,Gross Domestic Product (GDP),4112,1977,2767425574.0,X
73,Gross Domestic Product (GDP),4112,1982,4275405653.0,X
74,Gross Domestic Product (GDP),4112,1987,2108490542.0,X
75,Gross Domestic Product (GDP),4112,1992,3307307865.0,X
76,Gross Domestic Product (GDP),4112,1997,4303317427.0,X
77,Gross Domestic Product (GDP),4112,2002,4193839169.0,X
78,Gross Domestic Product (GDP),4112,2007,14056884797.0,X
79,Gross Domestic Product (GDP),4112,2012,24848207057.0,X
80,Gross Domestic Product (GDP),4112,2016,21452664077.0,X
81,GDP per capita,4458,1972,414.248479,X
82,GDP per capita,4458,1977,520.424523,X
83,GDP per capita,4458,1982,678.021401,X
84,GDP per capita,4458,1987,285.483372,X
85,GDP per capita,4458,1992,391.292033,X
86,GDP per capita,4458,1997,445.174852,X
87,GDP per capita,4458,2002,377.129939,X
88,GDP per capita,4458,2007,1104.582234,X
89,GDP per capita,4458,2012,1690.361466,X
90,GDP per capita,4458,2017,1513.27609,X
91,GDP per capita,4458,2018,1549.354235,X
92,"Agriculture, value added (% GDP)",4113,1967,14.03,X
93,"Agriculture, value added (% GDP)",4113,1972,11.225527,X
94,"Agriculture, value added (% GDP)",4113,1977,12.632824,X
95,"Agriculture, value added (% GDP)",4113,1982,12.144708,X
96,"Agriculture, value added (% GDP)",4113,1987,14.348265,X
97,"Agriculture, value added (% GDP)",4113,1992,21.268695,X
98,"Agriculture, value added (% GDP)",4113,1997,13.98165,X
99,"Agriculture, value added (% GDP)",4113,2002,15.361305,X
100,"Agriculture, value added (% GDP)",4113,2007,12.105591,X
101,"Agriculture, value added (% GDP)",4113,2012,9.567396,X
102,"Agriculture, value added (% GDP)",4113,2015,5.072642,X
103,"Agriculture, value added to GDP",4548,1962,85571429.0,X
104,"Agriculture, value added to GDP",4548,1967,175714286.0,X
105,"Agriculture, value added to GDP",4548,1969,190000000.0,X
106,Number of people undernourished (3-year average),4473,1992,2700.0,X
107,Number of people undernourished (3-year average),4473,1997,3100.0,X
108,Number of people undernourished (3-year average),4473,2002,5300.0,X
109,Number of people undernourished (3-year average),4473,2007,6500.0,X
110,Number of people undernourished (3-year average),4473,2012,7000.0,X
111,Number of people undernourished (3-year average),4473,2017,7600.0,X
112,Number of people undernourished (3-year average),4473,2018,8000.0,X
113,Prevalence of undernourishment (3-year average),4474,1992,33.8,X
114,Prevalence of undernourishment (3-year average),4474,1997,34.2,X
115,Prevalence of undernourishment (3-year average),4474,2002,49.0,X
116,Prevalence of undernourishment (3-year average),4474,2007,52.6,X
117,Prevalence of undernourishment (3-year average),4474,2012,48.8,X
118,Prevalence of undernourishment (3-year average),4474,2017,45.6,X
119,Prevalence of undernourishment (3-year average),4474,2018,46.7,X
120,Total population with access to safe drinking-water (JMP),4114,1992,49.9,X
121,Total population with access to safe drinking-water (JMP),4114,1997,51.7,X
122,Total population with access to safe drinking-water (JMP),4114,2002,54.7,X
123,Total population with access to safe drinking-water (JMP),4114,2007,59.0,X
124,Total population with access to safe drinking-water (JMP),4114,2012,63.0,X
125,Total population with access to safe drinking-water (JMP),4114,2017,65.4,I
126,Total population with access to safe drinking-water (JMP),4114,2018,65.4,I
127,Long-term average annual precipitation in volume,4150,1962,767.6622,E
128,Long-term average annual precipitation in volume,4150,1967,767.6622,E
129,Long-term average annual precipitation in volume,4150,1972,767.6622,E
130,Long-term average annual precipitation in volume,4150,1977,767.6622,E
131,Long-term average annual precipitation in volume,4150,1982,767.6622,E
132,Long-term average annual precipitation in volume,4150,1987,767.6622,E
133,Long-term average annual precipitation in volume,4150,1992,767.6622,E
134,Long-term average annual precipitation in volume,4150,1997,767.6622,E
135,Long-term average annual precipitation in volume,4150,2002,767.6622,E
136,Long-term average annual precipitation in volume,4150,2007,767.6622,E
137,Long-term average annual precipitation in volume,4150,2012,767.6622,E
138,Long-term average annual precipitation in volume,4150,2017,767.6622,E
139,Long-term average annual precipitation in volume,4150,2018,767.6622,E
140,Interannual variability (WRI),4541,2017,2.1,I
141,Interannual variability (WRI),4541,2018,2.1,I
142,Seasonal variability (WRI),4542,2017,4.4,I
143,Seasonal variability (WRI),4542,2018,4.4,I
144,Flood occurrence (WRI),4543,2017,2.5,I
145,Flood occurrence (WRI),4543,2018,2.5,I
157,Surface water: entering the country (total),4159,2017,24.6,
169,Surface water: leaving the country to other countries (total),4171,2017,104.3,
170,Groundwater: entering the country (total),4177,1962,0.0,E
171,Groundwater: entering the country (total),4177,1967,0.0,E
172,Groundwater: entering the country (total),4177,1972,0.0,E
173,Groundwater: entering the country (total),4177,1977,0.0,E
174,Groundwater: entering the country (total),4177,1982,0.0,E
175,Groundwater: entering the country (total),4177,1987,0.0,E
176,Groundwater: entering the country (total),4177,1992,0.0,E
177,Groundwater: entering the country (total),4177,1997,0.0,E
178,Groundwater: entering the country (total),4177,2002,0.0,E
179,Groundwater: entering the country (total),4177,2007,0.0,E
180,Groundwater: entering the country (total),4177,2012,0.0,E
181,Groundwater: entering the country (total),4177,2017,0.0,E
182,Dependency ratio,4192,1962,23.4732824427,E
183,Dependency ratio,4192,1967,23.4732824427,E
184,Dependency ratio,4192,1972,23.4732824427,E
185,Dependency ratio,4192,1977,23.4732824427,E
186,Dependency ratio,4192,1982,23.4732824427,E
187,Dependency ratio,4192,1987,23.4732824427,E
188,Dependency ratio,4192,1992,23.4732824427,E
189,Dependency ratio,4192,1997,23.4732824427,E
190,Dependency ratio,4192,2002,23.4732824427,E
191,Dependency ratio,4192,2007,23.4732824427,E
192,Dependency ratio,4192,2012,23.4732824427,E
193,Dependency ratio,4192,2017,23.4732824427,E
194,Dependency ratio,4192,2018,23.4732824427,E
195,Total internal renewable water resources (IRWR),4157,1962,80.2,E
196,Total internal renewable water resources (IRWR),4157,1967,80.2,E
197,Total internal renewable water resources (IRWR),4157,1972,80.2,E
198,Total internal renewable water resources (IRWR),4157,1977,80.2,E
199,Total internal renewable water resources (IRWR),4157,1982,80.2,E
200,Total internal renewable water resources (IRWR),4157,1987,80.2,E
201,Total internal renewable water resources (IRWR),4157,1992,80.2,E
202,Total internal renewable water resources (IRWR),4157,1997,80.2,E
203,Total internal renewable water resources (IRWR),4157,2002,80.2,E
204,Total internal renewable water resources (IRWR),4157,2007,80.2,E
205,Total internal renewable water resources (IRWR),4157,2012,80.2,E
206,Total internal renewable water resources (IRWR),4157,2017,80.2,E
207,Total internal renewable water resources (IRWR),4157,2018,80.2,E
208,Total internal renewable water resources per capita,4158,1962,24596.3228190698,E
209,Total internal renewable water resources per capita,4158,1967,21117.0831673413,E
210,Total internal renewable water resources per capita,4158,1972,17957.2045334553,E
211,Total internal renewable water resources per capita,4158,1977,15167.7110070679,E
212,Total internal renewable water resources per capita,4158,1982,12799.5117672519,E
213,Total internal renewable water resources per capita,4158,1987,10877.7665910694,E
214,Total internal renewable water resources per capita,4158,1992,9489.6115376638,E
215,Total internal renewable water resources per capita,4158,1997,8356.2478946579,E
216,Total internal renewable water resources per capita,4158,2002,7309.7163264975,E
217,Total internal renewable water resources per capita,4158,2007,6414.4820769613,E
218,Total internal renewable water resources per capita,4158,2012,5544.3600653986,E
219,Total internal renewable water resources per capita,4158,2017,4758.6275192616,E
220,Total internal renewable water resources per capita,4158,2018,4622.0233766036,E
221,Total renewable surface water,4185,1962,104.8,E
222,Total renewable surface water,4185,1967,104.8,E
223,Total renewable surface water,4185,1972,104.8,E
224,Total renewable surface water,4185,1977,104.8,E
225,Total renewable surface water,4185,1982,104.8,E
226,Total renewable surface water,4185,1987,104.8,E
227,Total renewable surface water,4185,1992,104.8,E
228,Total renewable surface water,4185,1997,104.8,E
229,Total renewable surface water,4185,2002,104.8,E
230,Total renewable surface water,4185,2007,104.8,E
231,Total renewable surface water,4185,2012,104.8,E
232,Total renewable surface water,4185,2017,104.8,E
233,Total renewable surface water,4185,2018,104.8,E
234,Total renewable groundwater,4187,1962,47.0,E
235,Total renewable groundwater,4187,1967,47.0,E
236,Total renewable groundwater,4187,1972,47.0,E
237,Total renewable groundwater,4187,1977,47.0,E
238,Total renewable groundwater,4187,1982,47.0,E
239,Total renewable groundwater,4187,1987,47.0,E
240,Total renewable groundwater,4187,1992,47.0,E
241,Total renewable groundwater,4187,1997,47.0,E
242,Total renewable groundwater,4187,2002,47.0,E
243,Total renewable groundwater,4187,2007,47.0,E
244,Total renewable groundwater,4187,2012,47.0,E
245,Total renewable groundwater,4187,2017,47.0,E
246,Total renewable groundwater,4187,2018,47.0,E
247,Water resources: total external renewable,4182,1962,24.6,E
248,Water resources: total external renewable,4182,1967,24.6,E
249,Water resources: total external renewable,4182,1972,24.6,E
250,Water resources: total external renewable,4182,1977,24.6,E
251,Water resources: total external renewable,4182,1982,24.6,E
252,Water resources: total external renewable,4182,1987,24.6,E
253,Water resources: total external renewable,4182,1992,24.6,E
254,Water resources: total external renewable,4182,1997,24.6,E
255,Water resources: total external renewable,4182,2002,24.6,E
256,Water resources: total external renewable,4182,2007,24.6,E
257,Water resources: total external renewable,4182,2012,24.6,E
258,Water resources: total external renewable,4182,2017,24.6,E
259,Water resources: total external renewable,4182,2018,24.6,E
260,Total renewable water resources,4188,1962,104.8,E
261,Total renewable water resources,4188,1967,104.8,E
262,Total renewable water resources,4188,1972,104.8,E
263,Total renewable water resources,4188,1977,104.8,E
264,Total renewable water resources,4188,1982,104.8,E
265,Total renewable water resources,4188,1987,104.8,E
266,Total renewable water resources,4188,1992,104.8,E
267,Total renewable water resources,4188,1997,104.8,E
268,Total renewable water resources,4188,2002,104.8,E
269,Total renewable water resources,4188,2007,104.8,E
270,Total renewable water resources,4188,2012,104.8,E
271,Total renewable water resources,4188,2017,104.8,E
272,Total renewable water resources,4188,2018,104.8,E
273,Total renewable water resources per capita,4190,1962,32140.8308159416,E
274,Total renewable water resources per capita,4190,1967,27594.3929668001,E
275,Total renewable water resources per capita,4190,1972,23465.2747519465,E
