,,Year,Value,Symbol
Total agricultural water managed area,Afghanistan,1997,3203.0,I
Total agricultural water managed area,Afghanistan,2002,3208.0,E
Total agricultural water managed area,Afghanistan,2007,3208.0,I
Total agricultural water managed area,Afghanistan,2012,3208.0,I
Total agricultural water managed area,Afghanistan,2017,3208.0,I
Total agricultural water managed area,Afghanistan,2018,3208.0,I
Area equipped for irrigation: total,Afghanistan,1997,3203.0,I
Area equipped for irrigation: total,Afghanistan,2002,3208.0,E
Area equipped for irrigation: total,Afghanistan,2007,3208.0,I
Area equipped for irrigation: total,Afghanistan,2012,3208.0,I
Area equipped for irrigation: total,Afghanistan,2017,3208.0,I
Area equipped for irrigation: total,Afghanistan,2018,3208.0,I
% of agricultural GVA produced by irrigated agriculture,Afghanistan,1997,44.2462707814,E
% of agricultural GVA produced by irrigated agriculture,Afghanistan,2002,44.6840112343,E
% of agricultural GVA produced by irrigated agriculture,Afghanistan,2007,46.5950304879,E
% of agricultural GVA produced by irrigated agriculture,Afghanistan,2012,42.4746078251,E
% of agricultural GVA produced by irrigated agriculture,Afghanistan,2017,44.5719570836,E
Ratio between rainfed and irrigated yields,Afghanistan,1997,2.119,E
Ratio between rainfed and irrigated yields,Afghanistan,2002,2.119,E
Ratio between rainfed and irrigated yields,Afghanistan,2007,2.119,I
Ratio between rainfed and irrigated yields,Afghanistan,2012,2.119,E
Ratio between rainfed and irrigated yields,Afghanistan,2017,2.119,I
Ratio between rainfed and irrigated yields,Afghanistan,2018,2.119,I
Agricultural water withdrawal as % of total renewable water resources,Afghanistan,1997,31.4278557811,I
Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2002,30.6138068269,I
Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2007,30.6138068269,I
Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2012,30.6138068269,I
Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2017,30.6138068269,I
Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2018,30.6138068269,I
Agricultural water withdrawal,Afghanistan,1997,20.5318181818,I
Agricultural water withdrawal,Afghanistan,2002,20.0,I
Agricultural water withdrawal,Afghanistan,2007,20.0,I
Agricultural water withdrawal,Afghanistan,2012,20.0,I
Agricultural water withdrawal,Afghanistan,2017,20.0,I
Agricultural water withdrawal,Afghanistan,2018,20.0,I
Irrigation water requirement,Afghanistan,2012,10.9,I
Irrigation water requirement,Afghanistan,2017,10.9,I
Irrigation water requirement,Afghanistan,2018,10.9,I
Total agricultural water managed area,Albania,1997,397.026,E
Total agricultural water managed area,Albania,2002,346.0,E
Total agricultural water managed area,Albania,2007,397.026,E
Total agricultural water managed area,Albania,2012,346.0,E
Total agricultural water managed area,Albania,2017,397.026,E
Total agricultural water managed area,Albania,2018,397.026,E
Area equipped for irrigation: total,Albania,1997,397.026,E
