,,Year,Value,Symbol
Total area of the country (excl. coastal water),Afghanistan,1997,65286.0,X
Total area of the country (excl. coastal water),Afghanistan,2002,65286.0,X
Total area of the country (excl. coastal water),Afghanistan,2007,65286.0,X
Total area of the country (excl. coastal water),Afghanistan,2012,65286.0,X
Total area of the country (excl. coastal water),Afghanistan,2017,65286.0,E
Total area of the country (excl. coastal water),Afghanistan,2018,65286.0,E
Cultivated area (arable land + permanent crops),Afghanistan,1997,7790.0,X
Cultivated area (arable land + permanent crops),Afghanistan,2002,7753.0,X
Cultivated area (arable land + permanent crops),Afghanistan,2007,7910.0,X
Cultivated area (arable land + permanent crops),Afghanistan,2012,7910.0,X
Cultivated area (arable land + permanent crops),Afghanistan,2017,7910.0,X
Total population,Afghanistan,1997,19357.126,X
Total population,Afghanistan,2002,22600.77,X
Total population,Afghanistan,2007,27100.536,X
Total population,Afghanistan,2012,31161.376,X
Total population,Afghanistan,2017,36296.113,X
Total population,Afghanistan,2018,37171.921,X
Rural population,Afghanistan,1997,14373.573,X
Rural population,Afghanistan,2002,17086.91,X
Rural population,Afghanistan,2007,20464.923,X
Rural population,Afghanistan,2012,23280.663,X
Rural population,Afghanistan,2017,26558.609,X
Rural population,Afghanistan,2018,27099.874,X
Urban population,Afghanistan,1997,4008.032,X
Urban population,Afghanistan,2002,4893.013,X
Urban population,Afghanistan,2007,6151.869,X
Urban population,Afghanistan,2012,7416.295,X
Urban population,Afghanistan,2017,8971.472,X
Urban population,Afghanistan,2018,9273.302,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Afghanistan,2007,0.7338,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Afghanistan,2012,0.71,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Afghanistan,2017,0.6934,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Afghanistan,2018,0.6934,I
GDP per capita,Afghanistan,1997,164.092893,X
GDP per capita,Afghanistan,2002,194.958382,X
GDP per capita,Afghanistan,2007,389.985586,X
GDP per capita,Afghanistan,2012,694.885618,X
GDP per capita,Afghanistan,2017,605.557362,X
GDP per capita,Afghanistan,2018,563.983834,X
Total area of the country (excl. coastal water),Albania,1997,2875.0,X
Total area of the country (excl. coastal water),Albania,2002,2875.0,X
Total area of the country (excl. coastal water),Albania,2007,2875.0,X
Total area of the country (excl. coastal water),Albania,2012,2875.0,X
Total area of the country (excl. coastal water),Albania,2017,2773.0,E
Total area of the country (excl. coastal water),Albania,2018,2773.0,E
Cultivated area (arable land + permanent crops),Albania,1997,700.0,X
Cultivated area (arable land + permanent crops),Albania,2002,699.0,X
Cultivated area (arable land + permanent crops),Albania,2007,698.0,X
Cultivated area (arable land + permanent crops),Albania,2012,696.0,X
Cultivated area (arable land + permanent crops),Albania,2017,691.1,X
Cultivated area (arable land + permanent crops),Albania,2018,696.0,X
Total population,Albania,1997,3099.752,X
Total population,Albania,2002,3126.187,X
Total population,Albania,2007,3033.998,X
Total population,Albania,2012,2914.096,X
Total population,Albania,2017,2884.169,X
Total population,Albania,2018,2882.74,X
Rural population,Albania,1997,1854.74,X
Rural population,Albania,2002,1762.229,X
Rural population,Albania,2007,1545.166,X
Rural population,Albania,2012,1333.585,X
Rural population,Albania,2017,1190.155,X
Rural population,Albania,2018,1164.388,X
Urban population,Albania,1997,1238.301,X
Urban population,Albania,2002,1356.8,X
Urban population,Albania,2007,1478.741,X
Urban population,Albania,2012,1586.454,X
Urban population,Albania,2017,1740.032,X
Urban population,Albania,2018,1769.975,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Albania,2007,0.3278,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Albania,2012,0.253,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Albania,2017,0.2174,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Albania,2018,0.2174,I
Gross Domestic Product (GDP),Albania,1997,2224654241.0,X
Gross Domestic Product (GDP),Albania,2002,4355865889.0,X
Gross Domestic Product (GDP),Albania,2007,10677322220.0,X
Gross Domestic Product (GDP),Albania,2012,12319779604.0,X
GDP per capita,Albania,1997,719.244989,X
GDP per capita,Albania,2002,1396.545492,X
GDP per capita,Albania,2007,3530.969114,X
GDP per capita,Albania,2012,4219.046254,X
GDP per capita,Albania,2017,4445.132198,X
GDP per capita,Albania,2018,5131.908959,X
"Agriculture, value added (% GDP)",Albania,1997,31.543343,X
"Agriculture, value added (% GDP)",Albania,2002,22.025174,X
"Agriculture, value added (% GDP)",Albania,2007,17.153623,X
"Agriculture, value added (% GDP)",Albania,2012,18.766799,X
Total area of the country (excl. coastal water),Algeria,1997,238174.0,X
Total area of the country (excl. coastal water),Algeria,2002,238174.0,X
Total area of the country (excl. coastal water),Algeria,2007,238174.0,X
Total area of the country (excl. coastal water),Algeria,2012,238174.0,X
Total area of the country (excl. coastal water),Algeria,2017,238174.1,E
Total area of the country (excl. coastal water),Algeria,2018,238174.1,E
Cultivated area (arable land + permanent crops),Algeria,1997,8159.0,X
Cultivated area (arable land + permanent crops),Algeria,2002,8206.0,X
Cultivated area (arable land + permanent crops),Algeria,2007,8390.0,X
Cultivated area (arable land + permanent crops),Algeria,2012,8430.5,X
Cultivated area (arable land + permanent crops),Algeria,2017,8483.4261,X
Cultivated area (arable land + permanent crops),Algeria,2018,8517.017,X
Total population,Algeria,1997,29742.979,X
Total population,Algeria,2002,31855.109,X
Total population,Algeria,2007,34166.972,X
Total population,Algeria,2012,37383.895,X
Total population,Algeria,2017,41389.189,X
Total population,Algeria,2018,42228.408,X
Rural population,Algeria,1997,12688.632,X
Rural population,Algeria,2002,12317.847,X
Rural population,Algeria,2007,11885.693,X
Rural population,Algeria,2012,11677.502,X
Rural population,Algeria,2017,11547.532,X
Rural population,Algeria,2018,11498.038,X
Urban population,Algeria,1997,17198.207,X
Urban population,Algeria,2002,19677.199,X
Urban population,Algeria,2007,22414.383,X
Urban population,Algeria,2012,25888.345,X
Urban population,Algeria,2017,29770.61,X
Urban population,Algeria,2018,30510.016,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Algeria,2002,0.5934,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Algeria,2007,0.5332,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Algeria,2012,0.4516666667,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Algeria,2017,0.4131,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Algeria,2018,0.4131,I
Gross Domestic Product (GDP),Algeria,1997,48068457028.0,X
Gross Domestic Product (GDP),Algeria,2002,56819210891.0,X
Gross Domestic Product (GDP),Algeria,2007,134977088396.0,X
Gross Domestic Product (GDP),Algeria,2012,209059083118.0,X
GDP per capita,Algeria,1997,1608.348646,X
GDP per capita,Algeria,2002,1775.875268,X
GDP per capita,Algeria,2007,3935.183362,X
GDP per capita,Algeria,2012,5565.136948,X
GDP per capita,Algeria,2017,4051.244377,X
GDP per capita,Algeria,2018,4136.289853,X
"Agriculture, value added (% GDP)",Algeria,1997,8.839552,X
"Agriculture, value added (% GDP)",Algeria,2002,9.310262,X
"Agriculture, value added (% GDP)",Algeria,2007,7.570631,X
"Agriculture, value added (% GDP)",Algeria,2012,8.770688,X
Total area of the country (excl. coastal water),Andorra,1997,47.0,X
Total area of the country (excl. coastal water),Andorra,2002,47.0,X
Total area of the country (excl. coastal water),Andorra,2007,47.0,X
Total area of the country (excl. coastal water),Andorra,2012,47.0,X
Total area of the country (excl. coastal water),Andorra,2017,47.0,E
Total area of the country (excl. coastal water),Andorra,2018,47.0,E
Cultivated area (arable land + permanent crops),Andorra,1997,1.0,X
Cultivated area (arable land + permanent crops),Andorra,2002,0.85,X
Cultivated area (arable land + permanent crops),Andorra,2007,0.77,X
Cultivated area (arable land + permanent crops),Andorra,2012,0.76,X
Cultivated area (arable land + permanent crops),Andorra,2017,0.82,X
Cultivated area (arable land + permanent crops),Andorra,2018,0.83,X
Total population,Andorra,1997,64.327,X
Total population,Andorra,2002,70.049,X
Total population,Andorra,2007,82.684,X
Total population,Andorra,2012,82.427,X
Total population,Andorra,2017,77.001,X
Total population,Andorra,2018,77.006,X
Rural population,Andorra,1997,4.387,X
Rural population,Andorra,2002,5.855,X
Rural population,Andorra,2007,8.84,X
Rural population,Andorra,2012,9.371,X
Rural population,Andorra,2017,9.12,X
Rural population,Andorra,2018,9.187,X
Urban population,Andorra,1997,59.94,X
Urban population,Andorra,2002,64.194,X
Urban population,Andorra,2007,73.843,X
Urban population,Andorra,2012,73.06,X
Urban population,Andorra,2017,67.845,X
Urban population,Andorra,2018,67.766,X
Gross Domestic Product (GDP),Andorra,1997,1493901088.0,X
GDP per capita,Andorra,1997,23223.546684,X
GDP per capita,Andorra,2002,24742.619011,X
GDP per capita,Andorra,2007,48580.374532,X
GDP per capita,Andorra,2012,38391.432342,X
GDP per capita,Andorra,2017,39249.689016,X
GDP per capita,Andorra,2018,42080.55769,X
"Agriculture, value added (% GDP)",Andorra,1997,0.352469,X
Total area of the country (excl. coastal water),Angola,1997,124670.0,X
Total area of the country (excl. coastal water),Angola,2002,124670.0,X
Total area of the country (excl. coastal water),Angola,2007,124670.0,X
Total area of the country (excl. coastal water),Angola,2012,124670.0,X
Total area of the country (excl. coastal water),Angola,2017,124670.0,E
Total area of the country (excl. coastal water),Angola,2018,124670.0,E
Cultivated area (arable land + permanent crops),Angola,1997,3500.0,X
Cultivated area (arable land + permanent crops),Angola,2002,3390.0,X
Cultivated area (arable land + permanent crops),Angola,2007,3690.0,X
Cultivated area (arable land + permanent crops),Angola,2012,4990.0,X
Cultivated area (arable land + permanent crops),Angola,2017,5215.0,X
Cultivated area (arable land + permanent crops),Angola,2018,5215.0,X
Total population,Angola,1997,14871.57,X
Total population,Angola,2002,17519.417,X
Total population,Angola,2007,20905.363,X
Total population,Angola,2012,25107.931,X
Total population,Angola,2017,29816.766,X
Total population,Angola,2018,30809.787,X
Rural population,Angola,1997,8068.783,X
Rural population,Angola,2002,8353.851,X
Rural population,Angola,2007,8918.911,X
Rural population,Angola,2012,9720.169,X
Rural population,Angola,2017,10472.554,X
Rural population,Angola,2018,10612.667,X
Urban population,Angola,1997,7020.198,X
Urban population,Angola,2002,9218.798,X
Urban population,Angola,2007,12078.776,X
Urban population,Angola,2012,15375.981,X
Urban population,Angola,2017,19311.639,X
Urban population,Angola,2018,20161.538,X
Gross Domestic Product (GDP),Angola,1997,10226790656.0,X
Gross Domestic Product (GDP),Angola,2002,15285592487.0,X
Gross Domestic Product (GDP),Angola,2007,65266415707.0,X
Gross Domestic Product (GDP),Angola,2012,128052913438.0,X
Gross Domestic Product (GDP),Angola,2017,122123858628.0,X
GDP per capita,Angola,1997,677.765494,X
GDP per capita,Angola,2002,869.851352,X
GDP per capita,Angola,2007,3108.266911,X
GDP per capita,Angola,2012,5102.492352,X
GDP per capita,Angola,2017,4100.291004,X
GDP per capita,Angola,2018,3441.269755,X
"Agriculture, value added (% GDP)",Angola,1997,9.018265,X
"Agriculture, value added (% GDP)",Angola,2002,5.83955,X
"Agriculture, value added (% GDP)",Angola,2007,5.242278,X
"Agriculture, value added (% GDP)",Angola,2012,6.06963,X
"Agriculture, value added (% GDP)",Angola,2017,10.016996,X
Total area of the country (excl. coastal water),Antigua and Barbuda,1997,44.0,X
Total area of the country (excl. coastal water),Antigua and Barbuda,2002,44.0,X
Total area of the country (excl. coastal water),Antigua and Barbuda,2007,44.0,X
Total area of the country (excl. coastal water),Antigua and Barbuda,2012,44.0,X
Total area of the country (excl. coastal water),Antigua and Barbuda,2017,44.0,E
Total area of the country (excl. coastal water),Antigua and Barbuda,2018,44.0,E
Cultivated area (arable land + permanent crops),Antigua and Barbuda,1997,5.0,X
Cultivated area (arable land + permanent crops),Antigua and Barbuda,2002,5.0,X
Cultivated area (arable land + permanent crops),Antigua and Barbuda,2007,5.0,X
Cultivated area (arable land + permanent crops),Antigua and Barbuda,2012,5.0,X
Cultivated area (arable land + permanent crops),Antigua and Barbuda,2017,5.0,X
Cultivated area (arable land + permanent crops),Antigua and Barbuda,2018,5.0,X
Total population,Antigua and Barbuda,1997,71.704,X
Total population,Antigua and Barbuda,2002,78.295,X
Total population,Antigua and Barbuda,2007,84.026,X
Total population,Antigua and Barbuda,2012,90.409,X
Total population,Antigua and Barbuda,2017,95.426,X
Total population,Antigua and Barbuda,2018,96.286,X
Rural population,Antigua and Barbuda,1997,51.913,X
Rural population,Antigua and Barbuda,2002,59.439,X
Rural population,Antigua and Barbuda,2007,65.792,X
Rural population,Antigua and Barbuda,2012,72.074,X
Rural population,Antigua and Barbuda,2017,76.802,X
Rural population,Antigua and Barbuda,2018,77.7,X
Urban population,Antigua and Barbuda,1997,25.826,X
Urban population,Antigua and Barbuda,2002,26.827,X
Urban population,Antigua and Barbuda,2007,25.589,X
Urban population,Antigua and Barbuda,2012,24.703,X
Urban population,Antigua and Barbuda,2017,25.21,X
Urban population,Antigua and Barbuda,2018,25.35,X
Gross Domestic Product (GDP),Antigua and Barbuda,1997,680618519.0,X
Gross Domestic Product (GDP),Antigua and Barbuda,2002,814381481.0,X
Gross Domestic Product (GDP),Antigua and Barbuda,2007,1312759259.0,X
Gross Domestic Product (GDP),Antigua and Barbuda,2012,1199948148.0,X
Gross Domestic Product (GDP),Antigua and Barbuda,2017,1467977778.0,X
GDP per capita,Antigua and Barbuda,1997,8755.174604,X
GDP per capita,Antigua and Barbuda,2002,9440.352879,X
GDP per capita,Antigua and Barbuda,2007,14365.779093,X
GDP per capita,Antigua and Barbuda,2012,12399.104623,X
GDP per capita,Antigua and Barbuda,2017,14390.246028,X
GDP per capita,Antigua and Barbuda,2018,15629.054576,X
"Agriculture, value added (% GDP)",Antigua and Barbuda,1997,1.718978,X
"Agriculture, value added (% GDP)",Antigua and Barbuda,2002,1.730921,X
"Agriculture, value added (% GDP)",Antigua and Barbuda,2007,1.605891,X
"Agriculture, value added (% GDP)",Antigua and Barbuda,2012,1.898847,X
"Agriculture, value added (% GDP)",Antigua and Barbuda,2017,1.793599,X
Total area of the country (excl. coastal water),Argentina,1997,278040.0,X
Total area of the country (excl. coastal water),Argentina,2002,278040.0,X
Total area of the country (excl. coastal water),Argentina,2007,278040.0,X
Total area of the country (excl. coastal water),Argentina,2012,278040.0,X
Total area of the country (excl. coastal water),Argentina,2017,278040.0,E
Total area of the country (excl. coastal water),Argentina,2018,278040.0,E
Cultivated area (arable land + permanent crops),Argentina,1997,28335.0,X
Cultivated area (arable land + permanent crops),Argentina,2002,28862.0,X
Total population,Argentina,1997,35657.429,X
Total population,Argentina,2002,37681.749,X
Total population,Argentina,2007,39684.295,X
Total population,Argentina,2012,41755.196,X
Total population,Argentina,2017,43937.14,X
Total population,Argentina,2018,44361.15,X
Rural population,Argentina,1997,4097.995,X
Rural population,Argentina,2002,3974.741,X
Rural population,Argentina,2007,3850.764,X
Rural population,Argentina,2012,3737.979,X
Rural population,Argentina,2017,3652.804,X
Rural population,Argentina,2018,3632.997,X
Urban population,Argentina,1997,31735.974,X
Urban population,Argentina,2002,33914.629,X
Urban population,Argentina,2007,36119.46,X
Urban population,Argentina,2012,38358.76,X
Urban population,Argentina,2017,40618.237,X
Urban population,Argentina,2018,41055.867,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Argentina,2002,0.4074,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Argentina,2007,0.3822,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Argentina,2012,0.382,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Argentina,2017,0.3756,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Argentina,2018,0.3756,I
Gross Domestic Product (GDP),Argentina,1997,317532579013.0,X
Gross Domestic Product (GDP),Argentina,2002,110583590317.0,X
Gross Domestic Product (GDP),Argentina,2007,289755142707.0,X
Gross Domestic Product (GDP),Argentina,2012,581430904393.0,X
Gross Domestic Product (GDP),Argentina,2017,642695596034.0,X
GDP per capita,Argentina,1997,8861.217104,X
GDP per capita,Argentina,2002,2918.591423,X
GDP per capita,Argentina,2007,7249.274928,X
GDP per capita,Argentina,2012,13811.780157,X
GDP per capita,Argentina,2017,14517.291248,X
GDP per capita,Argentina,2018,11601.890079,X
"Agriculture, value added (% GDP)",Argentina,1997,4.527197,X
"Agriculture, value added (% GDP)",Argentina,2002,8.84866,X
"Agriculture, value added (% GDP)",Argentina,2007,7.452354,X
"Agriculture, value added (% GDP)",Argentina,2012,5.781744,X
"Agriculture, value added (% GDP)",Argentina,2017,5.478382,X
Total area of the country (excl. coastal water),Armenia,1997,2974.0,X
Total area of the country (excl. coastal water),Armenia,2002,2974.0,X
Total area of the country (excl. coastal water),Armenia,2007,2974.0,X
Total area of the country (excl. coastal water),Armenia,2012,2974.0,X
Total area of the country (excl. coastal water),Armenia,2017,2974.0,E
Total area of the country (excl. coastal water),Armenia,2018,2974.0,E
Cultivated area (arable land + permanent crops),Armenia,1997,498.0,X
Cultivated area (arable land + permanent crops),Armenia,2002,491.0,X
Cultivated area (arable land + permanent crops),Armenia,2007,506.1,X
Cultivated area (arable land + permanent crops),Armenia,2012,505.1,X
Cultivated area (arable land + permanent crops),Armenia,2017,504.1,X
Cultivated area (arable land + permanent crops),Armenia,2018,504.7,X
Total population,Armenia,1997,3133.089,X
Total population,Armenia,2002,3033.978,X
Total population,Armenia,2007,2932.618,X
Total population,Armenia,2012,2884.234,X
Total population,Armenia,2017,2944.791,X
Total population,Armenia,2018,2951.745,X
Rural population,Armenia,1997,1080.782,X
Rural population,Armenia,2002,1085.046,X
Rural population,Armenia,2007,1063.546,X
Rural population,Armenia,2012,1059.405,X
Rural population,Armenia,2017,1081.248,X
Rural population,Armenia,2018,1081.275,X
Urban population,Armenia,1997,2052.304,X
Urban population,Armenia,2002,1948.851,X
Urban population,Armenia,2007,1869.51,X
Urban population,Armenia,2012,1822.517,X
Urban population,Armenia,2017,1849.202,X
Urban population,Armenia,2018,1852.877,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Armenia,2002,0.4316,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Armenia,2007,0.37,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Armenia,2012,0.329,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Armenia,2017,0.3176,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Armenia,2018,0.3176,I
Gross Domestic Product (GDP),Armenia,1997,1747514993.0,X
Gross Domestic Product (GDP),Armenia,2002,2534163311.0,X
Gross Domestic Product (GDP),Armenia,2007,9817806812.0,X
Gross Domestic Product (GDP),Armenia,2012,10619320693.0,X
Gross Domestic Product (GDP),Armenia,2017,11527458713.0,X
GDP per capita,Armenia,1997,557.761578,X
GDP per capita,Armenia,2002,835.283238,X
GDP per capita,Armenia,2007,3347.296067,X
GDP per capita,Armenia,2012,3684.805034,X
GDP per capita,Armenia,2017,3933.682101,X
GDP per capita,Armenia,2018,4237.388785,X
"Agriculture, value added (% GDP)",Armenia,1997,27.567149,X
"Agriculture, value added (% GDP)",Armenia,2002,21.997248,X
"Agriculture, value added (% GDP)",Armenia,2007,17.094531,X
"Agriculture, value added (% GDP)",Armenia,2012,17.912682,X
"Agriculture, value added (% GDP)",Armenia,2017,14.99426,X
Total area of the country (excl. coastal water),Australia,1997,774122.0,X
Total area of the country (excl. coastal water),Australia,2002,774122.0,X
Total area of the country (excl. coastal water),Australia,2007,774122.0,X
