,,Year,Value,Symbol
SDG 6.4.2. Water Stress,Afghanistan,1997,56.1812461297,E
SDG 6.4.2. Water Stress,Afghanistan,2002,54.7570194384,E
SDG 6.4.2. Water Stress,Afghanistan,2007,54.7570194384,E
SDG 6.4.2. Water Stress,Afghanistan,2012,54.7570194384,E
SDG 6.4.2. Water Stress,Afghanistan,2017,54.7570194384,E
SDG 6.4.2. Water Stress,Afghanistan,2018,54.7570194384,E
SDG 6.4.2. Water Stress,Albania,1997,8.5965144231,E
SDG 6.4.2. Water Stress,Albania,2002,9.9947115385,E
SDG 6.4.2. Water Stress,Albania,2007,7.4984375,E
SDG 6.4.2. Water Stress,Albania,2012,6.7568509615,E
SDG 6.4.2. Water Stress,Albania,2017,6.5564903846,E
SDG 6.4.2. Water Stress,Albania,2018,5.7572115385,E
SDG 6.4.1. Water Use Efficiency,Albania,2002,2.9516696035,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Albania,2002,0.367061048,E
SDG 6.4.1. Industrial Water Use Efficiency,Albania,1997,3.5279556709,E
SDG 6.4.1. Industrial Water Use Efficiency,Albania,2002,6.3350958212,E
SDG 6.4.1. Services Water Use Efficiency,Albania,1997,5.1006927682,E
SDG 6.4.1. Services Water Use Efficiency,Albania,2002,5.6502093143,E
SDG 6.4.2. Water Stress,Algeria,1997,74.2080151451,E
SDG 6.4.2. Water Stress,Algeria,2002,85.0373724582,E
SDG 6.4.2. Water Stress,Algeria,2007,97.464514286,E
SDG 6.4.2. Water Stress,Algeria,2012,109.7509497678,E
SDG 6.4.2. Water Stress,Algeria,2017,137.9203602082,E
SDG 6.4.2. Water Stress,Algeria,2018,137.9203602082,E
SDG 6.4.1. Water Use Efficiency,Algeria,2002,15.0087600728,I
SDG 6.4.1. Water Use Efficiency,Algeria,2012,16.0927893206,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Algeria,2002,0.3438415573,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Algeria,2012,0.6101537764,E
SDG 6.4.1. Industrial Water Use Efficiency,Algeria,1997,73.2527467036,E
SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2002,103.2871769197,E
SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2012,170.2344498076,E
SDG 6.4.1. Services Water Use Efficiency,Algeria,1997,21.5494713086,E
SDG 6.4.1. Services Water Use Efficiency,Algeria,2002,20.403191374,E
SDG 6.4.1. Services Water Use Efficiency,Algeria,2012,20.4933066262,E
SDG 6.4.2. Water Stress,Angola,1997,1.600489696,E
SDG 6.4.2. Water Stress,Angola,2002,1.7679575597,E
SDG 6.4.2. Water Stress,Angola,2007,1.8718832891,E
SDG 6.4.2. Water Stress,Angola,2012,1.8718832891,E
SDG 6.4.2. Water Stress,Angola,2017,1.8718832891,E
SDG 6.4.2. Water Stress,Angola,2018,1.8718832891,E
SDG 6.4.1. Water Use Efficiency,Angola,1997,53.5267064839,I
SDG 6.4.1. Water Use Efficiency,Angola,2002,66.8042720729,I
SDG 6.4.1. Water Use Efficiency,Angola,2007,108.3609599426,I
SDG 6.4.1. Water Use Efficiency,Angola,2012,143.116159043,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Angola,1997,0.1788828865,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Angola,2002,0.1241099383,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Angola,2007,0.1285287716,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Angola,2012,0.1453568628,E
SDG 6.4.1. Industrial Water Use Efficiency,Angola,1997,144.3536595292,E
SDG 6.4.1. Industrial Water Use Efficiency,Angola,2002,127.692284131,E
SDG 6.4.1. Industrial Water Use Efficiency,Angola,2007,201.0141231267,E
SDG 6.4.1. Industrial Water Use Efficiency,Angola,2012,246.8436518492,E
SDG 6.4.1. Services Water Use Efficiency,Angola,1997,49.6903617964,E
SDG 6.4.1. Services Water Use Efficiency,Angola,2002,65.855406178,E
SDG 6.4.1. Services Water Use Efficiency,Angola,2007,88.573791723,E
SDG 6.4.1. Services Water Use Efficiency,Angola,2012,130.9744044372,E
SDG 6.4.2. Water Stress,Antigua and Barbuda,1997,6.3205128205,I
SDG 6.4.2. Water Stress,Antigua and Barbuda,2002,8.5,I
SDG 6.4.2. Water Stress,Antigua and Barbuda,2007,9.4230769231,I
SDG 6.4.2. Water Stress,Antigua and Barbuda,2012,8.4615384615,E
SDG 6.4.2. Water Stress,Antigua and Barbuda,2017,8.4615384615,I
SDG 6.4.2. Water Stress,Antigua and Barbuda,2018,8.4615384615,I
SDG 6.4.1. Water Use Efficiency,Antigua and Barbuda,1997,121.9075168917,I
SDG 6.4.1. Water Use Efficiency,Antigua and Barbuda,2002,117.7569401484,I
SDG 6.4.1. Water Use Efficiency,Antigua and Barbuda,2007,139.8095079857,I
SDG 6.4.1. Water Use Efficiency,Antigua and Barbuda,2012,93.457340128,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Antigua and Barbuda,1997,0.5554468166,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Antigua and Barbuda,2002,0.969320832,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Antigua and Barbuda,2007,1.6101283094,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Antigua and Barbuda,2012,1.5729382648,E
SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,1997,69.1011395329,E
SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2002,62.0956652493,E
SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2007,118.712789071,E
SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2012,53.985416658,E
SDG 6.4.1. Services Water Use Efficiency,Antigua and Barbuda,1997,173.6521764582,E
SDG 6.4.1. Services Water Use Efficiency,Antigua and Barbuda,2002,166.5261507966,E
SDG 6.4.1. Services Water Use Efficiency,Antigua and Barbuda,2007,181.1583539402,E
SDG 6.4.1. Services Water Use Efficiency,Antigua and Barbuda,2012,130.1339695764,E
SDG 6.4.2. Water Stress,Argentina,1997,8.1273637776,E
SDG 6.4.2. Water Stress,Argentina,2002,8.7942294014,E
SDG 6.4.2. Water Stress,Argentina,2007,9.7175421959,E
SDG 6.4.2. Water Stress,Argentina,2012,10.4566640772,E
SDG 6.4.2. Water Stress,Argentina,2017,10.4566640772,E
SDG 6.4.2. Water Stress,Argentina,2018,10.4566640772,E
SDG 6.4.1. Water Use Efficiency,Argentina,1997,12.1844518106,I
SDG 6.4.1. Water Use Efficiency,Argentina,2002,9.2497026316,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Argentina,1997,0.0807698546,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Argentina,2002,0.1096187224,E
SDG 6.4.1. Industrial Water Use Efficiency,Argentina,1997,29.856348455,E
SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2002,22.932636843,E
SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2007,35.9563172417,E
