,,Year,Value,Symbol
Area salinized by irrigation,Albania,1997,9.6,I
Area salinized by irrigation,Albania,2002,7.2,I
Area salinized by irrigation,Albania,2007,4.8,I
Area salinized by irrigation,Albania,2012,2.4,I
Area salinized by irrigation,Argentina,1997,584.0,OF
Area salinized by irrigation,Argentina,2002,584.0,I
Area salinized by irrigation,Argentina,2007,584.0,I
Area salinized by irrigation,Argentina,2012,584.0,I
Area salinized by irrigation,Argentina,2017,584.0,I
Area salinized by irrigation,Argentina,2018,584.0,I
Area salinized by irrigation,Armenia,1997,31.2836363636,I
Area salinized by irrigation,Armenia,2002,25.2427272727,I
Area salinized by irrigation,Armenia,2007,20.41,I
Area salinized by irrigation,Armenia,2012,20.41,I
Area salinized by irrigation,Armenia,2017,20.41,I
Area salinized by irrigation,Armenia,2018,20.41,I
Area waterlogged by irrigation,Armenia,1997,29.82,OF
Area waterlogged by irrigation,Armenia,2002,17.96,OF
Area waterlogged by irrigation,Armenia,2007,18.72,I
Area waterlogged by irrigation,Armenia,2012,18.72,I
Area waterlogged by irrigation,Armenia,2017,18.72,I
Area waterlogged by irrigation,Armenia,2018,18.72,I
Area salinized by irrigation,Australia,1997,200.0,I
Area salinized by irrigation,Australia,2002,200.0,I
Area salinized by irrigation,Australia,2007,200.0,I
Area salinized by irrigation,Australia,2012,200.0,I
Area salinized by irrigation,Australia,2017,200.0,I
Area salinized by irrigation,Australia,2018,200.0,I
Area salinized by irrigation,Azerbaijan,1997,296.95,I
Area salinized by irrigation,Azerbaijan,2002,579.325,I
Area salinized by irrigation,Azerbaijan,2007,542.4181818182,I
Area salinized by irrigation,Azerbaijan,2012,425.6909090909,I
Area salinized by irrigation,Azerbaijan,2018,270.12,I
Area salinized by irrigation,Bahrain,1997,1.065,I
Area salinized by irrigation,Bahrain,2002,1.065,I
Area salinized by irrigation,Bahrain,2007,1.065,I
Area salinized by irrigation,Bahrain,2012,1.065,I
Area salinized by irrigation,Bahrain,2017,1.065,I
Area salinized by irrigation,Bahrain,2018,1.065,I
Area waterlogged by irrigation,Bahrain,1997,1.86,I
Area waterlogged by irrigation,Bahrain,2002,1.86,I
Area waterlogged by irrigation,Bahrain,2007,1.86,I
Area waterlogged by irrigation,Bahrain,2012,1.86,I
Area waterlogged by irrigation,Bahrain,2017,1.86,I
Area waterlogged by irrigation,Bahrain,2018,1.86,I
Area salinized by irrigation,Bangladesh,1997,100.0,I
Area salinized by irrigation,Bangladesh,2002,100.0,I
Area salinized by irrigation,Bangladesh,2007,100.0,I
Area salinized by irrigation,Bangladesh,2012,100.0,I
Area salinized by irrigation,Bangladesh,2017,100.0,I
Area salinized by irrigation,Bangladesh,2018,100.0,I
Area waterlogged by irrigation,Bangladesh,1997,770.0,I
