,,Year,Value,Symbol
Number of people undernourished (3-year average),Afghanistan,1997,8400.0,X
Number of people undernourished (3-year average),Afghanistan,2007,8800.0,X
Prevalence of undernourishment (3-year average),Afghanistan,1997,45.6,X
Prevalence of undernourishment (3-year average),Afghanistan,2002,47.8,X
Total population with access to safe drinking-water (JMP),Afghanistan,1997,25.0,X
Total population with access to safe drinking-water (JMP),Afghanistan,2002,33.8,X
Total population with access to safe drinking-water (JMP),Afghanistan,2007,42.6,X
Total population with access to safe drinking-water (JMP),Afghanistan,2012,51.6,X
Total population with access to safe drinking-water (JMP),Afghanistan,2017,55.3,I
Total population with access to safe drinking-water (JMP),Afghanistan,2018,55.3,I
Number of people undernourished (3-year average),Albania,2002,200.0,X
Number of people undernourished (3-year average),Albania,2007,300.0,X
Number of people undernourished (3-year average),Albania,2012,100.0,X
Number of people undernourished (3-year average),Albania,2017,100.0,X
Number of people undernourished (3-year average),Albania,2018,100.0,X
Prevalence of undernourishment (3-year average),Albania,2007,8.8,X
Prevalence of undernourishment (3-year average),Albania,2012,4.1,X
Total population with access to safe drinking-water (JMP),Albania,1997,95.8,X
Total population with access to safe drinking-water (JMP),Albania,2002,96.1,X
Total population with access to safe drinking-water (JMP),Albania,2007,95.9,X
Total population with access to safe drinking-water (JMP),Albania,2012,95.4,X
Total population with access to safe drinking-water (JMP),Albania,2017,95.1,I
Total population with access to safe drinking-water (JMP),Albania,2018,95.1,I
Number of people undernourished (3-year average),Algeria,1997,2500.0,X
Number of people undernourished (3-year average),Algeria,2002,2500.0,X
Number of people undernourished (3-year average),Algeria,2007,2200.0,X
Prevalence of undernourishment (3-year average),Algeria,1997,8.4,X
Prevalence of undernourishment (3-year average),Algeria,2002,8.0,X
Prevalence of undernourishment (3-year average),Algeria,2007,6.4,X
Prevalence of undernourishment (3-year average),Algeria,2012,4.0,X
Total population with access to safe drinking-water (JMP),Algeria,1997,90.5,X
Total population with access to safe drinking-water (JMP),Algeria,2002,88.8,X
Total population with access to safe drinking-water (JMP),Algeria,2007,87.0,X
Total population with access to safe drinking-water (JMP),Algeria,2012,84.9,X
Total population with access to safe drinking-water (JMP),Algeria,2017,83.6,I
Total population with access to safe drinking-water (JMP),Algeria,2018,83.6,I
Total population with access to safe drinking-water (JMP),Andorra,1997,100.0,X
Total population with access to safe drinking-water (JMP),Andorra,2002,100.0,X
Total population with access to safe drinking-water (JMP),Andorra,2007,100.0,X
Total population with access to safe drinking-water (JMP),Andorra,2012,100.0,X
Total population with access to safe drinking-water (JMP),Andorra,2017,100.0,I
Total population with access to safe drinking-water (JMP),Andorra,2018,100.0,I
Number of people undernourished (3-year average),Angola,1997,7400.0,X
Number of people undernourished (3-year average),Angola,2002,11400.0,X
Prevalence of undernourishment (3-year average),Angola,1997,59.5,X
Prevalence of undernourishment (3-year average),Angola,2002,67.5,X
Total population with access to safe drinking-water (JMP),Angola,1997,45.8,X
Total population with access to safe drinking-water (JMP),Angola,2002,45.7,X
Total population with access to safe drinking-water (JMP),Angola,2007,46.4,X
Total population with access to safe drinking-water (JMP),Angola,2012,47.8,X
Total population with access to safe drinking-water (JMP),Angola,2017,49.0,I
Total population with access to safe drinking-water (JMP),Angola,2018,49.0,I
Total population with access to safe drinking-water (JMP),Antigua and Barbuda,1997,97.6,X
Total population with access to safe drinking-water (JMP),Antigua and Barbuda,2002,97.7,X
Total population with access to safe drinking-water (JMP),Antigua and Barbuda,2007,97.9,X
Total population with access to safe drinking-water (JMP),Antigua and Barbuda,2012,97.9,X
Total population with access to safe drinking-water (JMP),Antigua and Barbuda,2017,97.9,I
Total population with access to safe drinking-water (JMP),Antigua and Barbuda,2018,97.9,I
Prevalence of undernourishment (3-year average),Argentina,2007,3.4,X
Prevalence of undernourishment (3-year average),Argentina,2012,3.3,X
Total population with access to safe drinking-water (JMP),Argentina,1997,95.6,X
Total population with access to safe drinking-water (JMP),Argentina,2002,96.7,X
Total population with access to safe drinking-water (JMP),Argentina,2007,97.7,X
Total population with access to safe drinking-water (JMP),Argentina,2012,98.6,X
Total population with access to safe drinking-water (JMP),Argentina,2017,99.1,I
Total population with access to safe drinking-water (JMP),Argentina,2018,99.1,I
Population affected by water related disease,Argentina,2012,5607.0,I
Population affected by water related disease,Argentina,2017,5607.0,I
Population affected by water related disease,Argentina,2018,5607.0,I
Number of people undernourished (3-year average),Armenia,1997,600.0,X
Number of people undernourished (3-year average),Armenia,2002,800.0,X
Number of people undernourished (3-year average),Armenia,2007,300.0,X
Number of people undernourished (3-year average),Armenia,2012,100.0,X
Number of people undernourished (3-year average),Armenia,2017,100.0,X
Number of people undernourished (3-year average),Armenia,2018,100.0,X
Prevalence of undernourishment (3-year average),Armenia,1997,19.6,X
Prevalence of undernourishment (3-year average),Armenia,2017,2.8,X
Total population with access to safe drinking-water (JMP),Armenia,1997,91.0,X
Total population with access to safe drinking-water (JMP),Armenia,2002,93.7,X
Total population with access to safe drinking-water (JMP),Armenia,2007,96.7,X
Total population with access to safe drinking-water (JMP),Armenia,2012,99.7,X
Total population with access to safe drinking-water (JMP),Armenia,2017,100.0,I
Total population with access to safe drinking-water (JMP),Armenia,2018,100.0,I
Population affected by water related disease,Armenia,2002,1.644,I
Population affected by water related disease,Armenia,2007,1.644,I
Population affected by water related disease,Armenia,2012,1.644,I
Population affected by water related disease,Armenia,2017,1.644,I
Population affected by water related disease,Armenia,2018,1.644,I
Total population with access to safe drinking-water (JMP),Australia,1997,100.0,X
Total population with access to safe drinking-water (JMP),Australia,2002,100.0,X
Total population with access to safe drinking-water (JMP),Australia,2007,100.0,X
Total population with access to safe drinking-water (JMP),Australia,2012,100.0,X
Total population with access to safe drinking-water (JMP),Australia,2017,100.0,I
Total population with access to safe drinking-water (JMP),Australia,2018,100.0,I
Total population with access to safe drinking-water (JMP),Austria,1997,100.0,X
Total population with access to safe drinking-water (JMP),Austria,2002,100.0,X
Total population with access to safe drinking-water (JMP),Austria,2007,100.0,X
Total population with access to safe drinking-water (JMP),Austria,2012,100.0,X
Total population with access to safe drinking-water (JMP),Austria,2017,100.0,I
Total population with access to safe drinking-water (JMP),Austria,2018,100.0,I
Number of people undernourished (3-year average),Azerbaijan,1997,2100.0,X
Number of people undernourished (3-year average),Azerbaijan,2002,1400.0,X
Number of people undernourished (3-year average),Azerbaijan,2007,200.0,X
Number of people undernourished (3-year average),Azerbaijan,2012,200.0,I
Number of people undernourished (3-year average),Azerbaijan,2017,200.0,I
Number of people undernourished (3-year average),Azerbaijan,2018,200.0,I
Prevalence of undernourishment (3-year average),Azerbaijan,1997,27.4,X
Prevalence of undernourishment (3-year average),Azerbaijan,2012,2.5,I
Prevalence of undernourishment (3-year average),Azerbaijan,2017,2.5,I
Prevalence of undernourishment (3-year average),Azerbaijan,2018,2.5,I
Total population with access to safe drinking-water (JMP),Azerbaijan,1997,71.7,X
Total population with access to safe drinking-water (JMP),Azerbaijan,2002,75.8,X
Total population with access to safe drinking-water (JMP),Azerbaijan,2007,80.2,X
Total population with access to safe drinking-water (JMP),Azerbaijan,2012,84.5,X
Total population with access to safe drinking-water (JMP),Azerbaijan,2017,87.0,I
Total population with access to safe drinking-water (JMP),Azerbaijan,2018,87.0,I
Total population with access to safe drinking-water (JMP),Bahamas,1997,96.3,X
Total population with access to safe drinking-water (JMP),Bahamas,2002,96.9,X
Total population with access to safe drinking-water (JMP),Bahamas,2007,97.6,X
Total population with access to safe drinking-water (JMP),Bahamas,2012,98.4,X
Total population with access to safe drinking-water (JMP),Bahamas,2017,98.4,I
Total population with access to safe drinking-water (JMP),Bahamas,2018,98.4,I
Total population with access to safe drinking-water (JMP),Bahrain,1997,97.1,X
Total population with access to safe drinking-water (JMP),Bahrain,2002,100.0,X
Total population with access to safe drinking-water (JMP),Bahrain,2007,100.0,X
Total population with access to safe drinking-water (JMP),Bahrain,2012,100.0,X
Total population with access to safe drinking-water (JMP),Bahrain,2017,100.0,I
Total population with access to safe drinking-water (JMP),Bahrain,2018,100.0,I
Number of people undernourished (3-year average),Bangladesh,1997,44200.0,X
Prevalence of undernourishment (3-year average),Bangladesh,1997,36.1,X
Total population with access to safe drinking-water (JMP),Bangladesh,1997,73.6,X
Total population with access to safe drinking-water (JMP),Bangladesh,2002,77.5,X
Total population with access to safe drinking-water (JMP),Bangladesh,2007,81.3,X
Total population with access to safe drinking-water (JMP),Bangladesh,2012,84.8,X
Total population with access to safe drinking-water (JMP),Bangladesh,2017,86.9,I
Total population with access to safe drinking-water (JMP),Bangladesh,2018,86.9,I
Prevalence of undernourishment (3-year average),Barbados,2007,5.3,X
Total population with access to safe drinking-water (JMP),Barbados,1997,97.2,X
Total population with access to safe drinking-water (JMP),Barbados,2002,97.9,X
Total population with access to safe drinking-water (JMP),Barbados,2007,98.7,X
Total population with access to safe drinking-water (JMP),Barbados,2012,99.4,X
Total population with access to safe drinking-water (JMP),Barbados,2017,99.7,I
Total population with access to safe drinking-water (JMP),Barbados,2018,99.7,I
Number of people undernourished (3-year average),Belarus,2002,300.0,X
Number of people undernourished (3-year average),Belarus,2007,300.0,I
Number of people undernourished (3-year average),Belarus,2012,300.0,I
Number of people undernourished (3-year average),Belarus,2017,300.0,I
Number of people undernourished (3-year average),Belarus,2018,300.0,I
