,,Year,Value,Symbol
Harvested irrigated temporary crop area: Wheat,Afghanistan,1997,1015.2631578947,I
Harvested irrigated temporary crop area: Wheat,Afghanistan,2002,1004.7368421053,I
Harvested irrigated temporary crop area: Wheat,Afghanistan,2007,994.2105263158,I
Harvested irrigated temporary crop area: Wheat,Afghanistan,2012,1156.0,OF
Harvested irrigated temporary crop area: Wheat,Afghanistan,2017,1301.0,I
Harvested irrigated temporary crop area: Wheat,Afghanistan,2018,1301.0,I
Harvested irrigated temporary crop area: Rice,Afghanistan,2012,208.0,I
Harvested irrigated temporary crop area: Rice,Afghanistan,2017,208.0,I
Harvested irrigated temporary crop area: Rice,Afghanistan,2018,208.0,I
Harvested irrigated temporary crop area: Barley,Afghanistan,2012,116.0,I
Harvested irrigated temporary crop area: Barley,Afghanistan,2017,116.0,I
Harvested irrigated temporary crop area: Barley,Afghanistan,2018,116.0,I
Harvested irrigated temporary crop area: Maize,Afghanistan,2012,183.0,I
Harvested irrigated temporary crop area: Maize,Afghanistan,2017,183.0,I
Harvested irrigated temporary crop area: Maize,Afghanistan,2018,183.0,I
Harvested irrigated temporary crop area: Potatoes,Afghanistan,2007,15.0,I
Harvested irrigated temporary crop area: Potatoes,Afghanistan,2012,15.0,I
Harvested irrigated temporary crop area: Potatoes,Afghanistan,2017,15.0,I
Harvested irrigated temporary crop area: Potatoes,Afghanistan,2018,15.0,I
Harvested irrigated temporary crop area: Sugarcane,Afghanistan,2007,2.0,I
Harvested irrigated temporary crop area: Sugarcane,Afghanistan,2012,2.0,I
Harvested irrigated temporary crop area: Sugarcane,Afghanistan,2017,2.0,I
Harvested irrigated temporary crop area: Sugarcane,Afghanistan,2018,2.0,I
Harvested irrigated temporary crop area: Sugar beet,Afghanistan,2007,2.0,I
Harvested irrigated temporary crop area: Sugar beet,Afghanistan,2012,2.0,I
Harvested irrigated temporary crop area: Sugar beet,Afghanistan,2017,2.0,I
Harvested irrigated temporary crop area: Sugar beet,Afghanistan,2018,2.0,I
Harvested irrigated temporary crop area: Leguminous crops,Afghanistan,2007,27.0,I
Harvested irrigated temporary crop area: Leguminous crops,Afghanistan,2012,27.0,I
Harvested irrigated temporary crop area: Leguminous crops,Afghanistan,2017,27.0,I
Harvested irrigated temporary crop area: Leguminous crops,Afghanistan,2018,27.0,I
Harvested irrigated temporary crop area: Vegetables,Afghanistan,2012,69.0,I
Harvested irrigated temporary crop area: Vegetables,Afghanistan,2017,69.0,I
Harvested irrigated temporary crop area: Vegetables,Afghanistan,2018,69.0,I
Harvested irrigated temporary crop area: Cotton,Afghanistan,2012,33.0,I
Harvested irrigated temporary crop area: Cotton,Afghanistan,2017,33.0,I
Harvested irrigated temporary crop area: Cotton,Afghanistan,2018,33.0,I
Harvested irrigated temporary crop area: Sunflower,Afghanistan,2007,10.0,I
Harvested irrigated temporary crop area: Sunflower,Afghanistan,2012,10.0,I
Harvested irrigated temporary crop area: Sunflower,Afghanistan,2017,10.0,I
Harvested irrigated temporary crop area: Sunflower,Afghanistan,2018,10.0,I
Harvested irrigated temporary crop area: Sesame,Afghanistan,2007,10.0,I
Harvested irrigated temporary crop area: Sesame,Afghanistan,2012,10.0,I
Harvested irrigated temporary crop area: Sesame,Afghanistan,2017,10.0,I
Harvested irrigated temporary crop area: Sesame,Afghanistan,2018,10.0,I
Harvested irrigated permanent crop area: Other crops,Afghanistan,2012,198.0,I
Harvested irrigated permanent crop area: Other crops,Afghanistan,2017,198.0,I
Harvested irrigated permanent crop area: Other crops,Afghanistan,2018,198.0,I
Harvested irrigated temporary crop area: Wheat,Albania,2007,3.1,I
Harvested irrigated temporary crop area: Wheat,Albania,2012,3.1,I
Harvested irrigated temporary crop area: Wheat,Albania,2017,3.1,I
Harvested irrigated temporary crop area: Wheat,Albania,2018,3.1,I
Harvested irrigated temporary crop area: Maize,Albania,2007,28.5,I
Harvested irrigated temporary crop area: Maize,Albania,2012,28.5,I
Harvested irrigated temporary crop area: Maize,Albania,2017,28.5,I
Harvested irrigated temporary crop area: Maize,Albania,2018,28.5,I
Harvested irrigated temporary crop area: Other cereals,Albania,2007,4.2,I
Harvested irrigated temporary crop area: Other cereals,Albania,2012,4.2,I
Harvested irrigated temporary crop area: Other cereals,Albania,2017,4.2,I
Harvested irrigated temporary crop area: Other cereals,Albania,2018,4.2,I
Harvested irrigated temporary crop area: Potatoes,Albania,2007,2.9,I
Harvested irrigated temporary crop area: Potatoes,Albania,2012,2.9,I
Harvested irrigated temporary crop area: Potatoes,Albania,2017,2.9,I
Harvested irrigated temporary crop area: Potatoes,Albania,2018,2.9,I
Harvested irrigated temporary crop area: Leguminous crops,Albania,2007,13.1,I
Harvested irrigated temporary crop area: Leguminous crops,Albania,2012,13.1,I
Harvested irrigated temporary crop area: Leguminous crops,Albania,2017,13.1,I
Harvested irrigated temporary crop area: Leguminous crops,Albania,2018,13.1,I
Harvested irrigated temporary crop area: Vegetables,Albania,2007,19.5,I
Harvested irrigated temporary crop area: Vegetables,Albania,2012,19.5,I
Harvested irrigated temporary crop area: Vegetables,Albania,2017,19.5,I
Harvested irrigated temporary crop area: Vegetables,Albania,2018,19.5,I
Harvested irrigated temporary crop area: Fodder,Albania,2007,14.0,I
Harvested irrigated temporary crop area: Fodder,Albania,2012,14.0,I
Harvested irrigated temporary crop area: Fodder,Albania,2017,14.0,I
Harvested irrigated temporary crop area: Fodder,Albania,2018,14.0,I
Harvested irrigated temporary crop area: Other crops,Albania,2007,9.0,I
Harvested irrigated temporary crop area: Other crops,Albania,2012,9.0,I
Harvested irrigated temporary crop area: Other crops,Albania,2017,9.0,I
Harvested irrigated temporary crop area: Other crops,Albania,2018,9.0,I
Harvested irrigated permanent crop area: Other crops,Albania,2007,8.3,I
Harvested irrigated permanent crop area: Other crops,Albania,2012,8.3,I
Harvested irrigated permanent crop area: Other crops,Albania,2017,8.3,I
Harvested irrigated permanent crop area: Other crops,Albania,2018,8.3,I
Harvested irrigated temporary crop area: Wheat,Algeria,2002,89.3,I
Harvested irrigated temporary crop area: Wheat,Algeria,2007,89.3,I
Harvested irrigated temporary crop area: Wheat,Algeria,2012,89.3,I
Harvested irrigated temporary crop area: Wheat,Algeria,2017,89.3,I
Harvested irrigated temporary crop area: Wheat,Algeria,2018,89.3,I
Harvested irrigated temporary crop area: Other cereals,Algeria,1997,45.27,I
Harvested irrigated temporary crop area: Other cereals,Algeria,2002,62.2109090909,I
Harvested irrigated temporary crop area: Other cereals,Algeria,2007,79.1518181818,I
Harvested irrigated temporary crop area: Other cereals,Algeria,2012,82.54,I
Harvested irrigated temporary crop area: Other cereals,Algeria,2017,82.54,I
Harvested irrigated temporary crop area: Other cereals,Algeria,2018,82.54,I
Harvested irrigated temporary crop area: Potatoes,Algeria,2002,79.0,I
Harvested irrigated temporary crop area: Potatoes,Algeria,2007,79.0,I
Harvested irrigated temporary crop area: Potatoes,Algeria,2012,79.0,I
Harvested irrigated temporary crop area: Potatoes,Algeria,2017,79.0,I
Harvested irrigated temporary crop area: Potatoes,Algeria,2018,79.0,I
Harvested irrigated temporary crop area: Vegetables,Algeria,1997,97.9333333333,I
Harvested irrigated temporary crop area: Vegetables,Algeria,2002,123.8857142857,I
Harvested irrigated temporary crop area: Vegetables,Algeria,2007,248.3142857143,I
Harvested irrigated temporary crop area: Vegetables,Algeria,2012,273.2,I
Harvested irrigated temporary crop area: Vegetables,Algeria,2017,273.2,I
Harvested irrigated temporary crop area: Vegetables,Algeria,2018,273.2,I
Harvested irrigated permanent crop area: Citrus,Algeria,2002,45.4114285714,I
Harvested irrigated permanent crop area: Citrus,Algeria,2007,42.4685714286,I
Harvested irrigated permanent crop area: Citrus,Algeria,2012,41.88,I
Harvested irrigated permanent crop area: Citrus,Algeria,2017,41.88,I
Harvested irrigated permanent crop area: Citrus,Algeria,2018,41.88,I
Harvested irrigated temporary crop area: Tobacco,Algeria,2002,5.0,I
Harvested irrigated temporary crop area: Tobacco,Algeria,2007,5.0,I
Harvested irrigated temporary crop area: Tobacco,Algeria,2012,5.0,I
Harvested irrigated temporary crop area: Tobacco,Algeria,2017,5.0,I
Harvested irrigated temporary crop area: Tobacco,Algeria,2018,5.0,I
Harvested irrigated permanent crop area: Oil palm,Algeria,2012,140.2,I
Harvested irrigated permanent crop area: Oil palm,Algeria,2017,140.2,I
Harvested irrigated permanent crop area: Oil palm,Algeria,2018,140.2,I
Harvested irrigated temporary crop area: Other crops,Algeria,2002,16.3942857143,I
Harvested irrigated temporary crop area: Other crops,Algeria,2007,23.3657142857,I
Harvested irrigated temporary crop area: Other crops,Algeria,2012,24.76,I
Harvested irrigated temporary crop area: Other crops,Algeria,2017,24.76,I
Harvested irrigated temporary crop area: Other crops,Algeria,2018,24.76,I
Harvested irrigated permanent crop area: Other crops,Algeria,1997,145.0,I
Harvested irrigated permanent crop area: Other crops,Algeria,2002,145.0,I
Harvested irrigated permanent crop area: Other crops,Algeria,2007,145.0,I
Harvested irrigated permanent crop area: Other crops,Algeria,2012,145.0,I
Harvested irrigated permanent crop area: Other crops,Algeria,2017,145.0,I
Harvested irrigated permanent crop area: Other crops,Algeria,2018,145.0,I
Harvested irrigated temporary crop area: Maize,Angola,2007,4.799,I
Harvested irrigated temporary crop area: Maize,Angola,2012,4.799,I
Harvested irrigated temporary crop area: Maize,Angola,2017,4.799,I
Harvested irrigated temporary crop area: Maize,Angola,2018,4.799,I
Harvested irrigated temporary crop area: Potatoes,Angola,2007,0.203,I
Harvested irrigated temporary crop area: Potatoes,Angola,2012,0.203,I
Harvested irrigated temporary crop area: Potatoes,Angola,2017,0.203,I
Harvested irrigated temporary crop area: Potatoes,Angola,2018,0.203,I
Harvested irrigated temporary crop area: Sweet potatoes,Angola,2007,0.786,I
Harvested irrigated temporary crop area: Sweet potatoes,Angola,2012,0.786,I
Harvested irrigated temporary crop area: Sweet potatoes,Angola,2017,0.786,I
Harvested irrigated temporary crop area: Sweet potatoes,Angola,2018,0.786,I
Harvested irrigated temporary crop area: Cassava,Angola,2007,0.322,I
Harvested irrigated temporary crop area: Cassava,Angola,2012,0.322,I
Harvested irrigated temporary crop area: Cassava,Angola,2017,0.322,I
Harvested irrigated temporary crop area: Cassava,Angola,2018,0.322,I
Harvested irrigated temporary crop area: Sugarcane,Angola,1997,12.5,I
Harvested irrigated temporary crop area: Sugarcane,Angola,2002,12.5,I
Harvested irrigated temporary crop area: Sugarcane,Angola,2007,12.5,I
Harvested irrigated temporary crop area: Sugarcane,Angola,2012,12.5,I
Harvested irrigated temporary crop area: Sugarcane,Angola,2017,12.5,I
Harvested irrigated temporary crop area: Sugarcane,Angola,2018,12.5,I
Harvested irrigated temporary crop area: Leguminous crops,Angola,2007,1.14,I
Harvested irrigated temporary crop area: Leguminous crops,Angola,2012,1.14,I
Harvested irrigated temporary crop area: Leguminous crops,Angola,2017,1.14,I
Harvested irrigated temporary crop area: Leguminous crops,Angola,2018,1.14,I
Harvested irrigated temporary crop area: Vegetables,Angola,2007,2.695,I
Harvested irrigated temporary crop area: Vegetables,Angola,2012,2.695,I
Harvested irrigated temporary crop area: Vegetables,Angola,2017,2.695,I
Harvested irrigated temporary crop area: Vegetables,Angola,2018,2.695,I
