,,Year,Value,Symbol
Fresh surface water withdrawal,Afghanistan,2002,17.24,I
Fresh surface water withdrawal,Afghanistan,2007,17.24,I
Fresh surface water withdrawal,Afghanistan,2012,17.24,I
Fresh surface water withdrawal,Afghanistan,2017,17.24,I
Fresh surface water withdrawal,Afghanistan,2018,17.24,I
Fresh groundwater withdrawal,Afghanistan,2002,3.042,I
Fresh groundwater withdrawal,Afghanistan,2007,3.042,I
Fresh groundwater withdrawal,Afghanistan,2012,3.042,I
Fresh groundwater withdrawal,Afghanistan,2017,3.042,I
Fresh groundwater withdrawal,Afghanistan,2018,3.042,I
Total freshwater withdrawal,Afghanistan,1997,20.8095335664,E
Total freshwater withdrawal,Afghanistan,2002,20.282,I
Total freshwater withdrawal,Afghanistan,2007,20.282,I
Total freshwater withdrawal,Afghanistan,2012,20.282,I
Total freshwater withdrawal,Afghanistan,2017,20.282,I
Total freshwater withdrawal,Afghanistan,2018,20.282,I
Fresh groundwater withdrawal,Albania,2017,0.107,OF
Total freshwater withdrawal,Albania,1997,1.43046,E
Total freshwater withdrawal,Albania,2002,1.66312,E
Total freshwater withdrawal,Albania,2007,1.24774,E
Total freshwater withdrawal,Albania,2012,1.12434,E
Total freshwater withdrawal,Albania,2017,1.091,E
Fresh surface water withdrawal,Algeria,2012,4.8,OF
Fresh surface water withdrawal,Algeria,2017,1.699,OF
Fresh surface water withdrawal,Algeria,2018,1.699,I
Fresh groundwater withdrawal,Algeria,2012,3.0,OF
Fresh groundwater withdrawal,Algeria,2017,8.103,OF
Fresh groundwater withdrawal,Algeria,2018,8.103,I
Total freshwater withdrawal,Algeria,1997,5.2739636364,E
Total freshwater withdrawal,Algeria,2002,6.0436060606,E
Total freshwater withdrawal,Algeria,2007,6.9268030303,E
Total freshwater withdrawal,Algeria,2012,7.8,E
Total freshwater withdrawal,Algeria,2017,9.802,OF
Total freshwater withdrawal,Algeria,2018,9.802,I
Total freshwater withdrawal,Angola,1997,0.6033846154,I
Total freshwater withdrawal,Angola,2002,0.66652,I
Total freshwater withdrawal,Angola,2007,0.7057,I
Total freshwater withdrawal,Angola,2012,0.7057,I
Total freshwater withdrawal,Angola,2017,0.7057,I
Total freshwater withdrawal,Angola,2018,0.7057,I
Fresh surface water withdrawal,Antigua and Barbuda,2012,0.0037,OF
Fresh surface water withdrawal,Antigua and Barbuda,2017,0.0037,I
Fresh surface water withdrawal,Antigua and Barbuda,2018,0.0037,I
Fresh groundwater withdrawal,Antigua and Barbuda,2012,0.0007,OF
Fresh groundwater withdrawal,Antigua and Barbuda,2017,0.0007,I
Fresh groundwater withdrawal,Antigua and Barbuda,2018,0.0007,I
Total freshwater withdrawal,Antigua and Barbuda,1997,0.0032866667,I
Total freshwater withdrawal,Antigua and Barbuda,2002,0.00442,I
Total freshwater withdrawal,Antigua and Barbuda,2007,0.0049,I
Total freshwater withdrawal,Antigua and Barbuda,2012,0.0044,E
Total freshwater withdrawal,Antigua and Barbuda,2017,0.0044,I
Total freshwater withdrawal,Antigua and Barbuda,2018,0.0044,I
Fresh surface water withdrawal,Argentina,2012,26.36,I
Fresh surface water withdrawal,Argentina,2017,26.36,I
Fresh surface water withdrawal,Argentina,2018,26.36,I
Fresh groundwater withdrawal,Argentina,2012,11.33,I
Fresh groundwater withdrawal,Argentina,2017,11.33,I
Fresh groundwater withdrawal,Argentina,2018,11.33,I
Total freshwater withdrawal,Argentina,1997,29.29427,E
Total freshwater withdrawal,Argentina,2002,31.6979204545,E
Total freshwater withdrawal,Argentina,2007,35.0259090909,E
Total freshwater withdrawal,Argentina,2012,37.69,I
Total freshwater withdrawal,Argentina,2017,37.69,I
Total freshwater withdrawal,Argentina,2018,37.69,I
Fresh surface water withdrawal,Armenia,1997,1.33,OF
Fresh surface water withdrawal,Armenia,2002,1.158,OF
Fresh surface water withdrawal,Armenia,2007,2.154,OF
Fresh surface water withdrawal,Armenia,2012,1.627,OF
Fresh surface water withdrawal,Armenia,2017,1.72,OF
Fresh groundwater withdrawal,Armenia,1997,0.52,OF
Fresh groundwater withdrawal,Armenia,2002,0.575,OF
Fresh groundwater withdrawal,Armenia,2007,0.858,OF
Fresh groundwater withdrawal,Armenia,2012,1.314,OF
Fresh groundwater withdrawal,Armenia,2017,1.15,OF
Total freshwater withdrawal,Armenia,1997,1.85,OF
Total freshwater withdrawal,Armenia,2002,1.732,OF
Total freshwater withdrawal,Armenia,2007,3.012,OF
Total freshwater withdrawal,Armenia,2012,2.941,OF
