,,Year,Value,Symbol
Desalinated water produced,Albania,2018,0.0,I
Direct use of treated municipal wastewater,Albania,2018,0.0,I
Treated municipal wastewater,Albania,2017,0.0205,OF
Treated municipal wastewater,Albania,2018,0.0205,I
Desalinated water produced,Algeria,1997,0.0311,I
Desalinated water produced,Algeria,2002,0.017,OF
Desalinated water produced,Algeria,2007,0.316,I
Desalinated water produced,Algeria,2012,0.615,OF
Desalinated water produced,Algeria,2017,0.631,OF
Desalinated water produced,Algeria,2018,0.631,I
Direct use of treated municipal wastewater,Algeria,2017,0.05,OF
Direct use of treated municipal wastewater,Algeria,2018,0.05,I
Produced municipal wastewater,Algeria,1997,0.6936,I
Produced municipal wastewater,Algeria,2002,0.7076,I
Produced municipal wastewater,Algeria,2007,0.7216,I
Produced municipal wastewater,Algeria,2012,0.82,
Produced municipal wastewater,Algeria,2017,1.5,OF
Produced municipal wastewater,Algeria,2018,1.5,I
Collected municipal wastewater,Algeria,2017,0.705,I
Collected municipal wastewater,Algeria,2018,0.705,I
Not treated municipal wastewater,Algeria,2017,0.496,I
Not treated municipal wastewater,Algeria,2018,0.496,I
Treated municipal wastewater,Algeria,2017,0.4,OF
Treated municipal wastewater,Algeria,2018,0.4,I
Not treated municipal wastewater discharged (secondary water),Algeria,2012,0.219,I
Not treated municipal wastewater discharged (secondary water),Algeria,2017,0.219,I
Not treated municipal wastewater discharged (secondary water),Algeria,2018,0.219,I
Desalinated water produced,Angola,1997,0.0001,I
Desalinated water produced,Angola,2002,0.0001,I
Desalinated water produced,Angola,2007,0.0001,I
Desalinated water produced,Angola,2012,0.0001,I
Desalinated water produced,Angola,2017,0.0001,I
Desalinated water produced,Angola,2018,0.0001,I
Desalinated water produced,Antigua and Barbuda,1997,0.0033,I
Desalinated water produced,Antigua and Barbuda,2002,0.0033,I
Desalinated water produced,Antigua and Barbuda,2007,0.0043857143,I
Desalinated water produced,Antigua and Barbuda,2017,0.0071,I
Desalinated water produced,Antigua and Barbuda,2018,0.0071,I
Treated municipal wastewater,Antigua and Barbuda,1997,0.0002,I
Treated municipal wastewater,Antigua and Barbuda,2002,0.0002,I
Treated municipal wastewater,Antigua and Barbuda,2007,0.0002,I
Treated municipal wastewater,Antigua and Barbuda,2012,0.0002,I
Treated municipal wastewater,Antigua and Barbuda,2017,0.0002,I
Treated municipal wastewater,Antigua and Barbuda,2018,0.0002,I
Desalinated water produced,Argentina,1997,0.0007,I
Desalinated water produced,Argentina,2002,0.0007,I
Desalinated water produced,Argentina,2007,0.0007,I
Desalinated water produced,Argentina,2012,0.0007,I
Desalinated water produced,Argentina,2017,0.0007,I
Desalinated water produced,Argentina,2018,0.0007,I
Direct use of treated municipal wastewater,Argentina,1997,0.03628,I
Direct use of treated municipal wastewater,Argentina,2002,0.0907545455,I
Direct use of treated municipal wastewater,Argentina,2007,0.0908909091,I
Direct use of treated municipal wastewater,Argentina,2012,0.091,I
Direct use of treated municipal wastewater,Argentina,2017,0.091,I
Direct use of treated municipal wastewater,Argentina,2018,0.091,I
Produced municipal wastewater,Argentina,2012,2.458,I
Produced municipal wastewater,Argentina,2017,2.458,I
Produced municipal wastewater,Argentina,2018,2.458,I
Collected municipal wastewater,Argentina,2012,1.596,I
Collected municipal wastewater,Argentina,2017,1.596,I
Collected municipal wastewater,Argentina,2018,1.596,I
