,,Year,Value,Symbol
Total internal renewable water resources (IRWR),Afghanistan,1997,47.15,E
Total internal renewable water resources (IRWR),Afghanistan,2002,47.15,E
Total internal renewable water resources (IRWR),Afghanistan,2007,47.15,E
Total internal renewable water resources (IRWR),Afghanistan,2012,47.15,E
Total internal renewable water resources (IRWR),Afghanistan,2017,47.15,E
Total internal renewable water resources (IRWR),Afghanistan,2018,47.15,E
Total internal renewable water resources per capita,Afghanistan,1997,2435.7954791429,E
Total internal renewable water resources per capita,Afghanistan,2002,2086.2121069326,E
Total internal renewable water resources per capita,Afghanistan,2007,1739.8179873638,E
Total internal renewable water resources per capita,Afghanistan,2012,1513.091077878,E
Total internal renewable water resources per capita,Afghanistan,2017,1299.0371723826,E
Total internal renewable water resources per capita,Afghanistan,2018,1268.4305446576,E
Total renewable surface water,Afghanistan,1997,55.68,E
Total renewable surface water,Afghanistan,2002,55.68,E
Total renewable surface water,Afghanistan,2007,55.68,E
Total renewable surface water,Afghanistan,2012,55.68,E
Total renewable surface water,Afghanistan,2017,55.68,E
Total renewable surface water,Afghanistan,2018,55.68,E
Total renewable groundwater,Afghanistan,1997,10.65,E
Total renewable groundwater,Afghanistan,2002,10.65,E
Total renewable groundwater,Afghanistan,2007,10.65,E
Total renewable groundwater,Afghanistan,2012,10.65,E
Total renewable groundwater,Afghanistan,2017,10.65,E
Total renewable groundwater,Afghanistan,2018,10.65,E
Water resources: total external renewable,Afghanistan,1997,18.18,E
Water resources: total external renewable,Afghanistan,2002,18.18,E
Water resources: total external renewable,Afghanistan,2007,18.18,E
Water resources: total external renewable,Afghanistan,2012,18.18,E
Water resources: total external renewable,Afghanistan,2017,18.18,E
Water resources: total external renewable,Afghanistan,2018,18.18,E
Total renewable water resources,Afghanistan,1997,65.33,E
Total renewable water resources,Afghanistan,2002,65.33,E
Total renewable water resources,Afghanistan,2007,65.33,E
Total renewable water resources,Afghanistan,2012,65.33,E
Total renewable water resources,Afghanistan,2017,65.33,E
Total renewable water resources,Afghanistan,2018,65.33,E
Total renewable water resources per capita,Afghanistan,1997,3374.9844889164,E
Total renewable water resources per capita,Afghanistan,2002,2890.6094792346,E
Total renewable water resources per capita,Afghanistan,2007,2410.6534276665,E
Total renewable water resources per capita,Afghanistan,2012,2096.5056228582,E
Total renewable water resources per capita,Afghanistan,2017,1799.9172528474,E
Total renewable water resources per capita,Afghanistan,2018,1757.5093845701,E
Total internal renewable water resources (IRWR),Albania,1997,26.9,E
Total internal renewable water resources (IRWR),Albania,2002,26.9,E
Total internal renewable water resources (IRWR),Albania,2007,26.9,E
Total internal renewable water resources (IRWR),Albania,2012,26.9,E
Total internal renewable water resources (IRWR),Albania,2017,26.9,E
Total internal renewable water resources (IRWR),Albania,2018,26.9,E
Total internal renewable water resources per capita,Albania,1997,8678.113603927,E
Total internal renewable water resources per capita,Albania,2002,8604.7315787571,E
Total internal renewable water resources per capita,Albania,2007,8866.1891009816,E
Total internal renewable water resources per capita,Albania,2012,9230.993076412,E
Total internal renewable water resources per capita,Albania,2017,9326.7766209262,E
Total internal renewable water resources per capita,Albania,2018,9331.3999875119,E
Total renewable surface water,Albania,1997,26.35,E
Total renewable surface water,Albania,2002,26.35,E
