,,,Value,Symbol
Afghanistan,SDG 6.4.2. Water Stress,0,56.1812461297,E
Afghanistan,SDG 6.4.2. Water Stress,0,56.1812461297,E
Albania,SDG 6.4.2. Water Stress,0,8.5965144231,E
Albania,SDG 6.4.1. Industrial Water Use Efficiency,8,3.5279556709,E
Albania,SDG 6.4.1. Services Water Use Efficiency,10,5.1006927682,E
Algeria,SDG 6.4.2. Water Stress,0,74.2080151451,E
Algeria,SDG 6.4.1. Industrial Water Use Efficiency,10,73.2527467036,E
Algeria,SDG 6.4.1. Services Water Use Efficiency,13,21.5494713086,E
Angola,SDG 6.4.2. Water Stress,0,1.600489696,E
Angola,SDG 6.4.1. Water Use Efficiency,6,53.5267064839,I
Angola,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,10,0.1788828865,E
Angola,SDG 6.4.1. Industrial Water Use Efficiency,14,144.3536595292,E
Angola,SDG 6.4.1. Services Water Use Efficiency,18,49.6903617964,E
Antigua and Barbuda,SDG 6.4.2. Water Stress,0,6.3205128205,I
Antigua and Barbuda,SDG 6.4.1. Water Use Efficiency,6,121.9075168917,I
Antigua and Barbuda,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,10,0.5554468166,E
Antigua and Barbuda,SDG 6.4.1. Industrial Water Use Efficiency,14,69.1011395329,E
Antigua and Barbuda,SDG 6.4.1. Services Water Use Efficiency,18,173.6521764582,E
Argentina,SDG 6.4.2. Water Stress,0,8.1273637776,E
Argentina,SDG 6.4.1. Water Use Efficiency,6,12.1844518106,I
Argentina,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,8,0.0807698546,E
Argentina,SDG 6.4.1. Industrial Water Use Efficiency,10,29.856348455,E
Argentina,SDG 6.4.1. Services Water Use Efficiency,15,55.7883861631,E
Armenia,SDG 6.4.2. Water Stress,0,37.3209602582,E
Armenia,SDG 6.4.1. Water Use Efficiency,6,0.9911500642,I
Armenia,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,8,0.2603730985,E
Armenia,SDG 6.4.1. Industrial Water Use Efficiency,10,7.5849721199,E
Armenia,SDG 6.4.1. Services Water Use Efficiency,12,1.6982545178,E
Australia,SDG 6.4.2. Water Stress,0,8.8171290712,E
Austria,SDG 6.4.2. Water Stress,0,10.0635534678,E
Austria,SDG 6.4.1. Water Use Efficiency,6,67.1770648176,I
Austria,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,8,2.6927215731,E
Austria,SDG 6.4.1. Industrial Water Use Efficiency,10,24.7835527115,E
Austria,SDG 6.4.1. Services Water Use Efficiency,12,252.8366462637,E
Azerbaijan,SDG 6.4.2. Water Stress,0,55.2793111062,E
Bahrain,SDG 6.4.2. Water Stress,0,222.7354111406,E
Bangladesh,SDG 6.4.1. Industrial Water Use Efficiency,5,31.7263806762,E
Bangladesh,SDG 6.4.1. Services Water Use Efficiency,9,13.9199405221,E
Barbados,SDG 6.4.2. Water Stress,0,101.25,E
Belarus,Environmental Flow Requirements,0,27.56,X
Belarus,SDG 6.4.2. Water Stress,5,6.3375082399,E
Belarus,SDG 6.4.1. Industrial Water Use Efficiency,15,12.196369048,E
Belarus,SDG 6.4.1. Services Water Use Efficiency,19,10.730140494,E
Belgium,SDG 6.4.2. Water Stress,0,94.4717444717,E
Belgium,SDG 6.4.1. Industrial Water Use Efficiency,6,11.3437649284,E
Belgium,SDG 6.4.1. Services Water Use Efficiency,8,248.6016591292,E
Belize,SDG 6.4.2. Water Stress,0,0.9374199546,E
Belize,SDG 6.4.1. Water Use Efficiency,6,8.1795024142,I
Belize,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,10,0.1386549037,E
Belize,SDG 6.4.1. Industrial Water Use Efficiency,14,7.1735958124,E
Belize,SDG 6.4.1. Services Water Use Efficiency,18,43.9866559856,E
Benin,SDG 6.4.2. Water Stress,0,1.0757153574,E
Benin,SDG 6.4.1. Water Use Efficiency,6,17.9654837753,I
Benin,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,8,0.0782145816,E
Benin,SDG 6.4.1. Industrial Water Use Efficiency,10,43.0063942469,E
Benin,SDG 6.4.1. Services Water Use Efficiency,12,39.5538751293,E
Bolivia,SDG 6.4.2. Water Stress,0,1.0340012299,E
Bolivia,SDG 6.4.1. Industrial Water Use Efficiency,10,78.5525688672,E
Bolivia,SDG 6.4.1. Services Water Use Efficiency,15,64.3496720133,E
Botswana,SDG 6.4.2. Water Stress,0,1.7111785005,E
Botswana,SDG 6.4.1. Water Use Efficiency,6,37.1038055123,E
Botswana,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,8,0.0208970181,E
Botswana,SDG 6.4.1. Industrial Water Use Efficiency,10,97.7115520181,E
Botswana,SDG 6.4.1. Services Water Use Efficiency,12,49.1567889762,E
Brazil,SDG 6.4.2. Water Stress,0,2.6077541371,E
Brazil,SDG 6.4.1. Water Use Efficiency,5,17.7858057989,I
Brazil,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,8,0.1863078804,E
Brazil,SDG 6.4.1. Industrial Water Use Efficiency,11,22.6280527798,E
Brazil,SDG 6.4.1. Services Water Use Efficiency,14,62.6432118249,E
Brunei Darussalam,SDG 6.4.2. Water Stress,0,3.4664657121,E
Brunei Darussalam,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,6,6.3308302896,E
Bulgaria,SDG 6.4.2. Water Stress,0,48.6377411486,E
Bulgaria,SDG 6.4.1. Water Use Efficiency,6,3.233548848,I
Bulgaria,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,10,0.068655142,E
Bulgaria,SDG 6.4.1. Industrial Water Use Efficiency,14,1.2783333206,E
Bulgaria,SDG 6.4.1. Services Water Use Efficiency,18,15.9475961361,E
Burkina Faso,SDG 6.4.2. Water Stress,0,4.5145527937,E
Burkina Faso,SDG 6.4.1. Water Use Efficiency,2,6.2799430697,I
Burkina Faso,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4,0.03564631,E
Burkina Faso,SDG 6.4.1. Industrial Water Use Efficiency,6,198.4292452604,E
Burkina Faso,SDG 6.4.1. Services Water Use Efficiency,8,19.833902944,E
Burundi,SDG 6.4.2. Water Stress,0,8.9015787706,E
Burundi,SDG 6.4.1. Industrial Water Use Efficiency,12,19.0007861433,E
Burundi,SDG 6.4.1. Services Water Use Efficiency,16,10.0596477194,E
Cabo Verde,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,6,0.306559345,E
Cambodia,SDG 6.4.1. Industrial Water Use Efficiency,10,37.0739066537,E
Cambodia,SDG 6.4.1. Services Water Use Efficiency,15,25.7427222956,E
Cameroon,Environmental Flow Requirements,0,213.4,X
Cameroon,SDG 6.4.2. Water Stress,5,1.0810035842,E
Canada,SDG 6.4.2. Water Stress,0,4.3388006741,E
Central African Republic,SDG 6.4.2. Water Stress,0,0.2564814815,E
Chad,SDG 6.4.2. Water Stress,0,3.1310346554,E
Chad,SDG 6.4.1. Water Use Efficiency,6,3.7923394439,I
