,,,Value,Symbol
Afghanistan,Prevalence of undernourishment (3-year average),3,47.8,X
Afghanistan,Total population with access to safe drinking-water (JMP),5,33.8,X
Afghanistan,Prevalence of undernourishment (3-year average),3,47.8,X
Afghanistan,Total population with access to safe drinking-water (JMP),5,33.8,X
Albania,Number of people undernourished (3-year average),0,200.0,X
Albania,Total population with access to safe drinking-water (JMP),8,96.1,X
Algeria,Number of people undernourished (3-year average),1,2500.0,X
Algeria,Prevalence of undernourishment (3-year average),4,8.0,X
Algeria,Total population with access to safe drinking-water (JMP),8,88.8,X
Andorra,Total population with access to safe drinking-water (JMP),1,100.0,X
Angola,Number of people undernourished (3-year average),1,11400.0,X
Angola,Prevalence of undernourishment (3-year average),3,67.5,X
Angola,Total population with access to safe drinking-water (JMP),5,45.7,X
Antigua and Barbuda,Total population with access to safe drinking-water (JMP),1,97.7,X
Argentina,Total population with access to safe drinking-water (JMP),3,96.7,X
Armenia,Number of people undernourished (3-year average),1,800.0,X
Armenia,Total population with access to safe drinking-water (JMP),9,93.7,X
Armenia,Population affected by water related disease,14,1.644,I
Australia,Total population with access to safe drinking-water (JMP),1,100.0,X
Austria,Total population with access to safe drinking-water (JMP),1,100.0,X
Azerbaijan,Number of people undernourished (3-year average),1,1400.0,X
Azerbaijan,Total population with access to safe drinking-water (JMP),11,75.8,X
Bahrain,Total population with access to safe drinking-water (JMP),1,100.0,X
Bangladesh,Total population with access to safe drinking-water (JMP),3,77.5,X
Barbados,Total population with access to safe drinking-water (JMP),2,97.9,X
Belarus,Number of people undernourished (3-year average),0,300.0,X
Belarus,Prevalence of undernourishment (3-year average),5,2.6,X
Belarus,Total population with access to safe drinking-water (JMP),11,99.5,X
Belgium,Total population with access to safe drinking-water (JMP),1,100.0,X
Belize,Total population with access to safe drinking-water (JMP),2,87.5,X
Benin,Number of people undernourished (3-year average),1,1200.0,X
Benin,Total population with access to safe drinking-water (JMP),8,67.7,X
Bhutan,Total population with access to safe drinking-water (JMP),1,86.6,X
Bolivia,Number of people undernourished (3-year average),1,2400.0,X
Bolivia,Prevalence of undernourishment (3-year average),4,27.9,X
Bolivia,Total population with access to safe drinking-water (JMP),6,80.3,X
Bosnia and Herzegovina,Number of people undernourished (3-year average),0,100.0,X
Bosnia and Herzegovina,Prevalence of undernourishment (3-year average),5,3.2,X
Bosnia and Herzegovina,Total population with access to safe drinking-water (JMP),11,97.8,X
Botswana,Number of people undernourished (3-year average),1,400.0,X
Botswana,Total population with access to safe drinking-water (JMP),4,95.0,X
Brazil,Total population with access to safe drinking-water (JMP),3,94.2,X
Brunei Darussalam,Prevalence of undernourishment (3-year average),0,2.6,X
Bulgaria,Number of people undernourished (3-year average),0,300.0,X
Bulgaria,Prevalence of undernourishment (3-year average),4,4.0,X
Bulgaria,Total population with access to safe drinking-water (JMP),8,99.7,X
Burkina Faso,Total population with access to safe drinking-water (JMP),3,63.6,X
Burkina Faso,Population affected by water related disease,8,1206.7,I
Burundi,Total population with access to safe drinking-water (JMP),1,72.4,X
Cabo Verde,Total population with access to safe drinking-water (JMP),2,83.7,X
Cambodia,Number of people undernourished (3-year average),1,2900.0,X
Cambodia,Total population with access to safe drinking-water (JMP),5,46.1,X
Cambodia,Population affected by water related disease,11,507.0,I
Cameroon,Total population with access to safe drinking-water (JMP),4,63.8,X
Canada,Total population with access to safe drinking-water (JMP),1,99.8,X
Central African Republic,Total population with access to safe drinking-water (JMP),4,63.4,X
Chad,Number of people undernourished (3-year average),1,3400.0,X
Chad,Total population with access to safe drinking-water (JMP),5,45.7,X
Chile,Number of people undernourished (3-year average),1,500.0,X
Chile,Total population with access to safe drinking-water (JMP),8,95.6,X
China,Total population with access to safe drinking-water (JMP),9,82.8,X
Colombia,Number of people undernourished (3-year average),1,3500.0,X
Colombia,Total population with access to safe drinking-water (JMP),4,90.1,X
Colombia,Population affected by water related disease,10,27.5901333333,I
Comoros,Total population with access to safe drinking-water (JMP),1,90.1,X
Congo,Number of people undernourished (3-year average),1,900.0,X
Congo,Total population with access to safe drinking-water (JMP),5,70.1,X
Congo,Population affected by water related disease,10,175.2,
Cook Islands,Total population with access to safe drinking-water (JMP),1,99.9,X
Costa Rica,Number of people undernourished (3-year average),1,200.0,X
Costa Rica,Total population with access to safe drinking-water (JMP),8,95.5,X
Croatia,Number of people undernourished (3-year average),0,300.0,X
Croatia,Total population with access to safe drinking-water (JMP),10,98.4,X
Cuba,Number of people undernourished (3-year average),1,300.0,X
Cuba,Prevalence of undernourishment (3-year average),7,2.8,X
Cuba,Total population with access to safe drinking-water (JMP),13,91.2,X
Cuba,Population affected by water related disease,19,1033.0,I
Cyprus,Total population with access to safe drinking-water (JMP),3,100.0,X
Czech Republic,Total population with access to safe drinking-water (JMP),1,99.8,X
Côte d'Ivoire,Total population with access to safe drinking-water (JMP),4,78.5,X
Côte d'Ivoire,Population affected by water related disease,10,1423.0,I
Democratic People's Republic of Korea,Prevalence of undernourishment (3-year average),3,35.7,X
Democratic People's Republic of Korea,Total population with access to safe drinking-water (JMP),5,99.9,X
Democratic Republic of the Congo,Total population with access to safe drinking-water (JMP),1,47.9,X
