,,Value,Symbol
Harvested irrigated temporary crop area: Wheat,Afghanistan,1004.7368421053,I
Harvested irrigated temporary crop area: Wheat,Algeria,89.3,I
Harvested irrigated temporary crop area: Other cereals,Algeria,62.2109090909,I
Harvested irrigated temporary crop area: Potatoes,Algeria,79.0,I
Harvested irrigated temporary crop area: Vegetables,Algeria,123.8857142857,I
Harvested irrigated permanent crop area: Citrus,Algeria,45.4114285714,I
Harvested irrigated temporary crop area: Tobacco,Algeria,5.0,I
Harvested irrigated temporary crop area: Other crops,Algeria,16.3942857143,I
Harvested irrigated permanent crop area: Other crops,Algeria,145.0,I
Harvested irrigated temporary crop area: Sugarcane,Angola,12.5,I
Harvested irrigated permanent crop area: Bananas,Angola,7.7,I
Harvested irrigated permanent crop area: Citrus,Angola,3.5,I
Harvested irrigated temporary crop area: Tobacco,Angola,9.1,I
Harvested irrigated permanent crop area: Other crops,Angola,11.2,I
Harvested irrigated temporary crop area: Vegetables,Antigua and Barbuda,0.1680294118,I
Harvested irrigated temporary crop area: Other crops,Antigua and Barbuda,0.01,I
Harvested irrigated temporary crop area: Rice,Argentina,127.3509090909,I
Harvested irrigated temporary crop area: Maize,Argentina,183.3818181818,I
Harvested irrigated temporary crop area: Other roots and tubers,Argentina,162.9,I
Harvested irrigated temporary crop area: Sugarcane,Argentina,242.7272727273,I
Harvested irrigated temporary crop area: Vegetables,Argentina,284.6181818182,I
Harvested irrigated temporary crop area: Flowers,Argentina,2.952,I
Harvested irrigated temporary crop area: Other crops,Argentina,70.3636363636,I
Harvested irrigated permanent crop area: Other crops,Argentina,493.1,I
Harvested irrigated temporary crop area: Wheat,Armenia,33.5454545455,I
Harvested irrigated temporary crop area: Barley,Armenia,13.9363636364,I
Harvested irrigated temporary crop area: Maize,Armenia,2.3,I
Harvested irrigated temporary crop area: Other roots and tubers,Armenia,32.6,I
Harvested irrigated temporary crop area: Vegetables,Armenia,22.4,I
Harvested irrigated temporary crop area: Other crops,Armenia,4.6647272727,I
Harvested irrigated permanent crop area: Other crops,Armenia,52.3909090909,I
Harvested irrigated temporary crop area: Wheat,Austria,2.54625,I
Harvested irrigated temporary crop area: Maize,Austria,9.4475,I
Harvested irrigated temporary crop area: Potatoes,Austria,4.34,I
Harvested irrigated temporary crop area: Sugar beet,Austria,9.5125,I
Harvested irrigated permanent crop area: Citrus,Austria,0.0,I
Harvested irrigated temporary crop area: Fodder,Austria,0.60625,I
Harvested irrigated temporary crop area: Soybeans,Austria,0.35375,I
Harvested irrigated temporary crop area: Sunflower,Austria,1.22375,I
Harvested irrigated permanent crop area: Other crops,Austria,1.7025,I
Harvested irrigated temporary crop area: Wheat,Azerbaijan,540.9444444444,I
Harvested irrigated temporary crop area: Rice,Azerbaijan,2.4252222222,I
Harvested irrigated temporary crop area: Barley,Azerbaijan,148.1888888889,I
Harvested irrigated temporary crop area: Maize,Azerbaijan,27.3184444444,I
Harvested irrigated temporary crop area: Other cereals,Azerbaijan,7.562,I
Harvested irrigated temporary crop area: Other roots and tubers,Azerbaijan,6.091,I
Harvested irrigated temporary crop area: Leguminous crops,Azerbaijan,0.041,I
Harvested irrigated temporary crop area: Vegetables,Azerbaijan,60.9826666667,I
Harvested irrigated temporary crop area: Cotton,Azerbaijan,107.5466666667,I
Harvested irrigated permanent crop area: Oil palm,Azerbaijan,11.14,I
Harvested irrigated permanent crop area: Other crops,Azerbaijan,98.5833333333,I
Harvested irrigated temporary crop area: Vegetables,Bahrain,1.015,I
Harvested irrigated temporary crop area: Fodder,Bahrain,0.79,I
Harvested irrigated permanent crop area: Other crops,Bahrain,2.21,I
Harvested irrigated temporary crop area: Wheat,Bangladesh,293.9714285714,I
Harvested irrigated temporary crop area: Rice,Bangladesh,3630.8571428571,I
Harvested irrigated temporary crop area: Sugarcane,Bangladesh,29.9457142857,I
Harvested irrigated temporary crop area: Other crops,Bangladesh,283.2857142857,I
Harvested irrigated permanent crop area: Other crops,Bangladesh,89.13,I
Harvested irrigated temporary crop area: Rice,Belize,1.17375,I
Harvested irrigated permanent crop area: Other crops,Belize,0.6,I
Harvested irrigated temporary crop area: Rice,Benin,2.0454285714,I
Harvested irrigated temporary crop area: Vegetables,Benin,1.833,I
Harvested irrigated permanent crop area: Other crops,Benin,0.07,I
Harvested irrigated temporary crop area: Rice,Bhutan,29.2461538462,I
Harvested irrigated temporary crop area: Potatoes,Bhutan,0.5,I
Harvested irrigated temporary crop area: Maize,Botswana,0.35,E
Harvested irrigated temporary crop area: Vegetables,Botswana,0.299,OF
Harvested irrigated permanent crop area: Citrus,Botswana,0.321,OF
Harvested irrigated temporary crop area: Cotton,Botswana,0.1,E
Harvested irrigated temporary crop area: Fodder,Botswana,0.22,E
Harvested irrigated permanent crop area: Other crops,Botswana,0.2,I
Harvested irrigated temporary crop area: Rice,Brazil,1041.4,I
Harvested irrigated temporary crop area: Vegetables,Brazil,218.44,I
Harvested irrigated temporary crop area: Rice,Brunei Darussalam,0.375,I
Harvested irrigated temporary crop area: Rice,Burkina Faso,9.47,OF
Harvested irrigated temporary crop area: Maize,Burkina Faso,0.566,OF
Harvested irrigated temporary crop area: Sorghum,Burkina Faso,4.0,I
