,,,Value,Symbol
Afghanistan,Municipal water withdrawal,1,0.17388,I
Afghanistan,Industrial water withdrawal,7,0.1449,I
Afghanistan,Total water withdrawal,13,20.31878,E
Afghanistan,Municipal water withdrawal,1,0.17388,I
Afghanistan,Industrial water withdrawal,7,0.1449,I
Afghanistan,Total water withdrawal,13,20.31878,E
Albania,Municipal water withdrawal,1,0.55476,I
Albania,Industrial water withdrawal,6,0.22916,I
Albania,Total water withdrawal,10,1.66312,E
Algeria,Municipal water withdrawal,1,1.9375,I
Algeria,Industrial water withdrawal,7,0.4858333333,I
Algeria,Total water withdrawal,13,6.0606060606,E
Angola,Municipal water withdrawal,1,0.2754,I
Angola,Industrial water withdrawal,7,0.20654,I
Angola,Total water withdrawal,13,0.66662,I
Antigua and Barbuda,Municipal water withdrawal,1,0.00484,I
Antigua and Barbuda,Industrial water withdrawal,7,0.00164,I
Antigua and Barbuda,Total water withdrawal,13,0.00772,I
Argentina,Municipal water withdrawal,1,5.124375,I
Argentina,Industrial water withdrawal,7,3.9795454545,I
Argentina,Total water withdrawal,13,31.789375,E
Armenia,Municipal water withdrawal,1,0.5168,E
Armenia,Industrial water withdrawal,5,0.0766,E
Armenia,Total water withdrawal,10,1.7334,E
Australia,Municipal water withdrawal,0,4.38,I
Australia,Industrial water withdrawal,3,2.25325,I
Australia,Total water withdrawal,7,20.96575,I
Austria,Municipal water withdrawal,1,0.6484333333,I
Austria,Industrial water withdrawal,7,2.831,I
Austria,Total water withdrawal,13,3.5794333333,E
Azerbaijan,Municipal water withdrawal,1,0.8189,
Azerbaijan,Industrial water withdrawal,5,2.88,
Azerbaijan,Total water withdrawal,9,10.0749,E
Bahrain,Municipal water withdrawal,1,0.1714461538,I
Bahrain,Industrial water withdrawal,7,0.0195076923,I
Bahrain,Total water withdrawal,13,0.3537538462,E
Bangladesh,Municipal water withdrawal,1,2.9666666667,I
Bangladesh,Industrial water withdrawal,7,0.6233333333,I
Barbados,Municipal water withdrawal,1,0.02,I
Barbados,Industrial water withdrawal,7,0.0062,I
Barbados,Total water withdrawal,13,0.081,I
Belarus,Municipal water withdrawal,1,0.8315,I
Belarus,Industrial water withdrawal,6,0.5243,I
Belarus,Total water withdrawal,11,1.7846,I
Belgium,Municipal water withdrawal,1,0.7358,X
Belgium,Industrial water withdrawal,7,5.964,X
Belgium,Total water withdrawal,13,6.738,E
Belize,Municipal water withdrawal,1,0.0114,I
Belize,Industrial water withdrawal,7,0.0212,I
Belize,Total water withdrawal,13,0.101,I
Benin,Municipal water withdrawal,1,0.0497142857,I
Benin,Industrial water withdrawal,7,0.03,I
Benin,Total water withdrawal,13,0.1387142857,E
Bhutan,Municipal water withdrawal,1,0.0142,I
Bhutan,Industrial water withdrawal,7,0.0027142857,I
Bolivia,Municipal water withdrawal,1,0.1321818182,I
Bolivia,Industrial water withdrawal,7,0.0415454545,I
Bolivia,Total water withdrawal,13,1.9983939394,E
Bosnia and Herzegovina,Municipal water withdrawal,0,0.3556,
Bosnia and Herzegovina,Industrial water withdrawal,5,0.0199,
Botswana,Municipal water withdrawal,1,0.08252,I
Botswana,Industrial water withdrawal,7,0.03656,I
Botswana,Total water withdrawal,13,0.1980436364,E
Brazil,Municipal water withdrawal,1,14.338,I
Brazil,Industrial water withdrawal,6,10.06,I
Brazil,Total water withdrawal,11,56.79,I
Brunei Darussalam,Total water withdrawal,5,0.092,I
Bulgaria,Municipal water withdrawal,1,1.07,X
Bulgaria,Industrial water withdrawal,5,4.776,X
Bulgaria,Total water withdrawal,9,6.589,E
Burkina Faso,Municipal water withdrawal,1,0.31758,I
Burkina Faso,Industrial water withdrawal,7,0.01834,I
Burkina Faso,Total water withdrawal,13,0.75662,E
Burundi,Municipal water withdrawal,1,0.04664,I
Burundi,Industrial water withdrawal,7,0.0162,I
Burundi,Total water withdrawal,13,0.28484,E
Cabo Verde,Municipal water withdrawal,0,0.0016,I
Cabo Verde,Industrial water withdrawal,5,0.0004,I
Cabo Verde,Total water withdrawal,10,0.0245,E
Cambodia,Municipal water withdrawal,1,0.0828421053,I
Cambodia,Industrial water withdrawal,7,0.0271473684,I
Cameroon,Municipal water withdrawal,1,0.19538,I
Cameroon,Industrial water withdrawal,7,0.08282,I
Cameroon,Total water withdrawal,13,1.0152,E
Canada,Municipal water withdrawal,1,5.6196666667,I
Canada,Industrial water withdrawal,6,32.0128571429,I
Canada,Total water withdrawal,9,40.7645238095,E
Central African Republic,Municipal water withdrawal,1,0.05692,I
Central African Republic,Industrial water withdrawal,7,0.0114,I
Central African Republic,Total water withdrawal,13,0.06872,I
Chad,Municipal water withdrawal,1,0.09458,I
Chad,Industrial water withdrawal,7,0.09458,I
Chad,Total water withdrawal,13,0.86136,E
Chile,Municipal water withdrawal,1,1.1176666667,I
Chile,Industrial water withdrawal,7,3.1306666667,I
Chile,Total water withdrawal,13,31.1042857143,I
China,Municipal water withdrawal,1,61.512,I
China,Industrial water withdrawal,7,119.78,I
China,Total water withdrawal,13,551.532,I
Colombia,Municipal water withdrawal,0,2.63375,I
Colombia,Industrial water withdrawal,2,0.82975,I
Colombia,Total water withdrawal,4,8.75125,I
Comoros,Municipal water withdrawal,0,0.0048,I
Comoros,Industrial water withdrawal,5,0.0005,I
Comoros,Total water withdrawal,10,0.01,I
Congo,Municipal water withdrawal,1,0.032,
