,,Value,Symbol
Number of people undernourished (3-year average),Afghanistan,8800.0,X
Total population with access to safe drinking-water (JMP),Afghanistan,42.6,X
Number of people undernourished (3-year average),Albania,300.0,X
Prevalence of undernourishment (3-year average),Albania,8.8,X
Total population with access to safe drinking-water (JMP),Albania,95.9,X
Number of people undernourished (3-year average),Algeria,2200.0,X
Prevalence of undernourishment (3-year average),Algeria,6.4,X
Total population with access to safe drinking-water (JMP),Algeria,87.0,X
Total population with access to safe drinking-water (JMP),Andorra,100.0,X
Total population with access to safe drinking-water (JMP),Angola,46.4,X
Total population with access to safe drinking-water (JMP),Antigua and Barbuda,97.9,X
Prevalence of undernourishment (3-year average),Argentina,3.4,X
Total population with access to safe drinking-water (JMP),Argentina,97.7,X
Number of people undernourished (3-year average),Armenia,300.0,X
Total population with access to safe drinking-water (JMP),Armenia,96.7,X
Population affected by water related disease,Armenia,1.644,I
Total population with access to safe drinking-water (JMP),Australia,100.0,X
Total population with access to safe drinking-water (JMP),Austria,100.0,X
Number of people undernourished (3-year average),Azerbaijan,200.0,X
Total population with access to safe drinking-water (JMP),Azerbaijan,80.2,X
Total population with access to safe drinking-water (JMP),Bahamas,97.6,X
Total population with access to safe drinking-water (JMP),Bahrain,100.0,X
Total population with access to safe drinking-water (JMP),Bangladesh,81.3,X
Prevalence of undernourishment (3-year average),Barbados,5.3,X
Total population with access to safe drinking-water (JMP),Barbados,98.7,X
Number of people undernourished (3-year average),Belarus,300.0,I
Prevalence of undernourishment (3-year average),Belarus,3.0,I
Total population with access to safe drinking-water (JMP),Belarus,99.6,X
Total population with access to safe drinking-water (JMP),Belgium,100.0,X
Total population with access to safe drinking-water (JMP),Belize,93.5,X
Number of people undernourished (3-year average),Benin,900.0,X
Total population with access to safe drinking-water (JMP),Benin,72.0,X
Total population with access to safe drinking-water (JMP),Bhutan,92.7,X
Number of people undernourished (3-year average),Bolivia (Plurinational State of),2300.0,X
Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),84.6,X
Number of people undernourished (3-year average),Bosnia and Herzegovina,100.0,X
Prevalence of undernourishment (3-year average),Bosnia and Herzegovina,2.9,X
Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,98.7,X
Total population with access to safe drinking-water (JMP),Botswana,95.5,X
Total population with access to safe drinking-water (JMP),Brazil,95.9,X
Prevalence of undernourishment (3-year average),Brunei Darussalam,2.6833333333,I
Number of people undernourished (3-year average),Bulgaria,400.0,X
Prevalence of undernourishment (3-year average),Bulgaria,5.1,X
Total population with access to safe drinking-water (JMP),Bulgaria,99.6,X
Total population with access to safe drinking-water (JMP),Burkina Faso,72.8,X
Population affected by water related disease,Burkina Faso,3965.2,I
Total population with access to safe drinking-water (JMP),Burundi,73.8,X
Total population with access to safe drinking-water (JMP),Cabo Verde,86.9,X
Number of people undernourished (3-year average),Cambodia,2100.0,X
Total population with access to safe drinking-water (JMP),Cambodia,57.4,X
Population affected by water related disease,Cambodia,507.0,I
Number of people undernourished (3-year average),Cameroon,2600.0,X
Total population with access to safe drinking-water (JMP),Cameroon,69.0,X
Total population with access to safe drinking-water (JMP),Canada,99.8,X
Number of people undernourished (3-year average),Central African Republic,1600.0,X
Total population with access to safe drinking-water (JMP),Central African Republic,65.7,X
Number of people undernourished (3-year average),Chad,4000.0,X
Total population with access to safe drinking-water (JMP),Chad,48.2,X
Number of people undernourished (3-year average),Chile,500.0,X
Total population with access to safe drinking-water (JMP),Chile,97.3,X
Total population with access to safe drinking-water (JMP),China,88.5,X
Total population with access to safe drinking-water (JMP),Colombia,90.7,X
Population affected by water related disease,Colombia,12.9464666667,I
Total population with access to safe drinking-water (JMP),Comoros,90.1,X
Number of people undernourished (3-year average),Congo,1400.0,X
Total population with access to safe drinking-water (JMP),Congo,72.8,X
Population affected by water related disease,Congo,175.2,I
Total population with access to safe drinking-water (JMP),Cook Islands,99.9,X
Number of people undernourished (3-year average),Costa Rica,200.0,X
Total population with access to safe drinking-water (JMP),Costa Rica,96.6,X
Number of people undernourished (3-year average),Croatia,100.0,I
Prevalence of undernourishment (3-year average),Croatia,2.82,I
Total population with access to safe drinking-water (JMP),Croatia,98.9,X
Number of people undernourished (3-year average),Cuba,300.0,I
Prevalence of undernourishment (3-year average),Cuba,2.8,I
Total population with access to safe drinking-water (JMP),Cuba,92.7,X
Population affected by water related disease,Cuba,1033.0,I
Total population with access to safe drinking-water (JMP),Cyprus,100.0,X
Total population with access to safe drinking-water (JMP),Czechia,99.9,X
Number of people undernourished (3-year average),Côte d’Ivoire,3800.0,X
Total population with access to safe drinking-water (JMP),Côte d’Ivoire,79.8,X
Population affected by water related disease,Côte d’Ivoire,1423.0,I
Number of people undernourished (3-year average),Democratic People's Republic of Korea,8700.0,X
Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,99.8,X
Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,49.7,X
Total population with access to safe drinking-water (JMP),Denmark,100.0,X
Number of people undernourished (3-year average),Djibouti,200.0,X
Total population with access to safe drinking-water (JMP),Djibouti,87.1,X
Prevalence of undernourishment (3-year average),Dominica,5.0,X
Total population with access to safe drinking-water (JMP),Dominica,94.4,X
Number of people undernourished (3-year average),Dominican Republic,1500.0,X
Total population with access to safe drinking-water (JMP),Dominican Republic,86.3,X
Number of people undernourished (3-year average),Ecuador,3200.0,X
Total population with access to safe drinking-water (JMP),Ecuador,83.3,X
Population affected by water related disease,Ecuador,8.57,I
Total population with access to safe drinking-water (JMP),Egypt,97.6,X
Number of people undernourished (3-year average),El Salvador,600.0,X
Total population with access to safe drinking-water (JMP),El Salvador,87.7,X
Population affected by water related disease,El Salvador,12.0,I
Total population with access to safe drinking-water (JMP),Equatorial Guinea,47.4,X
Total population with access to safe drinking-water (JMP),Eritrea,54.8,X
Prevalence of undernourishment (3-year average),Estonia,3.7,X
Total population with access to safe drinking-water (JMP),Estonia,99.3,X
Number of people undernourished (3-year average),Eswatini,100.0,X
Total population with access to safe drinking-water (JMP),Eswatini,64.8,X
Population affected by water related disease,Eswatini,2.926,I
Total population with access to safe drinking-water (JMP),Ethiopia,42.0,X
Total population with access to safe drinking-water (JMP),Fiji,93.8,X
Total population with access to safe drinking-water (JMP),Finland,100.0,X
Total population with access to safe drinking-water (JMP),France,100.0,X
Number of people undernourished (3-year average),Gabon,200.0,X
Total population with access to safe drinking-water (JMP),Gabon,89.3,X
Number of people undernourished (3-year average),Gambia,300.0,X
Total population with access to safe drinking-water (JMP),Gambia,87.1,X
Number of people undernourished (3-year average),Georgia,200.0,X
Total population with access to safe drinking-water (JMP),Georgia,94.6,X
Total population with access to safe drinking-water (JMP),Germany,100.0,X
Number of people undernourished (3-year average),Ghana,2400.0,X
Total population with access to safe drinking-water (JMP),Ghana,79.5,X
Total population with access to safe drinking-water (JMP),Greece,99.7,X
