,,Value,Symbol
Municipal water withdrawal,Afghanistan,0.2034,I
Industrial water withdrawal,Afghanistan,0.1695,I
Total water withdrawal,Afghanistan,20.3729,E
Municipal water withdrawal,Albania,0.50504,I
Industrial water withdrawal,Albania,0.2115,I
Total water withdrawal,Albania,1.24774,E
Municipal water withdrawal,Algeria,2.47875,I
Industrial water withdrawal,Algeria,0.4504166667,I
Total water withdrawal,Algeria,7.2428030303,E
Municipal water withdrawal,Angola,0.3195,I
Industrial water withdrawal,Angola,0.2396,I
Total water withdrawal,Angola,0.7058,I
Municipal water withdrawal,Antigua and Barbuda,0.0058428571,I
Industrial water withdrawal,Antigua and Barbuda,0.002,I
Total water withdrawal,Antigua and Barbuda,0.0092857143,I
Municipal water withdrawal,Argentina,5.5275,I
Industrial water withdrawal,Argentina,3.9909090909,I
Total water withdrawal,Argentina,35.1175,E
Municipal water withdrawal,Armenia,0.79498,I
Industrial water withdrawal,Armenia,0.13802,I
Total water withdrawal,Armenia,2.823,E
Municipal water withdrawal,Australia,4.1595,I
Industrial water withdrawal,Australia,2.475,I
Total water withdrawal,Australia,16.4115,I
Municipal water withdrawal,Austria,0.6146555556,I
Industrial water withdrawal,Austria,2.7176666667,I
Total water withdrawal,Austria,3.4180097222,E
Municipal water withdrawal,Azerbaijan,0.601,OF
Industrial water withdrawal,Azerbaijan,3.088,OF
Total water withdrawal,Azerbaijan,12.27,E
Municipal water withdrawal,Bahamas,0.0282307692,I
Municipal water withdrawal,Bahrain,0.2126636364,I
Industrial water withdrawal,Bahrain,0.0199363636,I
Total water withdrawal,Bahrain,0.3832909091,I
Municipal water withdrawal,Bangladesh,3.4944444444,I
Industrial water withdrawal,Bangladesh,0.7455555556,I
Municipal water withdrawal,Barbados,0.02,I
Industrial water withdrawal,Barbados,0.0062,I
Total water withdrawal,Barbados,0.081,I
Municipal water withdrawal,Belarus,0.7176,I
Industrial water withdrawal,Belarus,0.4914,I
Total water withdrawal,Belarus,1.6428,I
Municipal water withdrawal,Belgium,0.7304,X
Industrial water withdrawal,Belgium,5.45,X
Total water withdrawal,Belgium,6.2173,E
Municipal water withdrawal,Belize,0.0114,I
Industrial water withdrawal,Belize,0.0212,I
Total water withdrawal,Belize,0.101,I
Municipal water withdrawal,Benin,0.0932857143,I
Industrial water withdrawal,Benin,0.03,I
Total water withdrawal,Benin,0.1822857143,E
Municipal water withdrawal,Bhutan,0.0165333333,I
Industrial water withdrawal,Bhutan,0.002952381,I
Municipal water withdrawal,Bolivia (Plurinational State of),0.1349090909,I
Industrial water withdrawal,Bolivia (Plurinational State of),0.0347272727,I
Total water withdrawal,Bolivia (Plurinational State of),2.0737474747,E
Municipal water withdrawal,Bosnia and Herzegovina,0.3504,OF
Industrial water withdrawal,Bosnia and Herzegovina,0.0392,OF
Municipal water withdrawal,Botswana,0.0886666667,I
Industrial water withdrawal,Botswana,0.0367666667,I
Total water withdrawal,Botswana,0.2018060606,E
Municipal water withdrawal,Brazil,16.475,I
Industrial water withdrawal,Brazil,10.785,I
Total water withdrawal,Brazil,62.26,I
Municipal water withdrawal,Brunei Darussalam,0.1389,X
Total water withdrawal,Brunei Darussalam,0.092,I
Municipal water withdrawal,Bulgaria,1.0071543482,I
Industrial water withdrawal,Bulgaria,4.4954852026,I
Total water withdrawal,Bulgaria,6.202,X
Municipal water withdrawal,Burkina Faso,0.3756,I
Industrial water withdrawal,Burkina Faso,0.0217,I
Total water withdrawal,Burkina Faso,0.818,I
Municipal water withdrawal,Burundi,0.0431,I
Industrial water withdrawal,Burundi,0.015,I
Total water withdrawal,Burundi,0.2801,E
Municipal water withdrawal,Cabo Verde,0.0016,I
Industrial water withdrawal,Cabo Verde,0.0004,I
Total water withdrawal,Cabo Verde,0.027,E
Municipal water withdrawal,Cambodia,0.098,I
Industrial water withdrawal,Cambodia,0.033,I
Total water withdrawal,Cambodia,2.184,I
Municipal water withdrawal,Cameroon,0.2468,I
Industrial water withdrawal,Cameroon,0.1046,I
Total water withdrawal,Cameroon,1.0884,E
Municipal water withdrawal,Canada,5.878,X
Industrial water withdrawal,Canada,33.12,X
Total water withdrawal,Canada,41.32,E
Municipal water withdrawal,Central African Republic,0.0601,I
Industrial water withdrawal,Central African Republic,0.012,I
Total water withdrawal,Central African Republic,0.0725,I
Municipal water withdrawal,Chad,0.1037,I
Industrial water withdrawal,Chad,0.1037,I
Total water withdrawal,Chad,0.8796,I
Municipal water withdrawal,Chile,1.2693,I
Industrial water withdrawal,Chile,4.4356,I
Municipal water withdrawal,China,71.0,OF
Industrial water withdrawal,China,140.3,OF
Total water withdrawal,China,571.3,E
Municipal water withdrawal,Colombia,3.050625,I
Industrial water withdrawal,Colombia,2.006625,I
Total water withdrawal,Colombia,11.264375,I
Municipal water withdrawal,Comoros,0.0048,I
Industrial water withdrawal,Comoros,0.0005,I
Total water withdrawal,Comoros,0.01,I
Municipal water withdrawal,Congo,0.0637,I
Industrial water withdrawal,Congo,0.024,I
Total water withdrawal,Congo,0.0917,E
Municipal water withdrawal,Croatia,0.5259,OF
Industrial water withdrawal,Croatia,0.1218714286,I
Total water withdrawal,Croatia,0.6509714286,E
Total water withdrawal,Cuba,4.9367,E
Municipal water withdrawal,Cyprus,0.0656,X
Industrial water withdrawal,Cyprus,0.008,E
Total water withdrawal,Cyprus,0.2166,E
Municipal water withdrawal,Czechia,0.7065909091,I
Industrial water withdrawal,Czechia,1.2111176471,I
Total water withdrawal,Czechia,1.969,X
Municipal water withdrawal,Côte d’Ivoire,0.5657,I
Industrial water withdrawal,Côte d’Ivoire,0.3011111111,I
Total water withdrawal,Côte d’Ivoire,1.4621111111,E
Municipal water withdrawal,Democratic People's Republic of Korea,0.9028,I
Industrial water withdrawal,Democratic People's Republic of Korea,1.145,I
Total water withdrawal,Democratic People's Republic of Korea,8.6578,I
Municipal water withdrawal,Democratic Republic of the Congo,0.4649,I
Industrial water withdrawal,Democratic Republic of the Congo,0.1468,I
Total water withdrawal,Democratic Republic of the Congo,0.6836,I
Municipal water withdrawal,Denmark,0.411,X
Industrial water withdrawal,Denmark,0.0423,X
Total water withdrawal,Denmark,0.5708,E
Municipal water withdrawal,Djibouti,0.016,I
Industrial water withdrawal,Djibouti,0.0,I
Total water withdrawal,Djibouti,0.019,I
Total water withdrawal,Dominica,0.0183,I
Municipal water withdrawal,Dominican Republic,0.7764,I
Industrial water withdrawal,Dominican Republic,0.3898,I
Total water withdrawal,Dominican Republic,6.1444,I
Municipal water withdrawal,Ecuador,1.293,I
Industrial water withdrawal,Ecuador,0.549,I
Total water withdrawal,Ecuador,9.918,I
Municipal water withdrawal,Egypt,7.89,I
Industrial water withdrawal,Egypt,2.6,I
Total water withdrawal,Egypt,75.09,I
Municipal water withdrawal,El Salvador,0.474,I
Industrial water withdrawal,El Salvador,0.213,I
Total water withdrawal,El Salvador,2.118,I
Municipal water withdrawal,Equatorial Guinea,0.0158,I
Industrial water withdrawal,Equatorial Guinea,0.003,I
Total water withdrawal,Equatorial Guinea,0.0198,E
Municipal water withdrawal,Eritrea,0.031,I
Industrial water withdrawal,Eritrea,0.001,I
Total water withdrawal,Eritrea,0.582,I
Municipal water withdrawal,Estonia,0.0707625,I
Industrial water withdrawal,Estonia,1.5103076923,I
Total water withdrawal,Estonia,1.834,X
Municipal water withdrawal,Eswatini,0.0413,I
Industrial water withdrawal,Eswatini,0.0207,I
Total water withdrawal,Eswatini,1.068,E
Municipal water withdrawal,Ethiopia,0.81,I
Industrial water withdrawal,Ethiopia,0.0511,I
Total water withdrawal,Ethiopia,8.3499909091,I
Municipal water withdrawal,Fiji,0.0253,I
Industrial water withdrawal,Fiji,0.0096,I
Total water withdrawal,Fiji,0.0849,I
Municipal water withdrawal,Finland,0.40752,I
Municipal water withdrawal,France,5.683,X
Industrial water withdrawal,France,21.79,X
Total water withdrawal,France,31.406,E
Municipal water withdrawal,Gabon,0.0847,I
Industrial water withdrawal,Gabon,0.0141,I
Total water withdrawal,Gabon,0.1391,I
Municipal water withdrawal,Gambia,0.0412,I
Industrial water withdrawal,Gambia,0.0212,I
Total water withdrawal,Gambia,0.1016,E
Municipal water withdrawal,Georgia,0.3593164185,I
Industrial water withdrawal,Georgia,0.4014708586,I
Total water withdrawal,Georgia,1.8196666667,I
Municipal water withdrawal,Ghana,0.242,I
Industrial water withdrawal,Ghana,0.095,I
Total water withdrawal,Ghana,1.171875,E
Municipal water withdrawal,Greece,0.8462,X
Total water withdrawal,Greece,9.6297,E
Total water withdrawal,Grenada,0.0109111111,I
Municipal water withdrawal,Guatemala,0.835,I
