,,Value,Symbol
Fresh surface water withdrawal,Afghanistan,17.24,I
Fresh groundwater withdrawal,Afghanistan,3.042,I
Total freshwater withdrawal,Afghanistan,20.282,I
Total freshwater withdrawal,Albania,1.24774,E
Total freshwater withdrawal,Algeria,6.9268030303,E
Total freshwater withdrawal,Angola,0.7057,I
Total freshwater withdrawal,Antigua and Barbuda,0.0049,I
Total freshwater withdrawal,Argentina,35.0259090909,E
Fresh surface water withdrawal,Armenia,2.154,OF
Fresh groundwater withdrawal,Armenia,0.858,OF
Total freshwater withdrawal,Armenia,3.012,OF
Fresh groundwater withdrawal,Australia,3.5890666667,I
Fresh surface water withdrawal,Austria,2.4512319626,I
Fresh groundwater withdrawal,Austria,1.0713930374,I
Total freshwater withdrawal,Austria,3.522625,I
Fresh surface water withdrawal,Azerbaijan,11.5154649039,I
Fresh groundwater withdrawal,Azerbaijan,0.7545350961,I
Total freshwater withdrawal,Azerbaijan,12.27,E
Fresh surface water withdrawal,Bahrain,0.0,I
Fresh groundwater withdrawal,Bahrain,0.2170272727,I
Total freshwater withdrawal,Bahrain,0.2170272727,I
Total freshwater withdrawal,Barbados,0.07,I
Fresh surface water withdrawal,Belarus,0.694,I
Fresh groundwater withdrawal,Belarus,0.9488,I
Total freshwater withdrawal,Belarus,1.6428,I
Fresh groundwater withdrawal,Belgium,0.6476,X
Total freshwater withdrawal,Belgium,6.214,OF
Total freshwater withdrawal,Belize,0.101,I
Fresh surface water withdrawal,Benin,0.089,I
Fresh groundwater withdrawal,Benin,0.041,I
Total freshwater withdrawal,Benin,0.13,I
Total freshwater withdrawal,Bolivia (Plurinational State of),2.0737474747,E
Fresh surface water withdrawal,Bosnia and Herzegovina,0.0622,OF
Fresh groundwater withdrawal,Bosnia and Herzegovina,0.3274,OF
Total freshwater withdrawal,Bosnia and Herzegovina,0.3896,OF
Fresh surface water withdrawal,Botswana,0.0855727273,I
Fresh groundwater withdrawal,Botswana,0.1104636364,I
Total freshwater withdrawal,Botswana,0.1960363636,I
Total freshwater withdrawal,Brazil,62.22,E
Fresh surface water withdrawal,Brunei Darussalam,0.0915,I
Fresh groundwater withdrawal,Brunei Darussalam,0.0005,I
Total freshwater withdrawal,Brunei Darussalam,0.092,I
Fresh surface water withdrawal,Bulgaria,5.56,X
Fresh groundwater withdrawal,Bulgaria,0.6418,X
Total freshwater withdrawal,Bulgaria,6.2018,E
Fresh groundwater withdrawal,Burkina Faso,0.011,I
Total freshwater withdrawal,Burkina Faso,0.818,I
Total freshwater withdrawal,Burundi,0.2801,E
Total freshwater withdrawal,Cabo Verde,0.0253,E
Total freshwater withdrawal,Cambodia,2.184,I
Total freshwater withdrawal,Cameroon,1.0884,E
Fresh surface water withdrawal,Canada,39.485913198,I
Fresh groundwater withdrawal,Canada,1.831386802,I
Total freshwater withdrawal,Canada,41.3173,E
Total freshwater withdrawal,Central African Republic,0.0725,I
Total freshwater withdrawal,Chad,0.8796,I
Fresh surface water withdrawal,Chile,38.1188888889,I
Fresh groundwater withdrawal,Chile,2.778,I
Total freshwater withdrawal,Chile,40.8968888889,E
Fresh groundwater withdrawal,China,106.9,OF
Total freshwater withdrawal,China,568.7,E
Total freshwater withdrawal,Colombia,11.264375,E
Total freshwater withdrawal,Comoros,0.01,I
Fresh surface water withdrawal,Congo,0.022,I
Fresh groundwater withdrawal,Congo,0.024,I
Total freshwater withdrawal,Congo,0.046,I
Total freshwater withdrawal,Croatia,0.6509714286,E
Total freshwater withdrawal,Cuba,4.9363,E
Fresh groundwater withdrawal,Cyprus,0.145,X
Total freshwater withdrawal,Cyprus,0.1641,E
Fresh surface water withdrawal,Czechia,1.589,X
Fresh groundwater withdrawal,Czechia,0.3806,X
Total freshwater withdrawal,Czechia,1.9696,E
Total freshwater withdrawal,Côte d’Ivoire,1.4621111111,E
Total freshwater withdrawal,Democratic People's Republic of Korea,8.6578,I
Total freshwater withdrawal,Democratic Republic of the Congo,0.6836,I
Fresh surface water withdrawal,Denmark,0.0034,X
Total freshwater withdrawal,Denmark,0.5554,E
Fresh surface water withdrawal,Djibouti,0.001,I
Fresh groundwater withdrawal,Djibouti,0.018,I
Total freshwater withdrawal,Djibouti,0.019,I
Fresh surface water withdrawal,Dominica,0.0183,I
Fresh groundwater withdrawal,Dominica,0.0,I
Total freshwater withdrawal,Dominica,0.0183,I
Fresh groundwater withdrawal,Dominican Republic,0.386,I
Total freshwater withdrawal,Ecuador,9.9158,I
Fresh groundwater withdrawal,Egypt,7.7444,I
Fresh surface water withdrawal,El Salvador,1.483,I
Fresh groundwater withdrawal,El Salvador,0.635,I
Total freshwater withdrawal,El Salvador,2.118,I
Total freshwater withdrawal,Equatorial Guinea,0.0198,E
Total freshwater withdrawal,Eritrea,0.582,I
Fresh surface water withdrawal,Estonia,1.586,X
Fresh groundwater withdrawal,Estonia,0.2479,X
Total freshwater withdrawal,Estonia,1.8339,E
Total freshwater withdrawal,Eswatini,1.068,E
Total freshwater withdrawal,Ethiopia,8.3499909091,I
Total freshwater withdrawal,Fiji,0.0849,I
Fresh groundwater withdrawal,France,5.662,X
Total freshwater withdrawal,France,30.992,E
Total freshwater withdrawal,Gabon,0.1391,I
