,,Value,Symbol
Desalinated water produced,Algeria,0.316,I
Produced municipal wastewater,Algeria,0.7216,I
Desalinated water produced,Angola,0.0001,I
Desalinated water produced,Antigua and Barbuda,0.0043857143,I
Treated municipal wastewater,Antigua and Barbuda,0.0002,I
Desalinated water produced,Argentina,0.0007,I
Direct use of treated municipal wastewater,Argentina,0.0908909091,I
Treated municipal wastewater,Argentina,0.23426,I
Treated municipal wastewater discharged (secondary water),Argentina,0.0135,I
Direct use of treated municipal wastewater,Armenia,9.09091e-05,I
Produced municipal wastewater,Armenia,0.347,I
Not treated municipal wastewater,Armenia,0.274,I
Treated municipal wastewater,Armenia,0.0942,I
Treated municipal wastewater discharged (secondary water),Armenia,0.0889,I
Desalinated water produced,Australia,0.0314,I
Produced municipal wastewater,Australia,1.828,OF
Desalinated water produced,Austria,0.0022,I
Produced municipal wastewater,Austria,1.054,I
Collected municipal wastewater,Austria,1.25,I
Not treated municipal wastewater,Austria,0.2,I
Treated municipal wastewater,Austria,0.8,I
Treated municipal wastewater discharged (secondary water),Austria,0.8,I
Not treated municipal wastewater discharged (secondary water),Austria,0.0007,I
Produced municipal wastewater,Azerbaijan,0.659,I
Not treated municipal wastewater,Azerbaijan,0.498,I
Treated municipal wastewater,Azerbaijan,0.161,I
Desalinated water produced,Bahamas,0.0074,I
Desalinated water produced,Bahrain,0.1448727273,I
Direct use of treated municipal wastewater,Bahrain,0.0162142857,I
Produced municipal wastewater,Bahrain,0.1318571429,I
Collected municipal wastewater,Bahrain,0.0901428571,I
Treated municipal wastewater,Bahrain,0.0676,I
Treated municipal wastewater discharged (secondary water),Bahrain,0.0497142857,I
Produced municipal wastewater,Bangladesh,0.725,I
Desalinated water produced,Barbados,0.011,I
Produced municipal wastewater,Barbados,0.011,I
Treated municipal wastewater,Barbados,0.003,I
Not treated municipal wastewater,Belarus,0.111,I
Direct use of treated municipal wastewater,Belgium,0.003,I
Produced municipal wastewater,Belgium,0.944,OF
Collected municipal wastewater,Belgium,0.1501,I
Not treated municipal wastewater,Belgium,0.0439,I
Produced municipal wastewater,Belize,0.002,I
Produced municipal wastewater,Bhutan,0.0039,I
Produced municipal wastewater,Bolivia (Plurinational State of),0.157,I
Not treated municipal wastewater,Bolivia (Plurinational State of),0.1022,I
Treated municipal wastewater,Bolivia (Plurinational State of),0.0336,I
Not treated municipal wastewater,Bosnia and Herzegovina,0.065,OF
Treated municipal wastewater,Bosnia and Herzegovina,0.003,OF
Treated municipal wastewater discharged (secondary water),Bosnia and Herzegovina,0.0029,OF
Not treated municipal wastewater discharged (secondary water),Bosnia and Herzegovina,0.0651,OF
Produced municipal wastewater,Botswana,0.011,I
Treated municipal wastewater,Botswana,0.008,I
Desalinated water produced,Brazil,0.04,I
Produced municipal wastewater,Brazil,10.015,I
Not treated municipal wastewater,Brazil,7.21,I
Treated municipal wastewater,Brazil,2.805,I
Produced municipal wastewater,Bulgaria,0.503,OF
Desalinated water produced,Cabo Verde,0.0017,I
Treated municipal wastewater,Cambodia,0.0002,I
Desalinated water produced,Canada,0.0027,E
Produced municipal wastewater,Canada,6.1476666667,I
Collected municipal wastewater,Canada,5.4683333333,I
Not treated municipal wastewater,Canada,0.7956666667,I
Treated municipal wastewater,Canada,5.352,I
Desalinated water produced,Chile,0.039625,I
Produced municipal wastewater,Chile,1.0963333333,I
Not treated municipal wastewater,Chile,0.3368,I
Treated municipal wastewater,Chile,0.66716,I
