,,Value,Symbol
SDG 6.4.2. Water Stress,Afghanistan,54.7570194384,E
SDG 6.4.2. Water Stress,Albania,6.7568509615,E
SDG 6.4.2. Water Stress,Algeria,109.7509497678,E
SDG 6.4.1. Water Use Efficiency,Algeria,16.0927893206,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Algeria,0.6101537764,E
SDG 6.4.1. Industrial Water Use Efficiency,Algeria,170.2344498076,E
SDG 6.4.1. Services Water Use Efficiency,Algeria,20.4933066262,E
SDG 6.4.2. Water Stress,Angola,1.8718832891,E
SDG 6.4.1. Water Use Efficiency,Angola,143.116159043,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Angola,0.1453568628,E
SDG 6.4.1. Industrial Water Use Efficiency,Angola,246.8436518492,E
SDG 6.4.1. Services Water Use Efficiency,Angola,130.9744044372,E
SDG 6.4.2. Water Stress,Antigua and Barbuda,8.4615384615,E
SDG 6.4.1. Water Use Efficiency,Antigua and Barbuda,93.457340128,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Antigua and Barbuda,1.5729382648,E
SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,53.985416658,E
SDG 6.4.1. Services Water Use Efficiency,Antigua and Barbuda,130.1339695764,E
SDG 6.4.2. Water Stress,Argentina,10.4566640772,E
SDG 6.4.1. Industrial Water Use Efficiency,Argentina,36.6709421629,E
SDG 6.4.1. Services Water Use Efficiency,Argentina,58.8612358917,E
SDG 6.4.2. Water Stress,Armenia,59.3302400646,E
SDG 6.4.2. Water Stress,Austria,9.6435479414,E
SDG 6.4.2. Water Stress,Azerbaijan,52.8593508501,E
SDG 6.4.2. Water Stress,Bahrain,163.7382445141,I
SDG 6.4.2. Water Stress,Bangladesh,5.7233394816,E
SDG 6.4.1. Water Use Efficiency,Bangladesh,4.127227605,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Bangladesh,0.6567599999,E
SDG 6.4.1. Industrial Water Use Efficiency,Bangladesh,50.5187964995,E
SDG 6.4.1. Services Water Use Efficiency,Bangladesh,24.5711780247,E
SDG 6.4.2. Water Stress,Barbados,87.5,I
Environmental Flow Requirements,Belarus,27.56,X
SDG 6.4.2. Water Stress,Belarus,5.0274664909,E
SDG 6.4.1. Water Use Efficiency,Belarus,29.840030687,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Belarus,0.0773445933,E
SDG 6.4.1. Industrial Water Use Efficiency,Belarus,39.3134883714,E
SDG 6.4.1. Services Water Use Efficiency,Belarus,47.3336364818,E
SDG 6.4.2. Water Stress,Belgium,65.1105651106,E
SDG 6.4.2. Water Stress,Belize,1.2602944847,E
SDG 6.4.1. Water Use Efficiency,Belize,12.3203525362,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Belize,0.1753038224,E
SDG 6.4.1. Industrial Water Use Efficiency,Belize,11.7079215108,E
SDG 6.4.1. Services Water Use Efficiency,Belize,86.3295516382,E
SDG 6.4.2. Water Stress,Benin,0.975243811,E
SDG 6.4.2. Water Stress,Bhutan,1.4138075314,E
SDG 6.4.2. Water Stress,Bolivia (Plurinational State of),1.1770011274,E
