,,Value,Symbol
Area salinized by irrigation,Albania,2.4,I
Area salinized by irrigation,Argentina,584.0,I
Area salinized by irrigation,Armenia,20.41,I
Area waterlogged by irrigation,Armenia,18.72,I
Area salinized by irrigation,Australia,200.0,I
Area salinized by irrigation,Azerbaijan,425.6909090909,I
Area salinized by irrigation,Bahrain,1.065,I
Area waterlogged by irrigation,Bahrain,1.86,I
Area salinized by irrigation,Bangladesh,100.0,I
Area waterlogged by irrigation,Bangladesh,770.0,I
Area salinized by irrigation,Bolivia (Plurinational State of),21.91,I
Area salinized by irrigation,Brazil,15.0,I
Area waterlogged by irrigation,Cabo Verde,0.0,I
Area salinized by irrigation,Chile,33.6,I
Area salinized by irrigation,China,6700.0,I
Area salinized by irrigation,Colombia,300.0,I
Area salinized by irrigation,Cuba,400.0,I
Area waterlogged by irrigation,Democratic Republic of the Congo,2.0,I
Area salinized by irrigation,Dominican Republic,50.34,I
Area salinized by irrigation,Egypt,900.0,I
Area waterlogged by irrigation,Eswatini,7.46,I
Area waterlogged by irrigation,Gambia,0.2077,I
Area salinized by irrigation,Georgia,113.6,I
Area salinized by irrigation,Ghana,1.48,I
Area salinized by irrigation,Guatemala,5.0,I
Area salinized by irrigation,India,3300.0,I
Area waterlogged by irrigation,India,2460.0,I
Area salinized by irrigation,Indonesia,400.0,I
Area waterlogged by irrigation,Indonesia,2150.0,I
Area salinized by irrigation,Iran (Islamic Republic of),2100.0,I
Area waterlogged by irrigation,Iran (Islamic Republic of),1000.0,I
Area salinized by irrigation,Iraq,2474.25,I
Area salinized by irrigation,Israel,27.82,I
Area salinized by irrigation,Jordan,2.277,I
Area waterlogged by irrigation,Jordan,1.5,I
Area salinized by irrigation,Kenya,30.0,I
Area salinized by irrigation,Kuwait,4.08,I
Area salinized by irrigation,Kyrgyzstan,49.5,I
Area waterlogged by irrigation,Kyrgyzstan,35.4,I
Area salinized by irrigation,Lebanon,1.0,I
Area waterlogged by irrigation,Lebanon,3.0,I
Area salinized by irrigation,Libya,190.0,I
Area waterlogged by irrigation,Libya,190.0,I
Area salinized by irrigation,Malta,0.0,I
Area waterlogged by irrigation,Mauritania,19.3,I
Area salinized by irrigation,Mauritius,0.0,I
Area waterlogged by irrigation,Mauritius,0.0,I
Area salinized by irrigation,Mexico,384.2,I
Area salinized by irrigation,Morocco,150.0,I
Area salinized by irrigation,Mozambique,2.0,I
Area salinized by irrigation,Namibia,1.3,I
Area waterlogged by irrigation,Namibia,2.0,I
Area salinized by irrigation,Niger,0.35,I
Area salinized by irrigation,Nigeria,100.0,I
Area salinized by irrigation,Pakistan,7003.0,I
Area waterlogged by irrigation,Pakistan,7072.0,I
Area salinized by irrigation,Peru,300.0,I
Area salinized by irrigation,Philippines,300.0,I
Area salinized by irrigation,Romania,400.0,I
Area waterlogged by irrigation,Romania,900.0,I
Area waterlogged by irrigation,Saudi Arabia,15.0,I
Area salinized by irrigation,Seychelles,0.0,I
Area waterlogged by irrigation,Seychelles,0.0,I
Area salinized by irrigation,South Africa,100.0,I
Area salinized by irrigation,Syrian Arab Republic,60.0,I
Area salinized by irrigation,Tajikistan,23.23,I
Area waterlogged by irrigation,Tajikistan,25.74,I
Area salinized by irrigation,Thailand,400.0,I
Area salinized by irrigation,Tunisia,159.7647058824,I
Area waterlogged by irrigation,Tunisia,76.6666666667,I
Area salinized by irrigation,Turkey,1519.0,I
Area salinized by irrigation,Turkmenistan,1354.0,I
Area waterlogged by irrigation,Turkmenistan,756.5,I
Area salinized by irrigation,United Republic of Tanzania,50.0,I
Area salinized by irrigation,United States of America,4200.0,I
Area salinized by irrigation,Uzbekistan,2054.6,I
Area salinized by irrigation,Viet Nam,300.0,I
