,,,Value,Symbol
Afghanistan,Fresh surface water withdrawal,2,17.24,I
Afghanistan,Fresh groundwater withdrawal,7,3.042,I
Afghanistan,Total freshwater withdrawal,13,20.282,I
Afghanistan,Fresh surface water withdrawal,2,17.24,I
Afghanistan,Fresh groundwater withdrawal,7,3.042,I
Afghanistan,Total freshwater withdrawal,13,20.282,I
Albania,Total freshwater withdrawal,4,1.12434,E
Algeria,Fresh surface water withdrawal,0,4.8,
Algeria,Fresh groundwater withdrawal,3,3.0,
Algeria,Total freshwater withdrawal,9,7.8,E
Angola,Total freshwater withdrawal,3,0.7057,I
Antigua and Barbuda,Fresh surface water withdrawal,0,0.0037,
Antigua and Barbuda,Fresh groundwater withdrawal,3,0.0007,
Antigua and Barbuda,Total freshwater withdrawal,9,0.0044,E
Argentina,Fresh surface water withdrawal,0,26.36,I
Argentina,Fresh groundwater withdrawal,3,11.33,I
Argentina,Total freshwater withdrawal,9,37.69,I
Armenia,Fresh surface water withdrawal,3,1.627,
Armenia,Fresh groundwater withdrawal,8,1.314,
Armenia,Total freshwater withdrawal,13,2.941,
Australia,Fresh groundwater withdrawal,2,2.6084,I
Austria,Fresh surface water withdrawal,2,2.4285297327,I
Austria,Fresh groundwater withdrawal,8,1.0614702673,I
Austria,Total freshwater withdrawal,13,3.49,I
Azerbaijan,Fresh surface water withdrawal,3,11.2339131947,I
Azerbaijan,Fresh groundwater withdrawal,8,0.7360868053,I
Azerbaijan,Total freshwater withdrawal,12,11.97,E
Bahrain,Fresh surface water withdrawal,1,0.0,I
Bahrain,Fresh groundwater withdrawal,5,0.1899363636,I
Bahrain,Total freshwater withdrawal,11,0.1899363636,I
Bangladesh,Fresh surface water withdrawal,0,7.39,I
Bangladesh,Fresh groundwater withdrawal,3,28.48,I
Bangladesh,Total freshwater withdrawal,6,35.87,I
Barbados,Total freshwater withdrawal,3,0.07,I
Belarus,Fresh surface water withdrawal,2,0.6733333333,I
Belarus,Fresh groundwater withdrawal,6,0.852,I
Belarus,Total freshwater withdrawal,11,1.5253333333,I
Belgium,Fresh surface water withdrawal,0,4.664,X
Belgium,Fresh groundwater withdrawal,5,0.6361,X
Belgium,Total freshwater withdrawal,11,5.3,X
Belize,Total freshwater withdrawal,3,0.101,I
Benin,Fresh surface water withdrawal,2,0.089,I
Benin,Fresh groundwater withdrawal,7,0.041,I
Benin,Total freshwater withdrawal,13,0.13,I
Bhutan,Fresh surface water withdrawal,0,0.3379,I
Bhutan,Fresh groundwater withdrawal,3,0.0,I
Bhutan,Total freshwater withdrawal,6,0.3379,I
Bolivia,Total freshwater withdrawal,3,2.088,I
Bosnia and Herzegovina,Fresh surface water withdrawal,2,0.1332,
Bosnia and Herzegovina,Fresh groundwater withdrawal,7,0.3045,
Bosnia and Herzegovina,Total freshwater withdrawal,12,0.4377,
Botswana,Fresh surface water withdrawal,2,0.091,
Botswana,Fresh groundwater withdrawal,7,0.1034,
Botswana,Total freshwater withdrawal,13,0.1944,E
Brazil,Total freshwater withdrawal,3,69.8605,E
Brunei Darussalam,Fresh surface water withdrawal,3,0.0915,I
Brunei Darussalam,Fresh groundwater withdrawal,9,0.0005,I
Brunei Darussalam,Total freshwater withdrawal,15,0.092,I
Bulgaria,Fresh surface water withdrawal,2,5.149,X
Bulgaria,Fresh groundwater withdrawal,5,0.5656,X
Bulgaria,Total freshwater withdrawal,9,5.7146,E
Burkina Faso,Fresh groundwater withdrawal,2,0.011,I
Burundi,Total freshwater withdrawal,3,0.2801,E
Cabo Verde,Total freshwater withdrawal,2,0.0253,E
Cambodia,Total freshwater withdrawal,1,2.184,I
Cameroon,Total freshwater withdrawal,3,1.0884,E
Canada,Fresh surface water withdrawal,3,34.824799223,I
Canada,Fresh groundwater withdrawal,9,1.615200777,I
Canada,Total freshwater withdrawal,15,36.44,I
Central African Republic,Total freshwater withdrawal,3,0.0725,I
Chad,Total freshwater withdrawal,3,0.8796,I
Chile,Fresh surface water withdrawal,1,65.7633333333,I
Chile,Fresh groundwater withdrawal,5,2.778,I
Chile,Total freshwater withdrawal,11,68.5413333333,E
China,Fresh groundwater withdrawal,7,113.4,
China,Total freshwater withdrawal,13,598.8,E
Comoros,Total freshwater withdrawal,2,0.01,I
Congo,Fresh surface water withdrawal,2,0.022,I
Congo,Fresh groundwater withdrawal,7,0.024,I
Congo,Total freshwater withdrawal,13,0.046,I
Croatia,Fresh surface water withdrawal,0,0.2111,X
Croatia,Fresh groundwater withdrawal,1,0.4499,X
Croatia,Total freshwater withdrawal,5,0.661,X
Cuba,Total freshwater withdrawal,7,6.6453833333,E
Cyprus,Fresh surface water withdrawal,0,0.1003,X
Cyprus,Fresh groundwater withdrawal,4,0.155,X
Cyprus,Total freshwater withdrawal,9,0.2553,X
Czech Republic,Fresh surface water withdrawal,3,1.461,X
Czech Republic,Fresh groundwater withdrawal,8,0.3794,X
Czech Republic,Total freshwater withdrawal,13,1.8404,E
Côte d'Ivoire,Total freshwater withdrawal,3,1.2480444444,I
Democratic People's Republic of Korea,Total freshwater withdrawal,2,8.6578,I
Democratic Republic of the Congo,Total freshwater withdrawal,3,0.6836,I
Denmark,Fresh surface water withdrawal,3,0.1068,X
Denmark,Fresh groundwater withdrawal,4,0.6217,X
Denmark,Total freshwater withdrawal,8,0.7285,X
Djibouti,Fresh surface water withdrawal,2,0.001,I
Djibouti,Fresh groundwater withdrawal,7,0.018,I
Djibouti,Total freshwater withdrawal,13,0.019,I
Dominica,Fresh surface water withdrawal,1,0.02,I
Dominica,Fresh groundwater withdrawal,5,0.0,I
Dominica,Total freshwater withdrawal,11,0.02,I
Dominican Republic,Fresh groundwater withdrawal,3,0.386,I
Ecuador,Total freshwater withdrawal,2,9.9158,I
Egypt,Fresh groundwater withdrawal,2,7.5,
El Salvador,Fresh surface water withdrawal,1,1.483,I
El Salvador,Fresh groundwater withdrawal,5,0.635,I
El Salvador,Total freshwater withdrawal,11,2.118,I
Equatorial Guinea,Total freshwater withdrawal,3,0.0198,E
Eritrea,Total freshwater withdrawal,2,0.582,I
Estonia,Fresh surface water withdrawal,3,1.357,
Estonia,Fresh groundwater withdrawal,8,0.2735,
Estonia,Total freshwater withdrawal,13,1.631,
Eswatini,Total freshwater withdrawal,3,1.068,E
Ethiopia,Total freshwater withdrawal,2,9.5710090909,E
Fiji,Total freshwater withdrawal,3,0.0849,I
France,Fresh surface water withdrawal,0,22.9361057692,I
France,Fresh groundwater withdrawal,5,5.1268942308,I
France,Total freshwater withdrawal,10,28.063,E
Gabon,Total freshwater withdrawal,3,0.1391,I
Gambia,Total freshwater withdrawal,3,0.1016,E
Germany,Fresh surface water withdrawal,2,21.99,I
Germany,Fresh groundwater withdrawal,8,5.891,I
Germany,Total freshwater withdrawal,13,27.8806666667,I
Ghana,Total freshwater withdrawal,3,1.3155,E
Greece,Fresh surface water withdrawal,3,4.32,X
Greece,Fresh groundwater withdrawal,7,5.615,X
Greece,Total freshwater withdrawal,11,9.935,X
Grenada,Fresh surface water withdrawal,1,0.0124111111,I
Grenada,Fresh groundwater withdrawal,5,0.0007777778,I
Grenada,Total freshwater withdrawal,9,0.0131888889,I
Guatemala,Total freshwater withdrawal,2,3.3241,I
Guinea,Fresh surface water withdrawal,3,0.6692,I
Guinea,Fresh groundwater withdrawal,8,0.0749538462,I
Guinea,Total freshwater withdrawal,13,0.7441538462,I
Guinea-Bissau,Fresh surface water withdrawal,3,0.144,I
Guinea-Bissau,Fresh groundwater withdrawal,9,0.031,I
Guinea-Bissau,Total freshwater withdrawal,15,0.175,I
Guyana,Total freshwater withdrawal,3,1.4447,I
Haiti,Total freshwater withdrawal,3,1.45,I
Honduras,Fresh surface water withdrawal,1,1.443,I
Honduras,Fresh groundwater withdrawal,5,0.164,I
Honduras,Total freshwater withdrawal,9,1.607,I
Hungary,Fresh surface water withdrawal,3,4.516,X
Hungary,Fresh groundwater withdrawal,9,0.535,X
Hungary,Total freshwater withdrawal,14,5.051,E
Iceland,Fresh surface water withdrawal,3,0.0098,
Iceland,Fresh groundwater withdrawal,9,0.2842,
Iceland,Total freshwater withdrawal,15,0.294,
India,Fresh surface water withdrawal,0,396.5,I
India,Fresh groundwater withdrawal,4,251.0,I
India,Total freshwater withdrawal,9,647.5,I
Indonesia,Fresh surface water withdrawal,2,164.9315805156,I
Indonesia,Fresh groundwater withdrawal,7,30.3621694844,I
Indonesia,Total freshwater withdrawal,13,195.29375,I
Iran,Fresh surface water withdrawal,1,39.85,I
Iran,Fresh groundwater withdrawal,5,53.1,I
Iran,Total freshwater withdrawal,11,92.95,I
Iraq,Total freshwater withdrawal,3,43.6979428571,E
Ireland,Fresh surface water withdrawal,3,0.743,I
Ireland,Fresh groundwater withdrawal,8,0.2373333333,I
Ireland,Total freshwater withdrawal,13,0.9803333333,I
Israel,Fresh surface water withdrawal,3,0.4548,I
Israel,Fresh groundwater withdrawal,7,0.8072,I
Israel,Total freshwater withdrawal,11,1.2624,I
Italy,Total freshwater withdrawal,3,33.9844692308,E
Jamaica,Fresh surface water withdrawal,3,1.0475238095,I
Jamaica,Fresh groundwater withdrawal,9,0.4431904762,I
Jamaica,Total freshwater withdrawal,15,1.4907142857,I
Jordan,Fresh surface water withdrawal,1,0.2976832915,I
Jordan,Fresh groundwater withdrawal,5,0.5513167085,I
Jordan,Total freshwater withdrawal,11,0.849,E
Kazakhstan,Fresh surface water withdrawal,2,21.46,
Kazakhstan,Fresh groundwater withdrawal,6,1.133,
Kazakhstan,Total freshwater withdrawal,10,21.39,
Kenya,Total freshwater withdrawal,7,3.2188,I
Kuwait,Fresh surface water withdrawal,2,0.0,I
Kuwait,Fresh groundwater withdrawal,6,0.6186923077,I
Kuwait,Total freshwater withdrawal,12,0.6186923077,E
Kyrgyzstan,Fresh surface water withdrawal,3,7.401,I
Kyrgyzstan,Fresh groundwater withdrawal,9,0.306,I
Kyrgyzstan,Total freshwater withdrawal,15,7.707,I
Lao People's Democratic Republic,Total freshwater withdrawal,1,6.664,E
Latvia,Total freshwater withdrawal,2,0.2482,E
Lebanon,Fresh surface water withdrawal,1,0.5770905109,I
Lebanon,Fresh groundwater withdrawal,5,1.0201094891,I
Lebanon,Total freshwater withdrawal,11,1.5972,I
Lesotho,Total freshwater withdrawal,3,0.0438,E
Liberia,Total freshwater withdrawal,3,0.1459,E
Libya,Fresh surface water withdrawal,2,0.17,
Libya,Fresh groundwater withdrawal,7,5.55,E
Libya,Total freshwater withdrawal,13,5.72,E
Lithuania,Fresh surface water withdrawal,0,0.3734333333,I
Lithuania,Fresh groundwater withdrawal,5,0.1633666667,I
Lithuania,Total freshwater withdrawal,7,0.5368,I
Luxembourg,Fresh surface water withdrawal,3,0.0237,X
Luxembourg,Fresh groundwater withdrawal,8,0.0209,X
Luxembourg,Total freshwater withdrawal,13,0.0446,E
Macedonia,Fresh surface water withdrawal,2,0.5348371693,I
Macedonia,Fresh groundwater withdrawal,7,0.0979628307,I
Macedonia,Total freshwater withdrawal,13,0.6328,I
Madagascar,Fresh groundwater withdrawal,2,0.024,I
Malawi,Total freshwater withdrawal,3,1.3568,I
Malaysia,Fresh surface water withdrawal,3,6.0053157895,I
Malaysia,Fresh groundwater withdrawal,9,0.1036105263,I
Malaysia,Total freshwater withdrawal,15,6.1088421053,I
Maldives,Total freshwater withdrawal,3,0.0047,I
Mali,Fresh surface water withdrawal,1,5.125,I
Mali,Fresh groundwater withdrawal,5,0.061,I
Mali,Total freshwater withdrawal,11,5.186,I
Malta,Fresh surface water withdrawal,3,0.0026,X
Malta,Total freshwater withdrawal,9,0.0401,X
Mauritania,Total freshwater withdrawal,3,1.3482,E
Mauritius,Fresh surface water withdrawal,1,0.46,
Mauritius,Fresh groundwater withdrawal,4,0.122,
Mauritius,Total freshwater withdrawal,9,0.582,
Mexico,Fresh surface water withdrawal,1,50.95,
Mexico,Fresh groundwater withdrawal,4,31.78,
Mexico,Total freshwater withdrawal,8,82.73,E
Monaco,Total freshwater withdrawal,3,0.005,I
Mongolia,Fresh surface water withdrawal,1,0.0880724074,I
Mongolia,Fresh groundwater withdrawal,5,0.4022275926,I
Mongolia,Total freshwater withdrawal,11,0.4903,I
Montenegro,Total freshwater withdrawal,1,0.1609,I
Morocco,Fresh surface water withdrawal,2,8.251,I
Morocco,Fresh groundwater withdrawal,7,2.322,I
Morocco,Total freshwater withdrawal,13,10.573,I
Mozambique,Total freshwater withdrawal,3,1.3581557143,E
Myanmar,Fresh surface water withdrawal,2,30.24,I
Myanmar,Fresh groundwater withdrawal,7,2.991,I
Myanmar,Total freshwater withdrawal,13,33.231,I
Namibia,Fresh surface water withdrawal,2,0.1566,I
Namibia,Fresh groundwater withdrawal,7,0.1253,I
Namibia,Total freshwater withdrawal,12,0.2819,I
Nepal,Total freshwater withdrawal,2,9.4971,E
Netherlands,Fresh surface water withdrawal,3,9.776,
Netherlands,Fresh groundwater withdrawal,7,0.9403,X
New Zealand,Fresh surface water withdrawal,2,5.419,I
New Zealand,Fresh groundwater withdrawal,7,2.119,I
New Zealand,Total freshwater withdrawal,13,7.538,I
Nicaragua,Total freshwater withdrawal,2,1.5433,E
Niger,Fresh surface water withdrawal,3,0.1115351111,I
Niger,Fresh groundwater withdrawal,9,1.2826537778,I
Niger,Total freshwater withdrawal,15,1.3941888889,I
Nigeria,Total freshwater withdrawal,3,12.472,E
Norway,Total freshwater withdrawal,3,2.7318,E
Oman,Fresh surface water withdrawal,1,0.0918,I
Oman,Fresh groundwater withdrawal,3,1.4974,I
Oman,Total freshwater withdrawal,7,1.5892,I
Pakistan,Fresh surface water withdrawal,0,128.3,
Pakistan,Fresh groundwater withdrawal,2,59.58,
Pakistan,Total freshwater withdrawal,7,187.88,E
Panama,Total freshwater withdrawal,0,1.1555333333,I
Papua New Guinea,Total freshwater withdrawal,2,0.3921,I
Paraguay,Fresh groundwater withdrawal,2,0.444,I
Paraguay,Total freshwater withdrawal,8,2.413,E
Peru,Fresh surface water withdrawal,0,12.9067286136,I
Peru,Fresh groundwater withdrawal,2,1.9305403392,I
Peru,Total freshwater withdrawal,4,14.8372689528,E
Philippines,Fresh surface water withdrawal,1,80.9361763696,I
Philippines,Fresh groundwater withdrawal,4,3.3118236304,I
Philippines,Total freshwater withdrawal,7,84.248,E
Poland,Fresh groundwater withdrawal,4,2.644,X
Portugal,Fresh surface water withdrawal,0,5.1361666667,I
Portugal,Fresh groundwater withdrawal,2,3.6762777778,I
Portugal,Total freshwater withdrawal,5,8.8124444444,I
Puerto Rico,Fresh surface water withdrawal,3,0.7996,I
Puerto Rico,Fresh groundwater withdrawal,9,0.16042,I
Puerto Rico,Total freshwater withdrawal,15,0.9602,I
Qatar,Fresh surface water withdrawal,1,0.0,I
Qatar,Fresh groundwater withdrawal,3,0.24605,I
Qatar,Total freshwater withdrawal,7,0.24605,I
Republic of Korea,Fresh surface water withdrawal,3,25.48,I
Republic of Korea,Fresh groundwater withdrawal,9,3.717,I
