,,,Value,Symbol
Algeria,Desalinated water produced,3,0.615,
Algeria,Produced municipal wastewater,11,0.82,
Algeria,Not treated municipal wastewater discharged (secondary water),20,0.219,I
Angola,Desalinated water produced,3,0.0001,I
Antigua and Barbuda,Treated municipal wastewater,8,0.0002,I
Argentina,Desalinated water produced,3,0.0007,I
Argentina,Direct use of treated municipal wastewater,9,0.091,I
Argentina,Produced municipal wastewater,12,2.458,I
Argentina,Collected municipal wastewater,15,1.596,I
Argentina,Not treated municipal wastewater,18,2.168,I
Argentina,Treated municipal wastewater,23,0.29,I
Argentina,Treated municipal wastewater discharged (secondary water),28,0.0135,I
Armenia,Direct use of treated municipal wastewater,5,4.54545e-05,I
Armenia,Produced municipal wastewater,9,0.267,I
Armenia,Not treated municipal wastewater,14,0.274,I
Armenia,Treated municipal wastewater,19,0.1196666667,I
Armenia,Treated municipal wastewater discharged (secondary water),22,0.0889,I
Australia,Desalinated water produced,3,0.151,
Australia,Direct use of treated municipal wastewater,5,0.4043333333,I
Australia,Produced municipal wastewater,10,2.094,I
Australia,Collected municipal wastewater,14,1.828,I
Australia,Not treated municipal wastewater,17,0.315,I
Australia,Treated municipal wastewater,20,1.9558,I
Australia,Treated municipal wastewater discharged (secondary water),23,1.5502,I
Austria,Desalinated water produced,3,0.0022,I
Austria,Produced municipal wastewater,8,1.054,I
Austria,Collected municipal wastewater,13,1.919,I
Austria,Not treated municipal wastewater,18,0.02,I
Austria,Treated municipal wastewater,22,1.919,I
Austria,Treated municipal wastewater discharged (secondary water),26,0.806,I
Austria,Not treated municipal wastewater discharged (secondary water),31,0.0007,I
Azerbaijan,Produced municipal wastewater,3,0.659,I
Azerbaijan,Not treated municipal wastewater,9,0.498,I
Azerbaijan,Treated municipal wastewater,15,0.161,I
Bahrain,Desalinated water produced,3,0.1979636364,I
Bahrain,Direct use of treated municipal wastewater,9,0.016,
Bahrain,Produced municipal wastewater,15,0.151,I
Bahrain,Collected municipal wastewater,20,0.1168666667,I
Bahrain,Not treated municipal wastewater,23,0.072,I
Bahrain,Treated municipal wastewater,29,0.076,
Bangladesh,Produced municipal wastewater,2,0.725,I
Barbados,Desalinated water produced,1,0.011,I
Barbados,Produced municipal wastewater,7,0.011,I
Barbados,Treated municipal wastewater,11,0.003,I
Belarus,Produced municipal wastewater,2,1.099,
Belarus,Not treated municipal wastewater,6,0.111,I
Belgium,Direct use of treated municipal wastewater,2,0.003,I
Belgium,Produced municipal wastewater,6,0.879,X
Belgium,Collected municipal wastewater,11,0.1501,I
Belgium,Not treated municipal wastewater,16,0.0439,I
Belize,Produced municipal wastewater,3,0.002,I
Bhutan,Produced municipal wastewater,2,0.0039,I
Bolivia,Produced municipal wastewater,3,0.157,I
Bolivia,Not treated municipal wastewater,9,0.1022,I
Bolivia,Treated municipal wastewater,15,0.0336,I
Bolivia,Direct use of not treated municipal wastewater for irrigation purposes,18,0.0157,I
Bosnia and Herzegovina,Produced municipal wastewater,0,0.0656,
Bosnia and Herzegovina,Not treated municipal wastewater,6,0.0626,
Bosnia and Herzegovina,Treated municipal wastewater,10,0.003,
Bosnia and Herzegovina,Treated municipal wastewater discharged (secondary water),14,0.003,
Bosnia and Herzegovina,Not treated municipal wastewater discharged (secondary water),18,0.0626,
Botswana,Produced municipal wastewater,3,0.011,I
Botswana,Treated municipal wastewater,9,0.008,I
Brazil,Desalinated water produced,3,0.04,I
Brazil,Direct use of treated municipal wastewater,6,0.0295,I
Brazil,Not treated municipal wastewater,15,7.2,I
Brazil,Treated municipal wastewater discharged (secondary water),21,3.091,I
Bulgaria,Produced municipal wastewater,2,0.447,
Burkina Faso,Direct use of treated municipal wastewater,0,0.0013,I
Burkina Faso,Produced municipal wastewater,3,0.0487,I
Burkina Faso,Collected municipal wastewater,6,0.0024,I
Burkina Faso,Treated municipal wastewater,9,0.0014,I
Cabo Verde,Desalinated water produced,3,0.0017,I
Cabo Verde,Produced municipal wastewater,6,0.0039,I
Cambodia,Treated municipal wastewater,3,0.0002,I
Cameroon,Produced municipal wastewater,0,0.0662,I
Canada,Desalinated water produced,3,0.0027,I
Canada,Produced municipal wastewater,7,6.1515,I
Canada,Collected municipal wastewater,10,5.67,I
Canada,Not treated municipal wastewater,13,0.981,I
Canada,Treated municipal wastewater,17,5.528,I
Chile,Desalinated water produced,3,0.0645,
Chile,Direct use of treated municipal wastewater,6,0.0,I
Chile,Produced municipal wastewater,11,1.112,I
Chile,Collected municipal wastewater,14,1.067,I
Chile,Not treated municipal wastewater,19,0.344,I
Chile,Treated municipal wastewater,24,0.768,I
Chile,Treated municipal wastewater discharged (secondary water),27,0.7807,I
Chile,Not treated municipal wastewater discharged (secondary water),30,0.2089,I
China,Desalinated water produced,1,0.0109,I
China,Produced municipal wastewater,8,46.27,
China,Collected municipal wastewater,11,31.14,I
China,Treated municipal wastewater,19,42.37,
Colombia,Produced municipal wastewater,3,2.397,I
Colombia,Not treated municipal wastewater,9,1.8,I
Colombia,Treated municipal wastewater,15,0.154,I
Congo,Treated municipal wastewater,3,0.0,I
Croatia,Produced municipal wastewater,1,0.329,
Croatia,Not treated municipal wastewater,3,0.0694,
Croatia,Treated municipal wastewater discharged (secondary water),7,0.209,I
Croatia,Not treated municipal wastewater discharged (secondary water),10,0.133,I
Cuba,Desalinated water produced,2,0.0004,I
Cuba,Produced municipal wastewater,8,0.839,I
Cuba,Collected municipal wastewater,12,0.725,
Cuba,Not treated municipal wastewater,18,0.393,I
Cuba,Treated municipal wastewater,24,0.223,I
Cyprus,Desalinated water produced,3,0.0335,I
Cyprus,Direct use of treated municipal wastewater,6,0.0173142857,I
Cyprus,Not treated municipal wastewater,9,0.004,I
Cyprus,Treated municipal wastewater,13,0.02555,I
Cyprus,Treated municipal wastewater discharged (secondary water),15,0.0,I
Czech Republic,Desalinated water produced,3,0.0002,I
Czech Republic,Produced municipal wastewater,6,1.196,
Czech Republic,Collected municipal wastewater,8,0.3238,
Côte d'Ivoire,Treated municipal wastewater,3,0.0001,I
Denmark,Desalinated water produced,3,0.015,I
Djibouti,Desalinated water produced,3,0.0001,I
Djibouti,Direct use of treated municipal wastewater,8,0.0001,I
Dominican Republic,Produced municipal wastewater,0,0.427,I
Dominican Republic,Collected municipal wastewater,3,0.041,I
Dominican Republic,Not treated municipal wastewater,6,0.419,I
Dominican Republic,Treated municipal wastewater,9,0.008,I
Ecuador,Desalinated water produced,3,0.0022,I
Ecuador,Produced municipal wastewater,6,0.4575,I
Ecuador,Not treated municipal wastewater,11,0.473,I
Ecuador,Treated municipal wastewater,16,0.158,I
Egypt,Desalinated water produced,3,0.2,I
Egypt,Direct use of treated municipal wastewater,9,1.3,I
Egypt,Collected municipal wastewater,17,6.497,
Egypt,Treated municipal wastewater discharged (secondary water),31,3.011,
Egypt,Not treated municipal wastewater discharged (secondary water),36,1.0,I
El Salvador,Desalinated water produced,3,0.0001,I
El Salvador,Produced municipal wastewater,6,0.097,I
El Salvador,Not treated municipal wastewater,9,0.096,I
El Salvador,Treated municipal wastewater,12,0.001,I
Eritrea,Produced municipal wastewater,2,0.018,I
Estonia,Produced municipal wastewater,1,0.36,
Estonia,Collected municipal wastewater,3,0.311,I
Estonia,Not treated municipal wastewater,9,0.072,I
Estonia,Treated municipal wastewater,15,0.23438,I
Eswatini,Produced municipal wastewater,3,0.0129,
Eswatini,Not treated municipal wastewater,7,0.003,I
Eswatini,Treated municipal wastewater,12,0.009,I
Ethiopia,Direct use of treated municipal wastewater,2,0.0,I
Ethiopia,Treated municipal wastewater,7,0.0,I
Ethiopia,Treated municipal wastewater discharged (secondary water),11,0.0,I
France,Desalinated water produced,3,0.0117,I
France,Direct use of treated municipal wastewater,7,0.411,I
France,Produced municipal wastewater,12,4.0,
France,Collected municipal wastewater,17,3.77,I
France,Not treated municipal wastewater,22,0.02,I
France,Treated municipal wastewater,25,3.77,I
France,Treated municipal wastewater discharged (secondary water),28,3.359,I
Germany,Direct use of treated municipal wastewater,2,0.042,I
Germany,Produced municipal wastewater,6,4.1497777778,I
Germany,Collected municipal wastewater,11,5.213,I
Germany,Not treated municipal wastewater,15,0.104,I
Germany,Treated municipal wastewater,20,5.183,I
Ghana,Produced municipal wastewater,4,0.28,I
Ghana,Collected municipal wastewater,8,0.028,I
Ghana,Not treated municipal wastewater,12,0.258,I
Ghana,Treated municipal wastewater,16,0.022,I
Greece,Desalinated water produced,3,0.01,I
Greece,Direct use of treated municipal wastewater,8,0.104,I
Greece,Collected municipal wastewater,11,0.568,I
Greece,Not treated municipal wastewater,15,0.002,I
Greece,Treated municipal wastewater,18,0.566,I
Greece,Treated municipal wastewater discharged (secondary water),22,0.504,I
Guatemala,Produced municipal wastewater,2,0.668,I
Guatemala,Treated municipal wastewater,8,0.0065,I
Honduras,Desalinated water produced,3,0.0002,I
Honduras,Collected municipal wastewater,7,0.426,I
Honduras,Treated municipal wastewater,11,0.043,I
Hungary,Desalinated water produced,3,0.0002,E
Hungary,Collected municipal wastewater,7,0.4357,
Hungary,Treated municipal wastewater,9,0.4316,
India,Desalinated water produced,3,0.0006,I
India,Produced municipal wastewater,9,15.45,I
India,Not treated municipal wastewater,15,11.03,I
India,Treated municipal wastewater,21,4.416,I
India,Not treated municipal wastewater discharged (secondary water),27,9.66,I
India,Direct use of not treated municipal wastewater for irrigation purposes,33,1.23,I
Indonesia,Desalinated water produced,3,0.019,I
Iran,Desalinated water produced,3,0.2,I
Iran,Produced municipal wastewater,9,3.548,I
Iran,Collected municipal wastewater,12,1.162,I
Iran,Not treated municipal wastewater,18,2.727,I
Iran,Treated municipal wastewater,24,0.885,
Iran,Direct use of not treated municipal wastewater for irrigation purposes,28,0.244,I
Iraq,Desalinated water produced,3,0.0113428571,I
Iraq,Direct use of treated municipal wastewater,4,0.005,
Iraq,Collected municipal wastewater,8,0.579,I
Iraq,Treated municipal wastewater,13,0.438,I
Iraq,Not treated municipal wastewater discharged (secondary water),16,0.182,I
Iraq,Direct use of not treated municipal wastewater for irrigation purposes,19,1.03,
Ireland,Produced municipal wastewater,3,0.783,I
Ireland,Collected municipal wastewater,7,0.757,I
Ireland,Not treated municipal wastewater,11,0.06,I
Ireland,Treated municipal wastewater,14,0.723,I
Ireland,Treated municipal wastewater discharged (secondary water),17,0.29,I
Ireland,Not treated municipal wastewater discharged (secondary water),21,0.028,I
Israel,Desalinated water produced,3,0.3596,I
Israel,Direct use of treated municipal wastewater,7,0.44,I
Israel,Produced municipal wastewater,10,0.5,I
Israel,Not treated municipal wastewater,15,0.05,I
Israel,Treated municipal wastewater,21,0.45,I
Israel,Treated municipal wastewater discharged (secondary water),27,0.032,I
Italy,Desalinated water produced,3,0.0973,I
Italy,Direct use of treated municipal wastewater,8,0.045,I
Italy,Produced municipal wastewater,12,3.926,I
Italy,Not treated municipal wastewater,16,0.024,I
Italy,Treated municipal wastewater,21,3.902,I
Jamaica,Desalinated water produced,3,0.0005,I
Japan,Desalinated water produced,3,0.04,I
Japan,Direct use of treated municipal wastewater,8,0.195,I
Japan,Produced municipal wastewater,12,16.93,I
Japan,Collected municipal wastewater,16,12.02,I
Japan,Not treated municipal wastewater,20,5.37,I
Japan,Treated municipal wastewater,24,11.56,I
Japan,Treated municipal wastewater discharged (secondary water),28,11.37,I
Jordan,Desalinated water produced,3,0.1056222222,I
Jordan,Direct use of treated municipal wastewater,9,0.0144142857,I
Jordan,Produced municipal wastewater,14,0.18,I
Jordan,Collected municipal wastewater,19,0.115,
Jordan,Not treated municipal wastewater,23,0.105,I
Jordan,Treated municipal wastewater,29,0.113,
Jordan,Treated municipal wastewater discharged (secondary water),34,0.0071,I
