,,Value,Symbol
Total area of the country (excl. coastal water),Afghanistan,65286.0,E
Cultivated area (arable land + permanent crops),Afghanistan,7910.0,X
Total population,Afghanistan,36296.113,X
Rural population,Afghanistan,26558.609,X
Urban population,Afghanistan,8971.472,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Afghanistan,0.6934,I
GDP per capita,Afghanistan,605.557362,X
Total area of the country (excl. coastal water),Albania,2773.0,E
Cultivated area (arable land + permanent crops),Albania,691.1,X
Total population,Albania,2884.169,X
Rural population,Albania,1190.155,X
Urban population,Albania,1740.032,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Albania,0.2174,I
GDP per capita,Albania,4445.132198,X
Total area of the country (excl. coastal water),Algeria,238174.1,E
Cultivated area (arable land + permanent crops),Algeria,8483.4261,X
Total population,Algeria,41389.189,X
Rural population,Algeria,11547.532,X
Urban population,Algeria,29770.61,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Algeria,0.4131,I
GDP per capita,Algeria,4051.244377,X
Total area of the country (excl. coastal water),Andorra,47.0,E
Cultivated area (arable land + permanent crops),Andorra,0.82,X
Total population,Andorra,77.001,X
Rural population,Andorra,9.12,X
Urban population,Andorra,67.845,X
GDP per capita,Andorra,39249.689016,X
Total area of the country (excl. coastal water),Angola,124670.0,E
Cultivated area (arable land + permanent crops),Angola,5215.0,X
Total population,Angola,29816.766,X
Rural population,Angola,10472.554,X
Urban population,Angola,19311.639,X
Gross Domestic Product (GDP),Angola,122123858628.0,X
GDP per capita,Angola,4100.291004,X
"Agriculture, value added (% GDP)",Angola,10.016996,X
Total area of the country (excl. coastal water),Antigua and Barbuda,44.0,E
Cultivated area (arable land + permanent crops),Antigua and Barbuda,5.0,X
Total population,Antigua and Barbuda,95.426,X
Rural population,Antigua and Barbuda,76.802,X
Urban population,Antigua and Barbuda,25.21,X
Gross Domestic Product (GDP),Antigua and Barbuda,1467977778.0,X
GDP per capita,Antigua and Barbuda,14390.246028,X
"Agriculture, value added (% GDP)",Antigua and Barbuda,1.793599,X
Total area of the country (excl. coastal water),Argentina,278040.0,E
Total population,Argentina,43937.14,X
Rural population,Argentina,3652.804,X
Urban population,Argentina,40618.237,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Argentina,0.3756,I
Gross Domestic Product (GDP),Argentina,642695596034.0,X
GDP per capita,Argentina,14517.291248,X
"Agriculture, value added (% GDP)",Argentina,5.478382,X
Total area of the country (excl. coastal water),Armenia,2974.0,E
Cultivated area (arable land + permanent crops),Armenia,504.1,X
Total population,Armenia,2944.791,X
Rural population,Armenia,1081.248,X
Urban population,Armenia,1849.202,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Armenia,0.3176,I
Gross Domestic Product (GDP),Armenia,11527458713.0,X
GDP per capita,Armenia,3933.682101,X
"Agriculture, value added (% GDP)",Armenia,14.99426,X
Total area of the country (excl. coastal water),Australia,774122.0,E
Cultivated area (arable land + permanent crops),Australia,31074.0,X
Total population,Australia,24584.62,X
Rural population,Australia,3446.638,X
Urban population,Australia,21003.923,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Australia,0.1101,I
GDP per capita,Australia,57917.093685,X
Total area of the country (excl. coastal water),Austria,8387.9,E
Cultivated area (arable land + permanent crops),Austria,1395.81,X
Total population,Austria,8819.901,X
Rural population,Austria,3660.707,X
Urban population,Austria,5074.746,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Austria,0.0528,I
GDP per capita,Austria,47887.17438,X
