,,,Value,Symbol
Argentina,Area salinized by irrigation,4,584.0,I
Armenia,Area salinized by irrigation,4,20.41,I
Armenia,Area waterlogged by irrigation,10,18.72,I
Australia,Area salinized by irrigation,4,200.0,I
Bahrain,Area salinized by irrigation,4,1.065,I
Bahrain,Area waterlogged by irrigation,10,1.86,I
Bangladesh,Area salinized by irrigation,4,100.0,I
Bangladesh,Area waterlogged by irrigation,10,770.0,I
Bolivia,Area salinized by irrigation,3,21.91,I
Brazil,Area salinized by irrigation,3,15.0,I
Cabo Verde,Area waterlogged by irrigation,4,0.0,I
Chile,Area salinized by irrigation,4,33.6,I
China,Area salinized by irrigation,3,6700.0,I
Colombia,Area salinized by irrigation,3,300.0,I
Cuba,Area salinized by irrigation,3,400.0,I
Democratic Republic of the Congo,Area waterlogged by irrigation,4,2.0,I
Dominican Republic,Area salinized by irrigation,2,50.34,I
Egypt,Area salinized by irrigation,4,900.0,I
Eswatini,Area waterlogged by irrigation,4,7.46,I
Gambia,Area waterlogged by irrigation,4,0.2077,I
Georgia,Area salinized by irrigation,3,113.6,I
Ghana,Area salinized by irrigation,4,1.48,I
Guatemala,Area salinized by irrigation,4,5.0,I
India,Area salinized by irrigation,4,3300.0,I
India,Area waterlogged by irrigation,10,2460.0,I
Indonesia,Area salinized by irrigation,3,400.0,I
Indonesia,Area waterlogged by irrigation,9,2150.0,I
Iran,Area salinized by irrigation,4,2100.0,I
Iran,Area waterlogged by irrigation,10,1000.0,I
Iraq,Area salinized by irrigation,4,2636.125,I
Israel,Area salinized by irrigation,4,27.82,I
Jordan,Area salinized by irrigation,4,2.277,I
Jordan,Area waterlogged by irrigation,10,1.5,I
Kenya,Area salinized by irrigation,3,30.0,I
Kuwait,Area salinized by irrigation,4,4.08,I
Kyrgyzstan,Area salinized by irrigation,4,49.5,I
Kyrgyzstan,Area waterlogged by irrigation,8,35.4,I
Lebanon,Area salinized by irrigation,3,1.0,I
Lebanon,Area waterlogged by irrigation,9,3.0,I
Libya,Area salinized by irrigation,3,190.0,I
Libya,Area waterlogged by irrigation,8,190.0,I
Mauritania,Area waterlogged by irrigation,4,19.3,I
Mexico,Area salinized by irrigation,4,384.2,I
Morocco,Area salinized by irrigation,3,150.0,I
Mozambique,Area salinized by irrigation,4,2.0,I
Namibia,Area salinized by irrigation,4,1.3,I
Namibia,Area waterlogged by irrigation,10,2.0,I
Niger,Area salinized by irrigation,3,0.35,I
Nigeria,Area salinized by irrigation,3,100.0,I
Pakistan,Area salinized by irrigation,2,7003.0,I
Pakistan,Area waterlogged by irrigation,8,7072.0,I
Peru,Area salinized by irrigation,4,300.0,I
Philippines,Area salinized by irrigation,3,300.0,I
Romania,Area salinized by irrigation,4,400.0,I
Romania,Area waterlogged by irrigation,10,900.0,I
Saudi Arabia,Area waterlogged by irrigation,4,15.0,I
Seychelles,Area salinized by irrigation,2,0.0,I
Seychelles,Area waterlogged by irrigation,6,0.0,I
South Africa,Area salinized by irrigation,4,100.0,I
Syrian Arab Republic,Area salinized by irrigation,4,60.0,I
Tajikistan,Area salinized by irrigation,4,23.23,I
Tajikistan,Area waterlogged by irrigation,7,25.74,I
Thailand,Area salinized by irrigation,3,400.0,I
Tunisia,Area salinized by irrigation,3,193.2941176471,I
Tunisia,Area waterlogged by irrigation,7,87.7777777778,I
Turkey,Area salinized by irrigation,2,1519.0,I
Turkmenistan,Area salinized by irrigation,4,1354.0,I
Turkmenistan,Area waterlogged by irrigation,9,756.5,I
United Republic of Tanzania,Area salinized by irrigation,3,50.0,I
United States of America,Area salinized by irrigation,4,4200.0,I
Uzbekistan,Area salinized by irrigation,4,1175.0,
Viet Nam,Area salinized by irrigation,3,300.0,I
