,,Value,Symbol
Total internal renewable water resources (IRWR),Afghanistan,47.15,E
Total internal renewable water resources per capita,Afghanistan,1299.0371723826,E
Total renewable surface water,Afghanistan,55.68,E
Total renewable groundwater,Afghanistan,10.65,E
Water resources: total external renewable,Afghanistan,18.18,E
Total renewable water resources,Afghanistan,65.33,E
Total renewable water resources per capita,Afghanistan,1799.9172528474,E
Total internal renewable water resources (IRWR),Albania,26.9,E
Total internal renewable water resources per capita,Albania,9326.7766209262,E
Total renewable surface water,Albania,26.35,E
Total renewable groundwater,Albania,6.2,E
Water resources: total external renewable,Albania,3.3,E
Total renewable water resources,Albania,30.2,E
Total renewable water resources per capita,Albania,10470.9536785119,E
Total internal renewable water resources (IRWR),Algeria,11.247,E
Total internal renewable water resources per capita,Algeria,271.7376269441,E
Total renewable surface water,Algeria,10.15,E
Total renewable groundwater,Algeria,1.517,E
Total exploitable water resources,Algeria,7.9,E
Water resources: total external renewable,Algeria,0.42,E
Total renewable water resources,Algeria,11.667,E
Total renewable water resources per capita,Algeria,281.8852043706,E
Total internal renewable water resources (IRWR),Andorra,0.3156,X
Total internal renewable water resources per capita,Andorra,4098.6480695056,E
Total renewable water resources,Andorra,0.3156,X
Total renewable water resources per capita,Andorra,4098.6480695056,E
Total internal renewable water resources (IRWR),Angola,148.0,E
Total internal renewable water resources per capita,Angola,4963.6503167379,E
Total renewable surface water,Angola,145.4,E
Total renewable groundwater,Angola,58.0,E
Water resources: total external renewable,Angola,0.4,E
Total renewable water resources,Angola,148.4,E
Total renewable water resources per capita,Angola,4977.0655878642,E
Total internal renewable water resources (IRWR),Antigua and Barbuda,0.052,OF
Total internal renewable water resources per capita,Antigua and Barbuda,544.9248632448,E
Total renewable surface water,Antigua and Barbuda,0.0,E
Total renewable groundwater,Antigua and Barbuda,0.0,E
Water resources: total external renewable,Antigua and Barbuda,0.0,E
Total renewable water resources,Antigua and Barbuda,0.052,OF
Total renewable water resources per capita,Antigua and Barbuda,544.9248632448,E
Total internal renewable water resources (IRWR),Argentina,292.0,E
Total internal renewable water resources per capita,Argentina,6645.8581509857,E
Total renewable surface water,Argentina,860.24,E
Total renewable groundwater,Argentina,128.0,E
Water resources: total external renewable,Argentina,584.24,E
Total renewable water resources,Argentina,876.24,E
Total renewable water resources per capita,Argentina,19943.0368021223,E
Total internal renewable water resources (IRWR),Armenia,6.859,E
Total internal renewable water resources per capita,Armenia,2329.1975559556,E
Total renewable surface water,Armenia,4.858,E
Total renewable groundwater,Armenia,4.311,E
Water resources: total external renewable,Armenia,0.91,E
Total renewable water resources,Armenia,7.769,E
Total renewable water resources per capita,Armenia,2638.2177886308,E
Total internal renewable water resources (IRWR),Australia,492.0,E
Total internal renewable water resources per capita,Australia,20012.5118875134,E
Total renewable surface water,Australia,440.0,E
Total renewable groundwater,Australia,72.0,E
Water resources: total external renewable,Australia,0.0,E
Total renewable water resources,Australia,492.0,E
Total renewable water resources per capita,Australia,20012.5118875134,E
Total internal renewable water resources (IRWR),Austria,55.0,E
Total internal renewable water resources per capita,Austria,6235.8976591687,E
Total renewable surface water,Austria,77.7,E
Total renewable groundwater,Austria,6.0,E
Total exploitable water resources,Austria,93.0,E
Water resources: total external renewable,Austria,22.7,E
Total renewable water resources,Austria,77.7,E
Total renewable water resources per capita,Austria,8809.6226930438,E
Total internal renewable water resources (IRWR),Azerbaijan,8.115,E
Total internal renewable water resources per capita,Azerbaijan,824.2494911288,E
Total renewable surface water,Azerbaijan,32.515,E
Total renewable groundwater,Azerbaijan,6.51,E
Water resources: total external renewable,Azerbaijan,26.56,E
Total renewable water resources,Azerbaijan,34.675,E
