,,,Value,Symbol
Afghanistan,Dependency ratio,11,28.7226001512,E
Afghanistan,Dependency ratio,11,28.7226001512,E
Albania,Dependency ratio,25,10.9271523179,E
Algeria,Dependency ratio,21,3.5998971458,E
Angola,Dependency ratio,17,0.269541779,E
Antigua and Barbuda,Dependency ratio,25,0.0,E
Argentina,Dependency ratio,21,66.6757965854,E
Armenia,Dependency ratio,16,11.7132192045,E
Australia,Dependency ratio,25,0.0,E
Austria,Dependency ratio,17,29.2149292149,E
Azerbaijan,Dependency ratio,11,76.5969718818,E
Bahrain,Dependency ratio,25,96.5517241379,E
Bangladesh,Dependency ratio,21,91.4427659588,E
Barbados,Dependency ratio,25,0.0,E
Belarus,Dependency ratio,20,41.2780656304,E
Belgium,Dependency ratio,25,34.4262295082,E
Belize,Dependency ratio,21,29.7874298334,E
Benin,Dependency ratio,21,60.9700644183,E
Bhutan,Dependency ratio,20,0.0,E
Bolivia,Dependency ratio,17,47.1254355401,E
Bosnia and Herzegovina,Dependency ratio,20,5.3333333333,E
Botswana,Dependency ratio,21,80.3921568627,E
Brazil,Dependency ratio,17,34.5322077021,E
Brunei Darussalam,Dependency ratio,25,0.0,E
Bulgaria,Dependency ratio,25,1.4084507042,E
Burkina Faso,Dependency ratio,17,7.4074074074,E
Burundi,Dependency ratio,17,19.7511167837,E
Cabo Verde,Dependency ratio,25,0.0,E
Cambodia,Dependency ratio,17,74.6691871456,E
Cameroon,Dependency ratio,12,3.5846724351,E
Canada,Dependency ratio,25,1.7918676775,E
Central African Republic,Dependency ratio,21,0.0,E
Chad,Dependency ratio,17,67.1772428884,E
Chile,Dependency ratio,25,4.1232422594,E
China,Dependency ratio,17,0.9618973178,E
Colombia,Dependency ratio,17,9.1101694915,E
Comoros,Dependency ratio,25,0.0,E
Congo,Dependency ratio,17,73.3173076923,E
Costa Rica,Dependency ratio,21,0.0,E
Croatia,Dependency ratio,16,64.2654028436,E
Cuba,Dependency ratio,25,0.0,E
Cyprus,Dependency ratio,25,0.0,E
Czech Republic,Dependency ratio,21,0.0,E
Côte d'Ivoire,Dependency ratio,17,8.6760161635,E
Democratic People's Republic of Korea,Dependency ratio,21,13.1561892417,E
Democratic Republic of the Congo,Dependency ratio,17,29.8519095869,E
Denmark,Dependency ratio,12,0.0,E
Djibouti,Dependency ratio,20,0.0,E
Dominican Republic,Dependency ratio,25,0.0,E
Ecuador,Dependency ratio,20,0.0,E
Egypt,Dependency ratio,21,98.2608695652,E
El Salvador,Dependency ratio,21,40.5024743053,E
Equatorial Guinea,Dependency ratio,25,0.0,E
Eritrea,Dependency ratio,25,61.7224880383,E
Estonia,Dependency ratio,16,0.7496486022,E
Eswatini,Dependency ratio,20,41.4634146341,E
Ethiopia,Dependency ratio,16,0.0,E
Fiji,Dependency ratio,25,0.0,E
Finland,Dependency ratio,20,2.7272727273,E
France,Dependency ratio,12,5.2132701422,E
Gabon,Dependency ratio,21,1.2048192771,E
Gambia,Dependency ratio,25,62.5,E
Georgia,Dependency ratio,20,8.2109584715,E
Germany,Dependency ratio,17,30.5194805195,E
Ghana,Dependency ratio,17,46.0854092527,E
Greece,Dependency ratio,21,15.2046783626,E
Guatemala,Dependency ratio,21,14.6274724416,E
Guinea,Dependency ratio,25,0.0,E
Guinea-Bissau,Dependency ratio,21,49.0445859873,E
Guyana,Dependency ratio,17,11.0701107011,E
Haiti,Dependency ratio,25,7.2386250178,E
Honduras,Dependency ratio,17,1.6318736166,E
Hungary,Dependency ratio,21,94.2307692308,E
Iceland,Dependency ratio,25,0.0,E
India,Dependency ratio,17,30.5208533538,E
Indonesia,Dependency ratio,20,0.0,E
Iran,Dependency ratio,15,6.7725904161,E
Iraq,Dependency ratio,7,60.827954596,E
Ireland,Dependency ratio,25,5.7692307692,E
Israel,Dependency ratio,13,57.8651685393,E
Italy,Dependency ratio,21,4.6001045478,E
Jamaica,Dependency ratio,25,0.0,E
Japan,Dependency ratio,25,0.0,E
Jordan,Dependency ratio,11,27.2145144077,E
Kazakhstan,Dependency ratio,12,40.6420071949,E
Kenya,Dependency ratio,17,32.5732899023,E
Kuwait,Dependency ratio,21,100.0,E
Kyrgyzstan,Dependency ratio,16,1.1275460718,E
Lao People's Democratic Republic,Dependency ratio,17,42.9085457271,E
Latvia,Dependency ratio,21,51.5168860904,E
Lebanon,Dependency ratio,21,0.7854485325,E
Lesotho,Dependency ratio,25,0.0,E
Liberia,Dependency ratio,25,13.7931034483,E
Libya,Dependency ratio,24,0.0,E
Lithuania,Dependency ratio,20,36.8979591837,E
Luxembourg,Dependency ratio,25,71.4285714286,E
Macedonia,Dependency ratio,25,15.625,E
Madagascar,Dependency ratio,25,0.0,E
Malawi,Dependency ratio,17,6.5972222222,E
Malaysia,Dependency ratio,25,0.0,E
Maldives,Dependency ratio,25,0.0,E
Mali,Dependency ratio,17,50.0,E
Malta,Dependency ratio,25,0.0,E
Mauritania,Dependency ratio,25,96.4912280702,E
Mauritius,Dependency ratio,25,0.0,E
Mongolia,Dependency ratio,17,0.0,E
Morocco,Dependency ratio,21,0.0,E
Mozambique,Dependency ratio,12,53.8000921234,E
Myanmar,Dependency ratio,12,14.1291317006,E
Namibia,Dependency ratio,21,84.5652718617,E
Nepal,Dependency ratio,16,5.7088487155,E
Netherlands,Dependency ratio,21,87.9120879121,E
New Zealand,Dependency ratio,25,0.0,E
Nicaragua,Dependency ratio,21,5.0510576222,E
Niger,Dependency ratio,25,89.7209985316,E
Nigeria,Dependency ratio,17,22.7812718379,E
Norway,Dependency ratio,21,2.7989821883,E
Oman,Dependency ratio,15,0.0,E
Pakistan,Dependency ratio,12,77.7147487844,E
Palestine,Dependency ratio,20,2.9868578256,E
Panama,Dependency ratio,21,1.9410785046,E
Papua New Guinea,Dependency ratio,20,0.0,E
