country,year,value,symbol,lat,lon
Afghanistan,1987,25.85,OF,33.7680065,66.2385139
Afghanistan,1992,23.19090909,I,33.7680065,66.2385139
Afghanistan,1997,20.53181818,I,33.7680065,66.2385139
Afghanistan,2002,20.0,I,33.7680065,66.2385139
Afghanistan,2007,20.0,I,33.7680065,66.2385139
Afghanistan,2012,20.0,I,33.7680065,66.2385139
Afghanistan,2017,20.0,I,33.7680065,66.2385139
Afghanistan,2018,20.0,I,33.7680065,66.2385139
Albania,1992,0.868,I,41.000028,19.9999619
Albania,1997,0.826,I,41.000028,19.9999619
Albania,2002,0.8792,I,41.000028,19.9999619
Albania,2007,0.5312,I,41.000028,19.9999619
Albania,2012,0.5992,I,41.000028,19.9999619
Albania,2016,0.638,OF,41.000028,19.9999619
Algeria,1982,2.368,I,28.0000272,2.9999825
Algeria,1987,2.634,I,28.0000272,2.9999825
Algeria,1992,2.845818182,I,28.0000272,2.9999825
Algeria,1997,3.210363636,I,28.0000272,2.9999825
Algeria,2002,3.637272727,I,28.0000272,2.9999825
Algeria,2007,4.313636364,I,28.0000272,2.9999825
Algeria,2012,4.99,E,28.0000272,2.9999825
Algeria,2017,6.671,OF,28.0000272,2.9999825
Algeria,2018,6.671,I,28.0000272,2.9999825
Angola,1987,0.365,OF,47.2,13.2
Angola,1992,0.305384615,I,47.2,13.2
Angola,1997,0.245769231,I,47.2,13.2
Angola,2002,0.18468,I,47.2,13.2
Angola,2007,0.1467,I,47.2,13.2
Angola,2012,0.1467,I,47.2,13.2
Angola,2017,0.1467,I,47.2,13.2
Angola,2018,0.1467,I,47.2,13.2
Antigua and Barbuda,1992,0.001085714,I,17.2234721,-61.9554608
Antigua and Barbuda,1996,0.001257143,I,17.2234721,-61.9554608
Antigua and Barbuda,2002,0.0013,I,17.2234721,-61.9554608
Antigua and Barbuda,2007,0.001442857,I,17.2234721,-61.9554608
Antigua and Barbuda,2012,0.0018,OF,17.2234721,-61.9554608
Antigua and Barbuda,2017,0.0018,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,0.0018,I,17.2234721,-61.9554608
Argentina,1997,21.52,I,-34.9964963,-64.9672817
Argentina,2002,22.68545455,I,-34.9964963,-64.9672817
Argentina,2007,25.59909091,I,-34.9964963,-64.9672817
Argentina,2012,27.93,I,-34.9964963,-64.9672817
Argentina,2017,27.93,I,-34.9964963,-64.9672817
Argentina,2018,27.93,I,-34.9964963,-64.9672817
Armenia,1997,1.7116,I,40.7696272,44.6736646
Armenia,2002,1.14,E,40.7696272,44.6736646
Armenia,2007,1.89,OF,40.7696272,44.6736646
Armenia,2012,2.108,OF,40.7696272,44.6736646
Armenia,2016,2.544,OF,40.7696272,44.6736646
Australia,1997,15.406,I,-24.7761086,134.755
Australia,2002,14.3325,I,-24.7761086,134.755
Australia,2007,9.777,I,-24.7761086,134.755
Australia,2012,9.587,OF,-24.7761086,134.755
Australia,2014,11.81,OF,-24.7761086,134.755
Austria,1982,0.134,I,47.2,13.2
Austria,1987,0.16,I,47.2,13.2
Austria,1992,0.1,I,47.2,13.2
Austria,1997,0.1,X,47.2,13.2
Austria,2002,0.1,X,47.2,13.2
Austria,2007,0.0856875,I,47.2,13.2
Austria,2012,0.0771,I,47.2,13.2
Austria,2017,0.0771,I,47.2,13.2
Austria,2018,0.0771,I,47.2,13.2
Azerbaijan,1992,10.93,OF,40.3936294,47.7872508
Azerbaijan,1997,9.254,OF,40.3936294,47.7872508
Azerbaijan,2002,6.376,OF,40.3936294,47.7872508
Azerbaijan,2007,8.581,OF,40.3936294,47.7872508
Azerbaijan,2012,8.887,OF,40.3936294,47.7872508
Azerbaijan,2014,8.452,OF,40.3936294,47.7872508
Bahrain,1992,0.142,I,44.3053476,17.5961467
Bahrain,1997,0.1595,I,44.3053476,17.5961467
Bahrain,2002,0.1628,I,44.3053476,17.5961467
Bahrain,2007,0.150690909,I,44.3053476,17.5961467
Bahrain,2012,0.140054546,I,44.3053476,17.5961467
Bahrain,2017,0.1447,I,44.3053476,17.5961467
Bahrain,2018,0.1447,I,44.3053476,17.5961467
Bangladesh,2012,31.5,I,23.5031022,90.00386523825051
Bangladesh,2017,31.5,I,23.5031022,90.00386523825051
Bangladesh,2018,31.5,I,23.5031022,90.00386523825051
Barbados,1992,0.0548,I,13.1500331,-59.5250305
Barbados,1997,0.0548,I,13.1500331,-59.5250305
Barbados,2002,0.0548,I,13.1500331,-59.5250305
Barbados,2007,0.0548,I,13.1500331,-59.5250305
Barbados,2012,0.0548,I,13.1500331,-59.5250305
Barbados,2017,0.0548,I,13.1500331,-59.5250305
Barbados,2018,0.0548,I,13.1500331,-59.5250305
Belarus,1997,0.5176,I,53.4250605,27.6971358
Belarus,2002,0.4288,I,53.4250605,27.6971358
Belarus,2007,0.4338,I,53.4250605,27.6971358
Belarus,2012,0.483,I,53.4250605,27.6971358
Belarus,2017,0.431,OF,53.4250605,27.6971358
Belgium,1982,0.314706667,I,50.6402809,4.6667145
Belgium,1987,0.198473333,I,50.6402809,4.6667145
Belgium,1992,0.08224,I,50.6402809,4.6667145
Belgium,1997,0.016,X,50.6402809,4.6667145
Belgium,1999,0.029,I,50.6402809,4.6667145
Belgium,2012,0.036,X,50.6402809,4.6667145
Belgium,2017,0.045,I,50.6402809,4.6667145
Belgium,2018,0.045,I,50.6402809,4.6667145
Belize,1987,0.018,OF,16.8259793,-88.7600927
Belize,1992,0.019666667,I,16.8259793,-88.7600927
Belize,1997,0.047657143,I,16.8259793,-88.7600927
Belize,2002,0.0684,I,16.8259793,-88.7600927
Belize,2007,0.0684,I,16.8259793,-88.7600927
Belize,2012,0.0684,I,16.8259793,-88.7600927
Belize,2017,0.0684,I,16.8259793,-88.7600927
Belize,2018,0.0684,I,16.8259793,-88.7600927
