country,year,value,symbol,lat,lon
Albania,1992,12.0,OF,41.000028,19.9999619
Albania,1997,9.6,I,41.000028,19.9999619
Albania,2002,7.2,I,41.000028,19.9999619
Albania,2007,4.8,I,41.000028,19.9999619
Albania,2012,2.4,I,41.000028,19.9999619
Albania,2016,0.48,I,41.000028,19.9999619
Argentina,1997,584.0,OF,-34.9964963,-64.9672817
Argentina,2002,584.0,I,-34.9964963,-64.9672817
Argentina,2007,584.0,I,-34.9964963,-64.9672817
Argentina,2012,584.0,I,-34.9964963,-64.9672817
Argentina,2017,584.0,I,-34.9964963,-64.9672817
Argentina,2018,584.0,I,-34.9964963,-64.9672817
Armenia,1997,31.28363636,I,40.7696272,44.6736646
Armenia,2002,25.24272727,I,40.7696272,44.6736646
Armenia,2007,20.41,I,40.7696272,44.6736646
Armenia,2012,20.41,I,40.7696272,44.6736646
Armenia,2017,20.41,I,40.7696272,44.6736646
Armenia,2018,20.41,I,40.7696272,44.6736646
Australia,1997,200.0,I,-24.7761086,134.755
Australia,2002,200.0,I,-24.7761086,134.755
Australia,2007,200.0,I,-24.7761086,134.755
Australia,2012,200.0,I,-24.7761086,134.755
Australia,2017,200.0,I,-24.7761086,134.755
Australia,2018,200.0,I,-24.7761086,134.755
Azerbaijan,1997,296.95,I,40.3936294,47.7872508
Azerbaijan,2002,579.325,I,40.3936294,47.7872508
Azerbaijan,2007,542.4181818,I,40.3936294,47.7872508
Azerbaijan,2012,425.6909091,I,40.3936294,47.7872508
Azerbaijan,2016,288.2,OF,40.3936294,47.7872508
Azerbaijan,2018,270.12,I,40.3936294,47.7872508
Bahrain,1997,1.065,I,44.3053476,17.5961467
Bahrain,2002,1.065,I,44.3053476,17.5961467
Bahrain,2007,1.065,I,44.3053476,17.5961467
Bahrain,2012,1.065,I,44.3053476,17.5961467
Bahrain,2017,1.065,I,44.3053476,17.5961467
Bahrain,2018,1.065,I,44.3053476,17.5961467
Bangladesh,1992,100.0,I,23.5031022,90.00386523825051
Bangladesh,1997,100.0,I,23.5031022,90.00386523825051
Bangladesh,2002,100.0,I,23.5031022,90.00386523825051
Bangladesh,2007,100.0,I,23.5031022,90.00386523825051
Bangladesh,2012,100.0,I,23.5031022,90.00386523825051
Bangladesh,2017,100.0,I,23.5031022,90.00386523825051
Bangladesh,2018,100.0,I,23.5031022,90.00386523825051
Bolivia (Plurinational State of),2002,21.91,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2007,21.91,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2012,21.91,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,21.91,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,21.91,I,-17.0568696,-64.9912286
Brazil,2002,15.0,I,-10.3333333,-53.2
Brazil,2007,15.0,I,-10.3333333,-53.2
