country,year,value,symbol,lat,lon
Bolivia (Plurinational State of),2012,1.431,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,1.431,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,1.431,I,-17.0568696,-64.9912286
Colombia,2012,12.08,I,4.099917,-72.9088133
Colombia,2017,12.08,I,4.099917,-72.9088133
Colombia,2018,12.08,I,4.099917,-72.9088133
Ecuador,2002,33.34,I,-1.3397668,-79.3666965
Ecuador,2007,33.34,I,-1.3397668,-79.3666965
Ecuador,2012,33.34,I,-1.3397668,-79.3666965
Ecuador,2017,33.34,I,-1.3397668,-79.3666965
Ecuador,2018,33.34,I,-1.3397668,-79.3666965
Honduras,2012,0.086,I,15.2572432,-86.0755145
Honduras,2017,0.086,I,15.2572432,-86.0755145
Honduras,2018,0.086,I,15.2572432,-86.0755145
Sao Tome and Principe,1992,9.5,I,0.8875498,6.9648718
Sao Tome and Principe,1997,9.5,I,0.8875498,6.9648718
Sao Tome and Principe,2002,9.5,I,0.8875498,6.9648718
Sao Tome and Principe,2007,9.5,I,0.8875498,6.9648718
Sao Tome and Principe,2012,9.5,I,0.8875498,6.9648718
Sao Tome and Principe,2017,9.5,I,0.8875498,6.9648718
Sao Tome and Principe,2018,9.5,I,0.8875498,6.9648718
Venezuela (Bolivarian Republic of),2012,26.6,I,8.0018709,-66.1109318
Venezuela (Bolivarian Republic of),2017,26.6,I,8.0018709,-66.1109318
Venezuela (Bolivarian Republic of),2018,26.6,I,8.0018709,-66.1109318
